RA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
RA73,395,546,343,569,2116,2199,1202,2487,227,10087,7,17,8,10,19,27,4,52,3,148,3,0,0,0,3,17,0,22,0,55,0,12,11,7,11,13,8,11,0,71,3,0,0,3,22,8,3,3,0,53,10,26,14,24,63,51,30,25,0,238,3,0,7,12,24,17,14,12,3,84,38,116,75,117,149,80,73,80,17,732,26,105,73,107,130,78,66,118,18,726,14,22,14,36,43,28,18,25,0,197,3,16,3,10,26,11,0,9,0,81,5,0,9,7,24,18,5,3,3,80,3,4,10,18,42,26,18,18,3,135,22,35,28,39,114,87,42,54,0,430,8,29,25,43,78,41,32,53,4,317,98,55,63,113,572,336,139,156,15,1548,60,104,134,173,365,272,147,251,17,1528,119,119,176,257,743,420,145,218,36,2232,11,35,24,31,38,32,19,28,3,224,15,52,38,46,116,52,33,37,6,402
RA74,239,316,319,453,1116,1078,550,1432,298,5792,6,11,13,4,28,50,15,147,4,278,3,0,0,9,5,17,19,28,4,89,3,3,0,0,0,3,0,4,0,22,0,0,0,0,0,0,0,0,0,5,3,0,3,0,14,15,3,10,0,46,0,4,0,0,0,3,3,5,0,13,13,52,43,65,77,65,22,45,12,401,12,15,26,14,49,116,50,113,3,405,7,5,5,11,12,11,12,20,0,83,0,0,0,0,3,0,0,3,0,15,0,3,4,5,12,10,0,3,0,36,3,0,3,3,12,5,0,3,0,32,5,10,4,8,8,6,4,15,3,57,11,19,23,19,33,29,14,25,3,176,44,54,67,86,258,113,38,80,14,756,62,99,85,162,270,207,95,164,23,1161,60,71,90,121,296,181,47,94,15,973,3,23,20,24,24,21,8,5,3,133,11,29,44,41,81,50,9,16,23,312
RA75,3,0,0,0,0,0,0,14,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,23,12,17,7,40,52,34,122,9,320,0,0,0,0,0,3,0,20,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,15,3,4,14,9,14,8,6,10,0,58,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,6,0,0,3,4,3,0,0,3,0,16,0,0,0,0,3,10,0,4,0,21,9,0,5,0,3,0,4,0,0,19,8,3,0,4,4,9,0,5,0,41,0,0,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0
RA80,2968,8126,5575,6673,23132,25026,12959,18285,1665,104417,9,30,37,31,51,29,8,16,3,211,3,0,0,0,4,3,0,3,0,19,25,228,113,122,188,139,57,78,10,962,29,5,21,37,128,100,42,36,0,403,48,199,160,165,195,265,84,115,20,1242,23,74,53,53,117,100,39,62,0,518,320,2232,1278,1191,1294,526,316,359,102,7626,221,2203,1084,810,658,516,290,352,136,6273,72,91,113,153,301,181,78,76,9,1068,85,159,146,158,409,250,139,112,20,1476,92,108,141,200,484,356,156,130,9,1672,56,116,94,108,384,319,143,143,6,1367,348,691,717,977,1774,1668,772,855,45,7859,94,470,437,328,469,396,160,185,28,2559,2293,744,1882,3353,9512,6711,3705,3021,180,31401,628,1926,1395,1757,2553,1650,1174,1686,92,12858,844,1738,2324,2903,3868,2266,869,1085,133,16033,90,503,257,233,301,182,118,125,20,1839,98,575,434,468,702,400,214,217,42,3143
RA81,14,9,14,9,28,50,28,47,3,195,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,11,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,6,6,3,0,3,0,22,0,3,0,3,0,0,0,0,0,6,3,0,3,3,11,6,4,4,0,40,0,3,3,5,9,5,0,3,0,26,0,3,0,6,7,0,0,0,0,16,0,0,0,0,3,5,0,3,0,10,0,0,0,0,0,3,0,0,0,4
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,4,13,7,8,12,20,6,19,7,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,9,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,12,8,3,7,0,29,0,4,0,3,0,0,3,0,0,9,3,4,0,0,3,3,0,0,0,20,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4
RA91,3,3,4,3,12,14,14,38,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,6,0,19,0,0,0,0,3,0,0,0,0,7,3,0,0,0,4,0,0,0,3,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA94,52,78,46,70,262,192,150,200,28,1087,0,0,0,0,3,0,0,0,0,9,0,0,0,0,16,0,0,0,0,19,0,3,6,0,4,3,0,0,3,19,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,9,3,21,17,27,26,7,10,11,0,117,6,19,22,25,32,15,9,18,6,153,0,6,4,3,7,7,0,0,0,34,0,0,3,0,0,0,0,0,0,7,3,0,3,3,8,0,0,0,0,15,0,7,0,4,0,4,3,0,0,12,0,4,0,4,5,3,3,3,0,25,4,11,6,13,17,3,5,3,6,73,8,4,9,5,47,24,16,14,0,136,4,10,10,21,18,21,6,18,0,116,9,8,7,10,14,22,0,5,0,78,0,3,3,4,5,4,0,0,0,25,0,3,5,3,3,3,0,0,3,19
