RA_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
RA72,287,71,97,9,63,14,15,201,10,763,112,196,512,24,131,6,338,149,33,1497,278,98,841,17,214,161,202,188,27,2029,209,238,358,9,250,35,123,52,18,1285,982,446,3791,43,801,86,823,1469,107,8541,256,118,196,4,244,270,264,68,20,1441,846,177,347,58,336,2813,183,484,34,5280,773,67,663,1112,283,589,86,1081,36,4686,384,338,244,149,599,150,1339,159,38,3401,100,254,181,4,97,90,8,12,16,759,119,270,19,6,455,63,0,10,7,948,189,90,97,30,234,443,27,68,19,1199,396,1851,1140,27,829,39,76,219,44,4622,203,198,216,207,295,33,71,921,23,2168,1999,2775,1296,3282,3128,52,336,155,255,13267,514,3099,182,1005,697,21,5,152,47,5711,402,2865,188,2077,857,40,54,218,44,6739,253,169,163,381,271,70,9,109,14,1453,220,201,1095,270,275,40,49,199,31,2378,274,239,718,162,336,179,246,375,648,3191
RA73,195,45,33,5,37,12,27,142,8,499,24,41,110,8,23,0,126,16,4,355,45,34,139,0,32,21,19,26,0,310,35,21,92,3,46,5,35,17,6,256,191,37,605,21,157,16,109,198,20,1351,50,14,14,0,43,53,48,24,4,254,255,36,110,21,79,700,52,141,11,1400,288,19,178,269,97,136,17,311,21,1328,80,76,65,56,133,32,321,27,10,797,18,81,38,0,31,28,0,7,0,205,17,28,0,0,67,3,0,0,3,117,27,14,18,9,58,97,8,14,0,244,107,334,129,27,222,9,12,24,28,894,60,60,51,99,69,20,6,214,7,595,422,840,407,982,704,19,74,126,82,3654,168,1107,70,424,227,10,9,84,28,2122,223,1288,99,917,339,23,37,145,38,3109,72,116,49,93,54,17,3,29,7,431,71,145,307,127,136,8,22,101,20,944,80,78,115,82,86,43,49,90,204,822
RA74,178,92,65,10,56,0,33,328,10,776,61,107,191,3,45,0,214,27,10,658,11,9,49,0,3,0,11,4,0,91,14,0,33,0,5,0,11,22,3,82,76,12,155,5,27,8,48,82,10,415,17,4,7,0,0,7,3,12,0,47,125,25,46,21,32,345,58,79,12,754,158,31,136,209,71,39,12,187,13,848,35,63,16,32,47,15,51,20,4,279,0,23,5,0,3,0,0,0,0,34,8,0,0,9,28,0,0,0,3,49,10,5,3,4,15,19,0,3,0,55,10,42,15,3,40,0,0,0,4,110,45,52,14,56,33,34,13,85,12,333,167,302,56,531,254,6,31,221,52,1621,117,819,60,461,97,3,16,79,22,1666,95,430,64,513,168,16,41,122,33,1474,30,126,24,26,16,4,7,16,4,258,53,193,122,154,69,26,37,151,48,852,43,46,68,61,48,23,34,52,301,664
RA75,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,9
RA79,0,4,7,0,0,0,10,33,3,51,0,0,3,0,0,0,14,0,0,14,0,0,3,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,5,3,25,4,0,0,19,14,0,63,0,0,0,0,0,0,4,0,0,6,12,0,0,0,0,21,0,4,0,40,9,0,8,34,7,0,0,30,0,86,3,7,0,0,0,0,13,0,0,25,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,4,20,0,5,0,0,0,0,29,0,8,0,4,3,0,0,9,0,26,5,11,23,16,4,0,4,4,0,60,0,17,5,4,0,0,0,0,0,33,3,35,0,8,3,0,0,0,0,47,0,6,0,3,0,0,0,0,0,12,3,0,0,0,0,0,0,4,0,9,3,8,10,4,0,3,4,8,4,36
RA80,167,77,83,10,46,15,28,120,15,562,18,14,15,0,5,3,48,0,0,115,534,450,1078,105,289,388,221,270,32,3368,209,316,276,5,301,44,169,104,21,1445,1722,413,6354,19,980,121,587,1641,134,11966,382,424,227,9,239,425,227,82,21,2037,2238,498,786,172,700,8639,368,1097,69,14567,1941,136,1864,4596,537,1496,281,2459,57,13370,466,543,193,147,1087,232,1860,109,58,4703,525,1601,466,31,567,280,39,50,56,3627,449,1142,43,8,1356,70,4,5,83,3160,435,343,73,44,558,1065,26,81,42,2656,2660,11231,1447,135,3113,214,36,97,320,19250,462,763,497,413,659,66,60,2229,60,5217,15715,21573,1791,3884,17017,158,258,256,2517,63159,1653,11710,682,2733,2303,52,29,279,147,19591,1253,8818,623,6817,2947,108,134,441,136,21279,606,856,228,1123,420,156,16,116,44,3561,695,827,2155,1011,789,100,50,423,42,6092,550,843,678,341,670,293,247,460,1261,5336
RA81,25,0,0,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,7,0,28,0,0,0,4,3,0,44,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,8,0,0,0,18,4,0,4,8,0,3,0,0,0,19,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,15,3,0,12,0,0,0,0,33,0,0,0,0,0,0,0,0,0,10,19,16,0,6,15,0,0,3,7,77,0,24,3,9,3,0,0,0,0,39,3,9,0,4,3,0,0,0,0,25,0,3,0,12,0,0,0,0,0,25,0,0,8,0,0,0,0,0,0,11,0,0,0,3,6,0,0,3,0,14
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,5,0,18,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,8,0,0,0,19,3,0,0,4,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,6,0,6,13,24,3,5,16,0,0,3,0,56,0,10,0,0,3,0,0,0,0,15,0,8,0,13,3,0,0,0,3,23,0,0,0,3,0,0,0,0,0,8,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,11
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,11,6,23,5,0,0,3,0,83,0,0,0,4,0,0,0,0,0,11,0,5,0,5,0,0,0,0,0,9,3,4,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8
RA94,22,0,3,0,0,0,0,8,0,34,12,7,47,0,11,0,56,14,3,149,3,0,23,0,4,5,0,3,0,43,3,0,17,0,4,0,6,4,3,39,14,0,75,0,12,0,15,23,3,140,6,0,0,0,8,3,3,3,0,21,44,5,8,5,16,89,11,13,0,183,61,0,40,50,19,9,0,55,0,249,15,8,7,16,15,4,18,24,3,100,5,4,7,0,0,0,0,0,0,15,3,0,0,0,11,0,0,0,0,17,6,0,3,0,7,6,5,0,0,31,3,18,5,3,9,0,0,3,0,48,14,5,11,28,9,3,3,49,0,118,51,24,42,71,76,3,27,43,9,351,9,72,5,45,7,0,0,5,0,149,6,37,4,25,18,0,0,8,0,101,9,16,14,12,3,0,0,8,0,65,5,4,37,6,0,0,0,4,0,57,11,3,21,6,7,5,7,19,15,102
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
