RA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
RA55,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,17,0,5,10,3,0,0,0,0,0,21,0,0,38,39,28,14,0,0,0,119,0,0,4,0,0,0,0,0,0,11,0,0,3,3,4,0,0,0,0,10,0,0,5,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,11,0,3,7,15,18,5,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,3,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
RA59,3,4,13,3,5,9,0,0,0,36,18,101,221,94,91,113,9,0,0,648,0,25,53,14,6,21,3,0,0,129,0,13,88,49,53,27,0,0,0,233,0,4,25,16,5,4,0,0,0,60,0,0,5,3,5,3,0,0,0,17,0,15,71,49,37,21,3,0,0,206,0,0,9,6,3,3,0,0,0,26,3,25,28,19,13,17,3,0,0,102,9,42,83,17,28,33,5,0,0,219,0,4,27,29,22,28,4,0,0,115,0,3,3,4,3,0,0,0,0,15,0,0,3,7,3,0,0,0,0,11,0,0,6,4,9,0,0,0,0,18,0,4,38,23,13,18,3,0,0,90,0,11,37,17,25,13,3,0,0,102,0,7,18,3,7,11,3,0,0,51,0,9,16,17,8,16,4,0,0,67,0,9,27,19,22,16,3,0,0,101,0,6,16,3,3,0,0,0,0,32
RA61,120,150,315,360,379,273,113,41,15,1756,4576,6929,14744,15875,17522,12650,2281,208,31,74822,82,258,686,707,692,524,183,44,3,3189,3,18,140,195,144,109,16,0,0,634,435,823,1651,1951,2293,1622,264,32,4,9082,10,106,592,748,759,437,45,3,0,2692,447,1244,2804,2323,2404,1769,348,20,3,11356,140,243,655,728,854,636,127,20,3,3403,2446,2761,3358,2877,2989,2107,508,56,8,17105,2911,2403,2486,1519,1321,839,222,21,3,11734,85,338,978,1221,1647,1370,378,37,3,6056,94,242,621,521,532,388,54,9,0,2459,49,242,987,984,841,557,107,12,3,3789,42,180,371,381,452,369,143,26,4,1963,144,492,1913,1948,1814,1290,423,50,4,8081,91,344,897,942,1026,827,193,27,0,4346,98,497,2445,3483,3952,2482,335,16,4,13308,159,636,2625,3623,4050,3260,595,42,7,14993,299,1593,4394,4600,5845,4996,890,60,15,22690,304,357,622,607,591,453,124,23,3,3090
RA62,63,64,123,160,195,176,78,19,5,881,1770,2098,4452,5768,7746,6052,1221,147,22,29273,269,529,1157,1346,1663,1501,733,245,20,7452,13,48,261,299,326,232,37,3,7,1216,262,499,943,1149,1500,999,143,17,6,5512,6,28,111,157,227,194,28,0,0,752,256,502,913,920,1129,922,155,11,5,4824,54,96,251,300,380,271,43,5,0,1395,1001,672,977,1084,1250,943,215,25,3,6169,884,531,605,626,747,599,182,15,0,4196,27,119,333,517,839,814,213,22,0,2887,20,29,88,70,99,113,20,3,0,443,16,65,137,160,180,131,25,3,0,718,13,51,90,112,184,165,55,9,0,666,30,113,333,439,461,448,176,20,4,2038,60,147,283,366,502,416,88,15,3,1889,18,114,452,793,1068,852,126,3,0,3438,48,145,657,1149,1413,1213,208,12,3,4835,103,411,1074,1346,2309,2088,323,14,3,7678,68,74,120,147,197,189,50,5,0,854
RA63,4,0,9,3,14,8,4,3,3,41,48,97,239,248,332,307,67,14,3,1348,18,44,89,57,92,77,25,3,0,402,3,25,75,76,110,61,9,0,0,359,6,3,22,19,36,25,7,3,0,118,0,7,9,6,11,14,5,0,0,45,0,7,23,28,47,36,5,0,0,150,0,3,3,3,8,5,3,0,0,31,35,8,23,28,52,51,19,0,0,214,18,40,115,90,89,122,37,4,0,517,0,8,14,19,30,35,6,0,0,108,0,0,0,5,3,6,0,0,0,17,0,0,6,9,5,6,0,0,0,23,0,0,3,3,10,11,0,0,0,33,0,4,11,9,14,17,13,0,0,63,0,4,24,31,36,27,8,0,0,124,0,0,21,16,38,35,8,0,0,125,3,12,38,30,49,43,5,0,0,180,4,6,22,27,57,50,11,0,0,180,0,10,3,12,12,13,0,0,0,50
RA64,0,4,3,3,3,0,0,0,0,19,13,34,100,89,141,124,36,11,0,545,3,23,46,47,71,82,41,20,3,329,0,0,0,0,3,0,0,0,0,5,7,17,39,9,32,17,4,0,0,122,0,0,11,5,4,3,0,0,0,27,0,6,14,12,19,28,4,0,0,87,0,0,0,6,0,0,4,0,0,17,7,0,11,16,21,20,3,4,0,79,3,13,6,15,17,18,3,0,0,71,0,3,10,11,19,17,8,0,0,63,0,0,0,0,3,3,3,0,0,8,0,0,4,0,0,0,0,0,0,6,0,0,0,3,3,4,0,0,0,14,0,0,0,3,7,4,8,0,0,25,0,0,3,7,13,9,3,0,0,33,0,0,19,18,17,12,6,0,0,73,0,4,18,20,17,12,0,0,0,76,0,4,12,10,26,42,6,0,0,100,4,0,0,3,0,6,0,0,0,17
RA65,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,3,0,0,0,0,0,7,9,3,26,27,21,12,0,0,0,98,0,3,4,0,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,3,0,3,11,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,5,6,10,4,0,0,0,0,22,4,6,9,3,0,0,0,0,0,26,0,0,3,0,3,0,0,0,0,20,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,3,3,4,3,0,0,0,7,0,0,3,0,3,0,0,0,0,6,0,0,0,3,7,3,0,0,0,13,0,0,5,3,3,0,0,0,0,9,0,0,5,6,6,6,0,0,0,30,0,0,5,0,0,0,0,0,0,7
RA72,72,108,276,238,216,128,44,11,3,1094,1564,3031,8851,7431,6634,4053,838,55,6,32474,27,67,149,135,197,132,57,15,0,763,13,73,434,424,357,168,25,0,0,1497,110,170,497,499,449,247,52,3,0,2029,13,69,298,382,296,193,33,0,0,1285,185,631,2709,2164,1646,967,215,15,3,8541,39,133,390,325,328,183,40,0,0,1441,826,750,1230,920,829,568,143,17,3,5280,785,752,1393,780,575,308,72,8,0,4686,63,234,796,726,848,569,157,9,0,3401,41,85,225,155,147,89,20,0,0,759,9,83,314,229,191,100,17,0,0,948,25,116,334,251,237,146,67,14,3,1199,93,284,1486,1188,849,572,142,12,0,4622,49,175,545,534,488,301,69,6,0,2168,201,1571,3687,3100,2772,1636,278,8,0,13267,110,316,1188,1444,1404,1021,225,9,0,5711,132,462,2075,1599,1272,970,216,16,0,6739,136,178,400,274,248,167,38,4,0,1453
RA73,17,28,86,73,74,44,15,0,0,336,421,696,2346,2041,2223,1517,317,33,3,9601,27,62,115,87,98,65,28,14,0,499,3,23,88,84,95,57,4,0,0,355,18,34,54,73,76,43,4,0,0,310,3,21,46,56,68,63,5,3,0,256,61,144,359,240,277,219,54,5,0,1351,5,16,57,40,53,61,10,0,0,254,223,143,298,244,244,195,54,8,0,1400,205,156,345,186,222,161,47,6,0,1328,18,56,200,142,192,140,52,5,0,797,21,18,46,37,31,45,10,0,0,205,4,9,41,31,18,14,3,0,0,117,14,23,43,49,56,49,9,4,0,244,13,37,204,199,213,187,47,3,0,894,22,57,140,105,157,87,26,4,0,595,42,200,959,859,899,590,102,3,0,3654,54,95,435,454,530,459,88,8,0,2122,45,183,810,761,707,479,115,9,0,3109,40,39,88,85,90,61,17,0,0,431
RA74,23,43,65,49,59,28,3,4,0,277,181,471,1417,1173,1114,734,156,18,3,5269,77,173,201,108,116,76,20,3,0,776,3,28,169,204,164,75,13,0,0,658,4,7,20,19,31,9,0,0,0,91,0,3,17,17,16,21,0,0,0,82,12,40,117,80,84,41,25,0,0,415,7,4,13,5,7,7,3,0,0,47,46,84,186,148,135,124,24,0,0,754,49,140,287,121,121,101,29,3,0,848,13,22,75,66,56,44,12,0,0,279,3,3,9,13,12,4,0,0,0,34,0,8,18,11,8,3,0,0,0,49,0,0,11,16,8,9,3,0,0,55,0,15,33,26,15,21,4,0,0,110,12,43,80,73,66,49,14,0,0,333,29,114,393,392,392,253,45,7,3,1621,21,82,481,392,335,285,57,7,0,1666,26,92,332,352,362,256,49,5,0,1474,12,23,59,66,51,33,14,0,0,258
RA75,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,5,0,0,3,0,0,0,11,8,34,80,39,39,46,0,0,0,252,0,11,13,4,9,9,5,0,0,51,0,0,4,5,6,0,0,0,0,14,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,7,21,17,18,3,0,0,0,63,0,0,0,0,0,0,0,0,0,6,0,7,11,9,10,7,0,0,0,40,0,11,42,9,12,13,0,0,0,86,0,0,7,3,6,7,0,0,0,25,0,0,3,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,13,7,7,0,0,0,0,29,0,0,4,5,3,11,0,0,0,26,9,18,6,11,9,14,0,0,0,60,0,3,11,4,9,0,3,0,0,33,0,3,19,8,11,10,0,0,0,47,0,0,4,8,3,0,0,0,0,12
RA80,143,251,523,453,388,221,89,20,17,2105,5728,10406,25850,23273,20738,12025,2388,205,31,100641,15,66,101,94,89,98,66,24,10,562,0,4,32,26,33,19,0,0,0,115,258,347,749,737,698,403,147,24,0,3368,20,95,400,407,304,177,33,3,0,1445,468,1539,3556,2675,2080,1273,325,37,4,11966,69,197,476,488,485,246,73,10,0,2037,2680,3220,3252,2025,1749,1201,397,38,7,14567,3675,3266,2970,1583,1088,627,151,11,3,13370,84,300,973,1085,1126,884,229,19,0,4703,148,342,951,941,739,392,96,5,3,3627,28,263,976,809,599,364,106,20,5,3160,76,316,687,578,488,338,146,25,0,2656,202,1606,5474,5033,3833,2329,702,70,4,19250,136,454,1382,1208,1059,743,213,27,3,5217,534,3241,16727,17781,15972,7755,1090,55,4,63159,690,1556,4381,4730,4343,3054,762,65,6,19591,512,2082,5704,4714,4356,3167,675,55,6,21279,472,580,811,622,550,378,137,13,0,3561
RA81,3,0,3,0,0,0,0,0,0,3,9,11,40,46,34,18,3,0,0,170,0,0,0,0,15,7,6,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,5,8,4,16,10,10,3,0,0,0,44,0,0,0,0,0,0,0,0,0,3,3,0,3,3,5,0,0,0,0,18,3,3,4,0,3,4,0,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,15,4,0,4,0,0,33,0,0,5,0,4,0,0,0,0,10,0,3,12,31,18,10,0,0,0,77,0,0,11,13,10,7,0,0,0,39,0,0,6,9,0,4,0,0,0,25,0,10,9,3,0,3,0,0,0,25
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,3,0,0,0,19,3,10,3,0,3,0,0,0,0,11,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,5,0,3,4,0,0,0,6,3,11,17,12,5,11,3,0,0,56,0,4,8,3,0,3,0,0,0,15,0,0,4,9,6,0,0,0,0,23,0,3,0,0,0,0,0,0,0,8
RA91,0,0,0,0,0,0,0,0,0,0,4,3,11,16,11,4,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,24,10,15,3,0,0,0,83,0,0,0,3,0,0,0,0,0,11,3,0,0,5,3,0,0,0,0,9,0,0,3,4,0,0,0,0,0,6
RA94,3,0,4,8,12,3,6,0,0,35,36,41,148,193,227,192,83,12,0,927,0,4,3,8,6,7,3,5,0,34,0,9,23,32,32,33,27,0,0,149,0,0,9,4,17,10,0,0,0,43,0,3,3,10,13,6,6,0,0,39,5,9,12,29,43,34,7,0,0,140,0,0,3,3,0,3,0,3,0,21,17,9,18,28,40,40,27,8,0,183,19,14,41,46,53,40,19,4,4,249,6,5,25,21,22,20,7,0,0,100,0,0,0,7,3,4,0,0,0,15,0,0,3,9,3,7,0,0,0,17,0,0,0,6,7,6,0,0,0,31,0,0,10,18,8,4,8,0,0,48,3,0,14,26,25,33,13,0,0,118,3,10,62,74,101,72,27,0,0,351,4,5,25,38,29,33,13,0,0,149,3,6,7,18,23,31,17,0,0,101,3,3,9,16,11,9,9,4,0,65
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
