RA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
RA44,40,11,15,12,4,6,6,0,100,0,0,0,0,0,0,0,0,0,0,0,10,11,52,15,17,15,13,16,9,4,159,26,13,15,3,0,0,3,0,0,0,62,8,11,34,3,8,3,3,5,4,4,77,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,10,38,3,8,3,3,5,4,4,80,0,0,0,0,0,0,0,0,0,0,0,38,22,46,6,6,7,7,3,4,5,149,69,16,4,0,0,0,3,0,0,3,105,21,11,9,0,3,5,0,4,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,23,13,9,0,3,5,0,4,0,0,66,0,0,0,0,0,0,0,0,0,0,0,93,30,21,4,9,4,3,3,0,11,175,147,7,3,0,0,3,0,0,0,9,171,39,4,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,13,3,3,3,15,30,16,9,96,0,0,0,0,0,0,0,0,0,3,3,9,6,15,4,3,7,16,45,30,15,159,14,3,4,0,0,0,0,0,0,0,23,3,3,4,0,0,0,4,0,5,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,0,6,6,37,0,0,0,0,0,0,0,0,0,6,6,19,9,14,0,0,0,3,0,11,12,68,40,3,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,41,6,6,0,0,0,0,0,0,6,59,54,0,6,0,0,0,0,0,0,3,66,4,0,3,0
RA50,23982,4830,6233,6749,6574,6135,3515,1965,75244,17,8,21,3,8,4,12,9,3,219,308,22045,13904,35519,9202,11288,10195,8998,8090,4452,3469,127156,23729,7413,11963,2691,2968,1874,1346,964,457,1131,54536,11587,9157,18663,3230,4124,3106,2544,2022,920,747,56107,719,826,2381,359,530,505,382,426,239,264,6629,66,75,107,32,26,28,19,18,8,21,394,12371,10058,21152,3612,4687,3641,2934,2462,1164,1038,63127,28,13,15,3,6,3,3,6,0,174,247,36129,17481,33131,6308,7658,5520,4287,3438,1623,2339,117910,46416,9323,10972,1821,1864,1106,700,473,226,1359,74256,15085,5224,8589,1191,1413,909,567,509,229,494,34217,2030,850,1695,250,307,291,237,218,219,327,6422,110,48,71,10,12,5,6,3,3,20,284,17221,6118,10357,1453,1735,1209,813,730,449,840,40925,61,12,5,4,4,0,4,3,0,140,232,63697,15451,21333,3281,3600,2315,1521,1207,679,2333,115413,51535,3700,3158,571,513,384,256,233,115,1112,61574,17308,2034,1709,242
RA51,546,142,183,234,261,268,163,157,2172,0,0,0,0,0,0,0,0,0,349,351,847,411,1178,301,372,370,392,359,201,597,5028,1913,621,765,140,138,97,57,46,10,133,3920,222,273,750,125,160,169,102,79,28,41,1955,8,15,41,10,9,15,4,3,6,5,114,3,0,6,0,0,0,0,0,0,4,11,234,286,800,134,174,184,110,86,30,50,2087,3,4,0,0,0,3,0,0,0,227,239,2153,907,1564,274,307,280,169,128,47,407,6245,4554,698,776,104,115,80,55,28,7,223,6638,388,189,398,52,56,44,24,21,7,29,1207,35,15,32,9,5,8,7,7,0,7,119,0,5,3,0,0,0,0,0,0,3,11,426,206,432,58,60,48,30,26,13,41,1348,9,0,4,0,0,0,0,0,0,164,179,4988,906,1216,165,179,124,79,53,26,432,8161,5268,356,277,50,59,19,13,9,6,189,6246,490,78,70,15
RA52,574,175,194,217,173,181,101,97,1924,0,0,0,0,0,0,0,0,0,30,37,618,342,1112,375,413,319,275,255,132,205,4048,1107,375,480,98,110,71,46,43,11,83,2432,184,274,774,140,185,127,69,85,28,36,1910,10,5,68,6,16,22,18,9,3,15,176,0,4,10,3,0,3,0,0,3,3,27,200,282,855,152,199,153,86,95,36,52,2113,3,4,4,0,0,0,0,0,0,22,35,1309,668,1341,254,307,221,131,143,52,157,4576,3108,371,408,106,91,43,36,26,13,159,4360,328,190,418,74,77,46,28,33,3,28,1220,19,12,71,3,10,5,4,4,4,11,157,3,0,3,0,0,0,0,0,0,0,10,354,205,493,83,91,55,27,38,13,41,1386,0,0,0,0,0,0,0,0,0,24,31,3458,581,906,184,178,98,70,62,23,217,5773,3797,188,223,43,44,21,8,11,6,132,4484,412,54,87,14
RA53,383,104,124,135,144,165,75,73,1358,3,0,0,0,0,3,0,0,0,13,23,394,226,814,250,303,252,246,227,105,159,2989,669,216,358,67,75,37,28,18,10,80,1560,109,140,423,94,102,80,66,44,11,32,1107,0,3,6,6,3,0,3,9,7,4,40,3,0,4,0,0,0,0,0,0,0,9,109,137,436,99,110,86,74,48,20,36,1159,0,0,0,0,0,0,0,0,0,4,9,783,356,801,171,181,123,94,69,23,117,2728,1127,161,208,46,50,34,17,10,3,77,1742,167,112,230,44,54,33,17,22,9,15,692,5,5,11,3,5,6,4,3,0,3,44,3,0,9,0,0,0,0,0,0,0,16,176,112,248,50,57,34,17,20,14,16,750,3,0,3,0,0,0,0,0,0,3,11,1307,275,459,98,108,65,37,37,12,98,2498,1152,90,130,28,28,13,12,7,7,52,1512,156,34,61,6
RA54,311,90,116,100,86,101,53,61,1102,4,0,0,0,0,0,0,0,0,0,3,429,222,759,302,316,199,165,159,87,114,2752,518,209,320,58,85,44,38,21,15,50,1350,140,136,363,50,93,71,49,43,17,24,985,13,10,18,3,4,4,3,8,3,0,71,3,0,3,0,0,0,0,0,0,0,9,155,147,387,55,102,73,56,46,24,24,1066,4,0,3,0,0,0,0,0,0,5,9,673,360,710,110,188,120,94,64,37,73,2428,1011,177,268,58,68,30,25,13,3,53,1708,178,82,227,37,38,35,19,16,3,18,648,34,4,7,0,3,3,0,3,0,5,58,3,0,0,0,0,0,0,0,0,0,9,217,90,234,37,39,37,18,18,6,23,720,3,0,0,0,0,0,0,0,0,4,12,1229,268,501,89,113,74,49,37,7,76,2441,982,87,123,30,25,16,12,13,8,43,1338,169,14,36,3
RA55,4,0,9,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,15,5,7,0,8,0,0,3,47,14,3,5,0,0,0,0,5,0,3,35,0,0,3,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,17,5,10,0,3,0,0,3,3,3,45,15,11,4,0,0,0,0,0,0,8,34,4,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,11,4,0,3,0,3,3,0,8,42,10,3,3,0,0,0,0,0,0,4,13,3,0,0,0
RA59,26,4,4,8,31,44,49,32,220,0,0,0,0,0,0,0,0,0,17,20,42,17,53,17,21,22,46,70,85,60,428,50,6,17,5,5,8,0,0,3,4,92,10,9,4,0,3,4,0,0,3,8,45,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,10,10,4,0,3,7,0,0,3,6,50,0,0,0,0,0,0,0,0,0,15,16,60,20,25,3,7,14,0,0,3,21,164,89,7,21,4,0,3,7,0,0,8,135,17,0,9,0,0,0,0,0,0,3,27,5,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,22,0,9,0,0,0,0,0,7,3,36,0,0,0,0,0,0,0,0,0,31,31,109,7,26,4,4,5,5,3,4,39,203,148,6,12,4,9,3,3,3,3,15,205,14,3,3,0
RA61,1208,275,414,450,533,553,320,140,4480,0,0,0,0,0,0,0,0,0,8,11,898,538,1553,371,497,559,625,648,373,217,6284,1504,447,392,69,62,51,45,43,25,72,2710,357,486,777,106,132,111,113,133,71,52,2339,11,28,97,37,36,72,57,35,47,17,437,0,3,10,0,0,7,0,0,0,3,22,369,516,879,147,169,190,170,170,121,75,2805,0,0,0,0,0,0,0,0,0,3,7,1881,962,1270,214,231,242,212,210,146,153,5525,3330,347,287,42,46,27,29,23,12,113,4262,690,275,329,45,32,34,23,27,10,28,1490,46,39,89,37,30,45,42,26,22,19,387,3,3,3,0,0,0,0,0,0,3,16,739,317,419,81,65,72,65,53,36,47,1890,3,0,0,0,0,0,0,0,0,11,12,4069,664,708,122,113,96,100,78,43,167,6163,4445,179,118,20,14,15,13,9,5,85,4903,900,89,69,19
RA62,105,20,25,42,47,54,23,31,399,0,0,0,0,0,0,0,0,0,0,0,210,79,195,50,52,62,61,84,37,50,879,557,181,149,25,20,17,11,12,7,26,1012,78,74,107,15,25,17,13,18,11,9,358,3,3,3,0,0,3,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,79,75,109,16,28,18,18,18,11,13,377,0,0,0,0,0,0,0,0,0,0,3,636,262,255,40,50,36,28,35,18,35,1390,1556,172,148,22,11,13,9,15,7,87,2035,182,51,78,6,18,3,6,9,7,8,372,8,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,189,55,74,12,17,3,9,9,7,12,388,3,0,0,0,0,0,0,0,0,0,4,1752,226,226,32,33,20,19,19,9,95,2428,2719,91,74,4,9,9,3,6,0,97,3018,280,36,17,6
RA63,7,3,9,7,11,7,0,3,48,0,0,0,0,0,0,0,0,0,0,0,16,7,13,3,15,8,14,10,3,4,92,19,4,6,0,3,3,0,3,0,3,47,6,3,14,0,3,0,4,0,0,0,28,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,14,3,4,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,28,12,17,3,7,3,9,3,0,3,78,68,9,6,4,0,0,0,0,3,6,96,9,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,76,8,12,4,0,0,0,0,3,6,109,138,5,3,0,0,0,0,0,0,10,151,17,0,3,0
RA64,3,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,7,12,3,0,3,7,0,3,4,38,9,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,11,9,0,0,0,0,0,0,0,0,19,11,3,0,0,0,3,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,6,0,0,0,0,25,43,0,0,0,0,0,0,0,0,0,49,9,0,0,0
RA65,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
RA69,3,0,3,3,3,7,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,10,3,7,35,7,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,0,6,19,13,3,0,0,0,0,0,0,0,0,19,3,0,0,0
RA72,1735,383,427,564,587,688,374,200,5601,0,0,0,0,3,0,0,0,0,24,29,910,513,2396,642,719,777,728,840,443,322,8288,1021,323,393,79,101,67,76,71,40,69,2250,641,501,1504,227,314,268,230,211,119,100,4113,47,40,146,20,27,46,35,24,19,10,424,15,4,15,0,0,0,0,3,0,0,40,706,542,1666,247,342,324,264,242,141,106,4579,4,0,0,0,0,0,0,0,0,15,23,1725,863,2060,329,440,387,347,317,184,195,6855,1862,214,281,50,59,40,29,27,14,93,2659,1101,271,523,88,102,83,70,57,41,55,2378,132,29,103,10,17,18,11,8,10,17,361,5,0,6,3,0,3,0,0,0,0,21,1236,309,634,100,119,98,80,68,44,77,2760,3,0,3,0,0,0,0,0,0,18,27,3096,517,917,150,171,142,109,89,60,189,5443,1920,83,91,25,13,13,23,14,10,74,2273,1085,82,95,8
RA73,372,65,99,95,107,108,62,52,1095,0,0,0,0,0,0,0,0,0,8,8,185,128,503,109,150,137,158,172,98,70,1712,224,82,87,29,26,28,46,42,25,23,617,73,127,344,51,52,48,38,33,13,16,802,8,5,17,0,3,0,0,0,0,3,38,0,0,3,0,0,0,0,0,0,0,9,85,135,355,54,56,55,38,33,13,24,847,0,0,0,0,0,0,0,0,0,4,4,309,219,442,85,79,85,84,76,41,51,1470,502,90,61,14,24,19,25,40,10,28,812,140,90,134,26,24,23,17,13,7,16,490,22,3,12,3,0,0,0,3,4,11,59,0,0,0,0,0,0,0,0,0,0,10,166,96,147,29,25,22,17,15,10,28,556,0,0,0,0,0,0,0,0,0,3,5,665,187,208,47,54,40,37,58,25,57,1373,581,45,47,11,12,13,16,14,14,23,777,144,23,23,4
RA74,98,18,21,21,33,44,27,22,323,0,0,0,0,0,0,0,0,0,0,0,65,39,160,38,32,38,46,64,39,40,558,77,36,39,4,8,3,3,11,5,6,187,25,28,79,9,15,3,3,10,3,10,179,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,21,30,80,11,14,9,3,10,3,13,191,0,0,0,0,0,0,0,0,0,0,0,102,66,116,13,26,15,8,17,10,17,382,156,21,20,6,7,8,6,6,0,9,243,41,28,27,4,4,4,6,0,3,12,141,0,0,3,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,41,28,36,4,4,5,6,0,3,16,151,0,0,0,0,0,0,0,0,0,0,0,202,55,57,16,13,16,11,3,3,27,394,182,12,18,5,5,11,0,3,0,14,258,64,5,10,4
RA75,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,3,0,0,4,12,20,9,3,49,0,0,0,0,0,0,0,0,0,0,0,10,3,6,4,5,7,18,32,14,7,113,10,8,5,0,0,0,0,0,0,0,29,0,0,9,3,0,0,0,0,3,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,0,13,6,8,3,0,0,0,0,7,3,45,20,3,3,0,0,0,0,0,0,0,28,4,0,3,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,24,3,11,3,0,0,0,0,0,4,43,44,6,3,0,0,0,0,0,0,0,56,3,0,0,0
RA80,4792,895,1055,1173,1404,1506,841,316,15564,0,3,0,0,0,3,0,0,0,35,37,3804,2431,5558,1135,1304,1399,1652,1747,979,492,20505,3283,713,619,165,138,113,155,156,80,158,5578,2701,3037,3337,544,516,487,524,497,240,165,12038,84,136,305,47,58,68,72,77,43,38,933,23,15,20,0,0,3,6,0,4,3,74,2799,3188,3664,593,572,559,597,575,290,206,13045,3,4,3,0,0,0,0,0,0,22,35,6086,3899,4289,758,713,671,753,728,364,393,18658,5594,471,426,132,137,63,62,47,23,134,7083,4223,1176,1006,179,162,108,126,96,51,115,7238,255,151,208,34,34,47,51,33,29,58,905,24,9,3,0,0,0,0,0,0,0,46,4507,1325,1217,215,204,150,183,131,83,173,8188,5,0,4,0,0,0,0,0,0,16,27,10111,1799,1646,346,340,213,240,177,107,317,15296,5995,177,125,35,25,31,8,34,19,114,6573,4364,307,185,20
RA81,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,11,12,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,5,0,0,14,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,4,0,0,3,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,0,3,4,5,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,7,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,4,24,8,0,3,0,0,0,0,0,0,0,7,4,0,0,0
RA91,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0
