RA_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
RA64,0,4,8,11,12,28,22,25,6,125,4,3,18,13,11,20,16,12,4,93,0,9,10,22,25,19,13,9,3,109,0,6,14,6,23,19,3,3,3,83,0,0,11,17,19,21,3,0,0,75,0,0,10,4,12,6,3,4,0,43,0,3,13,3,5,6,4,0,0,40,0,0,4,3,4,6,0,0,0,12,0,0,3,7,7,11,0,0,0,21,0,0,0,0,4,5,3,0,0,11,14,3,14,8,12,21,19,15,12,111,31,45,145,122,169,223,154,86,34,1012,22,3,11,9,10,25,9,0,0,91,6,5,6,5,6,12,21,5,0,67,8,7,18,16,18,45,42,10,5,163,3,5,16,13,15,41,65,30,9,190,0,6,16,12,25,48,55,44,17,220,8,11,23,18,26,38,38,21,9,190,4,18,26,30,42,32,22,18,3,200,3,19,34,25,42,43,11,10,3,191
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
RA69,0,0,4,9,7,10,10,0,0,41,3,3,8,5,0,3,3,0,0,29,0,3,3,3,4,3,0,0,0,13,0,0,5,0,3,0,0,0,0,11,0,0,3,4,3,3,0,0,0,14,0,0,3,4,0,3,0,0,0,13,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,6,10,8,15,9,7,0,0,52,33,29,69,54,59,56,38,5,0,350,20,9,12,12,4,12,0,0,0,68,4,3,4,3,4,6,3,0,0,36,23,23,24,23,29,15,9,0,0,156,0,7,13,19,14,18,18,0,0,102,7,8,9,20,20,13,21,4,0,94,3,7,11,14,9,10,6,0,0,52,0,6,15,6,12,3,0,0,0,49,0,3,12,4,9,3,3,0,0,44
RA72,128,268,510,395,310,343,464,255,78,2751,135,355,776,581,466,414,302,146,45,3216,139,542,977,702,612,431,246,71,14,3743,103,650,1259,924,784,514,228,41,12,4511,41,566,1653,1084,1026,665,195,37,16,5279,5,258,1349,905,850,523,119,13,5,4034,3,104,1057,911,759,447,80,15,0,3384,4,45,588,681,664,379,64,9,0,2422,3,19,591,912,838,518,77,11,3,2971,3,15,127,293,295,205,43,16,0,1003,520,580,1597,1140,991,833,466,186,78,6389,3560,4355,12810,10315,8858,6612,3393,1226,356,51481,2856,687,1522,1089,741,899,454,111,28,8389,1291,232,330,282,195,196,187,49,11,2778,663,455,632,486,470,534,534,218,43,4039,302,427,663,517,488,601,961,460,102,4522,274,477,778,581,501,595,877,429,129,4645,325,644,1153,798,693,672,595,258,76,5205,271,960,1544,1059,929,768,511,153,35,6223,252,1345,2359,1672,1406,1019,494,97,19,8667
RA73,37,62,144,145,133,148,155,92,41,957,51,84,214,194,165,143,102,38,10,995,50,133,292,193,207,161,86,24,0,1147,33,165,406,257,246,168,58,16,3,1354,13,152,478,315,388,273,68,11,5,1701,4,53,331,270,309,184,40,5,0,1197,3,25,275,257,274,179,23,0,0,1035,0,16,120,159,219,151,20,0,0,681,0,7,121,194,229,150,16,3,0,718,3,3,23,45,65,37,19,0,0,191,244,271,674,486,554,449,218,78,39,3006,1201,1352,3899,3185,3390,2600,1184,423,152,17385,862,168,297,225,212,272,120,35,7,2208,482,160,275,219,189,125,52,23,9,1544,239,304,501,428,415,317,230,85,14,2529,87,123,250,251,252,264,362,146,41,1768,68,100,224,226,202,256,315,171,67,1628,102,163,340,292,252,230,211,76,19,1699,111,280,495,313,339,283,168,48,10,2033,73,347,726,456,472,339,140,34,3,2599
RA74,35,93,190,173,163,116,80,21,4,878,25,91,270,223,164,94,27,12,0,910,34,104,194,140,123,61,16,5,3,675,15,70,159,109,122,75,16,3,0,576,13,52,170,116,129,77,19,0,0,572,0,29,136,84,85,74,13,3,0,423,0,8,93,81,85,59,16,0,0,346,0,10,51,58,71,99,9,0,0,296,0,0,69,78,79,77,13,0,0,319,0,3,10,20,25,18,3,0,0,82,599,391,747,563,465,263,95,27,5,3159,1819,2000,4090,3105,2617,1766,667,224,36,16332,1091,187,228,137,123,113,47,14,0,1946,408,436,744,467,360,180,68,25,0,2695,683,1368,2331,1658,1211,742,343,131,33,8499,86,211,542,445,395,322,230,86,15,2317,58,156,325,286,265,182,147,55,9,1478,70,187,433,387,297,177,61,18,4,1636,63,206,346,249,227,144,43,5,3,1283,31,158,319,209,236,151,36,7,0,1151
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RA79,0,8,18,25,26,27,17,0,0,120,0,7,12,11,4,16,15,0,0,68,8,10,21,9,9,12,10,0,0,76,0,7,18,8,4,11,3,0,0,45,0,3,8,7,4,4,0,0,0,33,0,0,6,3,3,5,0,0,0,29,0,0,6,6,6,8,0,0,0,25,0,0,3,6,3,0,0,0,0,9,0,0,3,4,0,3,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,23,72,37,46,38,18,3,0,247,17,85,239,180,203,212,105,10,0,1043,3,18,24,17,31,48,6,0,0,144,0,0,10,13,8,13,5,0,0,56,3,23,35,53,56,48,23,4,0,246,0,10,42,63,62,66,64,11,0,311,0,9,24,42,52,45,51,5,0,230,7,17,19,18,14,24,34,3,0,132,8,28,36,13,19,28,13,0,0,145,0,17,35,14,18,24,11,0,0,130
RA80,403,1238,1342,1090,968,1256,2000,1420,688,10400,431,1413,2025,1488,1222,1399,1764,884,398,11016,270,1421,2207,1749,1431,1482,1488,678,276,11002,166,1486,2813,2103,1903,1724,1244,486,207,12141,77,1660,4133,2696,2389,2017,1091,367,178,14605,16,814,4839,2910,2478,1820,650,202,92,13830,9,228,3889,3205,2934,1840,512,146,61,12826,3,57,1968,2384,1996,1193,294,81,42,8019,8,40,2304,4390,4238,2116,432,99,52,13686,14,22,296,1170,1453,765,209,109,45,4090,742,1034,2159,1603,1428,1304,1140,948,1010,11366,12100,15511,33586,29363,25910,21533,15485,7911,3837,165240,10175,4313,3728,2458,1767,2312,1203,409,166,26529,5982,1868,1047,925,745,916,874,340,108,12811,2657,3358,2048,1583,1312,1727,2018,1179,321,16209,956,2354,1843,1503,1399,1876,3108,2206,675,15918,834,2418,2308,1748,1567,1894,3002,2048,924,16749,987,2873,3386,2244,1848,2073,2758,1462,590,18227,629,2993,4045,2817,2272,2383,2540,1247,449,19371,394,3213,5793,3806,3282,3173,2575,1167,414,23814
RA81,0,0,3,3,0,3,0,0,0,8,0,0,3,3,0,7,3,0,0,18,0,0,7,5,0,3,3,0,0,17,0,4,0,4,6,0,0,0,0,15,0,0,7,5,8,0,0,0,0,25,0,0,3,11,3,0,0,0,0,21,0,0,5,4,3,3,0,0,0,14,0,0,8,3,4,4,3,0,0,21,0,0,3,6,3,5,0,0,0,16,0,0,0,0,0,0,0,0,0,3,10,0,5,6,3,0,3,0,0,32,25,17,55,60,47,32,9,4,3,244,16,3,7,4,4,5,3,0,0,42,15,0,0,0,0,0,0,0,0,20,4,4,7,0,0,0,3,0,0,16,0,7,0,0,6,3,0,0,0,18,0,0,3,3,0,7,3,0,0,20,7,3,10,3,4,6,5,0,0,29,0,5,3,5,6,3,4,0,0,30,0,10,5,7,7,3,3,0,0,39
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,3,0,3,0,0,0,0,0,19,0,3,4,4,0,0,3,0,0,14,0,7,5,0,0,3,0,0,0,15,0,0,5,4,0,3,0,0,0,11,0,3,0,5,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,11,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,3,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,8,6,5,3,6,0,0,0,28,20,42,44,40,26,34,9,4,3,209,15,13,14,6,8,3,4,0,0,57,0,3,3,3,3,0,0,0,0,19,14,5,13,23,9,9,0,0,0,67,0,10,5,8,18,6,3,0,0,42,0,7,11,3,4,3,10,0,0,40,0,4,8,4,0,6,6,0,0,26,3,9,5,3,3,3,0,0,0,28,0,6,9,8,4,3,0,0,0,31
RA91,0,0,0,4,3,3,0,0,0,12,0,0,3,3,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,3,6,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,5,6,3,9,0,0,44,19,7,23,36,23,18,12,0,0,140,12,0,0,3,3,0,0,0,0,22,5,0,0,6,0,4,0,0,0,11,0,0,0,4,3,8,0,0,0,22,3,0,0,6,9,3,3,0,0,27,0,0,0,3,5,4,3,0,0,23,0,0,3,6,0,0,0,0,0,12,0,3,3,0,3,0,0,0,0,11,0,5,3,0,3,0,0,0,0,13
RA94,7,4,13,16,22,24,24,21,10,138,0,4,23,28,32,36,16,9,3,146,0,11,30,31,33,24,10,7,0,149,0,8,14,30,28,19,8,0,0,119,0,7,16,18,27,26,7,0,0,102,0,0,8,11,15,18,3,3,0,60,0,0,11,16,17,14,3,0,0,57,0,0,5,11,13,12,3,0,0,48,0,3,12,9,15,13,0,0,0,45,0,0,3,4,4,0,0,0,0,14,17,10,24,20,45,44,24,13,4,202,84,53,221,253,314,325,193,90,29,1565,63,11,30,30,31,56,25,5,0,245,27,4,7,15,10,15,11,3,3,95,20,5,16,15,25,36,44,28,3,191,3,0,16,16,26,35,65,47,7,225,7,10,22,12,36,40,47,32,16,221,7,14,31,42,57,56,38,9,8,263,8,17,46,54,64,57,30,13,3,278,0,19,38,64,60,53,29,3,0,264
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,5,4,4,6,0,0,30,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
