RA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
RA10,988,4504,7518,649,799,4568,19025,138,3773,279,665,118,61,5032,976,31027,1930,1485,674,287,36389,3443,14937,3733,2693,995,245,26045,4181,6932,4060,1029,632,143,16978,11336,5915,6091,1149,2558,198,27242,42477,6518,12775,1239,2020,355,65376,115950,4673,21087,1064,2501,544,145818,96257,1197,14669,378,1416,353,114264,60414,369,8644,137,687,168,70422,34273,185,5167,101,351,117,40191,17637,76,3187,55,185,54,21199,9901,45,1837,29,107,27,11936,16749,39,3764,17,245,46,20858,6637,4693,5036,1186,1125,890,19579,421357,84880,99777,11878,14410,8059,640354
RA11,207,691,2575,225,850,2171,6720,142,691,260,303,143,15,1553,1722,5148,1997,612,630,145,10257,6685,3754,3523,1065,822,191,16041,5731,1507,3608,334,537,99,11822,14253,1618,5101,279,1222,132,22604,23614,1156,6581,229,747,177,32501,19627,281,4350,113,386,105,24868,5308,37,1256,24,113,20,6753,1580,7,454,5,42,14,2095,571,11,204,3,19,0,809,207,8,87,3,14,3,320,87,3,38,3,15,3,144,184,5,159,0,28,8,385,1155,904,1315,329,525,204,4434,81078,15827,31498,3523,6081,3288,141301
RA12,83,175,1941,272,1506,1765,5741,86,197,278,128,179,32,901,1080,1145,1852,445,504,87,5103,3226,962,2497,380,525,106,7691,2169,360,1797,91,263,54,4737,3676,300,1698,70,264,44,6054,3655,131,1350,30,187,33,5382,1906,26,593,9,87,11,2628,281,6,110,3,20,0,420,60,0,36,0,10,0,111,13,3,25,0,3,3,47,12,3,16,0,4,0,37,10,0,4,0,5,0,23,36,3,63,0,14,7,129,266,210,650,88,593,83,1885,16555,3522,12903,1524,4175,2213,40889
RA13,14,60,219,33,494,247,1067,8,24,30,22,54,3,140,56,108,194,58,110,9,532,159,173,209,125,147,13,819,100,77,128,28,32,4,372,99,37,91,21,25,4,268,65,6,41,3,10,0,128,22,0,4,3,7,0,36,0,0,0,0,4,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,4,26,85,7,92,8,234,536,519,1016,288,976,292,3620
RA14,0,26,34,15,124,37,236,0,32,4,86,15,4,138,0,54,29,68,15,11,172,9,23,21,26,10,0,84,0,14,6,4,0,0,31,3,4,3,4,0,0,13,3,3,6,0,8,0,15,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,12,22,0,45,15,156,128,209,194,55,756
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,938,1937,7082,387,539,3985,14870,258,1763,441,369,119,47,2999,1323,14943,2893,967,563,218,20906,4157,6131,4915,1688,840,167,17903,5849,3080,4212,825,648,126,14740,25429,2965,8545,971,1463,248,39611,95224,2929,18876,734,2377,470,120603,112727,1381,15208,323,1372,370,131376,47408,260,7115,133,486,151,55557,21793,101,3373,50,230,65,25611,9811,61,1598,25,104,32,11639,4858,31,980,23,60,21,5977,2500,17,491,7,36,15,3063,5664,15,1160,3,108,38,6991,6434,2441,4540,678,832,684,15614,344390,38057,81425,7182,9776,6621,487457
RA21,128,686,2328,174,807,1910,6034,116,688,338,180,129,27,1479,1874,4822,2241,418,495,135,9992,6198,2319,3830,545,606,150,13647,5803,1057,3446,280,395,76,11054,14209,659,4289,208,722,100,20192,15966,196,3341,57,463,92,20121,7506,71,1441,27,153,44,9251,1215,19,375,9,38,13,1670,306,11,90,0,17,4,434,104,0,47,0,5,0,166,42,4,32,0,3,0,86,21,5,22,0,4,0,57,73,4,99,0,20,7,200,814,663,1065,170,477,152,3341,54381,11207,22986,2071,4337,2716,97707
RA22,34,177,1025,45,568,755,2603,60,257,203,57,79,8,670,645,972,1026,143,312,60,3142,2154,591,1451,117,248,44,4600,1330,199,864,36,132,20,2584,2414,137,780,20,98,16,3464,2175,39,469,15,61,17,2784,719,15,162,10,30,5,948,49,5,35,0,11,7,105,18,3,13,0,8,0,44,9,0,10,0,0,0,24,3,0,12,0,3,0,22,0,4,10,0,0,0,10,21,0,35,0,5,0,65,166,143,329,44,202,45,927,9806,2541,6409,497,1752,975,21978
RA23,4,0,19,3,16,23,70,0,0,3,0,5,0,9,9,4,25,0,14,0,45,7,0,15,3,3,0,33,12,0,11,0,0,0,20,6,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,16,35,9,87,9,46,25,211
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,418,1656,3249,194,470,2095,8083,94,2611,171,169,72,31,3157,706,10690,1669,549,464,131,14207,2041,6181,2860,1067,1081,130,13359,2504,2271,3094,333,711,98,9004,12478,2813,5931,610,2642,176,24648,51480,2436,14630,687,2160,421,71825,101453,851,20970,574,1971,521,126342,44014,131,8246,143,613,163,53310,14923,41,3040,45,220,45,18305,5913,22,1218,14,84,22,7267,2554,25,605,6,50,11,3248,1239,11,294,4,23,0,1583,1662,11,518,3,52,12,2257,3284,1784,2320,426,604,496,8913,244756,31522,68816,4839,11219,4362,365521
RA31,145,563,1657,98,665,1359,4483,72,800,163,131,151,17,1338,779,2745,1343,297,421,61,5649,3548,1816,2574,493,639,121,9187,4655,670,3032,247,476,78,9162,13170,710,5073,216,782,132,20090,21662,332,5710,109,628,137,28575,11155,63,2729,67,234,61,14309,2122,9,563,6,46,7,2759,486,7,149,8,16,3,656,148,9,71,7,3,0,241,58,3,27,0,6,0,97,18,0,12,0,0,0,30,55,3,40,0,7,3,116,872,499,865,124,420,164,2945,58957,8238,24013,1791,4489,2143,99632
RA32,176,579,1524,53,2388,1480,6193,49,673,190,76,535,15,1534,576,2485,1291,254,656,76,5325,3384,1872,2337,406,583,114,8697,3944,599,2371,138,426,70,7542,8719,665,3237,146,1450,81,14298,13708,397,4106,63,719,105,19102,11176,94,2498,46,281,61,14156,2292,15,561,6,74,16,2968,596,9,143,0,22,0,773,152,4,64,4,12,0,246,65,3,22,3,4,0,90,22,0,16,0,0,0,39,64,9,69,0,18,0,155,589,411,743,90,618,127,2585,45510,7813,19161,1281,7793,2146,83711
RA33,29,270,303,22,1674,469,2771,11,195,34,18,97,3,349,70,593,217,70,188,13,1154,214,399,263,46,129,9,1072,229,83,210,19,55,10,607,396,57,207,33,62,10,765,465,49,246,16,66,3,836,462,25,218,6,53,6,772,205,4,92,0,28,0,335,47,3,33,0,9,0,98,14,0,10,0,4,0,34,4,0,3,0,0,0,10,3,0,0,0,0,0,4,3,0,13,0,7,0,17,54,76,129,14,292,17,578,2209,1749,1976,248,2679,535,9388
RA34,18,614,177,166,1034,351,2345,8,427,21,47,76,5,587,50,1292,180,135,226,12,1898,134,734,209,86,115,11,1291,97,83,126,19,41,7,366,116,82,94,31,40,3,358,75,106,60,8,50,3,298,38,31,33,4,29,4,137,46,11,18,3,26,0,99,53,3,5,0,34,3,90,56,3,9,0,19,0,91,42,0,4,0,11,0,62,25,0,3,0,7,0,28,0,0,12,0,0,0,18,29,163,80,24,245,12,547,778,3533,1029,521,1958,404,8227
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,168,1621,1786,258,159,988,4980,58,4744,157,527,66,80,5637,446,7965,1379,955,257,111,11110,1571,4292,2457,1539,316,78,10253,2359,1634,2646,522,301,47,7502,10891,2038,6372,575,1066,120,21058,24426,1433,10884,369,1069,161,38344,17543,389,6464,100,424,79,25004,4621,41,1571,41,89,28,6383,1414,25,474,14,55,15,1993,583,21,190,6,16,6,822,262,21,101,4,17,0,399,132,17,49,3,4,3,208,168,56,78,0,10,6,330,938,1341,1121,416,247,199,4265,65577,25644,35728,5330,4093,1919,138285
RA41,27,115,442,25,164,327,1101,22,422,61,67,27,10,606,355,771,405,177,140,30,1879,867,569,763,174,151,30,2550,900,193,794,73,95,21,2074,2538,137,1093,61,138,22,3995,2663,69,1032,17,73,12,3867,1228,10,321,9,28,8,1602,152,10,54,3,3,0,223,37,8,27,3,4,0,74,7,0,3,0,0,0,12,8,0,4,0,0,0,9,3,0,0,0,0,0,0,7,6,13,3,0,0,35,120,123,187,67,75,35,611,8923,2437,5197,682,900,497,18631
RA42,40,325,623,54,401,496,1945,46,801,133,75,58,20,1129,504,1424,890,126,333,40,3317,1911,967,1290,118,362,46,4691,1013,269,799,22,118,14,2238,1736,142,611,15,97,22,2616,959,35,299,20,40,8,1359,227,13,78,3,12,3,344,23,8,13,0,9,0,48,5,0,6,0,0,0,18,4,3,7,0,3,0,17,0,3,4,0,3,0,9,0,4,0,0,0,0,5,7,7,11,0,3,0,30,93,253,211,45,156,39,794,6572,4243,4990,474,1591,698,18570
RA43,6,49,207,15,152,177,597,6,129,35,23,16,3,219,72,203,192,18,166,9,660,278,148,331,39,202,8,1010,198,54,214,4,77,0,547,357,45,238,0,44,3,689,416,16,178,0,22,4,639,150,0,51,0,12,0,221,23,3,9,0,4,0,40,4,0,3,0,3,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,0,3,21,30,77,9,49,7,193,1536,681,1536,111,747,219,4838
RA44,0,131,75,51,200,103,568,0,250,13,60,25,6,362,28,62,72,18,59,0,234,43,36,61,15,30,0,188,36,14,51,0,4,3,103,47,13,42,3,5,3,116,42,8,21,3,3,0,77,12,3,4,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,21,22,49,6,175,217,595,357,176,385,127,1854
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,231,1104,3048,162,252,1658,6456,41,1327,176,194,47,30,1817,297,7815,1360,490,240,96,10293,703,3845,2095,933,360,77,8011,1071,1466,2026,218,216,42,5043,4565,1330,3613,182,792,65,10554,19394,1089,9921,189,1047,144,31794,40851,477,17011,159,1517,216,60233,18943,82,7033,43,517,82,26704,6538,29,2161,17,125,13,8876,2754,21,874,6,41,16,3710,1468,13,451,3,28,12,1969,777,13,197,3,22,5,1016,1307,12,471,4,54,5,1853,1274,1068,1725,245,390,244,4945,100219,19694,52161,2846,5653,2710,183274
RA51,17,108,442,23,168,398,1153,3,136,34,15,23,3,216,32,888,271,30,76,14,1314,162,570,405,141,114,18,1410,251,199,497,35,119,10,1106,894,166,792,28,125,15,2017,2489,102,1550,21,163,30,4359,3347,29,1422,15,129,21,4964,714,9,275,3,25,3,1023,101,8,62,0,3,3,182,22,0,20,0,0,0,40,5,0,3,0,3,0,19,4,0,4,0,0,0,13,18,0,29,0,10,0,51,115,120,220,17,93,23,585,8181,2344,6021,323,1051,543,18458
RA52,25,166,605,30,490,569,1884,13,177,70,80,72,10,420,168,1018,500,167,227,22,2101,525,752,661,151,320,26,2443,553,290,637,34,217,13,1752,1182,348,978,45,244,12,2814,2341,204,1204,38,224,13,4018,1782,47,686,16,81,12,2620,386,11,119,5,15,7,541,101,7,31,0,7,0,142,18,3,11,0,3,3,37,3,0,7,0,0,0,10,7,0,3,0,0,0,7,20,0,13,0,4,0,44,124,179,202,35,199,23,755,7244,3206,5717,599,2114,710,19586
