RA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA10,21573,31663,12547,15964,21758,9378,4293,5099,1691,123958,25969,29545,18965,32657,32563,14532,5485,7569,2408,169687,44529,24585,156347,49176,50437,26693,31583,32217,6760,422333,2535,1937,1991,3701,7357,3928,1809,3020,308,26586,6611,5573,4416,8863,15105,6473,3787,4737,851,56414,3530,6733,2535,2431,5378,2310,1490,2103,631,27151,4121,6523,4657,4984,6481,3986,3583,5294,5472,45106,269301,611390,236901,172510,242605,112190,66606,82218,30578,1824294
RA11,4592,7366,2086,4363,3876,1423,560,996,317,25587,5670,6181,3588,9302,6509,2457,893,1728,459,36789,18072,7534,57447,20349,16735,10194,13396,14844,2230,160803,955,510,764,1536,2460,1745,648,1629,95,10334,1840,1119,1221,2901,3758,1908,1017,1786,195,15755,532,769,351,471,846,383,237,483,75,4144,1653,1432,1562,1808,1714,1544,1342,2321,1131,14518,51591,96939,70923,49150,45323,22823,18962,26518,5634,387873
RA12,1947,1830,447,1125,895,312,142,374,94,7157,1978,1352,702,2272,1538,496,201,576,102,9221,7856,1929,14586,5319,4165,2472,4226,5128,686,46368,574,158,217,453,686,385,217,579,35,3300,984,265,325,828,988,495,321,622,62,4896,234,173,107,114,185,96,59,152,19,1140,1245,466,590,623,552,499,582,1043,445,6043,20557,22032,17809,12521,11126,5310,5968,9372,1706,106395
RA13,170,92,11,98,61,10,7,23,0,473,199,71,25,157,98,22,22,32,8,635,665,88,765,265,222,88,297,316,42,2753,63,6,15,26,34,17,18,37,4,218,101,12,24,25,32,16,26,23,8,276,21,6,4,5,10,3,8,8,0,71,108,28,30,44,31,19,45,93,37,430,1810,1281,908,762,621,215,442,578,107,6724
RA14,37,11,0,22,9,3,0,0,0,86,22,16,11,28,11,3,3,10,0,106,110,17,113,49,35,7,18,76,10,444,16,5,4,9,4,0,0,10,3,49,24,4,3,12,0,5,4,12,3,63,0,0,0,3,4,0,0,0,0,11,18,8,0,21,7,7,10,17,10,95,306,181,136,171,92,33,39,130,33,1125
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
RA19,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
RA20,16776,23817,12044,13651,16571,8027,3896,4778,1248,100806,21356,23448,18213,30039,25759,12775,5620,7527,1781,146519,34963,16751,131667,43374,35238,22373,24197,29218,4904,342678,1652,1191,1671,3176,4126,2773,1371,2419,199,18584,4145,3222,3226,7415,7692,4301,2650,3181,536,36367,2327,4493,1876,1815,2556,1489,1086,1292,441,17372,3531,5280,4584,4746,4657,3512,3073,4362,4226,37974,213405,494618,204145,154776,184129,95479,54057,73191,22804,1496607
RA21,4159,5598,1985,3540,2879,1197,474,945,241,21014,5002,5307,3144,8287,5230,2068,705,1681,401,31830,15660,4686,46942,15596,11009,7485,9827,13138,1703,126049,680,302,605,1118,1359,1037,417,1164,76,6764,1200,562,927,2259,1589,1098,697,1200,122,9650,409,600,349,308,374,211,178,362,79,2868,1786,1314,1616,1658,1177,1248,1127,2088,1093,13099,44444,78741,58919,40376,31537,17199,14157,22953,4645,312975
RA22,1207,1095,242,730,472,182,94,214,48,4279,1230,1031,492,1548,961,338,132,361,70,6151,4856,1013,8439,3224,2099,1538,2044,2975,356,26537,244,67,127,291,318,268,98,288,20,1724,414,129,171,461,324,247,161,313,23,2233,112,92,65,64,62,41,35,91,13,569,673,288,332,351,260,313,304,577,265,3359,11639,13448,10262,7938,5574,3242,2996,5317,923,61329
