RA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA64,38,21,10,35,18,20,41,18,15,40,19,25,50,99,92,191,27,20,46,30,19,53,29,42,71,31,27,60,29,17,48,141,130,277,22,15,33,25,25,47,25,15,41,21,27,49,13,15,30,103,101,202,27,14,42,18,15,38,18,6,21,16,9,26,16,15,26,93,59,149,16,20,40,8,14,24,15,7,23,15,9,20,8,6,15,63,60,120,21,30,50,16,16,33,3,16,19,3,3,6,0,0,0,1298,1189,2487
RA65,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,68
RA69,11,9,10,15,7,3,8,4,3,12,0,4,4,28,25,55,5,6,8,0,6,13,5,7,9,7,3,17,5,7,12,24,30,58,8,8,13,11,10,22,5,9,8,3,3,7,6,3,12,34,31,62,9,6,10,0,3,3,0,0,3,7,0,5,0,0,3,12,13,22,0,0,0,4,3,6,0,3,6,0,0,0,0,0,0,4,3,7,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,524,393,912
RA72,1758,876,788,1661,814,709,1517,750,689,1441,683,714,1390,4048,3728,7777,752,621,1376,719,579,1298,639,610,1252,655,551,1211,620,509,1134,3388,2879,6266,538,507,1049,538,455,989,503,414,917,487,379,861,471,382,857,2539,2136,4674,368,306,669,341,255,591,283,261,544,241,216,458,257,219,472,1482,1253,2740,260,218,473,209,180,382,135,136,273,147,147,297,110,129,236,860,803,1660,387,418,805,202,245,441,59,91,149,11,19,32,0,0,0,71889,64939,136828
RA73,644,276,283,562,307,290,592,269,308,580,294,246,541,1462,1454,2923,282,274,554,280,260,539,256,215,476,249,198,448,196,197,392,1265,1144,2407,212,197,412,204,171,368,175,143,315,148,119,267,169,101,271,906,729,1638,118,122,233,114,80,195,97,84,181,93,100,192,91,70,159,505,455,961,90,65,152,86,73,156,51,39,88,48,39,90,44,37,82,319,255,571,111,164,277,70,111,181,15,34,49,3,9,11,0,0,0,22707,21919,44625
RA74,459,188,203,392,167,216,384,170,207,380,194,177,372,976,999,1975,210,241,450,140,155,294,124,136,260,126,127,250,140,111,250,737,766,1504,111,122,225,97,90,184,86,87,171,71,70,143,83,63,141,441,431,870,71,80,153,61,55,112,33,37,76,45,25,70,48,43,96,269,238,506,33,35,68,39,34,72,21,16,29,21,18,38,18,18,39,127,120,249,67,96,167,22,18,45,7,15,23,4,4,8,0,0,0,22585,22235,44819
RA75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14,70
RA79,38,23,31,51,20,31,51,24,16,40,22,10,25,110,100,215,19,26,48,19,21,42,21,23,45,29,26,54,22,16,46,118,107,223,29,10,43,21,24,47,23,6,36,12,21,32,29,4,32,119,67,189,16,15,28,12,6,22,11,6,14,8,0,8,13,8,17,56,30,86,6,9,8,5,0,5,4,3,8,8,0,8,0,0,5,24,8,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1332,1157,2489
RA80,4762,2238,2358,4592,2106,2302,4415,2094,2267,4356,1997,2154,4149,10755,11520,22279,1947,2157,4106,1786,2032,3816,1823,1905,3729,1809,1973,3779,1711,1939,3652,9066,10012,19077,1645,1873,3518,1679,1762,3445,1604,1786,3386,1582,1788,3367,1673,1861,3536,8188,9063,17252,1412,1461,2870,1180,1358,2538,1101,1309,2411,1011,1159,2172,1022,1136,2158,5723,6426,12150,855,1066,1916,858,948,1801,793,896,1694,745,869,1617,642,848,1486,3892,4622,8518,2540,3289,5832,1554,2246,3802,621,1255,1878,135,287,422,14,39,52,195078,201114,396195
RA81,15,4,3,7,0,6,6,7,5,9,3,3,8,20,21,43,0,3,4,6,0,7,5,0,7,4,0,4,4,0,7,19,7,32,6,3,5,0,0,0,0,0,5,0,3,5,3,0,3,12,5,16,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,7,6,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,4,0,3,3,0,0,0,0,0,0,0,0,0,347,311,657
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,7,5,10,3,0,6,0,4,3,7,8,12,20,22,41,3,0,3,4,3,7,4,7,13,4,4,12,3,0,3,26,15,36,3,0,3,3,3,3,3,0,3,3,0,3,0,0,4,13,5,18,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,4,7,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,0,3,3,0,0,0,0,0,0,0,0,0,312,228,538
RA91,3,6,3,7,4,0,3,4,3,9,0,0,4,13,13,28,0,0,0,3,0,0,0,0,0,3,0,3,3,0,4,5,3,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,8,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,172,391
RA94,69,37,30,69,31,36,66,35,33,73,37,37,73,179,171,349,37,37,68,29,29,59,36,34,63,35,28,61,30,31,58,162,155,313,43,27,72,45,31,79,28,24,51,22,8,34,24,13,41,160,116,280,20,24,37,19,13,35,20,14,33,26,14,43,12,13,24,87,78,167,20,14,26,12,9,19,20,15,34,9,14,20,3,6,12,59,54,112,26,34,63,20,16,34,3,10,14,0,4,4,0,0,0,2215,1916,4133
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,7,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,55
