RA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA23,65,21,30,55,27,27,53,27,31,64,27,35,63,145,145,295,33,32,68,29,26,58,36,22,59,37,23,59,27,29,57,163,136,304,27,31,59,39,28,63,27,24,50,23,35,54,51,25,73,165,140,305,29,33,64,34,22,51,16,17,33,22,20,39,29,26,55,130,113,243,27,14,45,16,18,35,16,8,20,16,19,40,18,8,26,94,66,162,50,54,111,39,36,74,12,10,24,0,6,8,0,0,0,1586,1471,3059
RA25,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
RA29,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
RA30,36974,16940,18199,35142,16559,17913,34472,15733,17392,33126,15463,16815,32279,82576,89415,171994,15386,16370,31751,14671,15934,30604,14124,15695,29819,14128,15765,29892,14202,15234,29433,72517,78988,151501,13748,15001,28751,13499,14780,28279,13277,14212,27497,13032,13961,26991,13796,14951,28747,67348,72914,140265,11490,12184,23676,10870,11749,22619,10131,11083,21205,8807,9694,18500,8819,9544,18364,50107,54252,104361,8006,8736,16744,7463,8383,15845,6990,7842,14828,6386,7243,13628,5868,7010,12877,34713,39211,73920,22093,28425,50518,13420,21194,34615,5277,10885,16170,1121,2921,4042,102,367,477,1446788,1510223,2957012
RA31,13717,6502,6809,13308,6398,6577,12975,6442,6655,13091,6247,6335,12581,32288,33390,65677,6052,6397,12448,6031,6356,12394,5929,6172,12101,6022,6001,12024,6032,6018,12047,30067,30945,61009,5929,5976,11902,5791,6116,11907,5888,5814,11707,5917,5773,11689,6226,5962,12189,29757,29646,59397,5138,5065,10208,5061,5100,10158,4627,4583,9216,4087,4150,8241,4068,4116,8184,22979,23020,45998,3653,3672,7322,3514,3398,6906,3038,3357,6392,2825,2902,5730,2613,2831,5439,15636,16155,31794,9736,11125,20867,5237,7320,12562,1827,3386,5209,359,901,1256,40,109,143,466384,475452,941836
RA32,9540,4748,4563,9315,4476,4392,8868,4533,4406,8943,4289,4185,8480,22853,22281,45137,4260,4177,8441,4211,3957,8168,3943,3969,7913,4102,3780,7885,3988,3572,7563,20510,19457,39968,4040,3573,7611,3812,3496,7307,3601,3295,6895,3517,3287,6801,3671,3263,6935,18637,16913,35551,3054,2677,5734,2897,2679,5577,2699,2477,5174,2310,2204,4514,2237,2157,4394,13190,12200,25391,2113,1996,4113,1929,1893,3818,1782,1698,3483,1582,1577,3163,1485,1471,2953,8886,8642,17531,5272,5550,10818,2786,3783,6564,870,1696,2570,202,438,639,24,53,79,336841,330793,667628
RA33,1028,516,452,965,541,472,1015,504,426,924,563,385,945,2691,2186,4883,483,413,894,431,377,807,462,362,822,449,336,784,423,338,760,2243,1820,4064,423,316,735,419,311,731,405,286,692,354,285,636,387,303,688,1981,1504,3484,323,228,550,290,222,513,276,240,522,242,182,422,243,171,413,1377,1036,2414,204,169,380,192,145,339,173,127,299,145,119,263,140,121,266,856,684,1547,446,410,853,202,241,447,70,105,179,15,22,31,0,8,12,37888,33441,71327
RA34,711,365,329,696,365,312,676,377,319,696,336,306,635,1815,1597,3410,363,306,674,318,234,553,313,238,554,293,271,563,273,226,493,1557,1276,2833,281,243,527,232,205,437,261,170,430,231,178,409,225,202,427,1228,994,2230,184,169,353,195,154,347,158,139,296,165,117,279,156,137,293,854,712,1570,149,110,261,122,91,216,115,87,200,89,76,166,76,76,152,550,439,992,290,304,588,136,202,344,51,75,129,11,17,27,0,3,5,26985,25740,52723
RA35,0,4,4,8,0,3,3,0,0,3,0,0,0,5,14,19,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,8,3,12,0,0,0,0,8,8,0,0,3,4,0,4,3,3,5,5,12,19,3,0,3,3,6,7,0,0,0,0,0,0,0,0,0,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,66,87,150
RA39,189,112,104,220,101,112,213,101,128,231,90,135,225,489,592,1080,133,143,270,141,126,272,142,130,271,134,119,251,111,119,226,660,639,1294,135,119,253,127,119,239,169,113,287,138,96,233,147,98,242,716,539,1253,126,69,196,88,57,146,86,51,138,56,49,103,48,29,83,403,254,661,57,22,77,39,31,69,35,33,67,20,17,40,29,15,46,177,118,295,53,34,82,11,8,24,4,8,17,0,3,3,0,0,0,6937,5572,12510
RA40,16446,7749,8221,15973,7551,8232,15785,7375,7861,15236,7173,7907,15086,37867,40645,78515,6908,7660,14565,6900,7365,14266,6535,7427,13958,6501,7358,13860,6443,7051,13487,33282,36862,70138,6297,7103,13398,6284,6854,13141,5992,6722,12717,6029,6642,12669,6430,7100,13532,31030,34428,65456,5202,5867,11075,4836,5536,10372,4522,5227,9748,4189,4883,9070,3998,4607,8605,22746,26125,48872,3652,4348,8005,3462,4332,7791,3429,4192,7624,3236,3966,7202,3126,3718,6846,16909,20555,37464,12251,16111,28360,7967,12430,20394,3267,6805,10072,647,1719,2361,72,196,262,601460,628829,1230284
RA41,3265,1570,1627,3200,1484,1672,3152,1561,1532,3090,1501,1548,3051,7791,7968,15759,1539,1593,3136,1496,1471,2961,1430,1562,2987,1501,1505,3011,1440,1553,2989,7407,7677,15085,1488,1640,3126,1469,1489,2958,1485,1450,2933,1451,1452,2899,1572,1590,3157,7458,7618,15069,1305,1329,2630,1225,1270,2501,1121,1233,2347,1035,1051,2084,1029,1019,2044,5708,5898,11611,875,943,1813,813,850,1663,795,818,1615,711,745,1458,677,708,1383,3864,4064,7929,2562,2761,5322,1474,2035,3511,525,1032,1555,113,270,384,11,25,36,105861,108653,214510
RA42,2805,1294,1328,2621,1372,1245,2617,1345,1238,2584,1257,1204,2462,6644,6436,13082,1364,1211,2577,1286,1216,2508,1328,1164,2495,1270,1273,2542,1258,1225,2487,6513,6094,12607,1220,1214,2439,1279,1225,2501,1296,1149,2445,1136,1090,2221,1273,1244,2512,6202,5916,12122,1010,1003,2012,1032,1051,2079,999,904,1899,851,822,1671,818,833,1652,4706,4606,9315,767,747,1510,708,722,1428,661,708,1371,567,658,1226,570,621,1183,3271,3450,6721,2061,2441,4500,1256,1726,2983,412,840,1254,81,253,335,3,34,37,87501,84907,172404
RA43,692,354,348,701,354,316,668,319,323,643,316,331,650,1714,1638,3355,327,315,644,334,283,611,339,274,606,346,281,629,305,272,580,1650,1419,3071,314,258,569,274,259,531,287,261,549,267,247,514,298,296,595,1432,1329,2760,242,200,435,246,215,464,238,226,463,213,191,405,200,192,392,1141,1023,2166,164,158,321,161,137,295,156,146,306,152,123,276,103,121,225,741,676,1415,456,541,1000,273,401,674,124,193,319,22,72,91,5,3,13,22353,20950,43300
RA44,220,95,96,185,95,84,181,97,86,183,122,90,209,524,456,974,115,95,205,116,75,189,76,75,157,128,76,198,100,66,168,535,385,920,81,61,137,91,76,163,77,56,140,80,50,133,84,45,123,407,286,695,58,42,104,74,56,131,52,37,84,62,48,110,50,33,86,307,210,516,50,24,80,38,27,60,40,22,64,43,21,63,27,16,42,196,116,309,84,74,162,48,66,110,27,28,54,3,3,5,0,0,0,7091,6188,13278
RA45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
RA49,38,31,23,60,25,13,38,19,17,31,21,15,37,122,81,207,25,16,41,31,18,46,17,14,38,19,25,41,23,10,37,114,82,198,32,27,56,16,15,34,19,10,27,13,10,23,22,9,36,108,68,183,9,6,21,13,6,22,10,3,17,15,7,17,9,5,16,59,27,85,10,3,10,3,0,3,11,3,15,6,0,6,0,3,5,27,8,37,9,11,23,10,4,16,3,3,6,0,0,3,0,0,0,1734,1129,2863
