RA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA10,1739,4584,14477,21679,7178,39977,3101,20342,2038,115131,12268,40402,37042,44476,32001,42120,10464,24806,5029,248612,73651,202855,83821,63428,84557,50640,29819,41672,12961,643410,101820,177356,69047,48060,86834,37707,32614,34879,10917,599233,89561,129656,61154,46218,87203,35847,37676,41127,9471,537918,50050,86204,39171,28953,61054,24219,29132,32617,5837,357234,11868,23199,7986,5828,15257,6555,6275,7116,1958,86044,1479,2853,704,419,1377,722,447,735,684,9414,230,323,76,48,155,95,46,63,232,1266,342665,667431,313472,259120,375613,237892,149568,203356,49142,2598257
RA11,635,624,5468,6239,1410,13041,861,8126,630,37033,2294,4300,11437,9183,4186,7339,2248,7212,728,48929,9880,20766,20871,13187,11157,8868,6795,11476,1489,104497,16336,24812,18260,13398,15635,8583,8565,11136,1873,118607,20175,25604,18101,15631,20338,10096,11012,14212,2104,137269,16429,22398,13149,11351,15668,8076,9234,11977,1633,109905,6465,5382,2674,1877,3838,2198,2468,2754,761,28412,1598,582,263,141,371,219,203,383,368,4129,260,70,41,27,32,42,16,46,121,646,74066,104543,90262,71027,72637,58451,41400,67317,9715,589423
RA12,246,144,1578,1324,327,2943,264,2275,191,9296,791,981,2845,1879,870,1464,801,2464,210,12305,3410,4596,5010,3098,2602,2043,2295,4211,415,27683,5937,5323,4427,3471,3755,2098,2740,3986,487,32223,8313,5973,4858,4361,5160,2691,3723,5350,669,41091,8995,5395,3874,3459,4261,2301,3379,4832,687,37189,5254,1272,815,556,1076,555,916,1315,321,12093,1652,145,111,38,134,68,77,204,186,2622,279,23,14,10,20,19,13,28,64,470,34880,23868,23530,18195,18205,14179,14213,24659,3234,174964
RA13,29,12,68,66,20,95,22,114,9,432,79,94,166,109,76,65,83,232,16,916,460,438,314,297,234,107,237,312,42,2425,623,326,245,245,225,77,230,268,41,2284,881,291,220,253,260,108,306,330,36,2692,868,201,215,181,197,103,232,296,52,2339,415,46,48,40,68,26,77,89,29,844,163,6,5,0,13,4,10,23,17,239,19,3,7,0,3,0,0,4,3,33,3545,1409,1283,1197,1083,589,1196,1659,245,12204
RA14,3,3,11,8,0,7,0,18,3,56,15,19,14,26,9,0,5,38,3,128,52,57,48,66,37,9,12,57,13,352,111,38,31,51,32,15,27,46,18,377,160,55,32,67,36,12,19,72,12,462,180,40,31,32,36,16,31,61,13,440,101,10,10,7,4,3,7,19,8,167,25,3,3,0,3,0,0,0,3,41,3,0,0,0,0,0,0,0,0,3,657,213,182,265,159,61,109,302,69,2028
RA15,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,7,0,3,0,0,3,0,23,5,3,3,4,4,3,0,4,0,27,0,7,4,5,0,5,9,3,0,30,0,3,3,3,0,3,0,6,3,25,0,0,0,3,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,18,16,21,17,10,18,5,130
RA19,5,12,10,36,0,13,3,28,4,112,32,53,70,125,29,55,21,123,15,528,77,250,159,129,65,57,104,221,22,1094,63,139,96,47,49,35,88,86,23,630,45,98,76,51,62,30,63,59,18,507,40,63,52,34,41,26,42,54,15,376,11,26,12,4,8,6,8,9,0,89,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,274,649,480,430,261,224,339,582,103,3331
RA20,1239,2409,8677,16499,4281,36652,1824,16935,1480,90001,9454,28458,30766,37471,24264,41598,8815,22633,3671,207126,59452,168725,78169,55288,70733,43925,25902,36626,9593,548407,81908,144461,59137,40802,67378,31199,26094,30037,8196,489205,75239,104258,52257,40648,70336,30525,30221,34074,7272,444838,41725,67705,32580,25351,47107,19758,22502,26223,4358,287315,9905,18054,6539,5137,11131,5364,4576,6544,1583,68830,1262,1978,591,330,922,542,292,871,527,7310,204,269,107,50,115,70,40,90,231,1185,280380,536313,268815,221575,296273,209633,120270,174041,36910,2144221
RA21,584,357,4162,4406,1025,10492,521,6659,533,28729,2198,3662,9613,7224,3198,6310,1712,6457,692,41063,8769,18352,17782,9877,9037,6548,4725,9888,1230,86217,14929,20779,15217,10146,12213,6646,6200,9725,1515,97360,18115,20149,15482,13040,15763,8051,8710,12506,1789,113594,15148,17102,11194,9671,12142,6250,7751,10759,1413,91436,6578,3966,2173,1709,2740,1600,1872,2547,640,23828,1727,378,195,132,236,143,132,342,272,3563,284,60,48,43,54,33,31,68,89,715,68335,84804,75856,56253,56405,46081,31644,58952,8167,486498
RA22,178,77,789,793,161,2070,86,1491,112,5773,541,700,1744,1205,572,1010,396,1385,117,7664,2282,3165,3029,1854,1452,1240,1042,2312,226,16606,3652,3206,2493,1965,2051,1382,1257,2076,318,18399,5113,3420,2763,2629,2885,1721,1955,2991,327,23801,5298,3191,2275,2177,2450,1423,1801,2857,391,21871,2672,696,475,447,605,344,427,722,152,6538,793,72,63,30,73,30,44,123,92,1308,107,9,12,7,13,9,8,21,27,219,20627,14532,13650,11110,10260,9234,7018,13978,1770,102180
RA23,3,0,4,6,0,10,0,3,0,27,6,3,9,10,3,3,0,14,0,52,32,30,21,14,13,3,4,20,0,124,63,40,16,24,19,15,7,15,3,202,79,43,30,34,25,16,19,32,4,276,129,36,28,34,27,16,9,43,7,331,62,6,14,4,13,10,7,11,0,131,18,4,0,0,0,0,0,0,0,25,3,0,3,0,0,0,0,0,0,5,393,160,121,122,88,64,56,149,16,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23
RA29,6,0,9,15,0,16,4,10,0,64,20,28,35,79,16,31,9,66,5,289,52,183,113,99,60,39,48,104,13,726,38,74,62,38,33,21,55,51,20,386,36,52,37,26,23,17,48,44,14,300,22,53,30,19,26,10,30,28,5,215,5,4,3,4,9,4,3,0,0,42,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,178,405,297,277,182,134,200,307,57,2033
RA30,1228,2054,8317,15121,5056,28878,2456,15465,1228,79804,7046,19171,22503,25456,17711,23832,6894,17049,2228,141896,32961,83931,51217,35404,43327,25159,17085,27822,5353,322263,46253,84795,42340,29996,46205,20454,17190,22770,5318,315309,45480,67905,36252,29256,49264,21573,18954,24380,4508,297571,26089,41290,22513,18160,32991,15562,14246,18453,2646,191956,6444,9929,4265,3219,7258,4705,3512,4387,974,44701,720,1001,311,189,536,454,209,453,370,4243,75,92,31,24,48,42,13,34,136,495,166296,310158,187760,156827,202386,140655,80560,130819,22759,1398230
RA31,357,369,3665,3977,1368,9045,636,5726,390,25544,1552,3125,7574,4900,3294,4709,1870,5625,421,33063,6228,12622,14759,7714,8280,5229,5843,8941,985,70599,9521,14830,13744,8718,10522,5389,7031,8682,1147,79586,12047,15525,12972,10084,12892,6354,9076,10485,1283,90722,9336,11226,8942,6877,9267,4719,7152,8252,943,66722,3605,2517,1567,1074,1898,1181,1496,1832,426,15598,886,222,126,82,151,118,101,199,219,2097,118,18,26,3,21,14,19,21,59,294,43654,60461,63379,43432,47688,36757,33226,49759,5870,384225
