RA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,12,4,14,4,27,15,19,28,7,4,122,57,155,106,234,201,283,255,128,59,1471,0,0,0,0,0,0,0,0,0,0,109,294,191,391,329,477,395,207,89,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,25,37,18,4,96,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,8,6,0,26
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,15,19,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,48,76,14,11,11,3,3,178,23,26,82,201,49,57,30,9,5,476,163,197,631,1271,347,352,204,49,28,3238,0,0,3,8,0,0,0,0,0,6,295,255,654,1734,591,504,271,66,26,4389,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,7,16,3,0,4,0,0,31,0,0,0,11,3,0,0,0,0,16,0,4,71,51,3,11,0,0,0,140,0,0,0,0,4,0,4,0,0,3,0,0,0,7,3,0,0,0,0,16,3,0,35,83,39,39,46,17,0,259,0,0,0,0,3,0,0,0,0,7,0,0,6,16,0,0,0,0,0,20,0,0,7,5,3,3,7,3,0,33
RA30,51,302,766,4161,1934,1576,624,272,110,9801,13,115,139,479,383,324,331,178,80,2038,4,90,366,1178,654,452,182,58,16,3007,517,2801,5285,18275,6920,5160,3607,2060,930,45563,4785,8411,11489,26777,12154,10832,8976,6297,4999,94725,91445,184946,200821,432686,201754,168401,127169,67632,35376,1510223,10,198,785,1487,293,136,64,27,5,3007,170118,312854,288454,514669,237774,202313,149384,73641,33107,1982318,49,212,237,1304,229,121,30,6,0,2200,4,13,190,1124,697,577,275,142,26,3054,11,73,116,625,400,305,113,60,30,1730,154,547,773,3352,1251,924,528,194,83,7812,9,56,121,772,392,269,232,80,27,1957,425,1574,10943,19035,4973,3401,1843,963,362,43523,0,16,75,463,525,555,590,562,108,2894,38,214,150,433,205,277,396,200,95,2022,817,7678,9115,24545,26912,20809,22249,12785,4818,129725,42,329,825,4237,2119,1738,844,373,79,10581,47,216,416,1690,687,460,417,206,78,4225,48,249,673,2618,1874,1679,3572,1717,686,13116
RA31,7,50,44,299,74,52,14,3,0,549,0,12,13,66,71,78,90,44,18,391,3,52,101,267,207,146,58,24,4,861,81,399,479,1603,862,780,635,326,156,5324,1565,3349,3752,7963,5206,5278,4764,2834,1543,36258,27398,61711,53828,110417,66106,64331,52664,27286,11715,475452,3,47,86,130,27,16,3,0,0,313,51583,112943,94341,168621,97147,96015,75852,37546,13849,747902,7,54,41,257,59,8,0,0,0,427,0,0,0,13,15,14,9,7,0,56,0,12,6,54,24,12,6,0,0,116,32,66,93,438,221,260,178,81,28,1395,0,5,0,43,32,14,21,5,0,126,15,100,206,779,332,159,85,48,18,1752,0,4,4,12,42,71,77,80,8,301,10,57,7,60,22,24,40,25,7,261,76,888,1133,3352,5742,6073,7816,4122,1170,30371,7,75,109,367,221,155,74,40,8,1057,4,18,66,145,118,103,136,51,15,646,3,45,113,400,515,657,1199,705,185,3818
RA32,3,29,44,234,67,49,15,0,0,446,0,5,23,76,43,31,43,27,4,245,3,30,79,168,88,74,23,7,3,473,65,295,453,1834,874,728,526,210,107,5095,1520,3096,3454,8332,4660,4213,3245,1790,812,31126,20667,44165,39937,88446,46565,41740,29115,14188,5971,330793,0,0,22,30,5,4,0,0,0,58,38930,79174,67000,126225,66436,61375,41670,18813,6672,506287,3,8,10,80,19,4,0,0,0,131,0,0,0,24,13,8,13,14,0,77,4,14,10,46,20,9,7,0,0,110,22,53,130,571,224,197,155,40,9,1398,0,9,3,53,29,10,17,6,0,120,23,100,188,721,284,157,85,44,26,1632,0,3,3,16,47,64,74,96,21,328,3,11,14,43,12,24,27,17,6,157,69,568,859,3095,3844,3579,3976,1760,494,18247,6,51,90,252,158,125,67,20,0,774,3,24,99,320,137,87,92,38,7,808,9,53,178,595,412,488,800,417,98,3050
RA33,0,0,3,8,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,12,0,8,6,34,9,3,5,0,0,65,0,6,21,94,62,47,39,20,3,298,227,422,484,1224,611,505,319,164,44,3993,2618,4674,3912,9585,4628,4009,2540,1096,378,33441,0,0,0,0,0,0,0,0,0,0,4807,8444,6547,14427,7338,6631,4221,1732,499,54659,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,5,0,0,0,60,7,0,3,53,12,13,14,0,0,97,0,0,0,4,0,3,0,0,0,10,0,8,4,41,16,4,4,0,0,76,0,0,0,0,4,0,4,8,0,24,0,0,0,3,0,4,0,0,0,8,0,12,69,223,197,244,243,86,10,1093,0,7,16,50,29,13,9,0,0,126,0,0,12,30,13,5,10,0,0,68,0,0,11,45,27,33,49,34,11,216
RA34,3,7,17,30,3,0,0,0,0,60,0,0,0,4,0,6,0,0,0,10,0,0,0,8,3,0,0,0,0,12,0,3,6,68,25,10,16,3,0,125,109,224,249,635,329,269,183,75,41,2108,2150,4017,3392,7142,3408,2873,1712,741,299,25740,0,0,0,0,0,0,0,0,0,0,4156,7689,6148,11686,5670,5149,3005,1297,411,45211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,7,7,19,9,7,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,4,3,0,0,22,0,0,0,0,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,3,5,24,148,94,98,106,38,7,519,0,0,6,27,11,5,3,0,0,58,0,0,5,6,0,0,0,0,0,12,0,0,10,30,11,9,21,14,3,88
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,4,0,0,14,3,0,9,12,7,19,16,7,0,87,0,0,0,0,0,0,0,0,0,0,3,4,9,13,10,16,14,10,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,9,9,0,0,0,0,0,16,0,0,6,3,0,4,0,0,0,20,0,0,3,0,0,0,0,0,0,12,0,3,42,61,9,22,13,3,0,157,16,29,126,239,105,178,99,30,8,835,160,233,774,1518,688,1224,798,153,18,5572,0,0,0,0,0,0,0,0,0,3,270,372,714,2015,1055,1525,1162,221,21,7348,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,31,5,9,3,0,0,58,0,0,0,10,4,3,0,0,0,16,0,3,30,53,6,4,0,0,0,103,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,13,150,171,98,154,202,27,4,818,0,0,3,4,3,7,0,0,0,14,0,0,27,48,3,5,0,0,0,86,0,0,28,30,4,13,19,8,0,97
RA40,28,182,648,2932,1560,1354,469,230,82,7492,3,50,73,172,214,223,187,159,76,1143,7,49,89,232,115,75,22,13,0,600,269,1380,2247,6547,2492,1856,1641,1304,857,18596,1488,2607,3505,8275,4400,4391,3946,2978,1982,33565,35061,68808,78929,166765,83392,77507,60549,36666,21144,628829,49,502,1746,2521,646,274,89,13,4,5842,66112,117716,119629,216011,106791,93432,64610,31166,17111,832578,63,265,129,1190,127,50,16,3,0,1844,0,6,111,673,406,415,170,113,20,1912,23,91,198,1176,651,536,284,104,34,3085,45,120,151,726,313,282,140,42,34,1847,7,25,32,249,120,121,98,41,9,697,220,917,6960,10869,2084,1508,811,356,130,23852,3,7,58,389,363,481,522,533,142,2495,33,161,83,383,109,179,250,141,68,1404,253,2747,3601,9031,16374,16189,14073,9784,4182,76229,5,35,80,409,201,166,96,39,3,1040,12,60,92,337,235,151,125,78,27,1111,12,98,207,765,782,1077,2723,1242,876,7785
