RA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA10,342665,667431,313472,259120,375613,237892,149568,203356,49142,2598257
RA11,74066,104543,90262,71027,72637,58451,41400,67317,9715,589423
RA12,34880,23868,23530,18195,18205,14179,14213,24659,3234,174964
RA13,3545,1409,1283,1197,1083,589,1196,1659,245,12204
RA14,657,213,182,265,159,61,109,302,69,2028
RA15,3,22,18,16,21,17,10,18,5,130
RA19,274,649,480,430,261,224,339,582,103,3331
RA20,280380,536313,268815,221575,296273,209633,120270,174041,36910,2144221
RA21,68335,84804,75856,56253,56405,46081,31644,58952,8167,486498
RA22,20627,14532,13650,11110,10260,9234,7018,13978,1770,102180
RA23,393,160,121,122,88,64,56,149,16,1179
RA25,0,4,7,0,0,0,0,3,0,23
RA29,178,405,297,277,182,134,200,307,57,2033
RA30,166296,310158,187760,156827,202386,140655,80560,130819,22759,1398230
RA31,43654,60461,63379,43432,47688,36757,33226,49759,5870,384225
RA32,37659,46262,45859,35855,35760,27247,27172,35743,4798,296351
RA33,6064,3790,5158,2981,3008,1838,4398,4552,574,32366
RA34,4561,2789,2884,2518,2236,1114,1978,3578,495,22137
RA35,13,8,9,0,7,7,0,6,4,60
RA39,264,446,392,349,226,182,300,825,97,3087
RA40,62509,124772,72549,68265,78792,54554,30231,54373,8510,554564
RA41,13444,14249,14156,11022,11134,8984,6814,13432,1328,94566
RA42,12844,8735,9646,7707,7141,6198,6318,11269,1201,71067
RA43,4050,2486,2985,1882,1936,1638,1588,2758,322,19648
RA44,1177,738,694,690,484,334,477,808,126,5529
RA45,0,3,0,0,0,0,0,0,0,3
RA49,54,103,112,53,57,49,85,212,11,734
RA50,103911,203014,141223,98499,123902,83373,59100,81099,14722,908835
RA51,11306,13244,17851,9845,10624,8549,9060,12325,1537,94331
RA52,12971,11086,13259,8233,8754,6664,8377,10140,1372,80846
RA53,7424,5406,7370,3560,4541,2614,4139,4405,784,40239
RA54,3620,4165,7268,2592,2468,1051,5413,4143,644,31369
RA55,11,78,87,3,10,0,35,100,9,334
RA59,104,235,349,162,114,90,276,386,58,1773
RA61,16578,31940,20416,19222,21172,15477,8121,15045,2513,150484
RA62,9006,8375,9193,7099,6671,5599,5294,9244,1165,61651
RA63,527,279,420,314,228,231,287,568,66,2922
RA64,335,120,166,88,98,75,68,256,24,1229
RA65,3,14,9,9,0,0,3,15,0,47
RA69,17,49,38,33,27,14,20,54,3,247
RA72,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
RA73,2439,4402,2622,3133,2632,1250,962,1734,512,19691
RA74,1240,2379,1120,2103,1042,537,612,1497,545,11064
RA75,0,4,8,0,0,0,0,13,0,28
RA79,41,108,104,84,34,32,63,104,15,574
RA80,32684,62586,19557,21609,34589,13929,4677,10314,5113,205053
RA81,75,75,60,47,46,16,7,25,9,369
RA85,0,0,0,0,0,0,0,0,0,0
RA89,21,57,14,34,28,12,8,20,6,202
RA91,41,22,12,34,10,3,3,5,8,135
RA94,302,220,362,265,237,131,159,292,51,2013
RA95,0,3,0,0,0,0,0,4,0,6
RA99,0,3,0,4,0,0,3,0,0,11
