RA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA53,16,3,18,760,170,932,11,0,11,3,0,4,39,39,81,13775,10660,24435,1294,1103,2393,382,11,391,352,124,485,371,216,582,448,158,602,1335,1188,2521,18770,13684,32456,0,0,3,0,0,0,0,0,0,3,6,6,0,0,0,0,0,3,6,5,12,0,0,0,0,0,0,19,8,28,8,13,22,14,0,15,40,22,66,152,85,237,200,120,317,0,0,3,9,0,11,20,4,24,28,6,40,1305,1442,2739,1970,2056,4029,396,266,661,22670,17578,40239
RA54,9,5,18,5859,711,6574,13,3,17,0,0,0,35,12,45,6348,4536,10883,1446,796,2241,275,13,290,106,51,160,242,197,444,1300,305,1611,1991,2089,4076,17645,8714,26356,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,7,3,7,0,0,0,0,0,0,38,11,50,15,5,16,43,3,50,95,17,117,147,62,212,252,82,336,7,0,7,48,13,58,16,0,18,71,18,84,518,514,1035,1427,1021,2448,824,291,1114,20737,10639,31369
RA55,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
RA59,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
RA61,26,15,46,2092,2699,4794,21,10,28,6,14,24,283,212,492,51884,45831,97714,3655,5732,9390,890,20,912,829,109,941,1130,333,1460,578,250,825,3776,3889,7665,65193,59110,124306,8,8,7,0,0,0,0,0,4,16,9,27,0,3,0,7,0,10,27,20,44,0,0,3,0,0,0,104,277,381,98,202,305,32,54,84,240,533,773,623,423,1045,883,976,1861,8,4,16,38,44,85,37,17,55,82,72,155,2469,3081,5549,6309,10953,17260,721,639,1360,75654,74822,150484
RA62,3,4,9,242,168,403,8,3,5,6,4,11,28,41,68,22102,19084,41191,1364,1557,2918,721,13,735,255,39,297,125,39,169,368,133,501,1316,1069,2387,26537,22156,48691,3,0,3,0,0,0,0,0,0,5,6,10,0,3,3,0,0,0,15,7,15,0,0,0,0,0,0,31,25,64,15,23,38,4,6,11,50,52,108,234,96,330,305,157,453,0,0,3,5,4,8,13,6,22,21,14,38,2095,2109,4206,2964,4472,7438,451,372,827,32381,29273,61651
RA63,0,0,0,5,3,6,0,0,0,0,0,0,0,3,3,909,730,1641,67,78,149,29,3,30,27,12,42,11,6,16,37,10,43,125,146,276,1221,993,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,23,17,10,20,0,0,0,0,0,0,3,0,3,3,0,3,113,105,224,194,213,405,25,34,58,1579,1348,2922
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,301,723,32,26,61,9,0,11,9,3,15,8,4,8,18,4,18,41,56,95,537,396,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,20,16,5,20,0,0,0,0,0,0,0,0,0,0,0,0,91,74,159,39,71,108,6,3,9,684,545,1229
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
RA69,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
RA72,16,16,38,2857,1265,4126,13,3,16,7,6,12,92,86,183,24842,21360,46207,1838,2538,4374,368,9,375,865,177,1043,929,571,1503,528,175,701,1487,1348,2831,33845,27563,61403,4,0,4,0,0,0,0,0,0,7,6,18,0,0,0,0,0,0,13,8,24,0,0,0,0,0,0,790,136,929,76,107,183,125,24,150,995,271,1260,362,203,560,1364,480,1843,4,3,7,43,27,65,23,16,35,63,44,109,638,1105,1742,2499,2937,5439,471,351,824,38883,32474,71357
RA73,4,0,5,287,102,386,13,7,19,0,3,3,42,48,82,6110,5793,11906,594,812,1404,123,5,130,196,62,255,488,348,840,159,73,229,823,904,1728,8829,8157,16991,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,5,3,4,8,0,0,0,15,8,21,6,3,5,6,0,5,30,17,44,122,109,232,152,129,284,0,0,0,7,11,14,10,13,27,23,23,40,262,334,602,685,820,1502,129,131,268,10087,9601,19691
RA74,0,0,0,161,135,295,3,0,3,0,0,0,4,8,11,2112,1534,3642,569,550,1123,38,3,44,59,24,79,116,87,204,143,67,206,1825,2154,3976,5033,4558,9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,3,10,11,4,3,8,17,13,26,67,33,99,83,45,133,3,0,3,3,3,3,8,3,12,10,5,16,147,136,288,319,346,661,198,183,380,5792,5269,11064
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,21,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,22,4,28
RA79,0,0,0,57,12,64,0,0,0,0,0,0,0,0,0,79,48,127,19,21,42,6,0,6,6,0,6,4,6,15,19,21,39,66,78,142,259,193,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,4,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,5,9,14,26,40,41,75,8,3,9,320,252,574
RA80,97,51,147,5930,6276,12204,23,12,41,25,24,50,192,126,315,69265,61183,130448,4108,8182,12289,953,20,968,1770,207,1970,3726,1632,5358,736,324,1057,4968,4287,9248,91780,82325,174102,17,9,23,0,0,0,3,0,4,47,26,72,0,3,8,11,0,9,78,43,119,0,3,3,3,0,4,401,461,861,254,422,683,159,130,290,822,1012,1839,942,653,1600,1843,1709,3550,24,19,44,91,80,173,61,25,83,173,125,300,2715,3568,6278,7277,12348,19617,637,568,1200,104417,100641,205053
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,103,225,7,7,12,5,0,5,0,0,0,0,0,0,5,0,5,21,15,37,162,121,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,3,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,14,10,24,16,28,45,0,0,0,195,170,369
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,8,14,19,0,0,0,0,0,0,0,0,0,51,49,104,3,11,16,3,0,3,0,0,0,4,5,10,0,0,3,10,9,18,89,87,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,9,19,0,3,0,102,101,202
RA91,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,18,45,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,42,11,54,76,33,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,5,10,4,0,3,84,48,135
RA94,3,0,3,28,21,51,28,13,37,0,0,0,0,0,3,654,575,1229,48,61,111,62,8,71,35,13,50,8,5,18,15,7,25,45,59,102,933,767,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,21,0,0,0,0,0,0,0,0,0,0,0,0,9,16,26,21,8,23,28,25,50,0,0,0,6,3,4,5,0,5,7,3,15,33,38,71,59,83,143,21,15,32,1087,927,2013
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,8,8,11
