RA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA23,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,337,255,590,11,10,23,15,0,17,3,0,3,9,9,19,20,7,32,74,75,155,476,367,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,5,4,9,0,0,0,0,0,0,3,0,3,4,0,4,91,77,174,49,89,140,8,3,16,637,544,1179
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
RA29,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
RA30,19962,21602,41563,24353,29933,54287,1195,1193,2393,797,991,1791,1348,954,2307,476696,406062,882755,29237,39974,69204,10933,243,11177,12017,1272,13287,11557,3473,15026,6046,2799,8848,19421,19622,39043,613560,528109,1141668,3453,3572,7024,27,33,64,20,25,48,5460,5556,11015,938,1325,2259,766,202,972,10673,10709,21384,275,273,551,217,354,575,1733,2331,4064,772,1741,2512,476,352,822,3478,5049,8532,6305,3388,9699,20462,19155,39611,1803,1776,3576,520,471,993,364,153,516,2683,2400,5086,28192,40773,68961,51651,80755,132401,5670,4819,10489,722218,676011,1398230
RA31,329,287,617,2776,851,3625,185,48,233,11,6,25,298,307,606,137159,124276,261433,10344,11641,21985,4927,157,5087,2985,270,3254,1892,528,2418,1675,723,2404,5869,5351,11223,168445,144457,312902,39,40,80,0,3,3,0,0,0,405,354,756,39,53,90,13,10,27,492,457,956,134,35,172,0,0,0,224,123,350,67,98,166,55,27,84,487,292,779,2065,903,2976,3050,1655,4706,77,87,163,617,140,754,118,31,150,810,259,1064,8892,12366,21259,17169,23008,40170,2220,1895,4118,200581,183644,384225
RA32,42,33,76,3119,1623,4740,151,83,236,19,13,28,258,257,515,102123,94070,196195,8376,9367,17737,2897,99,3001,2257,355,2611,2620,1028,3651,2268,783,3052,6544,5363,11902,130673,113078,243753,0,8,11,0,0,0,0,0,0,28,23,47,5,5,12,5,4,5,36,40,73,30,26,53,0,0,0,261,74,334,110,148,256,85,42,126,491,289,779,1541,820,2361,2067,1143,3203,16,5,25,110,69,178,137,70,207,264,143,411,7218,8842,16063,13142,16376,29523,1888,1502,3394,155261,141088,296351
RA33,9,3,10,627,159,789,18,9,35,0,0,3,34,50,85,9840,7680,17520,955,853,1807,364,21,389,263,51,313,199,66,266,458,232,689,1768,1610,3375,14552,10732,25283,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,7,4,13,3,3,6,0,0,0,49,15,58,3,7,12,11,0,7,63,27,89,198,99,298,269,126,397,6,0,6,7,5,13,25,9,38,39,16,55,1766,1657,3426,1321,1400,2723,266,218,485,18211,14157,32366
RA34,3,0,0,155,63,219,22,12,37,0,0,0,16,17,35,5471,4310,9787,673,754,1431,237,22,265,114,37,145,171,104,277,406,196,597,2188,2327,4513,9460,7844,17305,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,4,0,7,0,0,0,3,0,3,4,3,7,3,3,7,13,13,21,113,79,193,130,91,224,6,0,6,3,3,10,28,9,36,38,14,49,1374,1243,2618,707,824,1533,222,186,411,11934,10205,22137
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
RA39,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
