RA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
RA69,0,3,0,0,0,4,0,3,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,7,3,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,19,0,0,0,0,3,0,0,7,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,15
RA72,25,28,22,29,35,113,45,194,19,506,112,20,17,18,48,104,106,828,19,1267,45,43,41,54,320,368,237,412,13,1537,37,8,6,22,235,204,137,245,11,913,244,168,167,290,720,1273,771,3541,115,7295,23,17,30,39,285,245,133,253,12,1022,57,315,230,188,500,336,216,426,26,2293,39,346,315,199,371,294,160,352,48,2117,110,91,133,206,537,485,349,627,35,2573,11,24,30,13,116,115,59,66,8,440,11,9,6,13,59,94,34,81,0,306,12,36,19,23,88,89,75,180,4,526,76,78,84,95,327,494,228,1330,17,2741,24,82,85,98,160,160,99,220,13,946,452,106,125,201,1534,1883,1220,1615,99,7247,43,104,65,92,386,345,132,265,18,1456,53,69,95,125,458,323,164,264,17,1557,18,76,44,55,170,168,61,106,11,707,26,59,49,85,259,365,185,304,25,1347,76,97,61,94,304,369,165,516,408,2097
RA73,12,20,14,17,35,59,23,175,4,349,21,0,7,10,8,35,31,184,3,303,10,6,5,4,52,55,32,68,0,242,9,0,0,4,47,54,32,58,3,205,46,37,21,59,149,210,167,412,12,1111,4,5,7,3,27,29,28,62,0,162,28,98,37,51,152,81,90,123,11,670,22,76,36,65,121,82,67,132,8,605,23,34,34,52,83,108,69,189,12,609,5,14,7,3,32,29,13,20,0,124,0,4,0,0,10,6,9,10,0,40,0,3,8,6,20,23,13,28,0,109,18,18,13,20,72,133,78,110,3,462,5,26,10,37,59,39,29,73,0,281,96,40,35,65,527,636,303,401,18,2108,19,39,34,48,146,131,55,128,5,601,34,35,37,67,310,214,75,100,15,883,12,24,10,19,47,46,18,31,3,208,18,48,22,30,133,141,42,100,16,542,26,23,18,22,88,82,32,87,113,491
RA74,16,10,15,16,34,74,19,308,13,494,58,15,9,3,26,71,138,250,3,566,6,0,3,3,11,20,23,8,0,71,0,5,0,7,21,18,10,16,0,76,12,13,7,18,48,85,27,138,14,365,0,0,0,0,0,3,3,17,0,28,15,36,32,45,76,45,32,66,6,349,10,17,14,11,47,153,48,141,8,443,7,9,7,13,26,36,29,67,3,197,0,0,3,3,6,3,3,5,0,26,0,0,3,0,0,0,0,3,0,10,0,0,5,0,7,5,3,4,0,21,4,4,0,5,13,11,0,12,0,54,4,6,15,14,25,37,13,35,5,154,26,46,53,95,290,163,65,106,21,870,21,37,35,66,116,90,39,84,3,504,22,19,40,65,170,90,31,49,20,506,3,14,16,13,25,21,4,17,3,128,18,51,51,65,128,103,28,69,28,547,22,20,8,17,50,48,15,44,163,382
RA75,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9
RA79,0,0,0,0,3,0,0,21,0,31,3,0,0,0,0,0,0,8,0,16,0,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,9,5,39,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,5,4,0,18,0,0,3,0,12,3,10,4,0,34,0,0,0,0,3,0,3,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,21,0,0,0,0,0,4,0,3,0,10,3,0,0,0,5,21,0,4,0,44,3,0,3,0,0,0,0,3,0,11,3,0,0,3,0,3,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,4,0,3,0,4,3,0,5,3,26
RA80,17,52,28,47,68,61,23,65,3,351,11,5,8,4,6,13,11,49,0,101,54,118,100,88,501,642,369,520,12,2406,31,17,21,27,311,284,160,173,11,1042,225,333,348,626,1377,3339,1533,2798,133,10718,31,71,51,78,326,398,238,325,12,1522,178,1383,779,747,1310,875,653,938,86,6945,198,1894,1041,753,976,737,442,945,114,7100,137,221,190,336,670,771,520,747,39,3632,55,118,94,120,557,621,271,298,11,2149,48,75,47,78,359,387,198,296,3,1487,24,71,50,71,222,301,184,366,6,1287,221,488,419,569,2271,3666,1549,2138,75,11392,88,347,339,286,497,511,211,336,30,2658,1150,594,687,1252,9328,8737,4762,5044,202,31760,171,988,405,430,1612,1198,656,1196,76,6729,163,447,498,597,1335,972,414,767,52,5242,49,388,140,171,355,249,132,216,29,1724,53,242,179,209,573,626,405,632,27,2944,87,274,162,183,478,653,244,433,719,3229
RA81,0,0,3,0,0,3,3,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,5,5,0,0,3,4,18,3,8,0,42,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,3,0,3,0,10,8,4,5,0,34,0,0,0,0,4,3,0,4,0,13,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,4,3,0,14,0,0,0,0,0,3,0,4,0,10,0,0,0,0,3,3,0,0,0,7
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,0,0,0,9,3,3,0,0,6,6,4,6,0,24,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6
