RA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA73,91,90,184,233,298,359,359,152,52,1809,15,24,50,47,77,63,67,38,23,400,390,629,1458,1046,1207,975,543,194,63,6509,1415,2850,7657,6290,6722,5319,2596,850,238,33940
RA74,409,502,1034,908,877,694,380,103,15,4924,46,58,129,110,193,201,202,141,37,1119,652,725,1281,1026,832,548,210,58,11,5339,2563,3997,7992,6114,5136,3475,1373,411,68,31133
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,3,30,19,9,3,0,3,0,71
RA79,0,0,8,25,39,25,26,3,0,124,0,0,7,0,11,3,3,0,0,18,3,66,182,140,157,110,58,15,0,737,24,183,457,396,461,440,278,38,0,2275
RA80,67,120,261,364,538,1093,1709,1611,895,6655,10,60,178,174,219,217,198,234,103,1391,1024,1929,4299,3271,2861,2546,2253,1840,1395,21411,11216,31250,65861,58133,50797,41318,29372,14330,6147,308426
RA81,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,10,12,11,8,0,0,0,53,21,31,105,118,96,72,27,8,3,480
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,9,7,16,27,19,17,6,3,0,102,30,79,108,107,68,78,24,8,3,502
RA91,0,0,0,0,4,3,3,0,0,11,0,0,0,0,0,0,0,0,0,4,5,10,20,12,13,4,10,0,0,83,16,39,61,54,59,33,15,6,0,297
RA94,0,0,4,7,23,67,56,24,3,180,0,0,0,3,10,46,51,26,0,141,20,55,153,114,111,112,65,30,12,677,70,165,507,572,640,659,439,179,51,3280
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
