RA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,8,0,8,121,41,180,16,11,0,27,301,122,447,108,29,0,138,603,306,1052,138,11,0,155,313,344,813,56,17,0,78,312,241,628,13,25,0,38,287,132,460,3,19,0,19,206,53,283,0,0,0,0,56,20,72,0,0,0,0,9,0,9,334,130,3,467,2212,1259,3942,13,9,0,18,120,37,178,32,17,0,47,297,107,453,120,41,4,161,439,189,795,116,18,9,150,184,151,479,32,16,4,51,211,88,347,0,38,0,39,241,76,352,0,27,0,27,143,29,204,0,3,0,3,34,8,49,0,0,0,0,18,13,28,309,163,11,491,1687,705,2883,13,14,0,28,246,86,357,48,30,0,72,599,224,898,229,69,4,298,1046,502,1848,257,37,9,304,500,492,1295,87,33,4,126,522,328,975,10,63,0,74,528,212,816,4,47,0,51,349,88,482,0,3,0,3,92,28,121,0,0,0,0
RA30,418,4488,59,4965,83341,7193,95504,3956,3499,155,7604,91402,8208,107224,52516,5836,1374,59724,136578,17004,213307,100742,4314,2732,107798,78822,14174,200790,57197,6056,1518,64766,111139,13384,189288,9326,13823,250,23397,120646,11046,155096,1636,15777,111,17523,90286,9645,117461,244,3189,19,3448,46598,6753,56804,47,164,3,217,15926,3780,19928,226088,57145,6214,289447,774749,91199,1155389,950,7575,109,8628,77767,6524,92917,8852,6659,534,16052,84286,7565,107900,80341,10064,3963,94365,112098,15376,221846,122690,7467,6329,136479,62248,12112,210843,54273,15135,2449,71856,117897,12009,201754,4196,34138,399,38727,118788,10883,168401,996,25595,159,26755,90093,10317,127169,240,3861,24,4129,54280,9223,67632,79,249,3,329,27287,7755,35376,272610,110737,13969,397321,744749,91773,1233837,1366,12055,165,13588,161113,13722,188422,12809,10163,692,23657,175687,15772,215122,132855,15897,5333,154089,248681,32384,435151,223431,11780,9063,244278,141072,26289,411637,111465,21190,3963,136620,229029,25391,391040,13518,47955,649,62125,239436,21931,323496,2636,41375,265,44277,180388,19965,244625,486,7053,45,7574,100881,15980,124432,131,412,3,547
RA31,238,1415,12,1666,25457,3215,30341,1878,1065,54,3000,20705,2658,26368,17034,1615,550,19198,26342,5535,51079,26896,1355,851,29102,19943,5579,54624,15284,2487,424,18191,38692,5984,62869,2641,5306,94,8039,48554,5757,62354,456,4191,37,4682,42624,5424,52733,92,777,5,876,20973,3526,25369,28,49,0,82,5881,1497,7455,64555,18265,2023,84846,249169,39176,373191,517,2556,37,3114,22734,2847,28694,4205,1863,219,6285,16903,1947,25134,25882,2515,1536,29932,19224,3705,52869,33502,2077,1834,37419,16136,3992,57552,14467,6448,750,21665,39677,4766,66106,1132,12004,117,13251,46147,4931,64331,275,6545,36,6858,40526,5280,52664,90,1032,11,1131,21949,4202,27286,34,75,3,114,9169,2432,11715,80100,35125,4539,119763,232473,34107,386341,757,3972,46,4779,48187,6068,59029,6081,2923,275,9285,37610,4607,51504,42918,4134,2078,49132,45571,9244,103947,60402,3437,2680,66519,36078,9572,112172,29749,8932,1172,39858,78373,10745,128979,3771,17312,211,21289,94705,10687,126681,734,10734,70,11542,83152,10704,105399,181,1807,18,2008,42924,7726,52655,65,131,3,198
RA32,129,1002,15,1147,17474,2842,21466,1259,754,32,2046,16229,2741,21008,12183,1329,363,13871,23359,5663,42898,19683,1072,567,21321,16233,4991,42550,11197,1701,351,13250,27969,5334,46559,2013,3366,78,5450,33168,4746,43362,370,2496,15,2885,24953,3985,31829,59,522,3,576,11335,2241,14156,19,23,0,43,3097,734,3873,46918,12258,1428,60602,173820,33281,267703,338,1697,26,2061,15572,2420,20048,2779,1426,124,4332,13530,2031,19887,18811,2029,1078,21925,17854,4176,43947,24588,1671,1417,27675,12921,3904,44501,9879,4181,495,14550,27780,4234,46565,829,7522,77,8425,29319,3994,41740,189,3921,28,4133,21447,3532,29115,50,602,5,663,11128,2401,14188,19,59,3,84,4791,1100,5971,57482,23098,3262,83844,154332,27789,265964,468,2693,45,3209,33040,5267,41515,4035,2174,157,6374,29756,4765,40900,30997,3358,1441,35794,41214,9840,86851,44269,2737,1992,49000,29157,8893,87046,21076,5880,849,27807,55750,9571,93121,2841,10879,153,13871,62490,8744,85107,561,6423,44,7023,46405,7513,60941,112,1120,9,1245,22461,4645,28349,40,81,3,127
RA33,19,102,0,120,1552,346,2014,163,78,13,257,1649,392,2289,1599,157,38,1799,2813,985,5597,2115,149,56,2325,1859,750,4927,1065,185,26,1277,3282,766,5328,193,311,3,502,3737,701,4934,34,203,0,235,2564,555,3357,4,40,0,42,1033,222,1300,0,0,0,3,226,53,285,5186,1233,139,6560,18717,4767,30040,48,193,0,240,1192,278,1710,374,149,21,544,1319,333,2200,2230,258,150,2638,1925,673,5231,2294,220,140,2657,1222,480,4357,807,450,38,1294,2765,568,4628,72,622,9,701,2827,477,4009,18,294,0,314,1868,359,2540,5,52,0,53,847,202,1096,0,8,0,13,296,75,378,5845,2240,360,8448,14262,3442,26150,68,289,3,361,2745,625,3727,531,227,34,798,2967,721,4487,3834,413,189,4437,4732,1657,10827,4410,371,199,4976,3080,1223,9287,1872,638,61,2567,6048,1335,9954,264,932,10,1207,6563,1179,8948,53,491,3,546,4434,913,5900,7,87,0,101,1880,426,2403,0,12,0,16
RA34,28,111,14,150,1224,289,1664,220,100,6,336,1275,220,1830,1081,150,46,1282,1966,435,3683,1330,148,51,1530,1402,341,3280,614,190,24,834,2327,354,3515,139,253,9,396,2644,338,3371,37,108,3,148,1643,297,2082,7,19,0,25,676,133,841,0,3,0,3,160,35,201,3451,1092,153,4698,13311,2452,20462,80,187,14,278,971,259,1510,458,184,35,675,996,204,1878,1659,252,119,2035,1505,403,3933,1535,222,96,1847,1075,281,3207,537,412,45,990,2091,328,3408,109,458,14,580,2018,276,2873,21,165,6,186,1320,203,1712,10,35,0,39,581,125,741,3,3,0,5,249,51,299,4401,1918,329,6646,10804,2122,19573,103,294,28,427,2202,549,3176,681,289,45,1014,2271,428,3706,2747,408,162,3313,3466,836,7617,2864,373,149,3380,2481,623,6482,1148,606,68,1821,4419,683,6925,252,708,23,977,4661,610,6249,52,273,12,337,2959,499,3795,11,55,0,67,1255,255,1583,7,3,0,5
RA35,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,6,3,0,4,0,0,7,0,0,0,0,7,0,10,0,0,0,0,5,0,7,0,3,0,3,12,0,13,0,0,0,0,4,0,7,0,0,0,0,0,0,0,9,9,0,16,44,11,65,0,0,0,0,4,0,5,3,0,0,3,0,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,3,3,0,0,0,6,0,7,0,3,0,6,9,4,19,0,0,0,0,13,5,16,0,0,0,0,7,0,7,0,0,0,0,0,3,0,5,4,0,17,50,12,81,0,0,0,0,4,0,11,3,0,0,3,3,3,11,3,0,0,0,5,0,11,3,3,0,9,6,4,14,3,3,0,8,17,0,24,0,5,0,5,22,4,30,0,3,0,3,22,8,33,0,0,0,0,13,0,16,0,0,0,0
RA39,3,9,0,12,149,47,212,25,19,0,44,400,121,559,128,36,3,165,781,344,1288,166,26,6,200,439,329,964,83,17,0,99,592,279,975,16,53,0,68,817,262,1147,7,43,0,49,876,194,1120,0,6,0,6,178,42,225,0,0,0,0,11,3,19,425,210,12,646,4243,1622,6509,3,8,0,18,148,35,203,28,19,3,43,406,120,576,111,33,0,148,632,221,1005,138,21,6,160,222,134,514,44,24,0,72,474,149,688,8,103,0,117,919,196,1224,0,42,0,47,638,118,798,0,4,0,4,108,40,153,0,0,0,0,11,5,18,335,265,9,604,3561,1014,5179,5,19,0,25,300,83,408,49,36,3,90,808,234,1133,241,73,3,313,1414,565,2293,301,44,7,359,662,457,1485,124,44,0,168,1067,426,1663,24,165,0,186,1737,457,2373,6,84,0,91,1510,313,1916,0,9,0,9,284,81,381,0,0,0,0
RA40,172,1568,13,1758,33885,2532,38172,1213,1369,63,2644,38443,2480,43560,19669,2424,489,22576,56950,5286,84811,39630,1665,1062,42357,31941,4664,78963,23178,2394,571,26145,49547,4785,80476,3952,6725,95,10774,56162,4210,71153,640,9263,45,9952,40044,3785,53782,134,2087,15,2241,23885,3037,29159,35,124,4,166,10180,1608,11948,88625,27628,2350,118604,341040,32382,492027,348,2788,38,3167,31252,2238,36661,2857,2606,142,5601,34492,2172,42267,31360,4155,1469,36980,45297,4579,86855,47114,2781,2480,52377,23806,3726,79911,21332,6212,921,28462,50912,4014,83392,1910,16936,185,19031,54354,4127,77507,491,14569,73,15135,41059,4357,60549,142,2398,14,2559,29959,4151,36666,52,164,5,228,17958,2964,21144,105602,52613,5324,163538,329089,32322,524955,517,4354,48,4921,65141,4773,74835,4071,3971,207,8247,72932,4653,85827,51033,6572,1953,59556,102250,9865,171668,86745,4452,3544,94734,55751,8386,158874,44509,8609,1491,54611,100459,8795,163868,5863,23659,279,29804,110519,8336,148655,1130,23839,117,25081,81102,8141,114326,277,4487,32,4797,53840,7184,65826,90,293,10,390
RA41,41,328,3,365,5530,704,6605,314,231,11,554,4697,392,5644,3565,343,93,4002,5721,809,10532,6335,327,249,6907,4150,850,11899,4039,590,132,4761,8925,971,14659,724,1534,21,2271,11869,1058,15197,120,1651,13,1778,10293,1095,13166,19,290,0,304,5317,800,6427,20,10,0,25,1753,349,2129,15177,5293,514,20983,58259,7017,86263,83,594,10,681,5136,598,6415,643,472,24,1136,3804,331,5268,5151,582,352,6078,4070,588,10733,7716,492,496,8710,3244,700,12650,3608,1487,188,5286,9371,865,15520,284,3510,29,3823,10768,1055,15645,81,2387,10,2478,9938,1101,13511,16,290,4,307,5565,957,6828,15,23,0,41,2816,502,3357,17596,9833,1104,28535,54701,6697,89935,122,918,12,1050,10662,1296,13015,954,704,38,1694,8501,718,10913,8719,924,444,10081,9791,1394,21265,14056,818,741,15616,7391,1544,24550,7650,2085,317,10052,18296,1839,30179,1007,5038,46,6094,22635,2114,30844,202,4036,23,4256,20230,2198,26681,33,572,4,608,10887,1756,13258,35,32,0,68
RA42,41,213,0,254,4263,610,5123,288,172,7,467,3475,465,4409,2950,295,89,3329,4644,1041,9018,4675,252,157,5087,3431,1068,9587,2620,560,74,3249,8049,1180,12477,477,1167,15,1652,10380,1122,13158,108,906,3,1019,8745,1146,10909,14,155,0,169,4408,757,5334,19,10,0,32,1386,339,1754,11188,3717,349,15254,48785,7730,71763,73,463,3,540,3612,497,4644,637,334,36,1012,2548,283,3834,4341,447,287,5067,3065,582,8715,5433,408,316,6159,2617,541,9317,2184,1325,115,3618,7453,840,11907,217,2510,18,2745,8838,947,12529,69,1286,3,1361,8052,1110,10527,19,186,0,209,4782,904,5889,17,10,0,29,2226,601,2861,12983,6970,786,20742,43197,6292,70229,111,673,6,789,7874,1102,9764,920,512,50,1480,6022,744,8243,7289,733,371,8396,7717,1624,17734,10107,659,480,11245,6044,1611,18902,4797,1881,190,6875,15500,2015,24391,691,3672,36,4400,19224,2069,25686,171,2196,6,2376,16801,2262,21438,36,334,0,373,9193,1661,11222,41,21,0,62
RA43,6,50,3,59,960,156,1176,58,40,0,94,802,126,1025,886,82,24,992,1302,309,2595,1311,80,48,1432,844,250,2534,743,146,23,915,1954,323,3186,123,311,7,442,2591,333,3364,23,246,3,265,2025,278,2577,3,38,0,46,993,163,1197,4,0,0,3,345,73,421,3154,990,114,4254,11816,2007,18083,13,124,0,133,780,149,1059,154,87,5,244,581,77,911,1201,135,96,1441,813,189,2447,1487,99,100,1690,592,181,2462,601,322,41,965,1704,195,2866,42,615,9,667,2130,269,3064,12,333,0,348,1800,202,2353,9,53,0,61,986,173,1222,3,11,3,17,531,121,667,3523,1778,252,5558,9918,1561,17036,20,168,3,193,1739,309,2238,213,126,8,342,1388,208,1938,2091,216,123,2428,2117,498,5039,2793,180,142,3119,1439,434,4992,1344,472,63,1876,3649,517,6051,168,925,13,1106,4721,597,6424,31,580,3,619,3825,486,4927,12,90,0,104,1980,332,2417,7,8,3,17
RA44,3,40,0,49,238,59,345,49,38,7,98,256,58,409,247,48,11,308,505,151,966,374,32,19,427,347,146,918,179,41,10,232,634,169,1037,38,65,4,110,788,157,1060,9,47,3,56,557,102,711,0,5,0,5,211,65,284,0,0,0,5,57,14,75,906,322,54,1290,3595,934,5810,11,46,3,62,181,74,317,78,37,16,127,191,65,391,377,40,27,442,289,137,872,354,58,33,438,243,118,800,139,103,19,257,501,134,891,11,142,9,158,558,129,841,3,57,3,65,362,71,497,0,7,3,11,130,45,187,0,0,0,0,51,45,101,968,498,102,1568,2512,819,4902,12,87,5,103,423,130,663,125,76,20,221,447,128,799,624,92,37,755,796,294,1845,729,88,47,867,590,265,1721,321,143,27,490,1133,305,1926,45,213,13,267,1346,290,1897,10,102,6,119,919,173,1210,0,14,3,21,339,111,475,0,0,3,9
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,3,0,3,70,19,95,7,0,0,12,112,34,161,62,15,0,70,204,71,349,53,8,3,64,128,81,280,18,5,0,27,155,103,282,8,10,0,17,165,58,239,0,11,0,11,122,36,168,0,3,0,3,33,3,43,0,0,0,0,10,0,13,151,60,7,210,1004,409,1627,4,9,0,17,50,14,80,20,11,0,30,56,13,99,37,6,0,48,127,36,209,38,15,3,54,49,35,140,16,19,0,30,112,49,192,0,8,0,15,127,25,164,0,14,0,16,68,17,97,0,0,0,0,17,0,21,0,0,0,0,7,0,7,111,83,5,201,615,202,1016,8,8,0,15,119,31,173,24,11,0,43,171,55,266,97,23,0,121,326,111,556,92,20,6,117,185,120,421,33,27,3,57,263,150,474,9,21,0,26,290,87,403,0,26,0,26,191,49,271,0,3,0,3,52,5,59,0,0,0,0
RA50,274,2751,29,3050,53052,4411,60519,2100,2153,82,4334,57718,5116,67166,33699,3826,698,38228,99467,13363,151056,65294,2473,1465,69234,53758,10328,133321,37300,3593,798,41690,74716,9214,125620,6109,8604,163,14874,79056,7354,101287,1006,10460,60,11519,55128,6056,72697,169,2337,13,2521,29555,4511,36584,36,125,3,163,10012,2394,12571,145981,36324,3311,185616,512461,62748,760820,527,4572,49,5154,48801,3983,57931,5187,4186,239,9618,50323,4442,64380,54012,6631,2587,63230,78070,10935,152238,79611,4606,4217,88442,39021,7950,135417,35282,9533,1503,46317,74762,7529,128616,2880,23269,268,26420,74965,6866,108248,688,17327,129,18141,52676,6445,77265,182,2892,15,3085,35121,6239,44440,47,162,7,213,16992,4675,21876,178417,73174,9021,260617,470730,59067,790414,801,7325,81,8200,101856,8395,118451,7288,6345,323,13949,108042,9554,131547,87711,10462,3290,101457,177535,24291,303287,144908,7082,5686,157679,92781,18278,268741,72575,13129,2307,88011,149484,16742,254234,8990,31870,435,41288,154015,14226,209530,1692,27782,189,29667,107805,12500,149970,350,5231,28,5607,64669,10752,81028,83,283,6,375
RA51,36,333,3,372,5693,868,6932,327,210,4,540,4258,870,5670,3575,345,108,4028,6289,2178,12500,7020,310,206,7534,4663,2086,14284,4066,531,112,4709,9091,1852,15651,624,1229,20,1876,11039,1506,14416,112,1099,4,1215,8850,1278,11340,17,158,0,175,4041,778,4991,9,10,0,19,1142,265,1431,15779,4223,462,20471,55068,11680,87218,84,530,3,619,4988,749,6359,689,368,31,1092,3400,439,4925,5983,539,395,6915,4418,933,12259,8652,512,534,9698,3571,1058,14329,3700,1430,168,5296,9178,1184,15664,298,3072,22,3389,10165,1228,14784,58,1679,7,1742,7986,1157,10888,25,226,0,251,4267,941,5456,15,10,0,21,1747,422,2188,19499,8369,1157,29029,49726,8107,86853,120,866,8,992,10683,1614,13294,1017,577,36,1627,7661,1305,10599,9558,879,502,10944,10707,3112,24762,15672,825,738,17235,8241,3143,28613,7766,1961,282,10010,18274,3035,31319,920,4301,36,5258,21207,2731,29202,169,2777,16,2960,16837,2432,22225,44,381,0,427,8309,1715,10453,23,22,0,42
RA52,36,306,5,347,4693,750,5787,313,208,6,529,3820,565,4914,3271,302,86,3663,5561,1431,10648,5206,280,178,5658,4108,1328,11093,3054,443,78,3568,8096,1454,13124,582,845,20,1446,10029,1397,12872,91,661,0,754,7788,1099,9637,20,110,0,132,3772,732,4634,14,10,0,19,1102,300,1418,12595,3151,371,16116,48968,9054,74140,83,515,7,602,4010,642,5249,714,332,52,1094,2723,408,4219,5074,544,346,5965,3823,1002,10781,6377,459,409,7241,3117,972,11333,2789,1187,116,4091,7753,1107,12955,222,2202,18,2442,8820,1154,12413,75,1102,8,1183,6788,1012,8985,21,186,0,209,3780,839,4827,7,11,0,20,1536,436,1996,15350,6535,958,22837,42353,7567,72758,123,818,14,949,8699,1385,11041,1028,533,57,1621,6543,974,9135,8344,847,430,9620,9380,2430,21432,11581,738,586,12905,7229,2292,22425,5845,1628,192,7657,15847,2564,26077,809,3045,39,3889,18849,2555,25285,166,1760,7,1936,14572,2118,18622,40,296,3,343,7553,1570,9464,15,25,3,44
RA53,19,121,0,143,1725,397,2269,142,81,6,232,1680,356,2266,1965,165,43,2166,3761,1166,7102,2945,150,86,3183,2487,1002,6676,1457,201,47,1707,3810,954,6471,225,347,10,572,3958,724,5263,22,174,3,196,2191,393,2781,7,30,0,37,840,209,1086,8,0,0,9,241,62,312,6781,1273,196,8245,20695,5277,34222,42,214,6,256,1319,323,1894,347,183,20,555,1299,304,2159,2828,305,191,3321,2824,904,7050,3221,261,223,3704,1674,688,6064,998,469,60,1534,3261,691,5487,80,664,6,754,2997,532,4280,17,265,3,285,1612,331,2224,3,51,0,58,790,207,1050,3,4,0,5,292,79,376,7538,2416,517,10462,16069,4050,30578,62,336,6,399,3041,720,4160,491,263,29,783,2980,661,4428,4789,466,233,5493,6585,2070,14149,6164,409,314,6883,4159,1693,12741,2456,677,109,3232,7076,1646,11957,303,1012,16,1324,6963,1256,9540,34,443,3,475,3806,724,5011,12,84,0,97,1627,412,2135,12,3,0,19
RA54,25,140,8,167,973,377,1524,205,131,17,354,1427,483,2262,1791,333,89,2217,4623,1918,8756,2399,242,116,2750,3072,1589,7421,1052,283,41,1375,3857,1290,6526,175,264,6,444,3274,824,4539,21,106,3,125,1460,321,1909,0,13,3,19,376,107,504,0,5,0,3,77,19,105,5656,1524,281,7459,19145,6940,33549,55,217,17,294,787,297,1382,359,201,52,612,959,279,1848,1742,344,186,2275,2188,891,5356,1658,286,147,2093,1371,605,4068,460,471,49,976,2179,622,3786,57,428,20,501,2007,412,2918,10,144,0,155,915,225,1296,0,28,0,34,305,79,415,0,3,0,3,92,31,128,4349,2114,469,6933,10795,3455,21189,82,362,16,458,1760,676,2900,559,334,63,960,2384,764,4111,3534,675,278,4491,6807,2814,14109,4056,523,259,4845,4441,2200,11491,1511,750,88,2358,6038,1914,10312,226,694,24,947,5273,1234,7458,28,245,4,280,2376,550,3202,3,41,4,50,679,185,917,0,4,0,9
RA55,0,0,0,0,0,0,0,0,0,0,0,16,3,17,13,0,0,16,80,26,124,25,0,0,28,77,18,120,9,0,0,9,70,17,94,0,0,0,0,29,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0,3,0,3,51,3,0,59,277,70,408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,6,0,0,0,0,3,0,3,0,0,0,0,3,3,8,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,8,26,0,0,0,0,0,0,0,0,0,0,0,15,3,20,12,0,0,17,87,29,127,25,0,0,28,80,18,127,9,0,0,16,75,15,105,0,0,0,0,37,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0
RA59,0,4,0,8,56,26,84,4,10,0,15,183,64,254,67,23,5,96,452,224,773,99,12,8,109,282,211,606,46,3,0,54,339,241,638,8,6,0,17,396,122,540,3,11,0,12,283,82,375,0,0,0,0,44,9,58,0,0,0,0,11,0,12,233,73,10,318,2046,972,3336,4,3,0,3,47,19,65,6,6,0,15,171,62,242,52,15,0,67,315,149,534,60,14,0,67,134,102,305,15,18,0,33,193,101,325,3,36,0,35,319,81,442,0,11,0,10,197,49,254,0,5,0,5,26,14,37,0,0,0,0,6,5,11,142,93,5,241,1398,581,2220,3,3,0,10,97,41,151,14,12,4,29,351,123,503,119,38,7,165,772,373,1306,154,23,7,178,415,313,910,66,24,0,87,528,345,957,13,40,0,52,717,200,977,3,22,0,25,476,133,633,0,5,0,3,70,23,98,0,0,0,0
