RA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
RA10,5843,5366,11208,168482,159750,328232,8599,8217,16816,182922,173335,356263,5844,5494,11341,169126,160298,329424,7876,7598,15474,182853,173389,356238,5754,5233,10987,154201,145755,299956,6979,6466,13452,166934,157456,324391,5396,5137,10534,158253,150382,308638,7854,7063,14914,171494,162588,334081,4769,4642,9413,182452,178253,360708,11382,10920,22306,198610,193813,392426,3631,3809,7443,194798,200430,395226,13808,13500,27310,212240,217743,429981,2917,3303,6218,201130,208004,409134,13543,12749,26291,217592,224056,441647,2531,2753,5285,185573,188629,374209,11270,10410,21678,199373,201792,401166,2637,3054,5688,178249,185308,363555,10191,9332,19519,191067,197694,388761,2494,2937,5433,167879,177993,345868,9580,8837,18415,179958,189766,369717,2236,2608,4842,163012,168730,331739,9139,8533,17670,174382,179865,354249,1840,2106,3949,149960,159394,309350,8443,8156,16602,160241,169659,329902,1365,1607,2970,128887,139603,268491,7332,7368,14698,137579,148576,286156,2265,2716,4984,345626,412816,758443,21821,27302,49118,369718,442833,812549,49532,50757,100291,2547620,2635360,5182985,147809,146457,294264,2744970,2832572,5577538
RA11,4693,4330,9018,34583,32771,67353,2573,2487,5059,41849,39584,81428,4684,4536,9223,39132,37085,76221,2919,2739,5655,46736,44360,91095,4361,4172,8537,38710,36416,75131,2916,2665,5584,45989,43255,89243,3940,3831,7772,37517,36057,73570,2914,2868,5784,44368,42756,87125,3240,3016,6255,31820,30819,62632,2842,2613,5451,37896,36445,74345,2598,2435,5031,30870,31884,62750,2673,2525,5200,36145,36842,72986,2104,2087,4184,31894,33557,65449,2552,2478,5027,36548,38117,74668,1778,1865,3638,31925,34221,66150,2462,2401,4857,36164,38488,74649,1848,2105,3952,37198,39680,76870,2953,2896,5853,41993,44681,86680,1846,2151,4002,39268,42366,81641,3132,3153,6288,44246,47672,91919,1660,1874,3533,41818,44337,86151,3420,3254,6673,46896,49461,96357,1461,1631,3095,44184,47407,91589,3558,3487,7044,49202,52526,101722,1155,1190,2344,43347,45100,88449,3532,3417,6948,48038,49713,97750,1838,2062,3901,129033,144711,273742,10852,12530,23385,141721,159301,301020,37203,37287,74493,611290,636408,1247695,49296,49506,98806,697786,723206,1420993
RA12,2038,1870,3913,9530,9071,18602,1027,1007,2032,12597,11946,24542,2003,1917,3919,11048,10674,21722,1165,1230,2404,14213,13827,28042,1862,1769,3629,10737,10334,21069,1160,1165,2328,13757,13271,27028,1737,1616,3357,10204,9248,19453,1088,1001,2092,13037,11870,24903,1316,1271,2588,8048,7313,15366,901,794,1696,10269,9379,19651,1008,1043,2054,8256,8330,16590,908,849,1760,10167,10227,20401,838,874,1719,8338,8867,17207,899,905,1804,10075,10652,20723,754,834,1591,8561,9051,17614,918,885,1798,10229,10773,21001,787,949,1738,10261,10574,20833,1074,1030,2099,12124,12554,24676,846,938,1783,11570,11833,23397,1258,1201,2460,13671,13967,27638,825,915,1731,13359,13498,26859,1421,1358,2777,15601,15768,31366,800,810,1605,14978,14944,29920,1630,1450,3078,17405,17205,34607,587,622,1211,14824,14086,28906,1496,1375,2869,16906,16084,32989,1018,1132,2151,42064,42957,85019,4520,4761,9282,47600,48852,96459,16405,16581,32985,181788,180781,362566,19460,19019,38484,217654,216382,434034
RA13,310,288,598,620,635,1254,131,149,276,1065,1067,2134,322,319,642,634,624,1257,122,112,233,1071,1053,2128,315,321,638,524,480,1001,116,96,212,953,900,1854,240,256,494,425,394,819,99,75,177,769,723,1490,214,205,414,482,458,945,97,95,191,792,759,1550,168,187,356,630,628,1254,110,111,219,899,931,1832,144,162,306,644,651,1294,120,108,222,904,915,1826,125,149,273,580,569,1146,98,106,198,800,817,1620,119,200,323,643,565,1206,110,106,218,876,868,1749,149,193,341,695,623,1315,106,103,206,948,917,1868,151,175,329,827,721,1552,150,131,279,1127,1027,2154,137,147,283,868,732,1601,164,121,285,1166,996,2169,117,94,214,818,631,1446,119,83,204,1052,817,1869,191,196,381,2133,1938,4074,321,278,597,2641,2414,5059,2701,2890,5591,10523,9649,20169,1856,1676,3528,15080,14214,29298
RA14,93,84,176,102,84,189,37,23,57,233,184,414,94,103,199,91,91,178,25,30,56,209,226,430,77,74,153,70,56,126,13,25,40,159,152,314,75,86,161,52,51,100,10,13,23,140,147,291,87,85,174,51,63,116,24,18,40,167,164,327,84,83,168,92,80,167,28,24,56,202,191,388,59,57,118,81,93,176,27,25,49,166,172,341,44,37,87,101,94,195,23,14,43,167,154,322,78,63,135,79,77,162,19,21,39,176,161,339,61,81,145,108,89,197,27,27,56,196,198,399,75,64,135,141,109,248,40,26,67,251,200,451,47,55,101,159,114,272,32,24,57,234,195,438,48,34,79,149,103,252,28,17,41,221,150,373,53,77,128,354,256,608,63,42,102,463,375,838,975,981,1961,1626,1362,2983,392,324,721,2999,2669,5664
RA15,0,0,0,8,3,9,3,0,4,10,4,14,0,0,0,5,5,9,0,0,0,3,5,12,0,3,3,3,5,9,0,0,0,3,9,11,0,0,3,7,6,15,0,0,0,3,7,12,0,0,0,9,4,9,0,0,0,9,4,9,0,0,0,5,10,14,0,0,0,5,12,12,0,0,0,7,13,19,0,3,0,6,14,20,0,0,0,3,3,10,0,0,0,3,3,9,0,0,0,8,13,19,0,0,0,10,12,21,0,3,3,10,9,16,0,0,0,10,7,16,0,0,0,12,21,32,0,3,3,15,22,35,0,0,0,4,19,27,0,0,4,12,23,35,0,0,3,13,20,35,0,9,10,16,26,42,0,0,0,60,84,142,10,12,17,67,92,159,5,10,13,150,206,356,20,27,46,171,239,412
RA19,26,16,44,143,121,266,12,10,27,188,149,338,16,15,31,97,89,182,11,11,24,119,122,238,8,10,20,60,61,120,11,9,22,82,78,158,26,27,53,211,168,381,39,39,76,285,232,517,60,47,103,587,473,1060,95,102,198,746,615,1358,62,26,90,641,488,1134,219,123,336,928,635,1559,50,19,73,544,352,890,98,79,176,687,457,1142,64,32,94,477,251,721,84,55,140,625,338,955,57,24,74,467,228,695,124,39,167,644,290,940,55,29,91,442,230,671,70,47,120,572,310,881,41,9,56,436,274,710,103,55,155,585,338,919,25,12,33,405,280,690,84,44,128,514,341,850,18,21,36,389,321,710,69,52,118,477,391,866,22,10,35,760,530,1296,135,94,229,916,643,1558,538,301,839,5655,3874,9528,1153,765,1916,7351,4939,12288
RA20,1278,1313,2599,140890,133580,274473,7583,7228,14811,149754,142125,291879,1261,1285,2540,136130,129780,265912,6795,6335,13134,144183,137401,281585,1271,1148,2420,124652,118364,243015,5821,5548,11368,131743,125051,256799,1224,1207,2427,131186,127055,258242,6461,6299,12757,138864,134561,273424,1232,1213,2452,161377,158183,319562,9634,9409,19043,172246,168809,341054,1025,1035,2061,169884,175074,344960,11273,11548,22822,182182,187659,369843,860,823,1684,172146,178530,350676,11103,10854,21955,184111,190209,374316,719,727,1445,154320,156737,311062,9053,8457,17507,164088,165919,330015,747,756,1507,146150,153784,299936,8307,7933,16244,155205,162473,317682,780,730,1513,141759,151921,293676,7887,7669,15550,150424,160310,310737,543,657,1191,130061,137014,267068,7499,7092,14586,138098,144755,282852,448,478,925,117664,126476,244138,6775,6854,13630,124890,133806,258703,373,415,792,100681,110307,210991,5999,6146,12149,107056,116867,223926,521,691,1211,270322,329461,599781,18611,23774,42378,289450,353921,643375,12295,12470,24769,2097218,2186272,4283487,122796,125141,247940,2232314,2323878,4556193
RA21,1073,1005,2078,30673,28790,59467,2126,2054,4182,33871,31850,65723,1065,1016,2082,33794,31738,65532,2328,2187,4513,37181,34940,72124,908,954,1865,32424,30798,63219,2274,2133,4412,35612,33885,69494,855,883,1735,32354,29886,62241,2203,2116,4314,35409,32883,68294,716,638,1351,28233,26665,54898,2096,1975,4068,31052,29275,60323,555,590,1147,26352,27169,53517,1985,1904,3888,28896,29656,58550,432,444,878,26787,29009,55794,1915,2032,3945,29131,31485,60621,364,430,793,27380,29307,56682,1914,2005,3916,29654,31737,61394,416,451,871,31145,33313,64459,2245,2186,4425,33807,35950,69757,410,493,899,33259,35689,68946,2505,2424,4933,36182,38604,74782,381,405,787,34579,36972,71557,2568,2570,5143,37535,39951,77484,343,348,693,35382,37734,73117,2724,2711,5433,38452,40795,79240,274,274,548,34550,36138,70689,2743,2778,5518,37566,39191,76760,464,487,951,95192,106782,201969,8534,9940,18469,104180,117207,221393,8258,8426,16684,502103,519976,1022083,38162,39019,77176,548523,567422,1115946
RA22,385,388,778,5795,5527,11318,511,512,1023,6688,6428,13121,415,359,774,6523,6165,12686,596,518,1107,7529,7036,14564,358,348,711,6434,6195,12623,593,508,1098,7389,7047,14438,304,298,608,6506,5975,12478,527,529,1055,7337,6803,14141,220,222,450,5182,4803,9979,536,462,995,5936,5490,11429,172,228,402,5184,5186,10367,533,494,1024,5892,5903,11795,134,178,312,5145,5568,10717,509,486,990,5791,6233,12024,122,160,282,5112,5509,10619,444,442,887,5673,6114,11787,123,145,269,5917,6418,12336,553,545,1095,6596,7110,13704,126,181,299,6945,7309,14258,663,596,1264,7732,8083,15822,154,168,324,7666,7959,15632,725,660,1387,8554,8787,17337,130,155,287,8560,8613,17173,749,742,1491,9442,9510,18947,90,104,197,8529,8243,16770,761,730,1496,9384,9076,18462,155,190,342,24644,26032,50674,2556,2696,5248,27354,28913,56259,2891,3134,6024,108152,109497,217641,10255,9907,20160,121298,122533,243825
