RA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA10,267283,515525,138834,13654,935293,168151,27936,1131382,23418,24234,12210,1348,61209,39335,4721,105263,35484,55653,22247,2167,115548,38235,9274,163054,58896,79889,34451,3511,176756,77568,13992,268318,23410,19361,10634,1661,55063,46832,7830,109726,40361,32007,15386,2830,90583,55113,14121,159812,64984,39105,14487,4220,122794,70028,22706,215528,450,399,204,30,1083,811,161,2056,129206,90872,40709,8737,269520,172777,44821,487122,382,85,106,20,591,1173,64,1837,581,143,210,25,955,1593,78,2627,57,84,46,3,192,187,16,391,1583,1665,833,148,4223,2088,846,7155,2598,1975,1197,191,5964,5040,1002,12001,1857,1741,635,105,4337,3638,542,8518,459837,689998,215830,26200,1391868,427181,88290,1907344
RA11,139868,135020,52615,3828,331326,97477,12505,441307,6735,2385,3449,273,12845,18024,1317,32184,2814,1372,1651,96,5924,5049,646,11623,9547,3761,5098,365,18771,23072,1965,43804,3162,1327,2086,219,6792,12866,1023,20681,459,156,245,25,878,1340,132,2356,759,125,179,20,1080,1212,129,2423,17,13,17,3,58,83,6,144,4397,1615,2524,266,8805,15504,1293,25597,620,133,132,18,899,1819,67,2780,900,158,160,22,1235,1948,109,3292,104,92,35,3,227,215,15,464,508,435,314,26,1286,601,107,1988,2122,811,644,74,3648,4580,299,8531,910,683,312,31,1933,1578,163,3673,156847,141885,61183,4559,364479,142216,16222,522910
RA12,47620,38736,16189,1385,103930,38541,3592,146060,817,355,351,34,1570,2475,145,4184,259,89,119,8,479,493,44,1020,1082,451,473,42,2045,2967,191,5200,819,401,495,54,1771,3806,232,5810,51,18,23,0,103,149,16,268,16,3,0,0,27,81,5,110,10,3,0,0,12,15,3,35,900,426,523,57,1911,4051,261,6215,226,48,37,0,312,570,22,909,197,45,37,8,289,426,21,744,62,49,31,0,137,145,6,292,232,157,55,15,463,248,32,743,721,308,155,23,1210,1392,89,2684,505,372,125,13,1013,575,47,1634,50821,40287,17471,1518,110109,47520,4179,161806
RA13,2707,2551,1131,113,6500,2675,231,9408,25,6,4,0,34,58,3,96,4,0,0,0,4,0,0,8,28,6,4,0,39,58,3,97,44,14,23,9,94,273,7,373,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,3,0,0,0,3,0,0,3,45,14,26,9,96,285,11,392,17,0,3,0,21,53,3,75,3,3,0,0,9,11,9,26,18,7,4,0,29,58,8,92,18,6,8,0,32,32,3,62,61,21,12,0,93,155,16,262,59,53,23,4,151,73,3,228,2903,2649,1194,125,6876,3253,262,10388
RA14,419,421,251,28,1115,502,46,1663,3,3,0,0,8,8,0,19,0,0,0,0,3,0,0,5,3,3,0,0,12,13,0,24,6,4,8,0,18,14,3,29,5,0,3,0,12,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,8,0,21,27,3,52,6,0,0,0,4,14,0,20,0,0,0,0,0,3,0,6,16,10,4,0,27,36,6,72,0,3,0,0,7,5,0,9,17,18,9,0,40,59,6,106,4,3,0,0,10,13,3,25,460,440,270,29,1201,610,54,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,259425,469456,128115,13771,870763,184826,33293,1088876,38513,35447,16965,2329,93260,63091,9439,165794,28276,32454,11846,1904,74474,22368,9040,105887,66788,67904,28814,4232,167736,85461,18481,271678,20934,12465,7142,1593,42128,40582,7675,90382,12987,3856,2532,1006,20378,22785,6091,49250,25385,6932,4747,2777,39831,38951,14460,93246,73,50,32,3,162,153,26,334,59375,23297,14450,5378,102499,102467,28255,233216,108,31,30,3,173,492,23,686,238,61,93,10,399,1322,31,1755,6,23,5,0,38,87,0,123,908,818,389,83,2205,1267,470,3942,1268,931,514,103,2815,3172,526,6511,1032,1026,374,73,2509,1880,384,4778,387886,562608,172268,23551,1146319,377811,80933,1605066
RA21,113038,114319,41206,3097,271658,90540,10253,372456,3843,1613,2073,219,7743,13930,1051,22730,689,389,348,32,1455,1108,215,2778,4534,2005,2419,248,9207,15037,1263,25502,1372,419,723,72,2593,6215,369,9176,63,23,17,4,106,222,28,349,31,10,3,0,50,88,0,139,9,8,3,0,20,19,0,39,1476,460,748,74,2766,6543,398,9709,206,54,43,10,307,790,20,1119,239,47,53,0,343,713,31,1082,33,31,16,3,85,84,3,163,312,263,105,7,686,365,36,1092,785,391,210,19,1414,1954,88,3451,595,449,155,21,1223,787,79,2083,120440,117623,44743,3463,286263,114863,12079,413207
RA22,27665,22352,8201,703,58921,23268,2197,84380,682,224,270,37,1207,2183,117,3509,42,22,24,0,90,89,16,190,728,239,298,37,1298,2278,128,3704,385,148,228,26,787,2114,141,3042,3,3,4,0,9,9,3,24,6,8,3,0,23,19,3,43,0,0,3,0,3,10,0,12,389,158,236,26,819,2153,152,3116,82,14,11,3,115,301,17,430,87,17,19,3,119,208,21,347,15,8,3,0,25,38,3,61,87,54,18,0,153,104,7,268,263,95,49,7,414,642,47,1108,242,157,70,8,471,337,16,825,29286,23002,8857,775,61926,28667,2540,93133
