RA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
RA23,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,41,10,5,0,0,0,0,0,0,0,0,3,121,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,5,9,0,0,0,0,3,4,0,0,0,0,3,29,0,42,73,71,24,33,6,18,8,7,0,3,9,0,17,313
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
RA29,0,0,0,3,6,0,7,0,0,0,0,0,0,3,0,25,0,0,0,4,0,0,0,5,0,0,0,0,0,3,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,5,3,0,0,0,0,0,0,3,26,0,11,27,47,32,15,11,8,5,7,3,8,46,49,39,306,0,0,0,3,0,3,3,3,0,0,0,0,3,17,5,47,0,0,0,0,11,16,9,8,7,4,0,8,7,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,13,24,32,52,60,11,24,16,41,63,80,89,519,3,35,61,104,113,130,178,195,49,54,81,109,221,375,305,2011
RA30,13,44,273,833,2167,2447,10353,8914,1176,1279,1008,852,876,503,471,31206,3,64,216,571,466,1226,1241,1894,392,574,370,271,243,210,154,7893,0,3,16,85,353,966,1403,1854,372,314,372,445,506,309,345,7342,0,4,51,282,112,148,170,47,7,14,7,12,10,5,10,886,0,6,15,237,122,183,230,165,43,50,40,26,44,25,61,1261,493,8001,18106,31082,15900,15708,22427,22558,3505,3625,2795,2463,2336,1214,4311,154519,9,144,297,1315,991,1416,2530,2028,544,506,537,601,697,510,366,12492,4,8,19,334,4963,4500,1932,2170,446,505,670,580,529,327,610,17590,0,6,59,102,696,591,2106,1619,168,138,133,121,129,95,91,6055,204,2078,4310,11729,10235,18175,25526,22681,4612,5507,6618,6528,7291,5438,4994,135926,1301,20813,36416,66035,71839,99870,147179,146446,28191,30496,30785,30067,30805,20711,26020,786983
RA31,4,11,96,171,345,280,1568,1858,230,273,142,135,104,50,107,5380,0,6,43,67,19,57,81,328,68,145,42,50,78,51,24,1063,0,0,3,12,39,115,175,277,59,53,62,69,80,31,66,1041,0,0,0,15,6,4,10,0,0,0,0,0,0,0,3,38,0,0,0,29,17,28,17,24,0,3,0,0,0,0,8,134,146,2926,6211,9745,3716,2829,3501,3049,474,441,360,304,359,158,1269,35494,4,34,115,441,241,252,404,382,90,95,64,75,64,39,66,2361,0,3,0,13,77,124,130,346,23,31,60,34,44,25,72,995,0,0,30,33,203,110,619,496,52,55,21,38,27,21,18,1727,54,441,1146,2346,1384,1278,1995,2737,514,660,720,620,744,516,798,15967,333,6317,10844,17615,13676,12085,16297,18190,3412,3956,3569,3166,3345,2031,4801,119642
RA32,0,3,47,118,191,202,766,1078,137,131,84,88,96,40,52,3038,0,7,22,57,34,78,55,195,39,91,27,20,18,24,20,698,0,0,0,11,81,250,339,313,72,65,74,61,58,49,80,1456,0,0,4,14,3,5,0,0,0,0,0,0,0,0,0,29,0,4,3,18,14,14,11,11,0,4,0,0,0,0,9,83,64,1451,3206,4880,2121,2182,2587,2211,368,379,340,305,360,272,773,21501,0,22,67,314,152,242,328,289,75,83,78,84,90,65,66,1946,0,0,0,19,87,111,78,257,37,37,30,38,40,22,31,782,0,7,20,22,84,85,251,316,19,28,33,21,18,3,10,923,35,375,944,2083,1569,1853,2384,2741,707,726,816,722,951,528,1007,17443,328,4235,7414,11192,9742,10753,13882,15719,3189,3362,3101,3031,3295,2029,4211,95481
RA33,0,0,7,7,16,18,67,119,20,57,22,20,9,11,3,368,0,0,0,0,4,6,4,13,0,6,4,4,7,4,3,76,0,0,0,0,4,10,9,11,9,0,9,5,0,7,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,3,81,223,321,97,110,107,107,19,34,30,26,32,23,64,1273,0,7,4,17,11,15,17,16,4,0,0,14,4,4,9,130,0,0,0,3,3,4,3,4,0,0,3,0,3,0,3,24,0,0,0,0,8,6,23,50,18,5,7,7,0,0,0,124,3,40,109,153,93,100,120,176,62,66,43,42,45,27,66,1136,22,296,528,773,635,707,924,1294,378,438,332,301,287,197,410,7507
RA34,0,0,0,9,4,13,21,22,0,0,3,0,3,3,4,84,0,0,0,3,0,0,0,5,0,0,0,3,4,0,0,18,0,0,0,0,0,0,11,8,3,7,3,0,3,4,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,41,111,131,33,52,43,63,20,13,15,14,26,5,26,599,0,3,3,4,3,9,10,10,4,0,0,0,3,3,4,61,0,0,0,0,0,3,3,21,0,0,13,55,16,4,3,124,0,0,0,0,0,5,7,12,0,0,0,3,0,0,0,30,0,13,31,88,81,79,73,43,24,26,16,35,20,23,70,623,6,111,224,354,290,371,351,435,131,101,105,168,156,71,201,3074
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,8,4,3,0,3,3,3,0,0,0,0,0,9,40
RA39,0,0,0,6,4,3,14,9,0,0,0,0,3,8,0,52,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,12,0,0,0,0,0,0,0,3,0,0,0,0,3,5,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,46,109,169,83,62,55,35,4,9,9,16,122,188,67,972,0,0,3,4,9,3,8,5,0,0,0,0,7,24,5,67,0,0,0,0,3,0,0,6,0,0,0,5,0,3,0,28,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,16,0,10,18,39,29,22,42,38,9,5,22,50,123,110,93,616,0,99,190,297,260,242,280,203,46,56,84,154,401,514,338,3157
