RA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
RA40,3,20,135,268,354,430,1508,1427,237,253,186,107,134,112,99,5280,0,19,52,127,212,267,334,885,242,442,278,125,264,163,58,3475,0,0,10,15,296,459,478,450,79,103,85,91,112,60,121,2355,3,43,53,110,34,38,37,10,8,3,5,0,0,0,9,358,0,15,35,136,39,67,81,71,5,5,14,13,7,7,14,510,274,5354,19151,28620,7198,6190,6923,8403,1347,1561,986,823,755,396,2357,90334,3,28,108,469,345,430,714,505,107,163,146,151,160,114,90,3537,0,0,4,131,4287,3757,1374,1465,278,311,404,388,472,355,427,13645,0,4,43,27,71,83,294,326,48,66,57,29,47,37,15,1138,94,2423,2467,4033,3633,5715,9792,11224,2387,2580,3197,2933,3173,2477,1758,57888,726,19337,40579,44972,25492,29193,38059,54036,9862,11565,12267,12383,13957,8996,9976,331389
RA41,0,0,38,29,52,38,198,170,26,42,25,3,21,9,8,671,0,0,7,10,17,0,0,34,3,16,12,0,4,0,5,118,0,0,0,7,8,28,46,110,19,9,28,24,14,3,16,313,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,8,4,12,3,0,0,0,0,0,0,0,0,37,31,1039,3801,5439,1207,879,892,1069,93,190,86,69,49,18,560,15414,0,5,14,83,44,67,118,82,15,12,14,8,17,7,15,507,0,0,0,18,72,73,62,109,8,5,5,41,18,34,44,479,0,0,6,8,13,7,30,50,0,4,10,6,6,0,0,138,18,252,297,387,196,186,268,389,87,67,123,93,154,84,184,2793,77,2496,5654,6955,2475,2021,2559,3084,444,572,559,517,570,271,1220,29467
RA42,0,0,6,23,25,10,100,136,42,37,23,34,11,9,5,470,0,0,0,4,10,4,8,8,7,34,21,7,8,0,3,113,0,0,0,0,9,17,29,27,3,3,10,6,0,3,8,116,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,9,6,3,0,0,0,0,0,0,0,3,41,29,541,2100,3140,427,276,184,200,33,33,36,19,19,28,349,7410,0,3,11,44,21,32,23,29,9,3,3,7,3,0,14,194,0,0,0,6,22,31,18,38,3,4,8,3,16,3,25,172,0,0,5,3,8,0,19,60,3,8,14,5,3,0,10,140,7,118,238,325,126,102,149,271,119,141,68,71,112,46,190,2086,62,1486,3503,4280,1239,954,1166,1703,390,467,413,388,426,213,983,17676
RA43,0,0,7,8,11,3,16,46,8,24,7,8,3,12,7,160,0,0,0,0,0,0,0,7,3,6,0,6,0,0,0,29,0,0,0,0,3,3,10,8,0,3,5,0,6,0,4,47,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,161,427,487,78,59,51,89,6,30,7,13,16,8,77,1521,0,0,0,16,14,21,20,4,3,0,0,0,0,0,0,86,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,20,0,0,3,0,6,3,12,17,9,7,0,0,0,0,0,57,0,24,43,51,39,17,30,57,25,13,31,9,20,13,19,389,14,321,713,726,286,237,296,445,113,125,101,74,90,60,175,3782
RA44,0,0,0,0,0,0,3,3,0,3,3,0,0,0,3,16,0,0,0,0,0,0,3,37,0,9,6,0,4,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,63,87,17,6,16,7,0,8,6,3,5,0,10,260,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,0,8,37,48,17,19,21,22,13,3,3,0,3,0,8,211,0,60,194,244,89,72,102,160,36,51,39,34,30,19,51,1180
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
RA49,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,31,18,15,4,6,0,0,0,0,20,21,15,171,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,11,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,12,13,0,5,4,8,21,18,20,116,0,20,41,50,45,39,35,54,12,9,16,34,82,91,71,605
RA50,13,39,283,717,2584,3310,9292,11002,1760,1888,1302,1002,853,458,530,35027,14,96,97,374,347,976,975,1810,384,671,553,368,255,203,132,7259,0,6,9,71,437,834,1160,1886,317,338,346,342,351,210,231,6547,7,109,155,876,361,646,353,187,17,37,29,24,19,29,91,2946,0,14,9,123,84,178,304,174,57,45,51,17,26,16,38,1130,535,5888,14381,45675,22986,25000,26055,27529,5799,6658,4845,3705,2835,1354,4927,198183,7,65,182,815,719,952,1433,1301,367,416,324,355,367,233,262,7802,0,7,9,84,4052,4005,1612,1958,363,446,634,516,509,308,572,15069,0,10,78,105,1019,896,2349,3175,348,494,330,252,271,139,130,9610,103,1537,2475,9316,6194,12012,18410,21391,3933,5204,5213,5007,5196,3400,2912,102307,1225,19153,29423,77676,61935,85315,106738,135837,29591,35541,29741,26003,24591,14433,19428,696627
RA51,0,3,33,79,203,178,631,940,125,143,88,74,55,12,46,2622,3,3,4,0,12,11,13,28,7,3,26,16,8,10,43,185,0,0,0,3,19,34,71,71,18,18,13,12,25,12,30,318,0,3,0,5,0,3,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,3,0,5,3,0,0,3,0,0,4,21,72,866,1919,5594,2173,1773,1849,1649,318,315,248,149,134,59,724,17827,0,6,32,145,90,76,106,75,25,19,17,23,20,11,21,661,0,0,0,10,23,45,21,47,10,15,20,15,13,6,92,306,0,0,12,11,101,77,243,205,25,29,26,15,18,5,23,811,14,154,221,537,290,289,427,573,108,137,178,154,189,88,414,3755,145,2252,3049,7607,4679,4261,5288,6305,1227,1407,1277,1030,981,478,2507,42478
RA52,0,7,24,60,78,85,436,715,159,151,95,86,52,20,40,2005,0,13,3,5,4,9,14,49,18,7,13,3,4,3,3,148,0,0,0,3,12,32,74,161,28,14,33,19,41,17,41,478,3,18,8,3,7,0,4,0,0,0,0,0,0,0,6,44,0,0,0,4,0,3,10,0,0,0,0,0,0,0,0,20,64,754,1531,3987,1273,869,715,673,166,177,105,86,77,40,426,10954,0,3,17,78,52,54,79,44,19,16,14,17,19,15,12,432,0,0,0,4,29,30,29,21,7,4,10,3,15,4,22,182,0,0,12,13,77,50,153,207,36,33,23,24,28,16,4,683,3,126,187,393,217,227,352,626,131,225,167,106,124,64,148,3101,110,1813,2399,5568,3101,2862,3579,5270,1335,1457,1071,810,860,428,1355,32034
RA53,0,0,4,13,41,31,213,308,60,60,30,28,22,22,27,852,0,0,0,4,5,8,7,37,11,6,5,9,16,3,0,121,0,0,0,0,11,30,54,85,15,15,21,20,14,12,20,294,0,0,0,11,9,8,7,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,12,13,132,321,851,342,352,274,365,89,99,88,50,31,17,139,3161,0,0,5,21,16,17,16,40,12,8,5,11,7,8,6,165,0,0,0,0,7,4,3,10,0,3,8,6,8,0,0,67,0,0,4,0,28,21,71,102,21,9,23,11,10,7,5,303,3,26,43,141,85,106,177,275,77,88,83,112,120,52,79,1459,27,313,528,1341,1152,1299,1679,2883,707,851,692,642,585,304,647,13640
RA54,0,0,3,11,18,27,118,141,22,30,18,27,4,3,7,446,0,0,0,3,0,7,8,33,0,7,0,8,0,3,5,70,0,0,0,0,10,16,32,42,11,7,7,6,8,6,3,162,0,0,0,8,3,14,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,63,216,605,215,304,268,307,77,96,52,68,41,22,78,2420,0,0,6,20,9,20,28,25,8,13,18,22,21,17,10,200,0,0,0,0,37,64,19,37,0,10,13,3,7,3,6,206,0,0,4,6,14,21,35,90,7,17,14,5,4,3,3,232,0,14,47,159,108,154,194,289,54,69,67,59,53,44,73,1367,0,146,390,1079,917,1286,1617,2407,611,776,540,431,397,239,428,11257
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,11,13,0,3,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,5,0,0,0,22,0,0,0,10,11,16,31,26,8,17,0,17,9,3,18,168
RA59,0,0,0,0,7,4,18,8,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,42,96,33,51,20,24,9,3,11,20,36,43,52,446,0,0,0,0,0,3,0,0,0,4,0,3,4,3,3,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,9,0,0,11,14,18,16,15,21,4,5,3,19,29,40,41,242,0,42,75,143,109,141,125,137,35,51,50,82,128,158,211,1484
RA61,3,9,66,78,136,164,264,267,47,23,10,17,19,19,22,1145,0,4,11,11,9,40,34,74,14,46,29,6,22,22,11,327,0,0,0,3,16,51,101,145,17,26,35,27,19,19,21,485,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,4,21,6,5,3,0,0,0,0,3,0,58,66,1424,2746,4525,1553,943,1012,715,143,121,94,104,71,54,462,14040,3,4,30,169,104,123,247,169,42,39,40,48,46,25,24,1122,0,0,0,6,32,27,35,55,11,24,36,29,57,27,13,360,0,0,8,9,26,25,46,48,0,0,0,6,3,3,0,191,13,292,449,669,383,602,928,1327,395,374,597,532,413,357,288,7616,153,3135,5046,7016,3913,3787,4909,5397,1209,1335,1689,1834,1886,1442,1613,44357
RA62,0,3,14,29,51,49,91,76,5,5,14,0,4,0,12,340,0,0,0,7,9,8,3,12,0,11,0,3,0,3,0,57,0,0,0,0,6,14,23,28,7,8,12,0,4,8,4,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,12,23,753,1545,2742,844,539,435,354,65,29,25,21,21,11,293,7688,0,3,19,103,64,62,81,65,3,13,9,11,24,9,15,478,0,0,0,0,5,3,0,9,0,3,0,6,4,0,3,32,0,0,3,6,18,3,32,9,0,0,3,0,0,0,0,90,3,100,202,295,171,138,147,114,23,33,41,36,60,25,67,1445,45,1398,2379,3889,2015,1494,1533,1128,199,214,201,178,230,124,610,15637
RA63,0,0,0,0,4,3,0,3,0,3,0,0,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,64,103,39,16,15,6,3,0,0,0,4,0,16,302,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,3,3,16,24,6,4,3,14,9,4,4,9,0,3,4,104,3,75,103,166,99,66,69,61,16,31,11,28,27,17,28,804
RA64,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,25,9,3,3,3,0,0,0,0,0,0,7,80,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,0,0,0,3,3,0,0,3,29,3,24,50,48,32,15,36,18,3,8,8,4,3,3,17,278
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,3,0,3,3,0,0,0,6,18
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,6,4,3,0,0,0,3,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,21,0,7,7,16,10,12,12,13,3,7,4,11,13,14,14,139
RA72,0,3,11,14,29,45,164,172,46,30,27,18,27,31,14,618,0,0,3,26,36,63,49,135,33,54,57,58,51,49,13,635,0,0,0,13,64,121,147,183,35,34,27,55,40,27,52,805,0,0,0,5,3,4,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,3,4,8,0,0,0,5,5,0,3,42,4,186,604,1070,432,392,503,601,159,227,194,167,209,103,205,5066,0,0,5,50,39,36,71,59,23,29,26,23,38,21,14,438,0,0,0,4,156,167,83,112,16,39,57,43,29,27,30,768,0,0,9,4,19,19,86,153,22,26,15,32,16,10,17,420,12,57,140,711,844,618,765,1354,254,279,479,404,548,339,331,7143,28,511,1385,3067,3264,3213,3903,7277,1585,1921,2010,1918,2169,1335,1393,34979
RA73,0,3,3,0,4,14,41,49,27,11,7,6,9,6,5,185,0,0,3,4,0,4,9,32,4,18,18,9,17,8,0,131,0,0,0,0,9,7,22,30,7,6,7,13,5,4,4,105,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,52,189,322,123,78,106,101,23,35,41,31,31,14,49,1180,0,0,5,27,18,33,94,52,21,63,44,119,144,83,16,732,0,0,0,0,20,26,25,22,12,3,16,5,3,0,11,145,0,0,0,3,5,5,42,85,20,17,7,7,14,4,4,210,0,10,26,98,73,88,209,227,52,47,40,51,81,53,80,1132,0,145,325,669,564,606,1004,1539,355,465,405,497,529,306,347,7762
RA74,0,0,3,5,3,7,18,31,0,0,4,0,3,5,0,79,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,10,0,0,0,0,3,3,10,12,3,3,0,3,0,0,4,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48,86,25,30,20,36,6,8,3,14,18,4,21,341,0,0,3,3,0,0,5,11,3,0,0,3,3,0,3,35,0,0,0,0,3,0,0,3,0,0,3,3,0,4,0,19,0,0,0,0,0,0,4,10,3,3,6,8,0,0,0,36,0,4,12,34,39,40,41,77,17,15,18,21,27,13,30,394,0,37,93,189,185,208,263,430,103,101,99,87,155,94,165,2211
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,11,53
RA79,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,6,8,14,3,0,0,3,11,18,11,8,138,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,3,0,0,10,17,11,9,67,0,15,23,51,35,35,30,29,15,7,15,26,57,33,31,402
RA80,3,18,57,99,181,203,508,388,127,112,77,89,81,28,29,2004,0,4,41,106,201,646,508,615,118,122,106,94,110,57,32,2774,0,0,8,43,118,169,280,288,48,58,77,66,80,27,47,1302,0,3,14,132,43,94,51,28,4,11,3,7,3,0,9,405,0,3,8,29,29,33,53,41,3,11,10,3,6,5,8,231,69,1161,2807,4144,1725,1339,1421,1085,348,341,207,242,191,89,373,15529,7,21,60,325,287,354,476,350,139,117,113,157,170,131,64,2771,0,5,4,93,928,811,376,448,85,88,95,127,105,84,79,3340,0,0,18,13,61,42,147,222,32,16,12,24,21,5,7,623,18,511,1162,2333,1861,2671,3548,3115,580,682,882,914,955,699,510,20434,183,3651,7137,11146,9130,12432,16431,16057,3579,3888,4084,5079,5626,3651,2892,104970
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,3,0,0,0,0,0,0,0,17,0,0,10,10,3,8,6,13,0,3,0,4,3,4,0,67
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,3,0,4,32,0,3,9,7,13,7,10,18,5,4,3,7,14,12,6,130
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,3,9,0,3,0,0,0,0,0,0,30
RA94,0,0,0,0,0,7,0,5,0,3,0,3,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,3,3,0,0,5,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,19,19,10,14,5,0,0,0,6,0,4,23,122,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,4,0,25,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,12,0,12,14,0,0,3,0,6,5,67,125,0,23,50,147,272,156,128,140,22,21,26,42,36,34,330,1427
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
