RA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
RA10,0,0,45,593,694,791,723,579,150,3572,81,571,1117,5920,2566,2179,1250,496,164,14334,78,169,594,3229,355,446,320,56,10,5255,143,430,1259,5297,685,416,147,39,3,8421,24,40,160,1148,1583,2008,1959,884,225,8028,42,97,310,1968,1848,1051,722,322,50,6409,439,1595,1558,4214,1930,1293,900,255,78,12261,209,793,2787,12017,8882,7964,2879,1035,435,36999,9,67,101,779,658,544,503,280,102,3041,9,132,372,1034,553,344,115,25,8,2590,1142,4658,8502,37915,16914,13702,11290,6323,2382,102823,8686,14675,20088,54204,22381,19450,15431,9314,4369,168604,182922,349783,370109,820274,354337,297829,214740,112191,42783,2744970,56,234,910,2330,707,520,232,71,26,5086,156406,280154,249043,426699,191733,162031,117335,68559,41602,1693549,150,525,1183,6772,1078,434,108,27,10,10281,0,17,144,1181,743,727,354,280,55,3504,18,88,402,2588,1409,1297,589,253,122,6767,72,299,553,2737,943,637,343,116,55,5746,16,69,164,1752,1336,1184,1284,432,139,6370
RA11,0,0,0,3,48,55,83,72,15,283,7,54,27,263,97,69,49,18,3,594,3,10,62,238,20,11,5,3,0,356,18,71,104,150,41,15,0,3,0,408,0,0,3,20,31,37,27,15,3,138,3,7,6,46,27,23,10,8,0,119,34,178,152,385,303,281,372,93,32,1822,16,30,49,293,99,56,15,3,0,563,3,16,15,82,118,130,188,83,30,658,0,41,43,154,93,93,48,15,0,484,84,394,401,1759,1039,1146,1326,813,281,7240,2294,5173,5766,12072,8152,8969,8097,4691,1870,57088,41849,92727,82265,150844,91142,97238,84158,43154,14409,697786,0,16,31,52,14,8,0,0,0,121,36790,79749,69941,128121,76207,79615,63354,36197,17746,587723,9,21,21,183,17,7,3,0,0,260,0,0,3,13,18,21,13,7,0,73,0,12,12,65,11,11,11,0,0,117,18,43,66,386,232,194,131,40,17,1115,0,3,4,69,67,59,62,16,6,293
RA12,0,0,0,0,6,18,18,24,0,74,3,12,3,38,14,3,12,3,0,94,0,0,22,84,0,0,0,0,0,112,6,25,18,32,4,0,0,0,0,90,0,0,0,0,4,4,7,0,0,17,3,0,6,28,27,13,7,0,3,81,10,36,32,98,64,80,90,34,8,448,0,3,10,41,15,10,6,0,0,83,0,0,0,21,28,30,44,26,3,155,0,5,5,35,21,19,10,0,0,95,12,70,82,309,227,287,372,218,45,1625,937,2124,2092,4356,3354,3959,3578,1993,669,23056,12597,27972,23306,42599,29274,34306,28879,14443,4286,217654,0,6,3,16,0,0,0,0,0,28,10907,24329,18626,35649,23741,26174,20129,11346,5118,176023,0,0,3,20,4,3,0,0,0,28,0,0,0,3,0,0,0,3,0,9,0,0,3,9,3,3,0,0,0,20,0,16,17,82,23,50,23,6,7,231,0,0,0,11,15,12,12,4,0,47
RA13,0,0,0,0,3,3,9,6,0,14,0,3,0,3,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,4,0,6,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,8,3,27,11,18,29,22,7,127,118,222,197,511,316,352,251,128,36,2128,1065,2030,1562,3482,2079,2220,1620,819,206,15080,0,0,0,0,0,0,0,0,0,0,918,1703,1246,2723,1522,1438,990,593,254,11382,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,16,37,43,36,114,75,80,58,19,7,467,233,372,309,714,446,459,314,126,28,2999,0,0,0,0,0,0,0,0,0,0,162,322,276,520,303,271,174,68,41,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA19,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
RA20,0,0,33,499,686,913,741,601,115,3594,222,1573,2866,12492,4475,3318,2215,808,226,28198,63,117,499,2254,223,234,147,22,8,3568,172,802,1182,2291,263,107,66,11,4,4888,7,72,202,1546,1685,2091,1929,802,170,8510,32,108,314,2351,2259,1347,798,348,71,7638,270,1158,1039,2875,1309,811,591,136,53,8233,213,846,3142,12290,8278,7001,2443,837,357,35401,11,59,71,505,402,318,315,176,73,1928,11,80,251,981,359,195,78,16,3,1970,1048,4434,8089,29409,12817,10286,8198,5040,2025,81347,7641,12405,16716,44348,18468,15714,12401,8098,3621,139410,149754,275930,311108,685592,288526,231945,165117,90041,34296,2232314,69,544,1600,3104,762,346,161,53,14,6665,127054,214812,203129,371859,173849,133285,88348,47945,29143,1389423,57,228,342,2211,335,159,34,6,0,3374,4,23,241,1498,993,817,414,272,55,4304,36,136,634,3078,1410,1125,541,209,89,7252,89,239,446,2094,614,405,171,67,40,4171,20,46,104,1208,796,698,632,194,69,3760
RA21,0,0,0,7,55,74,76,77,14,307,14,63,42,306,98,76,64,26,7,693,3,5,58,278,4,6,3,0,0,355,27,130,134,124,17,8,5,0,0,446,0,0,0,20,27,52,47,24,3,178,0,8,13,74,86,33,24,9,0,238,18,110,94,244,173,186,233,44,12,1109,8,28,39,200,96,27,9,3,0,407,3,12,11,65,78,105,103,57,26,463,0,13,21,79,43,36,15,3,0,217,58,319,453,1204,767,742,803,560,188,5097,1937,4020,4281,9423,6638,7187,6324,3564,1386,44747,33871,72790,66459,121482,73715,76020,62816,30974,10386,548523,3,29,125,142,35,7,6,0,0,342,29631,62597,54816,104601,62756,62290,46572,24816,12690,460767,3,17,4,100,13,3,3,0,0,139,0,0,0,20,14,18,5,17,4,78,4,13,21,67,18,6,5,0,0,133,13,30,33,235,115,97,56,17,8,601,0,0,0,48,28,23,19,8,3,131
RA22,0,0,0,0,5,24,29,15,3,76,0,14,6,69,13,10,9,6,0,132,5,0,12,83,0,0,0,0,0,104,4,27,20,40,4,4,3,0,0,103,0,0,0,0,3,4,3,0,0,6,0,4,9,31,56,27,25,15,0,165,4,5,12,34,21,21,33,6,0,141,0,7,17,71,37,42,12,0,0,191,0,0,0,3,8,13,25,10,0,66,0,4,11,17,16,10,8,0,0,63,5,58,60,259,130,186,194,124,47,1059,459,1062,1052,2422,1763,2081,1898,1059,418,12218,6688,14919,13278,23951,16287,18821,16316,8210,2822,121298,0,21,32,51,11,3,3,0,0,126,5869,12736,10613,19979,13494,14530,11365,6582,3415,98582,0,0,3,19,8,0,0,0,0,33,0,0,0,3,3,3,0,0,0,10,0,0,6,25,7,9,0,0,0,55,5,4,3,44,16,18,10,7,3,112,0,0,0,3,0,4,4,0,0,14
