RA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
RA10,1131382,3467217,105263,231705,163054,437816,268318,669518,109726,222977,159812,341776,215528,470865,2056,4464,487122,1040078,1837,2841,2627,4174,391,883,7155,17972,12001,25863,8518,18560,1907344,5221239,161744,..,2069087,5221239
RA11,441307,1139110,32184,53704,11623,22286,43804,75993,20681,32680,2356,3823,2423,3966,144,273,25597,40748,2780,4370,3292,5245,464,967,1988,4759,8531,15334,3673,7654,522910,1278839,85698,..,608614,1278839
RA12,146060,355732,4184,6953,1020,1838,5200,8785,5810,9203,268,472,110,178,35,59,6215,9912,909,1537,744,1229,292,583,743,1670,2684,5013,1634,3776,161806,383220,33665,..,195467,383220
RA13,9408,23104,96,131,8,18,97,150,373,518,0,0,16,17,3,7,392,547,75,131,26,60,92,171,62,124,262,474,228,544,10388,24822,2853,..,13241,24822
RA14,1663,4311,19,34,5,4,24,44,29,61,24,37,0,0,0,0,52,96,20,37,6,13,72,132,9,23,106,209,25,34,1865,4690,781,..,2646,4690
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA20,1088876,3177694,165794,353941,105887,272466,271678,626405,90382,171769,49250,86088,93246,174097,334,672,233216,432629,686,1010,1755,2426,123,221,3942,9254,6511,12916,4778,10508,1605066,4260156,169094,..,1774157,4260156
RA21,372456,935539,22730,36260,2778,5623,25502,41882,9176,13369,349,538,139,215,39,78,9709,14200,1119,1601,1082,1613,163,327,1092,2431,3451,5974,2083,4484,413207,1002073,83417,..,496623,1002073
RA22,84380,200480,3509,5512,190,386,3704,5896,3042,4531,24,48,43,111,12,14,3116,4709,430,653,347,575,61,125,268,552,1108,1912,825,1725,93133,214717,25399,..,118532,214717
RA23,1231,2551,28,39,0,0,28,39,4,12,0,0,0,0,0,0,4,12,12,12,0,0,10,17,8,8,21,35,16,35,1307,2668,721,..,2023,2668
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA30,744210,2170627,47834,87619,85414,195624,133240,283244,48811,84903,46248,84650,57048,108216,249,471,152357,278235,2978,4392,2497,3612,165,321,899,2378,6544,10707,4119,8220,1040479,2751041,100347,..,1140823,2751041
RA31,296773,779758,17144,27959,6690,11759,23830,39713,10736,17167,814,1285,1204,2065,68,141,12826,20660,2949,4681,1033,1691,413,886,605,1583,4997,8841,2098,4490,340521,853455,44375,..,384893,853455
RA32,195238,518237,9269,16136,6413,11850,15676,27988,12539,21616,4846,9020,2691,4986,53,94,20126,35724,2115,3651,595,988,533,1096,577,1231,3815,6963,1573,3343,236442,592259,39136,..,275579,592259
RA33,19610,52810,952,1788,179,356,1132,2144,915,1587,12,17,20,29,14,17,953,1648,495,918,109,211,127,230,76,180,803,1534,526,1180,23030,59319,8014,..,31046,59319
RA34,13814,40742,777,1720,314,736,1091,2455,497,994,17,31,3,4,3,3,516,1034,401,784,56,101,120,248,83,195,656,1331,282,637,16358,46207,3700,..,20056,46207
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA40,346271,915417,61463,115381,20874,46836,82332,162218,28508,48469,3974,6963,5622,9849,93,173,38195,65456,447,700,279,419,50,108,500,1187,1279,2407,1366,3025,469442,1148530,45611,..,515058,1148530
RA41,74133,184014,4379,7283,241,471,4619,7755,1563,2257,39,62,29,46,7,10,1638,2381,233,366,225,350,46,96,131,279,632,1094,452,936,81479,196179,16802,..,98280,196179
RA42,57966,137666,6369,11978,90,211,6459,12186,1656,2345,21,30,0,3,4,5,1683,2381,325,494,141,231,39,78,186,411,685,1206,400,845,67196,154285,20151,..,87346,154285
RA43,14409,34587,943,1624,83,181,1025,1807,415,575,0,4,0,0,0,0,417,581,138,214,40,54,35,67,64,120,273,461,154,339,16277,37766,6902,..,23174,37766
RA44,4023,10443,69,106,3,3,72,109,66,90,0,0,0,0,0,0,66,90,58,92,10,27,55,72,24,53,151,244,87,183,4406,11068,2775,..,7180,11068
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA50,523103,1461889,81389,161522,28705,62556,110094,224071,17120,28810,11412,19371,16833,29384,49,82,45415,77652,990,1423,603,937,78,167,507,1304,2175,3831,1574,3487,682358,1770931,84689,..,767046,1770931
RA51,68263,176893,4041,6867,581,1152,4622,8015,1087,1620,88,157,40,74,19,24,1233,1871,405,637,505,788,143,352,79,153,1138,1940,393,855,75642,189572,16262,..,91900,189572
RA52,58826,147665,4219,7259,606,1316,4821,8573,822,1251,19,30,0,0,7,23,844,1304,494,718,235,345,116,234,230,523,1073,1820,426,972,65993,160341,16789,..,82787,160341
RA53,22969,62445,1632,3083,389,914,2018,4000,1037,1877,58,90,97,166,4,10,1199,2148,578,1042,20,40,70,125,84,188,743,1395,336,699,27262,70687,9184,..,36450,70687
RA54,12666,38251,920,1781,86,163,1001,1944,365,662,18,28,0,6,3,8,390,703,817,1505,39,77,161,377,174,411,1199,2363,262,535,15516,43796,5952,..,21466,43796
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA61,112304,279832,6230,9700,3007,5831,9234,15532,8474,13549,1043,1689,756,1127,157,263,10424,16627,91,151,157,242,39,76,279,637,563,1097,375,783,132896,313875,13177,..,146076,313875
