RA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA29,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
RA30,774,16049,57405,46730,43885,31633,12520,3556,1391,213936,252,6867,40806,35740,32013,21111,6829,1552,551,145716,139,2696,30771,34575,31076,19347,4865,1138,416,125018,53,1123,17541,23811,21365,12445,3088,755,268,80461,57,891,21573,36796,33274,17831,4339,1089,414,116262,156,476,6900,21258,22950,12760,4269,1407,526,70702,14809,17003,34389,28949,27825,23753,21169,16172,13966,198027,188422,215122,435151,411637,391040,323496,244625,124432,55303,2389230
RA31,282,3977,11580,11563,13152,10526,4109,1193,410,56793,84,1836,7753,8348,9055,6556,1853,461,112,36059,30,842,5929,7755,8599,6086,1284,289,85,30908,18,416,3569,5116,5722,3868,798,170,54,19727,18,401,4944,7530,8235,4968,988,249,63,27387,69,174,1643,3614,4087,2728,979,360,118,13770,6377,4995,9939,10164,11665,11541,10898,7233,4378,77201,59029,51504,103947,112172,128979,126681,105399,52655,19169,759537
RA32,278,3560,10005,9180,9682,7481,2623,691,216,43718,88,1849,7226,6743,6794,4838,1318,273,77,29215,38,815,5378,6198,6581,4202,926,198,60,24400,28,360,3130,4201,4262,2806,600,119,47,15552,21,369,4457,6350,6339,3707,742,167,57,22208,48,123,1480,2888,3039,2065,687,229,71,10635,5402,5031,10342,9486,10259,9435,7598,4523,1991,64079,41515,40900,86851,87046,93121,85107,60941,28349,9844,533673
RA33,40,450,969,782,839,695,249,96,18,4140,21,241,771,597,654,458,147,37,3,2925,13,142,626,534,586,410,104,25,4,2433,11,106,498,464,477,316,70,23,4,1970,8,139,1194,1031,846,499,118,30,5,3874,10,22,354,479,447,323,129,19,6,1791,627,753,1731,1310,1440,1301,942,389,115,8606,3727,4487,10827,9287,9954,8948,5900,2403,665,56190
RA34,44,273,767,558,621,465,161,30,10,2932,14,142,512,394,420,351,98,20,8,1949,9,75,349,353,397,284,61,9,4,1549,4,34,274,286,261,226,54,7,3,1138,0,40,388,431,406,304,54,15,3,1644,4,9,90,169,191,157,62,15,4,700,647,516,945,701,801,738,519,261,82,5209,3176,3706,7617,6482,6925,6249,3795,1583,502,40039
RA35,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,4,8,0,0,24,11,11,11,14,24,30,33,16,4,144
RA39,3,50,160,92,72,102,47,12,0,535,0,20,63,49,62,50,15,0,0,264,0,3,85,52,52,32,16,0,0,242,0,3,26,28,28,22,3,0,0,122,0,0,51,47,46,33,4,0,0,185,0,10,20,22,28,14,10,4,0,109,72,230,495,331,332,424,297,73,17,2272,408,1133,2293,1485,1663,2373,1916,381,44,11693
RA40,158,4957,22405,18288,18786,14938,6049,1778,921,88277,66,1912,14949,13211,12830,9353,3206,747,339,56620,29,699,10982,12207,11548,8459,2185,522,279,46916,27,217,5844,8612,8530,6124,1471,366,171,31363,24,218,5813,11500,11922,7712,1915,496,208,39798,83,157,1647,5344,6737,4736,1893,651,351,21596,5220,5116,10716,9170,9681,8912,8438,7029,5787,70071,74835,85827,171668,158874,163868,148655,114326,65826,33097,1016978
RA41,44,716,2694,2927,3573,3020,1194,384,124,14674,9,278,1722,1951,2246,1754,627,123,40,8756,10,110,1130,1607,1885,1516,370,106,34,6764,3,34,619,1106,1326,981,250,35,25,4385,0,36,615,1388,1712,1106,269,71,30,5228,8,19,167,524,783,621,284,92,44,2540,1387,782,1535,1717,2014,2288,2294,1583,1122,14722,13015,10913,21265,24550,30179,30844,26681,13258,5489,176195
RA42,50,591,1858,1908,2404,2226,850,246,89,10210,11,346,1279,1185,1618,1331,365,67,22,6225,7,109,967,1108,1420,1121,256,66,14,5063,3,49,559,791,967,759,178,36,16,3357,3,50,598,938,1131,828,212,55,23,3836,15,31,181,407,478,453,208,73,36,1879,1157,798,1758,1703,2204,2315,2242,1545,1126,14853,9764,8243,17734,18902,24391,25686,21438,11222,4615,141991
RA43,9,173,537,516,623,577,236,65,28,2764,6,80,390,337,437,310,103,27,8,1707,6,30,306,329,330,287,73,20,13,1406,3,41,191,245,285,210,44,12,0,1027,0,30,350,378,384,257,51,17,9,1480,4,5,106,181,200,140,51,22,6,722,306,215,541,473,575,614,517,340,236,3809,2238,1938,5039,4992,6051,6424,4927,2417,1088,35115
RA44,6,51,178,155,190,145,53,5,3,797,0,40,110,128,142,99,38,3,0,559,0,27,109,91,104,112,24,3,0,467,0,4,68,54,94,82,14,0,0,317,0,13,90,109,84,77,21,0,0,390,3,3,25,57,41,62,16,0,0,193,169,146,325,262,328,311,185,89,56,1868,663,799,1845,1721,1926,1897,1210,475,173,10711
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
RA49,0,8,43,26,20,19,8,0,0,122,0,3,14,14,12,6,0,0,0,51,0,0,6,15,12,5,3,0,0,37,0,0,9,0,5,10,3,0,0,21,0,0,7,11,11,5,0,0,0,40,3,0,3,3,4,0,0,0,0,19,11,33,71,61,100,64,34,10,7,400,173,266,556,421,474,403,271,59,22,2648
RA50,459,10394,37183,26184,25819,20047,8019,2294,959,131363,127,5391,28629,21649,20358,14409,4674,1000,355,96596,70,2468,24078,20848,19650,13187,3474,756,259,84801,31,1115,15908,16871,15619,10258,2439,489,203,62938,29,1236,23055,30556,28387,17034,3682,791,276,105039,91,473,8224,20071,21195,12013,3340,960,342,66702,9094,10403,25519,19606,18238,15333,13201,10962,8499,130873,118451,131547,303287,268741,254234,209530,149970,81028,34447,1551233
RA51,86,875,2546,2718,3030,2451,1020,282,87,13104,35,465,1678,2046,2256,1636,505,112,33,8771,10,257,1473,1901,2182,1600,381,98,27,7933,10,157,1069,1528,1799,1248,246,58,18,6127,9,157,1637,2717,3070,1852,331,56,24,9847,18,60,613,1253,1493,954,308,71,23,4800,1716,1385,3256,3311,3315,2883,2539,1663,871,20939,13294,10599,24762,28613,31319,29202,22225,10453,3621,174076
RA52,87,843,2115,2112,2629,2236,850,258,98,11223,34,473,1630,1623,1854,1406,474,125,26,7646,19,300,1474,1555,1801,1367,400,87,21,7020,10,172,1098,1266,1407,1083,227,62,18,5354,7,190,1642,2153,2361,1582,326,101,23,8382,11,56,453,911,1057,748,277,91,24,3641,1437,1042,2557,2453,2724,2803,2161,1553,905,17643,11041,9135,21432,22425,26077,25285,18622,9464,3416,146896
