RA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA10,201279,707155,635153,195720,103537,1842834,64501,1907344
RA11,28786,181886,190961,63921,35181,500737,22173,522910
RA12,8485,53279,57889,21749,12236,153640,8168,161806
RA13,805,3201,3422,1444,880,9749,631,10388
RA14,276,644,425,210,169,1721,148,1865
RA15,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0
RA20,141391,562688,586538,174043,89056,1553723,51344,1605066
RA21,19854,130199,155948,56181,33881,396059,17145,413207
RA22,4762,29361,33327,12736,8227,88416,4713,93133
RA23,55,426,475,162,124,1254,53,1307
RA25,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0
RA30,64276,361224,393277,126450,63755,1008985,31492,1040479
RA31,17688,113633,125272,45697,25423,327712,12810,340521
RA32,13037,79333,89067,30199,15092,226725,9716,236442
RA33,1603,6995,8030,3163,2107,21890,1143,23030
RA34,2528,5059,4448,1822,1398,15260,1099,16358
RA35,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0
RA40,38882,174561,168193,50506,23430,455570,13877,469442
RA41,3378,25948,30737,11722,7122,78916,2560,81479
RA42,4333,21993,23352,9209,5616,64491,2703,67196
RA43,763,5091,6341,2211,1261,15665,606,16277
RA44,498,1351,1314,592,377,4133,273,4406
RA45,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0
RA50,33560,220903,269029,90982,49361,663835,18528,682358
RA51,2541,21436,29356,12078,7724,73135,2506,75642
RA52,2935,19424,24274,10043,6719,63389,2601,65993
RA53,1336,7337,10216,4301,2809,25999,1261,27262
RA54,2246,5100,4476,1569,1095,14480,1035,15516
RA55,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0
RA61,10644,48565,45621,15538,7965,128334,4565,132896
RA62,2797,19189,21964,8879,5285,58108,2365,60479
RA63,193,1183,1109,351,154,2995,158,3152
RA64,68,323,397,150,73,1003,47,1053
RA65,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0
RA72,2285,13057,16773,5849,3145,41111,1941,43043
RA73,1406,4605,4228,1482,742,12472,784,13262
RA74,3252,2898,1347,380,212,8091,659,8752
RA75,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0
RA80,7836,52999,55635,15510,6998,138976,3508,142479
RA81,0,25,79,40,29,175,3,182
RA85,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0
RA91,8,29,31,11,6,74,15,86
RA94,60,411,480,169,99,1221,54,1270
RA95,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0
