RA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
RA40,152,129,78,45,19,24,76,2796,145,4118,7832,2839,397,215,215,162,38,90,88,93,92,55,767,17149,0,23,12,26,34,148,357,276,59,51,46,62,84,99,89,1372,0,0,5,15,107,197,683,1263,250,232,174,153,180,133,109,3494,11,54,82,319,281,212,233,113,18,33,20,27,19,19,42,1477,10,9,126,474,736,1016,1082,1286,298,349,365,443,545,459,175,7376,6,429,445,194,78,39,11,11,0,4,0,0,0,0,53,1265,10,1176,1890,492,260,75,189,143,32,34,28,17,16,23,133,4525,37,81,273,964,1952,1853,1756,999,262,274,189,159,153,98,326,9373,0,3,12,11,19,40,326,647,239,332,500,398,469,184,79,3256,0,8,16,85,830,1818,1441,2622,476,537,527,529,583,264,261,9999,13,503,427,254,1336,1321,355,181,23,35,34,36,29,6,135,4691,3,5,61,198,233,247,436,389,75,79,122,150,169,142,64,2372
RA41,17,13,0,0,3,3,9,275,6,191,323,112,18,8,10,8,0,3,3,0,0,3,43,724,0,5,0,0,3,5,31,13,8,5,0,10,4,0,5,99,0,0,0,0,7,8,11,28,0,0,4,3,0,0,7,71,0,0,0,6,8,5,4,6,0,0,0,0,0,0,0,35,0,0,13,38,26,19,18,37,3,10,6,3,12,8,16,214,0,23,26,11,6,3,0,0,0,0,0,0,0,0,0,81,3,335,501,121,77,17,54,42,4,0,0,3,0,0,28,1191,5,17,58,208,362,297,346,157,44,44,44,22,35,12,85,1742,0,0,0,0,3,0,4,9,0,5,7,10,7,0,0,49,0,0,5,7,67,97,117,300,64,85,97,95,58,31,48,1075,0,19,20,17,45,35,8,5,0,0,0,0,0,0,5,157,0,0,7,14,8,8,15,9,3,3,0,4,0,5,3,73
RA42,3,7,9,3,0,0,8,155,12,132,262,79,9,5,3,0,0,0,3,14,9,11,36,577,0,0,0,0,0,6,9,11,0,3,5,0,10,0,3,37,0,0,0,0,4,6,8,12,3,3,4,3,11,21,10,78,4,0,0,11,3,0,3,3,0,0,0,0,0,0,0,21,0,0,12,18,14,5,15,20,7,3,0,4,5,4,6,115,0,20,17,15,0,0,0,0,0,0,0,0,0,0,5,58,6,276,243,65,36,8,18,14,0,0,7,0,0,0,25,691,3,13,28,123,276,192,234,141,45,33,19,14,25,7,68,1214,0,0,0,0,0,0,5,15,10,16,18,15,21,0,12,119,0,0,0,0,83,84,104,245,64,93,115,110,79,37,64,1060,0,15,17,11,11,16,6,3,0,0,0,3,0,0,8,87,0,0,0,12,0,3,3,0,0,0,0,0,0,0,4,29
RA43,0,5,0,3,0,0,3,39,0,5,30,3,0,0,3,3,0,0,0,0,0,3,8,62,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,11,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,3,0,0,0,25,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,41,68,20,3,0,10,3,0,0,0,0,0,0,9,157,0,0,7,40,78,70,65,66,20,12,13,10,3,3,18,412,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,16,38,27,57,18,11,15,16,15,15,8,233,0,6,3,3,3,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,11
RA44,0,0,0,0,0,0,0,16,0,0,10,6,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,23,23,20,20,23,9,8,3,3,3,0,4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,5,3,7,15,3,7,7,10,3,5,6,75,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,4,0,0,0,5,3,0,15,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,4,11,13,5,7,0,4,0,0,0,0,16,59,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,1791,2003,966,496,400,172,349,16006,149,4167,5323,2978,644,347,436,535,189,385,465,412,322,128,864,17356,0,24,31,53,118,501,1156,724,143,177,181,226,247,151,198,3947,0,0,0,22,253,365,1052,1768,431,437,482,427,465,266,332,6302,3,7,29,183,174,229,156,102,16,20,28,20,16,15,31,1025,59,72,413,1784,3403,6150,4440,4812,1008,1165,1149,1056,1124,733,785,28152,4,209,191,158,68,51,29,28,4,6,0,4,4,0,18,778,12,2705,943,703,711,358,557,450,93,126,109,95,67,36,201,7162,45,104,509,2957,7229,9869,10425,11843,4239,4556,2907,1786,1404,669,1969,60527,0,19,29,110,91,213,525,1146,379,545,575,617,449,304,133,5132,0,5,13,136,1033,2073,1926,7774,2234,2527,1971,1616,1651,953,587,24504,14,380,185,175,1622,1244,359,375,92,116,140,119,100,35,129,5102,44,73,237,1021,1582,2324,3615,2524,403,446,448,495,520,333,341,14399
RA51,31,68,63,19,14,9,35,813,27,373,288,96,12,7,28,25,9,9,13,13,10,9,65,994,0,0,0,3,0,12,31,34,5,6,13,11,11,3,22,155,0,0,0,0,10,9,25,56,9,19,13,11,59,45,67,315,0,0,0,5,5,12,10,3,0,0,0,0,0,0,11,47,7,7,30,60,48,47,37,30,6,10,14,13,9,3,34,361,0,15,16,9,3,0,3,0,0,0,0,0,0,0,5,55,0,348,133,99,105,42,74,47,5,0,20,13,7,0,35,929,3,23,64,427,1052,1149,1107,1065,248,311,162,139,111,26,398,6286,0,3,0,3,8,5,10,31,7,9,16,9,5,0,11,116,0,0,0,4,67,97,109,662,105,177,172,162,169,78,71,1875,0,60,19,12,72,23,16,15,4,7,0,0,8,0,17,250,6,4,16,34,24,39,71,31,0,7,7,13,9,6,21,285
RA52,44,62,18,16,12,6,26,500,9,196,184,90,14,3,5,11,4,3,20,19,8,3,35,598,0,3,0,3,0,6,22,10,0,3,5,3,0,0,3,65,0,0,0,0,12,3,12,11,0,3,3,4,12,3,3,57,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,8,0,7,20,29,34,54,30,39,3,5,12,10,3,7,23,284,0,11,8,11,0,0,0,0,0,0,0,0,0,0,0,44,0,305,122,74,71,29,36,27,0,5,3,0,3,0,19,708,6,13,51,391,840,965,1049,1105,356,320,185,135,108,46,270,5835,0,0,4,3,0,0,10,19,3,24,16,11,8,7,3,107,0,0,0,3,109,163,162,762,168,235,211,135,177,97,86,2303,0,41,8,10,28,14,9,13,3,0,0,3,0,0,3,141,3,3,10,27,31,20,17,23,3,0,3,6,0,0,13,152
RA53,31,52,22,20,6,4,10,301,0,19,20,11,3,4,3,0,0,3,12,7,4,3,8,103,0,0,0,0,0,0,10,15,3,0,0,6,7,0,8,61,0,0,0,0,8,5,5,12,3,4,0,5,26,13,9,87,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,7,0,0,15,13,14,17,20,33,3,0,7,3,7,0,8,137,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,54,35,9,12,5,13,13,4,3,3,3,4,0,7,179,0,6,16,129,420,469,506,679,194,207,143,121,75,40,189,3200,0,0,0,0,0,3,9,26,0,5,7,0,7,5,0,60,0,0,0,0,45,72,68,387,126,170,158,131,135,60,48,1392,0,3,0,3,13,11,8,4,0,3,0,0,0,0,0,45,0,3,5,16,14,19,14,14,0,0,0,4,0,0,4,91
RA54,57,66,19,9,4,3,16,357,0,12,14,15,0,3,3,14,3,10,6,5,10,4,10,117,0,4,0,0,0,0,12,9,0,0,0,0,8,3,17,54,0,0,0,0,4,0,19,26,0,0,7,0,3,4,13,84,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,16,27,27,34,25,3,5,3,3,0,7,6,155,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,16,0,23,16,10,10,12,9,14,3,3,0,0,12,0,7,118,0,3,21,117,324,445,573,695,213,262,148,69,66,31,109,3079,0,0,0,0,3,0,4,4,0,3,6,0,0,0,0,24,0,0,0,0,25,37,66,180,56,74,90,73,73,38,21,734,0,0,0,3,11,4,0,9,0,0,0,0,0,0,0,36,0,0,3,3,6,4,15,19,0,3,0,0,0,0,4,50
RA55,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,3,3,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,3,3,0,0,3,9,0,49,0,0,4,0,0,0,0,0,3,0,0,3,10,4,8,33,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,3,3,4,4,8,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,0,3,0,3,0,0,0,0,0,9,4,0,34,0,0,0,22,32,36,33,43,13,17,8,6,3,4,42,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0,5,0,0,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12
RA61,13,8,16,20,9,7,8,475,4,148,324,100,15,19,15,8,0,4,9,7,0,7,54,717,0,3,6,9,13,37,79,67,23,14,10,13,19,12,18,330,0,0,0,10,24,71,105,137,14,27,11,36,35,40,30,529,0,3,3,21,18,4,3,0,0,0,0,0,0,0,0,68,3,4,40,65,78,86,160,138,40,81,92,110,182,165,44,1282,0,22,16,13,6,4,4,0,0,0,0,0,0,0,3,72,3,517,399,93,136,53,64,26,3,6,0,4,3,0,28,1349,17,37,127,381,613,574,513,259,55,61,45,54,32,33,118,2916,0,3,0,0,3,9,15,50,13,38,42,51,61,24,13,308,0,0,4,21,128,234,206,249,55,53,48,41,56,23,45,1166,0,88,62,26,117,95,25,29,4,5,0,5,3,3,21,486,9,7,15,28,21,27,77,52,20,31,37,30,67,60,18,504
RA62,9,4,3,0,0,0,4,186,0,25,44,21,7,0,3,8,0,0,0,0,0,0,3,117,0,0,0,0,3,11,17,10,0,5,0,3,9,3,3,77,0,0,0,0,0,9,8,7,0,5,3,0,16,10,9,63,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,13,0,0,11,28,8,12,16,12,6,6,4,0,5,3,0,115,0,15,15,9,3,3,0,0,0,0,0,0,0,0,0,38,0,280,198,85,73,26,54,21,3,6,0,3,3,0,24,777,13,13,60,259,436,374,360,123,23,19,33,18,31,19,79,1865,0,0,0,0,0,3,0,7,3,8,0,3,8,0,0,42,0,0,0,6,58,66,64,74,15,15,15,23,17,16,18,399,0,18,5,3,33,11,4,0,0,0,0,3,0,0,0,85,3,3,6,9,7,8,7,6,5,0,4,0,0,0,0,59
RA63,0,0,0,3,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,5,4,3,0,6,0,0,0,0,0,3,0,0,41,0,0,3,20,25,21,31,7,3,14,0,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,3,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA64,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,11,10,4,7,7,4,0,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,4,3,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
RA72,155,130,69,47,39,23,28,869,0,29,81,71,15,17,15,33,6,12,25,16,12,4,19,364,0,0,3,7,5,21,38,29,3,14,20,70,104,45,38,393,0,0,0,0,14,22,57,84,10,11,13,21,34,19,23,321,0,0,0,3,9,3,5,9,3,3,5,0,0,0,4,44,3,0,25,80,141,99,58,82,23,6,23,17,19,18,18,619,0,7,3,6,3,0,0,4,0,0,0,0,0,0,0,25,0,44,63,31,26,15,20,26,4,4,4,3,20,0,14,282,3,6,49,267,590,489,490,377,96,157,108,72,51,38,114,2896,0,0,3,5,10,10,14,87,22,39,31,29,30,22,10,312,0,0,3,53,313,470,404,1527,293,393,401,348,353,226,180,4963,0,4,4,5,18,17,12,13,0,3,0,3,3,7,7,92,0,0,8,51,37,41,35,25,8,7,4,13,9,6,18,259
RA73,6,9,4,7,3,0,0,110,0,16,24,13,3,0,4,7,3,0,8,4,6,3,10,97,0,0,0,0,0,4,14,4,0,0,0,5,8,3,4,41,0,0,0,0,3,6,3,11,3,3,3,5,15,7,4,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,11,6,5,5,3,0,3,0,0,0,4,61,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,17,17,12,12,3,9,9,3,3,0,0,3,0,8,99,0,0,10,92,161,133,156,168,51,86,79,79,52,32,69,1178,0,0,0,0,0,0,0,22,3,4,3,3,0,0,0,33,0,0,0,0,44,118,74,194,61,57,58,62,60,19,35,770,0,0,0,0,6,3,3,3,0,0,0,0,0,0,0,24,0,0,0,4,3,3,3,10,0,0,3,0,0,0,3,38
RA74,7,3,0,0,3,3,0,32,0,4,0,3,0,0,0,3,0,0,0,0,3,5,12,31,0,0,0,0,0,0,4,5,0,0,0,0,3,0,6,24,0,0,0,0,3,0,4,6,3,0,0,3,4,5,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,0,3,0,24,0,0,4,21,71,62,79,86,17,24,30,16,38,20,28,491,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,5,0,0,0,0,9,19,29,34,16,11,13,7,10,6,8,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,0,0,0,3,0,0,16,0,0,0,16,7,10,9,9,3,0,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
RA80,78,67,41,19,8,7,16,843,12,320,713,423,105,61,62,49,21,37,17,23,30,6,75,1938,5,16,13,30,54,87,223,141,30,26,22,33,30,30,56,791,0,0,0,19,92,207,499,600,135,175,135,122,115,90,97,2283,0,5,10,72,82,106,54,37,6,7,0,9,6,0,15,400,11,12,120,310,370,419,295,237,64,91,76,116,137,113,67,2431,0,84,78,62,15,15,3,15,0,3,0,0,0,0,9,285,0,335,269,103,77,45,60,63,16,14,13,7,18,10,15,1037,25,50,176,524,796,784,909,457,184,188,168,110,125,64,160,4722,0,4,3,17,25,123,419,468,109,150,189,173,191,88,44,1993,0,3,20,101,300,650,560,757,208,229,221,267,238,153,88,3790,0,80,90,52,268,255,67,52,3,15,6,13,6,3,23,942,7,6,44,134,97,123,182,115,26,32,42,35,87,76,21,1028
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
