RA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
RA23,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,5,7,3,3,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,3,14,3,27,0,3,12,4,0,0,0,0,0,0,0,4,10,12,12,58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,6,4,0,3,0,0,0,3,9,9,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,9,11,10,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,3,0,0,0,3,0,0,29,0,0,3,8,20,13,39,23,12,6,13,3,5,17,46,219,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,11,0,0,0,0,3,5,3,6,0,3,3,0,0,5,7,41,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,13
RA30,615,486,340,214,198,119,205,8731,106,1793,2420,1348,282,246,367,353,96,171,197,262,220,134,417,8409,5,62,54,122,252,1410,2816,1600,372,380,380,404,518,507,663,9546,0,0,3,36,242,1107,3319,4354,799,921,940,903,1227,938,831,15620,5,32,84,324,235,210,159,92,28,12,27,18,23,14,33,1296,25,25,444,1138,1550,1960,1999,1930,365,433,493,662,775,519,371,12689,6,562,456,230,102,45,45,22,4,12,6,3,0,3,39,1533,8,2419,2122,905,944,489,778,484,63,107,75,96,104,64,286,8942,153,356,1475,6705,20595,26495,38725,29647,7144,7006,5369,4079,3452,1980,5453,158638,0,10,14,47,95,152,708,838,234,312,424,383,367,266,116,3969,4,6,58,315,2502,5484,4148,5973,1127,1124,1070,1032,1083,567,718,25217,12,380,246,208,1105,905,454,343,66,78,85,66,90,31,111,4171,16,15,123,536,496,697,1293,883,163,198,235,312,331,320,192,5797
RA31,67,104,29,43,19,11,45,1293,18,283,298,201,37,17,38,40,10,13,15,21,38,35,82,1147,0,15,10,7,15,50,134,91,12,16,18,36,46,46,79,582,0,0,0,5,8,41,150,186,39,55,46,46,126,118,95,909,0,8,5,20,8,7,0,8,0,0,0,3,0,3,13,71,11,11,108,181,158,99,136,148,26,39,51,32,38,36,59,1132,9,271,136,78,32,16,5,3,0,3,0,0,0,0,21,576,5,990,817,307,355,120,202,138,17,21,22,14,12,10,88,3111,32,112,427,2151,5087,4517,4392,2827,725,667,535,289,227,145,1026,23162,0,0,4,9,5,8,40,88,21,53,73,52,49,31,14,446,0,3,14,52,620,915,805,1899,487,583,560,525,454,236,250,7403,0,54,37,22,115,66,27,50,7,14,7,3,6,0,17,426,6,4,31,105,49,43,93,55,5,12,20,26,29,25,24,534
RA32,69,75,43,19,38,18,33,1120,134,980,1044,304,64,42,61,79,22,46,48,53,72,32,203,3176,0,6,3,17,32,278,718,449,76,76,54,81,108,76,178,2141,0,0,0,3,24,46,203,401,97,109,121,117,198,142,201,1667,0,3,0,14,12,3,3,3,0,0,0,0,0,0,3,45,5,0,108,147,140,102,106,111,16,22,23,35,38,25,45,933,14,152,101,35,18,15,9,3,0,0,0,3,3,3,20,363,0,404,428,209,189,99,160,109,26,23,16,14,17,19,41,1745,26,45,329,1574,3298,2944,3189,2078,610,513,370,257,210,152,677,16259,0,4,3,5,8,7,29,49,11,34,21,16,16,11,10,219,3,0,10,55,532,928,758,1602,350,378,343,372,300,133,230,5988,0,24,31,21,109,58,43,59,9,3,3,7,10,0,10,390,0,0,24,89,40,55,47,33,11,9,5,6,10,5,13,347
RA33,13,8,6,3,0,0,5,112,3,53,52,15,3,0,4,0,0,0,0,5,7,3,26,176,0,0,0,0,0,8,4,0,0,0,6,0,18,9,30,82,0,0,0,0,3,0,9,6,3,0,0,6,12,3,25,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,6,3,6,3,3,3,0,0,3,3,0,39,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,32,31,12,3,7,3,0,0,0,0,4,0,6,3,107,3,11,20,133,279,239,332,323,122,132,82,64,56,39,87,1914,0,0,0,0,0,0,0,7,4,4,0,3,4,0,0,22,0,0,0,0,57,115,97,219,56,43,46,52,46,26,29,778,0,3,0,0,6,0,3,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7
RA34,5,0,4,3,0,0,4,48,0,3,3,4,0,0,3,0,0,0,0,0,5,0,0,25,0,0,0,0,0,0,8,3,0,0,0,0,0,3,3,18,0,0,0,0,0,3,0,3,0,0,0,3,3,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,7,7,0,0,3,0,0,3,0,3,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,24,17,8,5,0,7,3,3,0,0,0,6,3,3,73,0,0,14,72,111,140,105,69,28,17,19,8,23,3,43,641,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,10,0,0,0,0,21,18,16,67,19,7,16,16,9,13,12,216,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,12
RA35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,3,0,3,11,15,3,45,0,0,0,0,0,0,0,0,0,0,0,10,17,20,10,60,0,0,0,0,0,3,3,0,0,0,0,0,5,10,9,28,0,0,0,0,0,3,4,0,3,0,0,7,15,9,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,3,0,0,7,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,17,5,3,0,0,0,0,0,0,3,12,11,0,88,0,0,6,44,111,93,123,56,11,17,20,6,7,6,66,567,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,5,12,4,3,3,0,3,0,8,11,7,53,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,0,5,3,15
