RA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA10,54900,126173,339434,321843,280143,191363,50928,6317,829,1371927,97,287,632,791,1025,710,305,59,12,3909,14,96,539,524,398,160,26,5,0,1757,1419,2725,9484,11461,12138,7450,1200,102,15,45999,40,202,1141,1499,1273,615,67,0,0,4828,456,1967,7168,7881,6800,3667,764,89,12,28810,453,2137,8531,9087,7723,4335,837,60,15,33177,16923,23883,29808,23349,23220,14884,3215,277,24,135577,21973,18169,20233,11461,10657,6484,1149,98,23,90250,427,2007,6825,7529,7858,4704,747,44,3,30152,883,2605,8654,7250,4558,2085,428,39,3,26506,528,4827,23465,22423,15239,6922,1078,91,34,74610,655,2505,6549,5527,4682,2714,865,138,17,23656,1355,9973,33837,27448,19812,10775,2997,254,29,106482,712,4062,12533,11082,10759,6961,1577,136,13,47843,545,3225,15622,18803,17538,10541,1648,96,10,68020,3600,10937,32603,33917,35572,26884,5395,402,33,149343,4100,19843,57794,52554,56288,42719,9245,584,44,243171,1876,2998,4872,3993,3173,1836,557,78,15,19401,2122,4928,11331,9851,8854,5294,1232,120,10,43741
RA11,17960,25617,55116,60073,67957,56998,16995,2822,413,303958,229,464,983,1136,1591,1535,1254,364,67,7622,12,116,491,408,317,105,20,0,0,1477,733,711,1633,1927,2306,1494,295,36,3,9131,10,65,213,419,450,219,37,0,0,1403,123,350,1209,1681,1769,1159,258,22,3,6568,152,249,644,768,975,610,149,26,0,3580,6099,4540,6254,6283,7443,5586,1156,94,17,37480,7240,4412,4713,3932,4444,3203,707,39,5,28695,110,272,635,1052,1431,1191,320,26,4,5039,166,276,464,491,526,365,92,3,0,2394,97,461,1347,1463,1654,964,167,18,3,6179,189,539,936,1041,1160,819,255,33,4,4962,280,888,2709,3489,3376,2363,687,63,11,13870,194,557,1703,2321,3094,2193,556,58,10,10683,195,762,3439,4981,5293,3132,437,22,11,18273,539,1919,6518,9157,10652,8519,1376,108,12,38798,1135,4550,11474,13296,17722,15949,2440,120,15,66697,374,407,597,721,797,521,162,18,0,3598,570,1133,2127,2235,2335,1455,394,37,4,10298
RA12,4778,6809,14844,16612,20764,19974,7356,1756,319,93223,195,342,897,1204,1852,2087,1603,490,60,8731,10,51,152,114,102,40,6,0,0,480,199,256,594,645,705,509,115,10,3,3027,3,11,49,61,106,47,10,0,0,280,31,57,225,284,334,282,65,17,0,1295,43,79,189,243,280,174,58,8,0,1077,1449,926,1539,1637,2215,1753,324,39,14,9894,1475,907,1184,1124,1415,1211,263,27,0,7604,16,52,165,316,461,426,138,21,0,1593,34,52,95,106,116,99,20,4,0,515,41,118,373,331,388,220,23,3,3,1502,34,102,162,194,246,176,57,12,0,977,79,222,676,807,829,667,167,18,5,3463,50,128,402,635,937,689,176,21,0,3038,44,171,711,1081,1197,805,146,9,0,4147,130,515,1819,2626,3206,2425,417,24,5,11164,290,979,2608,3088,4713,4440,720,32,15,16885,63,81,152,155,202,150,56,7,0,867,164,291,497,531,503,423,106,16,3,2529
RA13,219,529,1295,1212,1441,1326,537,154,21,6723,12,53,142,178,252,267,128,55,3,1095,0,12,52,25,30,11,4,0,0,144,3,15,14,14,20,8,3,0,0,71,3,0,0,0,3,5,0,0,0,14,0,0,16,10,9,12,3,0,0,57,0,10,20,13,17,9,0,0,0,68,77,47,87,85,110,85,14,0,0,501,48,52,93,67,83,62,22,3,0,430,0,3,8,19,37,34,17,5,0,112,0,3,6,4,8,4,4,0,0,36,0,9,27,18,10,6,0,0,0,81,3,3,7,3,11,4,0,0,0,32,3,11,42,30,39,24,7,3,0,153,4,14,26,41,44,49,9,0,0,186,0,20,82,86,75,50,10,0,0,325,15,53,250,207,203,140,32,3,0,901,19,61,191,183,234,208,40,0,0,937,0,0,3,3,10,7,0,0,0,34,7,15,32,23,19,18,4,0,0,115
RA14,27,67,193,201,252,246,108,29,0,1121,10,15,17,26,37,62,30,7,0,200,0,0,3,0,4,0,0,0,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,3,3,7,5,12,12,0,0,0,49,4,6,14,14,28,28,5,0,0,106,0,3,0,4,6,0,0,0,0,19,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,4,3,3,0,0,0,0,16,0,0,0,10,14,5,4,0,0,36,0,3,27,24,19,12,3,0,0,84,0,12,40,36,36,33,7,0,0,165,3,8,25,22,38,28,10,0,0,125,0,3,0,3,0,0,0,0,0,4,0,0,4,3,7,4,0,0,0,20
RA15,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,6,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA19,63,284,637,441,319,228,61,3,5,2042,3,21,30,4,3,4,0,0,0,64,0,0,3,3,0,0,0,0,0,7,0,4,20,6,3,3,0,0,0,41,0,0,3,0,0,0,0,0,0,3,0,4,13,0,10,0,0,0,0,27,0,3,3,3,3,3,0,0,0,23,3,27,42,9,15,13,0,0,0,108,17,65,81,14,10,17,3,0,0,196,0,3,5,6,0,0,0,0,0,23,0,3,13,4,3,0,0,0,0,27,0,3,17,12,15,3,0,0,0,44,0,3,11,3,4,4,3,0,0,20,0,16,38,13,8,11,4,0,0,84,3,9,24,20,10,4,0,0,0,72,5,11,20,10,16,12,0,0,0,74,3,20,29,20,25,20,4,0,0,124,3,13,61,26,42,38,5,0,0,186,5,11,17,8,9,0,0,0,0,49,0,16,13,9,0,3,0,0,0,42
RA20,42275,104991,289258,262947,229995,153857,41321,5023,749,1130425,104,348,876,947,1086,682,259,65,10,4374,4,31,276,396,247,127,19,3,0,1103,2126,3018,9872,11860,12662,7461,1285,100,7,48393,40,397,2335,2031,1298,555,67,3,0,6736,254,1437,5469,5680,5336,2742,611,50,13,21586,471,2072,6857,7305,6850,3556,669,51,9,27839,15070,23738,27253,19852,20525,12574,2540,192,14,121757,17732,16274,16195,8566,7702,4329,759,75,11,71643,274,1778,6168,6327,6440,3606,548,34,6,25183,681,1696,5559,4612,3180,1491,261,14,5,17501,220,2828,15042,13453,9482,4313,777,53,22,46194,364,1968,5523,4085,3470,1952,596,78,22,18056,634,6645,27488,22242,16147,8438,2275,184,24,84081,440,3256,10463,8651,8654,5445,1263,119,11,38303,307,2273,12429,14421,13853,8523,1575,124,17,53534,2423,8108,30127,29867,31808,22351,3980,255,45,128956,1865,14926,52498,45695,46943,34298,6953,404,53,203636,2041,3361,5197,3943,3182,1734,542,55,17,20074,1158,4081,9767,7701,7394,4188,998,80,8,35382
RA21,14127,21643,45445,50164,56826,48285,14481,2467,461,253894,251,489,1184,1571,2032,2172,1516,427,54,9705,5,29,96,111,116,63,11,0,0,425,932,989,1831,2225,2671,1871,326,19,3,10869,18,67,330,397,393,196,23,0,0,1432,100,272,954,1289,1355,828,153,16,0,4978,118,261,556,647,836,506,105,7,0,3045,4633,3727,4728,4826,6132,4377,820,63,13,29327,5281,3329,2901,2693,3005,2085,470,35,17,19816,74,219,625,863,1230,933,238,22,10,4212,139,237,477,484,469,317,86,5,0,2210,56,390,1303,1463,1442,724,119,16,3,5516,88,309,645,669,719,450,136,11,4,3024,218,745,2191,2672,2653,1705,462,36,7,10695,131,431,1176,1627,2067,1576,396,39,14,7460,120,684,2695,3726,4226,2896,486,30,11,14872,455,1472,5379,7049,8437,6434,964,47,17,30254,665,3709,10292,11183,14789,12890,1976,94,32,55638,388,482,654,767,800,559,188,14,3,3855,399,1019,1767,1599,1700,1197,297,23,6,8007
RA22,2865,4152,8925,9368,11889,11664,3974,915,148,53900,110,193,528,757,1037,1174,766,216,17,4804,0,3,13,16,18,11,3,0,0,69,139,118,265,308,429,331,70,8,0,1688,0,14,46,59,75,41,0,0,0,231,7,30,119,184,222,156,28,10,0,747,31,54,106,119,169,111,18,0,0,617,1042,587,834,983,1383,1033,172,8,3,6051,935,558,699,695,810,668,168,15,3,4553,12,61,104,159,274,233,60,3,3,909,27,36,57,66,72,50,12,0,3,323,11,83,182,185,214,151,24,3,0,852,19,48,103,120,106,94,30,4,0,521,27,127,385,405,402,307,99,3,0,1752,36,104,283,340,466,398,69,14,0,1705,23,102,416,587,771,521,123,6,0,2547,85,308,1049,1328,1687,1339,215,14,7,6034,165,754,1881,2026,3023,2945,450,16,7,11271,62,58,96,128,98,77,25,3,0,547,61,159,294,281,325,212,81,3,4,1415
