RA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
RA23,7,25,75,102,145,173,84,22,3,637,4,3,8,12,14,37,11,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,3,0,0,0,8,5,0,5,11,13,14,0,0,0,47,5,3,8,3,24,12,7,0,0,62,0,0,0,0,7,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,6,0,0,0,0,3,5,0,0,0,17,0,0,0,0,5,7,3,0,0,12,0,0,3,3,4,12,0,0,0,24,3,9,11,19,24,19,4,0,0,98,3,5,6,21,23,40,7,0,0,110,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,12
RA25,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,42,145,420,264,195,140,24,3,0,1242,0,6,3,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,6,0,3,10,7,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,3,0,0,0,20,0,0,4,3,3,3,0,0,0,12,8,11,15,14,6,4,0,0,0,62,11,50,46,8,11,4,0,0,0,130,0,9,3,6,3,0,0,0,0,23,0,0,3,0,4,0,0,0,0,9,0,0,11,3,3,0,0,0,0,22,0,0,5,0,4,0,0,0,0,13,0,4,30,13,0,9,0,0,0,59,0,6,16,4,0,6,3,0,0,37,3,3,10,9,6,4,0,0,0,36,0,10,26,19,10,13,0,0,0,70,0,12,49,22,29,18,3,0,0,139,0,0,17,4,0,4,3,0,0,28,0,3,19,5,7,5,0,0,0,38
RA30,36900,71552,168644,164741,150666,100258,26274,2885,307,722218,129,358,790,721,732,491,182,45,3,3438,13,131,1170,1062,596,271,31,3,3,3278,1186,1707,4626,5496,6140,3553,712,47,8,23472,38,136,854,1094,808,421,43,3,0,3395,359,1197,4028,4538,4208,2443,501,29,3,17309,365,1035,2997,3266,3281,1690,379,26,0,13039,12446,14315,15680,12396,13314,8890,1980,107,14,79133,16440,11428,11841,6735,5911,3563,721,48,17,56708,259,1227,4044,4262,4518,2609,551,41,3,17531,547,1102,2087,1747,1542,850,148,10,0,8027,252,1694,6995,6663,5118,2616,398,41,10,23780,474,1674,3768,3373,3561,2404,786,93,12,16145,948,4990,13306,12535,9345,4997,1304,92,7,47521,598,2486,6845,6429,6299,4162,945,71,8,27836,317,1994,9427,11929,10816,5914,767,32,3,41206,1815,5283,17195,22992,24335,15241,2540,152,13,89562,2789,12349,33364,31912,34200,24313,4397,195,7,143535,1312,1882,2804,2467,2101,1257,383,32,5,12239,1354,3118,6833,5681,5231,3022,729,39,5,26018
RA31,12199,17414,37697,40985,45695,35652,9369,1374,202,200581,216,485,1046,1031,1323,1333,839,213,25,6505,12,130,430,359,346,128,15,0,0,1423,480,514,1241,1449,1638,1043,164,9,6,6550,19,66,312,305,276,148,20,0,0,1151,123,290,983,1126,1312,796,160,12,0,4804,142,251,530,637,780,450,67,9,0,2868,4225,2956,3887,4276,4995,3170,585,37,5,24136,4609,2281,2483,2244,2310,1476,288,19,3,15712,87,227,705,916,1194,851,208,18,0,4211,106,203,251,212,227,164,52,3,0,1218,91,365,1014,986,1004,512,70,10,0,4051,169,372,599,679,820,602,167,32,0,3436,294,800,1935,2019,1898,1225,299,19,0,8488,149,386,1077,1422,1817,1258,290,28,4,6422,114,510,1961,2451,2713,1596,219,13,0,9580,410,1262,4260,6934,7964,5219,760,59,3,26872,917,3062,7377,8400,11110,8928,1320,54,8,41179,263,235,378,431,441,260,89,19,0,2114,507,850,1504,1490,1492,993,230,31,0,7096
RA32,8687,13953,31778,32140,33858,25985,7363,1309,185,155261,194,473,1076,1057,1338,1261,821,234,25,6471,39,194,628,522,409,163,15,3,0,1973,222,253,645,692,815,572,119,12,0,3332,8,51,189,238,211,104,8,0,0,802,77,188,628,821,822,510,110,6,0,3165,71,134,391,487,491,328,60,3,0,1966,3045,2245,2956,3063,3518,2457,525,43,6,17858,3000,2024,2717,2280,2201,1462,301,33,3,14028,98,266,794,888,1110,700,167,24,0,4051,87,143,216,206,169,90,25,3,0,938,59,215,719,630,609,318,51,3,0,2619,114,246,533,551,563,465,131,19,3,2618,191,547,1473,1547,1276,814,215,16,3,6076,143,417,1100,1258,1431,1049,194,18,3,5621,120,667,2235,2600,2423,1401,169,16,3,9633,305,1100,3704,5094,5488,3481,558,42,3,19775,576,2168,5835,6240,7205,5636,948,51,8,28663,178,192,382,371,347,229,55,9,0,1774,338,604,1188,1209,1094,644,192,12,0,5280
RA33,786,1516,4055,3697,3830,3060,1007,231,27,18211,70,114,258,363,429,379,225,61,13,1925,14,69,327,219,161,60,9,0,0,855,14,21,59,51,75,30,9,3,0,275,0,0,25,19,13,7,0,0,0,56,3,22,50,52,66,39,16,0,0,250,3,15,45,36,43,20,11,0,0,172,201,124,228,248,287,191,50,3,0,1335,159,246,419,209,251,172,32,6,0,1490,10,27,88,86,92,65,21,5,0,395,7,13,11,11,14,7,5,0,0,73,9,10,50,34,25,14,0,0,0,144,4,17,40,35,27,18,5,3,0,162,9,29,86,91,63,48,17,0,0,347,27,54,124,113,124,85,21,5,3,559,21,66,208,191,242,126,18,0,0,865,35,197,483,506,459,317,47,0,0,2044,49,176,488,388,560,427,84,7,0,2166,5,10,22,28,27,20,3,3,0,113,31,51,127,115,76,52,19,0,0,460
RA34,588,1061,2456,2303,2480,2202,669,157,15,11934,57,136,284,258,322,329,157,35,3,1585,4,17,104,65,61,19,7,0,0,280,14,24,27,34,28,9,3,0,0,137,0,3,0,5,3,3,0,0,0,16,4,15,56,32,38,17,0,0,0,168,6,13,29,15,26,10,3,0,0,97,112,91,165,166,169,132,39,5,0,866,81,115,175,114,167,121,43,0,0,818,8,14,43,47,59,42,19,3,0,228,0,5,8,9,6,8,3,0,0,44,0,10,31,19,14,9,0,0,0,88,0,3,14,13,21,5,0,3,0,58,4,18,42,47,49,30,8,0,0,198,12,20,57,68,71,48,16,0,0,288,40,74,274,310,287,154,25,3,0,1165,37,167,471,356,337,240,33,4,3,1644,41,134,371,335,415,367,62,3,0,1727,4,10,13,24,23,28,3,0,0,91,27,40,88,71,67,53,3,0,0,349
RA35,3,3,3,9,8,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,52,223,564,324,310,212,59,3,0,1743,10,85,93,3,3,20,3,0,0,216,0,0,4,3,10,3,0,0,0,19,3,3,16,5,6,3,0,0,0,37,0,0,0,0,3,0,0,0,0,3,0,3,4,0,6,3,0,0,0,23,0,3,7,0,0,3,0,0,0,12,5,20,23,9,16,20,0,0,0,89,21,56,85,15,20,27,3,0,0,230,0,3,3,3,10,10,0,0,0,28,3,0,6,0,3,0,0,0,0,9,0,0,0,7,0,3,0,0,0,17,0,0,4,0,3,6,0,0,0,16,0,6,23,8,7,14,0,0,0,63,0,19,28,7,17,15,0,0,0,85,3,6,16,10,13,9,3,0,0,56,0,3,30,23,12,14,3,0,0,88,0,14,55,28,39,38,8,0,0,171,0,7,15,7,3,4,0,0,0,33,3,10,15,9,5,12,0,0,0,50
RA40,11981,26599,65049,62651,61679,44839,11392,1341,173,285707,45,124,272,363,412,268,123,27,0,1637,3,33,270,226,187,74,18,0,0,807,576,768,2086,2432,2808,1786,335,20,6,10820,5,93,577,504,421,199,23,3,0,1829,112,436,1194,1244,1347,869,238,22,4,5463,93,318,990,1119,1254,743,162,12,0,4686,5161,6214,6420,4815,5845,3747,773,59,5,33038,5458,4669,4062,2323,2091,1223,269,20,4,20119,65,344,992,1044,1229,746,144,11,0,4571,183,345,942,679,522,360,102,8,0,3144,70,572,2603,2674,2545,1392,204,14,5,10075,90,366,919,812,894,652,210,29,3,3976,190,1216,4219,4118,3371,2113,552,50,0,15845,151,751,2380,2311,2731,1921,442,31,5,10720,79,791,4453,5474,5291,3541,429,18,0,20076,540,2009,6758,7716,8660,6859,1275,83,6,33921,674,4843,15250,14334,16547,13270,2213,93,14,67236,437,639,862,763,701,477,144,20,0,4046,380,1170,2499,2087,2243,1512,387,27,0,10310
RA41,2488,4106,8368,9585,11584,9818,2938,488,73,49450,53,132,260,357,481,466,312,101,5,2169,0,4,22,33,43,15,5,0,0,124,226,244,469,638,786,498,99,8,3,2970,0,8,26,48,61,33,6,0,0,179,24,51,170,215,282,205,53,3,0,1009,27,68,165,165,205,125,29,3,0,797,896,759,931,1014,1274,890,179,8,0,5963,1120,624,567,538,596,377,69,7,3,3904,14,46,133,159,259,200,50,8,0,875,24,47,66,67,70,51,17,0,0,345,15,53,238,274,256,164,25,0,0,1031,22,64,128,136,182,119,30,3,0,677,25,124,372,467,491,356,104,8,0,1957,30,87,282,359,566,387,88,13,4,1809,22,82,427,664,753,411,65,0,0,2421,55,243,916,1341,1540,1239,211,12,7,5559,148,617,1515,1922,2882,2514,399,13,6,10011,42,81,90,113,122,79,25,3,0,556,78,165,320,330,332,241,59,8,0,1527
RA42,1957,2999,6564,6981,8838,7764,2424,471,96,38100,69,113,346,500,724,739,483,123,15,3115,0,13,51,42,34,22,3,0,0,159,94,110,273,337,351,237,55,12,4,1460,0,6,23,18,32,26,5,0,0,108,10,27,84,131,165,123,26,6,0,576,24,30,83,109,125,74,16,0,0,462,678,458,686,765,1066,683,115,7,4,4462,627,370,455,418,609,449,92,6,0,3024,9,33,50,115,182,157,51,3,0,596,10,27,52,35,34,37,3,0,0,202,15,52,154,160,150,81,18,4,0,632,13,19,53,95,101,59,21,3,0,370,19,81,224,208,212,147,34,7,0,925,25,68,214,235,379,281,66,3,0,1261,20,84,313,453,508,281,41,0,0,1703,47,223,808,988,1055,901,176,5,0,4210,117,545,1261,1380,2085,1938,256,11,7,7593,16,21,35,36,49,33,14,3,0,211,39,101,177,216,239,157,48,3,0,985
RA43,551,754,2069,2065,2418,2074,640,118,23,10715,17,39,122,173,210,251,106,21,4,951,3,23,79,38,59,22,0,0,0,229,32,25,46,53,80,53,3,0,0,295,0,4,11,7,6,0,0,0,0,25,3,4,44,42,50,27,9,0,0,182,6,9,35,37,41,23,0,0,0,165,202,104,205,240,251,194,36,8,0,1228,125,116,164,156,165,129,36,4,0,890,0,13,25,40,76,43,17,0,0,213,4,4,14,11,8,5,3,0,0,49,5,12,50,52,52,12,0,0,0,186,0,3,20,28,35,19,3,0,0,110,7,23,66,61,61,40,13,0,0,274,9,26,64,75,86,62,23,0,0,346,6,20,86,111,105,82,10,0,0,433,6,63,250,275,275,217,41,3,3,1127,25,90,289,263,470,419,48,0,0,1608,4,11,23,20,19,12,6,0,0,96,10,26,64,74,67,37,14,0,0,300
RA44,106,228,601,613,662,622,196,38,7,3084,4,12,49,62,57,62,30,3,0,285,0,3,15,12,12,14,0,0,0,56,0,0,0,5,8,4,3,0,0,28,0,0,0,3,3,0,0,0,0,5,0,3,3,9,13,14,0,0,0,47,0,3,5,5,8,5,0,0,0,41,30,27,37,43,51,33,7,3,0,238,16,26,46,38,44,43,6,0,0,219,0,7,3,8,8,10,4,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,9,6,4,5,0,0,0,21,0,0,10,3,4,6,0,0,0,22,0,3,7,13,13,14,3,0,0,52,3,4,26,13,36,16,5,0,0,96,0,9,38,36,31,17,3,3,0,138,5,42,111,108,103,82,21,0,0,470,0,33,78,90,122,129,24,0,0,482,3,3,3,11,13,10,3,0,0,42,0,7,16,26,15,6,3,0,0,76
RA45,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,13,52,160,87,76,62,14,0,0,465,3,15,17,3,3,0,0,0,0,40,0,0,0,0,0,3,0,0,0,3,0,0,11,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,3,3,0,6,4,0,0,0,23,5,4,8,5,4,3,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,3,4,3,0,0,0,0,0,15,0,0,3,3,5,7,0,0,0,17,0,0,5,7,6,4,0,0,0,19,0,0,12,6,16,13,0,0,0,51,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,3
RA50,21423,44453,118514,108078,99750,68017,18559,2166,224,481176,65,200,495,470,565,404,196,37,3,2423,39,510,3453,2663,1855,718,86,4,3,9328,822,1037,2959,3107,3143,1937,339,32,3,13372,5,139,891,801,672,340,41,3,4,2901,219,990,3805,3418,2930,1653,336,27,0,13376,163,673,1937,1769,1915,1156,232,20,0,7870,7940,9383,10120,8073,9114,5873,1229,87,4,51827,8472,6556,7347,3810,3204,1878,332,36,3,31650,198,872,2402,2193,2343,1567,297,23,0,9902,298,508,1017,762,632,414,125,17,0,3773,104,917,3930,3356,3032,1635,260,29,4,13262,185,856,2188,1853,1966,1367,449,55,3,8913,335,2282,8604,7113,5773,3102,833,70,9,28127,273,1337,4054,3646,3467,2314,539,43,3,15682,204,1354,6370,6702,7081,4745,770,30,6,27269,1051,3247,10654,13906,16343,11142,2022,129,17,58509,1314,7362,21439,19289,20438,16036,3249,162,18,89317,813,1211,1855,1509,1299,827,235,26,3,7774,899,2105,4850,3493,3439,2004,456,47,8,17298
RA51,2745,3757,8913,10709,11831,9070,2630,388,54,50097,54,90,228,270,356,340,257,59,5,1657,9,35,184,210,220,96,4,0,0,758,131,149,450,440,423,275,46,5,0,1926,0,15,67,54,85,33,3,0,0,259,28,91,327,354,389,253,49,4,0,1492,29,43,86,137,143,89,19,3,0,548,1037,621,996,1133,1433,970,152,14,3,6346,886,496,754,674,681,415,97,4,4,4017,15,49,120,183,258,213,52,3,0,898,23,33,51,60,53,41,3,0,0,265,21,61,218,230,207,97,13,0,0,847,27,98,131,187,215,149,37,7,0,861,45,109,351,485,406,310,80,7,0,1791,45,89,286,416,509,336,82,8,0,1771,42,147,425,616,742,459,70,3,0,2506,74,199,794,1571,1917,1294,203,10,0,6061,167,515,1310,1763,2252,1957,336,18,0,8327,58,66,143,135,131,102,23,3,0,657,119,204,357,377,381,246,56,7,0,1748
RA52,2252,3323,7948,8472,9913,8187,2781,535,67,43485,59,100,343,455,583,624,435,108,4,2716,11,77,336,260,239,88,13,3,0,1029,85,54,180,190,213,165,34,3,0,934,0,3,19,35,34,21,4,0,0,116,20,56,159,200,225,130,32,3,0,834,24,66,136,110,157,69,13,3,0,591,863,458,766,851,1091,702,124,7,0,4860,590,348,562,554,611,442,102,9,0,3220,19,55,127,174,277,237,76,3,0,984,35,36,50,31,43,26,14,0,0,230,26,74,215,157,170,89,13,3,0,740,23,84,114,113,136,101,35,6,0,616,42,108,296,336,354,229,59,3,0,1425,28,81,207,256,335,272,61,4,0,1242,49,121,424,554,610,416,64,9,0,2241,40,209,822,1422,1677,1170,195,12,5,5557,141,415,1205,1404,1740,1661,298,13,3,6883,45,46,80,108,106,98,19,3,0,503,104,162,263,287,311,203,52,3,0,1388
RA53,833,1546,5395,5167,4889,3599,994,199,37,22670,18,45,183,267,349,310,160,40,6,1371,6,72,349,233,141,40,4,0,0,837,21,21,74,49,46,16,10,0,0,238,0,12,38,28,24,11,0,0,0,114,3,25,126,120,75,60,13,0,0,429,9,31,72,49,56,11,4,0,0,233,275,171,360,328,376,247,40,8,0,1815,162,188,413,261,264,187,35,3,0,1514,7,60,192,181,179,110,25,0,3,765,9,10,30,27,31,11,4,0,0,116,7,28,89,42,55,30,3,3,0,257,13,57,92,88,82,44,9,0,0,386,3,30,159,147,117,75,17,3,0,550,11,59,193,168,181,104,29,0,0,744,21,65,337,340,265,191,24,0,0,1238,32,138,606,772,627,399,53,9,0,2633,61,196,685,658,655,505,102,7,3,2880,21,11,51,61,46,26,6,0,0,215,28,76,174,132,109,60,7,3,0,591
RA54,376,1241,5875,5064,4536,2905,655,71,5,20737,23,63,135,125,126,125,43,19,0,657,6,92,492,315,282,124,13,0,0,1323,5,4,32,19,20,12,7,0,0,105,0,3,12,11,9,11,0,0,0,39,3,21,111,73,88,58,3,0,0,364,3,10,15,8,16,13,3,3,0,73,83,71,177,178,175,134,22,3,0,842,58,125,313,174,189,130,34,7,0,1030,10,34,74,66,77,63,14,0,0,334,0,4,7,19,9,11,0,0,0,43,0,4,30,13,14,10,0,0,0,68,3,6,37,42,26,20,3,0,0,137,6,14,70,63,60,39,10,0,0,259,14,57,127,122,120,79,15,3,0,548,16,59,220,218,198,137,21,0,0,860,33,128,446,420,371,240,39,0,0,1678,28,91,301,302,308,309,56,6,0,1391,4,13,38,29,21,25,4,0,0,135,23,44,110,82,54,36,5,0,0,361
RA55,0,11,91,97,73,33,4,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,6,101,376,230,211,157,34,0,0,1128,0,15,25,5,3,4,0,0,0,49,0,3,9,14,5,3,0,0,0,39,0,3,12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,4,5,0,6,0,0,0,17,0,0,5,0,0,0,0,0,0,4,5,12,16,10,12,10,0,0,0,62,4,26,52,14,17,24,0,0,0,136,0,0,13,9,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,12,7,7,4,0,0,0,38,0,10,15,6,9,10,0,0,0,53,0,0,8,0,0,9,0,0,0,17,0,4,5,10,9,10,3,0,0,41,0,9,21,9,14,15,0,0,0,67,0,0,9,0,3,0,0,0,0,20,0,0,8,3,0,3,0,0,0,15
RA61,3773,6923,15674,15633,16919,13035,3221,416,61,75654,14,57,171,190,191,134,46,11,0,812,0,0,8,14,11,7,3,0,0,42,220,224,346,445,513,396,59,5,0,2206,4,38,195,221,167,81,9,0,0,714,21,77,195,283,283,211,58,0,0,1124,49,62,159,182,245,169,21,3,0,896,1494,1581,1745,1583,1811,1138,239,24,0,9612,1698,1337,1351,851,821,480,112,5,0,6655,40,101,214,283,355,266,61,3,0,1328,65,127,281,212,210,146,20,3,0,1058,31,164,636,600,477,311,31,5,0,2263,30,123,220,214,230,165,45,11,0,1042,86,230,861,881,794,511,136,12,0,3511,54,168,473,513,599,457,97,12,0,2371,50,249,1415,1973,2015,1232,136,7,0,7084,83,416,1733,2574,2906,2190,346,18,3,10276,249,1335,3497,3545,4627,3911,597,30,6,17800,144,179,288,301,282,201,45,10,0,1445,128,318,637,648,617,371,104,11,0,2843
RA62,1675,2519,5149,6033,7796,6917,1897,343,48,32381,65,106,265,356,487,442,209,61,4,2005,0,3,23,11,27,19,4,3,0,94,98,124,207,286,417,266,30,7,0,1434,0,6,29,29,43,27,0,0,0,138,9,30,72,122,126,103,21,0,0,479,16,21,71,78,116,64,11,0,0,383,607,396,617,726,812,561,107,9,0,3836,586,364,429,448,568,391,98,4,0,2893,6,22,79,137,190,165,50,3,0,665,9,12,42,27,44,54,6,0,0,209,15,50,110,117,119,81,7,0,0,504,13,42,59,69,120,71,24,3,0,394,18,85,198,256,262,219,66,0,3,1100,31,70,159,218,316,235,45,6,0,1076,16,73,273,456,579,422,51,0,0,1866,31,115,506,885,1085,847,138,9,0,3609,93,359,896,1104,1923,1680,233,10,0,6298,40,45,75,80,92,89,17,0,0,444,50,115,215,192,222,141,35,3,0,980
