RA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA23,..,5,3,0,3,7,3,0,0,32,..,4,8,10,21,53,43,42,26,205,3,3,3,4,5,10,16,5,3,53,201,102,80,134,175,251,227,110,44,1310,..,3,60,143,186,279,278,135,22,1111,..,22,38,43,47,39,23,3,0,215,..,3,3,18,27,16,15,3,6,91,403,..,..,..,..,..,..,..,..,403,..,83,..,..,..,..,..,..,..,83,..,39,16,7,8,6,0,0,0,85,..,8,5,0,3,6,4,3,3,33,..,0,5,0,3,0,0,0,0,8,..,12,8,3,11,12,5,3,0,59,..,7,27,28,62,134,111,71,49,488,11,11,13,15,13,17,36,12,4,122,417,189,179,257,360,508,479,232,85,2703
RA25,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,279,344,173,120,132,83,17,3,1302,154,279,344,173,120,132,83,17,3,1302,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,314,539,839,476,367,299,190,47,14,3080,314,539,839,476,367,299,190,47,14,3080
RA30,..,21119,17924,4795,4955,5040,2944,1068,236,58086,..,4631,11469,11159,15299,24623,28775,22706,12846,131517,4366,6928,5450,2717,2700,3342,2614,1415,692,30227,262807,184876,205046,197872,188760,155454,116282,59509,23497,1394100,..,8478,145319,226833,218891,183426,140231,60017,12520,995713,..,33037,86099,49964,36086,19748,8431,1908,283,235551,..,4570,18004,33265,36324,17869,8083,5517,3678,127302,531368,..,..,..,..,..,..,..,..,531368,..,135647,..,..,..,..,..,..,..,135647,..,88242,41474,14916,9350,4696,860,28,0,159568,..,19198,12235,4509,5889,8930,8190,5691,3348,67988,..,17281,14913,5135,3901,2503,1127,363,98,45314,..,42184,42562,12854,11342,10479,6334,2303,505,128569,..,9410,26148,27346,33756,42834,44461,31605,17294,232860,8704,13193,11832,6768,5799,5733,4483,2262,939,59713,540075,371242,398576,381588,361337,296213,222207,109686,38672,2719602
RA31,..,2851,2028,869,1601,1760,1238,402,114,10849,..,1601,2679,2439,5339,8955,10597,8932,4505,45044,1553,2248,1431,827,1219,1766,1452,771,280,11556,83793,48737,48684,53456,60894,58366,47360,24087,8067,433449,..,2927,36663,58179,68196,70878,60589,25973,4640,328039,..,11348,19926,13603,12757,8268,4077,934,122,71029,..,2304,7265,10905,10311,4530,2420,2061,1113,40915,168453,..,..,..,..,..,..,..,..,168453,..,33535,..,..,..,..,..,..,..,33535,..,28197,9705,4634,3515,1624,271,12,0,47961,..,4023,1908,989,1717,2704,2581,1885,1077,16888,..,3594,2173,1181,1157,809,452,153,50,9568,..,5710,4957,2336,3517,3702,2678,968,205,24087,..,3217,6601,6878,12258,17422,18283,13325,6261,84237,3164,4643,3473,2270,2580,3181,2733,1258,398,23703,171616,99502,92673,100962,116017,113112,94090,46565,13876,848417
RA32,..,2817,2292,822,1192,1183,661,204,48,9216,..,1384,2442,2280,4068,6076,6035,4631,2243,29167,1160,1650,1204,607,909,1074,870,389,122,7984,59840,34702,39049,40317,41805,37042,25756,12220,4044,294779,..,1833,27309,42073,45762,43655,32319,12930,2200,208085,..,9046,18125,11913,9895,6119,2436,509,66,58113,..,1456,5056,7798,7069,3369,1631,1219,665,28268,121180,..,..,..,..,..,..,..,..,121180,..,22528,..,..,..,..,..,..,..,22528,..,17927,6131,2795,1982,945,145,11,0,29935,..,3405,1726,825,1236,1852,1615,1076,584,12325,..,2485,1808,790,764,493,269,109,27,6746,..,5670,5364,2186,2605,2681,1532,502,93,20637,..,2872,6114,6291,9993,13164,11947,7415,3178,60980,2412,3242,2659,1631,1921,2060,1598,667,188,16387,123593,70482,74291,76302,81235,74350,53498,24438,7002,585185
RA33,..,168,186,43,92,106,45,15,0,651,..,156,273,199,321,466,457,339,138,2355,139,171,159,95,135,139,97,58,10,999,6502,3088,4256,3756,3915,3435,2184,946,246,28326,..,215,3170,4158,4415,4103,2792,1020,134,20002,..,994,2194,1304,1081,781,271,55,4,6688,..,219,421,584,594,280,169,103,55,2426,13077,..,..,..,..,..,..,..,..,13077,..,1420,..,..,..,..,..,..,..,1420,..,1784,659,290,186,80,19,0,0,3013,..,475,206,152,220,225,168,84,31,1551,..,192,126,66,74,58,32,5,0,546,..,377,405,156,219,230,132,34,6,1557,..,368,746,622,1069,1375,1234,675,224,6313,300,357,352,242,287,322,198,90,24,2177,13372,6393,8282,7567,8136,7446,5015,2064,478,58762
RA34,..,145,124,39,55,46,22,14,3,449,..,132,231,162,251,403,376,279,113,1950,191,183,148,89,110,125,89,31,9,977,5607,2805,3415,2871,2998,2503,1508,653,196,22555,..,138,1622,2363,2823,2774,1600,559,83,11959,..,875,1980,1350,1089,546,174,32,8,6055,..,273,571,538,482,268,152,79,37,2394,11153,..,..,..,..,..,..,..,..,11153,..,824,..,..,..,..,..,..,..,824,..,1719,628,217,151,44,3,0,0,2771,..,734,356,278,279,276,201,101,28,2250,..,169,112,49,52,40,22,5,0,446,..,259,268,97,116,133,68,23,5,969,..,266,519,501,754,1030,911,531,172,4688,382,404,314,216,241,253,174,55,18,2053,11537,5653,6371,5620,5990,5358,3311,1381,352,45573
RA35,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,0,0,3,0,0,0,4,0,0,9
RA39,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,197,296,383,206,262,480,297,51,0,2180,197,296,383,206,262,480,297,51,0,2180,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,402,654,939,620,610,860,634,126,5,4858,402,654,939,620,610,860,634,126,5,4858
