RA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA40,..,7018,5766,1508,1607,1731,959,347,95,19017,..,2216,5986,5384,8120,13645,15423,13497,8683,72951,1546,2499,2115,1044,1042,1228,1143,679,382,11692,99716,73563,81719,75969,79049,72358,55325,32190,13957,583845,..,3323,59542,87453,88548,82662,65993,32351,7655,427519,..,9835,29998,17838,14873,9323,3715,864,159,86606,..,1727,7443,13373,16454,9122,3504,2771,1763,56143,201493,..,..,..,..,..,..,..,..,201493,..,62641,..,..,..,..,..,..,..,62641,..,35472,21349,6601,4622,2171,349,13,0,70572,..,7814,4784,1696,2124,3286,2422,1741,1103,24970,..,5112,4078,1352,1004,614,250,64,17,12489,..,14556,14282,4265,4116,3644,2006,700,194,43764,..,4455,13758,14036,19413,24778,23706,18462,11559,130172,3175,4862,4863,2736,2426,2215,1918,1037,527,23766,204669,149791,160094,149345,153581,137817,103854,58007,22980,1140144
RA41,..,352,308,122,264,280,200,72,10,1613,..,294,604,600,1309,2324,2771,2328,1323,11546,279,524,298,149,223,355,335,145,57,2359,17803,10920,10033,11882,14477,14204,12025,6003,2204,99552,..,569,7896,13437,16663,17777,15953,6996,1442,80729,..,1888,4255,3259,3442,2335,1038,231,48,16504,..,292,1161,2217,2483,1128,432,334,223,8266,35894,..,..,..,..,..,..,..,..,35894,..,9281,..,..,..,..,..,..,..,9281,..,6575,2445,828,580,308,59,0,0,10796,..,694,365,179,258,378,384,253,176,2692,..,567,378,182,155,124,61,15,7,1492,..,846,818,369,523,574,417,149,28,3717,..,662,1579,1839,3241,4632,4608,3392,1808,21753,571,966,676,440,487,630,614,256,95,4739,36464,22350,19566,22743,27824,27892,23560,11633,3822,195856
RA42,..,338,270,101,233,240,148,50,6,1396,..,385,643,492,1080,1770,2230,2118,1219,9937,341,432,252,187,265,365,370,190,67,2472,13898,7794,8054,8725,10889,11221,9207,5139,1836,76767,..,351,5671,9329,12246,14225,11981,5453,1011,60270,..,1870,3705,2560,2553,1701,740,190,35,13355,..,341,1250,1731,1814,794,419,332,206,6879,28081,..,..,..,..,..,..,..,..,28081,..,5830,..,..,..,..,..,..,..,5830,..,4520,1639,695,588,259,49,4,0,7763,..,644,293,128,277,335,275,166,109,2218,..,392,205,111,127,80,28,13,3,953,..,745,718,370,569,553,306,122,29,3401,..,848,1768,1648,3205,4239,4166,3188,1679,20746,701,882,611,489,562,717,680,313,95,5043,28786,16425,15866,17058,21937,22895,18645,9779,3161,154542
RA43,..,118,74,23,52,55,30,11,7,360,..,94,149,108,265,449,447,435,265,2207,99,116,98,66,68,134,87,39,7,718,3645,1754,2206,2241,2603,2650,2041,1051,419,18611,..,77,1719,2548,3065,3357,2742,1176,252,14941,..,462,1143,700,621,426,173,40,4,3572,..,66,212,360,390,156,70,62,49,1359,7375,..,..,..,..,..,..,..,..,7375,..,1256,..,..,..,..,..,..,..,1256,..,901,277,111,99,55,7,0,0,1442,..,149,49,27,48,57,44,33,21,420,..,83,52,24,36,18,10,3,0,225,..,253,194,71,103,127,51,23,12,820,..,219,488,412,787,1081,901,665,378,4928,233,214,215,147,169,254,185,77,17,1513,7604,3676,4347,4393,5323,5529,4186,2075,730,37858
RA44,..,19,12,6,5,15,11,0,0,71,..,30,52,42,97,123,87,58,34,524,22,25,24,13,31,30,22,12,3,188,1172,609,711,697,776,710,416,153,62,5301,..,116,464,650,695,773,531,163,40,3439,..,178,361,267,279,170,40,13,3,1322,..,30,98,129,125,59,22,13,8,479,2297,..,..,..,..,..,..,..,..,2297,..,249,..,..,..,..,..,..,..,249,..,327,134,37,29,8,0,0,0,544,..,184,88,64,73,50,37,9,10,526,..,20,18,15,11,7,3,0,0,71,..,35,26,13,26,31,22,3,0,157,..,70,144,145,267,370,305,162,52,1516,56,57,64,45,59,75,49,17,3,423,2350,1266,1405,1370,1567,1551,1019,387,114,11028
RA45,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,60,76,104,59,70,61,34,7,3,485,60,76,104,59,70,61,34,7,3,485,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,120,206,309,199,168,154,94,21,3,1277,120,206,309,199,168,154,94,21,3,1277
RA50,..,7874,9399,2323,2073,2133,1237,473,137,25653,..,2867,8882,7364,9321,15832,17834,15569,8648,86314,2219,3439,3035,1473,1361,1733,1510,887,448,16115,169553,113014,140017,126859,120503,100087,70321,38991,14867,894209,..,5634,105525,154681,148208,122512,88216,40310,8440,673535,..,17504,57521,29542,22239,12320,4949,1161,192,145428,..,2461,10112,17988,21747,11733,4687,3105,1928,73760,343690,..,..,..,..,..,..,..,..,343690,..,95801,..,..,..,..,..,..,..,95801,..,57497,29292,8555,5109,2476,428,16,3,103374,..,13635,9290,2682,3205,4825,3956,2821,1663,42080,..,7861,9227,2681,1728,1014,354,121,43,23030,..,17362,24438,7128,5482,4669,2654,994,274,63008,..,6232,20962,18822,22239,28575,27940,21345,11485,157595,4468,6605,6814,3653,3005,2964,2480,1411,617,32020,348163,230596,273178,245732,232962,191095,135658,71289,24654,1753326
RA51,..,420,446,161,248,292,161,62,21,1808,..,229,511,522,1112,1982,2066,1802,861,9104,322,447,323,194,272,392,309,138,65,2463,19452,10156,11115,13131,14262,13019,9426,4616,1517,96682,..,463,8010,14706,16649,16157,12740,5052,952,74726,..,2001,5060,3788,3465,2199,820,194,30,17566,..,361,1336,2335,2303,978,429,285,188,8208,39329,..,..,..,..,..,..,..,..,39329,..,7939,..,..,..,..,..,..,..,7939,..,6361,2023,795,531,238,44,3,0,9992,..,796,383,147,264,397,390,302,172,2850,..,701,515,212,171,108,62,26,11,1793,..,853,1179,464,564,597,344,127,35,4164,..,541,1472,1637,2706,3844,3616,2603,1158,17572,688,884,763,507,557,694,546,227,91,4952,40018,20902,20750,24584,27220,25204,18993,8811,2632,189101
RA52,..,431,370,135,262,215,148,43,12,1625,..,298,602,499,1037,1772,1835,1662,762,8467,318,367,324,185,295,403,302,132,54,2389,16403,8337,9651,10255,11650,10874,7783,4107,1339,80404,..,410,7047,11177,13017,13152,9999,4433,864,60107,..,2288,4627,3245,2973,1961,787,227,22,16127,..,332,1140,1699,1902,817,367,290,173,6726,32803,..,..,..,..,..,..,..,..,32803,..,5402,..,..,..,..,..,..,..,5402,..,5130,1620,682,471,230,40,4,0,8174,..,914,416,203,283,395,364,220,145,2924,..,514,334,182,146,98,45,21,0,1334,..,1038,963,403,592,509,327,89,23,3959,..,710,1679,1539,2862,3903,3515,2479,1100,17787,633,786,714,465,574,739,588,257,81,4842,33442,17536,18548,19602,22810,21803,16032,8017,2418,160201
RA53,..,175,277,101,103,79,26,9,5,788,..,198,406,266,387,548,436,355,132,2722,130,160,168,97,134,159,95,35,9,987,8083,3381,5947,5260,4621,3591,1826,880,239,33830,..,221,4427,6084,5416,4398,2322,886,164,23910,..,1117,3301,1951,1550,829,222,41,0,9003,..,154,519,676,631,287,139,71,29,2506,16412,..,..,..,..,..,..,..,..,16412,..,1897,..,..,..,..,..,..,..,1897,..,1808,588,214,115,46,3,0,0,2772,..,470,231,112,165,179,119,80,24,1375,..,225,266,111,90,78,13,5,4,791,..,394,641,278,304,198,70,29,5,1922,..,451,1039,865,1215,1478,992,604,211,6856,312,331,388,266,309,332,218,68,16,2241,16722,7058,11402,10555,9789,7822,4093,1775,470,69692
RA54,..,102,125,41,45,49,26,7,0,392,..,109,274,199,321,433,253,103,43,1737,201,151,196,103,128,120,54,18,3,970,5380,2567,3767,3125,2743,2212,1048,342,93,21267,..,297,2203,2916,2430,2042,1112,285,39,11317,..,759,2014,1289,1017,624,178,39,3,5925,..,186,521,530,451,275,108,61,14,2142,10755,..,..,..,..,..,..,..,..,10755,..,833,..,..,..,..,..,..,..,833,..,1283,503,188,89,28,0,0,0,2086,..,830,396,286,296,270,164,76,27,2349,..,132,134,59,54,41,33,4,3,459,..,215,283,123,134,133,70,13,6,994,..,235,619,547,876,1096,711,225,71,4387,412,279,467,337,318,266,108,28,6,2223,11168,5050,7144,6269,5657,4774,2487,744,172,43465
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,74,125,164,88,86,134,70,14,3,755,74,125,164,88,86,134,70,14,3,755,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,160,270,433,273,261,272,169,29,7,1876,160,270,433,273,261,272,169,29,7,1876
RA61,..,1867,1396,373,457,533,265,142,36,5066,..,897,1707,1546,2584,4524,4946,4296,2302,22802,578,936,575,314,389,561,524,275,111,4267,28820,19576,20262,20615,22247,21321,16318,9324,3618,162105,..,835,12740,20641,23214,23772,18649,8553,1867,110263,..,3913,9433,6173,5219,3131,1284,290,44,29491,..,840,2813,4262,4679,2137,958,701,415,16802,57859,..,..,..,..,..,..,..,..,57859,..,14922,..,..,..,..,..,..,..,14922,..,9203,4110,1609,1126,598,95,3,0,16739,..,1622,809,329,488,770,672,511,267,5486,..,1175,803,271,249,172,81,26,9,2795,..,3956,3384,971,987,1057,597,258,63,11274,..,1715,3805,3828,5649,7863,7518,5876,3120,39366,1143,1749,1394,772,826,954,879,460,145,8330,59007,39947,39283,38870,42435,40452,30735,16679,5931,313332
RA62,..,222,167,106,214,278,184,52,8,1236,..,257,378,402,1125,1976,2198,1758,780,8868,253,356,212,140,232,392,349,147,42,2114,12163,7117,6746,8082,10598,11316,8902,4222,1297,70446,..,355,4688,8127,11562,13790,11459,4591,743,55312,..,1577,3323,2811,2806,1945,874,193,36,13562,..,308,1066,1641,1621,741,383,330,199,6288,24559,..,..,..,..,..,..,..,..,24559,..,5544,..,..,..,..,..,..,..,5544,..,4429,1435,699,509,277,45,0,0,7405,..,469,168,82,184,316,281,184,105,1781,..,382,189,122,103,79,39,27,3,937,..,485,419,222,443,544,413,126,29,2680,..,575,1086,1298,2758,4157,3964,2693,1094,17634,499,774,538,377,510,707,657,258,66,4376,25057,14899,12916,15378,20492,22557,18109,8394,2278,140079
RA63,..,20,17,12,11,29,8,10,0,100,..,22,28,21,67,107,90,78,26,441,12,13,15,6,15,35,23,4,4,142,559,249,357,355,475,581,401,189,39,3216,..,15,227,326,479,629,524,193,29,2433,..,104,207,145,143,122,40,8,0,774,..,12,58,61,70,34,20,12,3,271,1103,..,..,..,..,..,..,..,..,1103,..,123,..,..,..,..,..,..,..,123,..,132,48,30,15,14,3,0,0,239,..,17,4,3,10,18,13,6,0,76,..,9,0,6,5,5,4,0,0,25,..,43,25,20,35,54,20,16,3,212,..,43,78,88,223,289,219,145,41,1130,34,24,35,27,38,68,58,16,3,296,1133,522,696,708,1021,1231,899,400,84,6685
RA64,..,5,3,3,0,10,3,0,3,36,..,3,10,10,29,24,30,33,15,158,4,4,6,4,9,22,8,4,0,59,157,55,125,114,153,192,131,74,21,1030,..,3,83,101,150,220,174,67,9,807,..,26,83,48,51,43,20,5,0,277,..,3,4,14,18,8,9,8,0,63,341,..,..,..,..,..,..,..,..,341,..,19,..,..,..,..,..,..,..,19,..,41,18,10,8,3,0,0,0,72,..,5,4,0,0,3,3,0,5,16,..,3,4,0,0,0,0,0,0,11,..,20,7,10,6,18,8,3,3,79,..,11,30,34,70,91,76,54,24,384,12,11,13,6,13,29,18,7,4,121,353,144,249,228,322,409,304,143,38,2194
RA65,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA69,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,29,41,31,37,29,22,17,0,0,201,29,41,31,37,29,22,17,0,0,201,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,59,92,88,74,66,38,28,3,0,445,59,92,88,74,66,38,28,3,0,445
RA72,..,480,986,282,275,228,100,26,10,2365,..,165,525,553,619,912,696,388,100,3957,216,268,299,139,186,182,108,33,3,1430,12180,6785,11063,9145,7805,5685,2964,1066,247,56935,..,547,7915,10427,8637,6329,3401,955,119,38338,..,1878,5597,2971,2435,1269,378,60,3,14594,..,203,720,1220,1278,655,314,157,56,4601,24471,..,..,..,..,..,..,..,..,24471,..,4459,..,..,..,..,..,..,..,4459,..,3364,1478,497,254,78,18,0,0,5690,..,838,655,278,298,417,309,206,80,3067,..,699,1099,359,281,182,84,12,4,2712,..,1127,2340,807,711,526,254,66,15,5843,..,428,1389,1355,1651,1958,1391,624,167,8957,429,603,641,353,384,338,195,58,10,3018,24899,14148,21838,18271,15938,11752,6340,2125,441,115756
RA73,..,118,257,78,82,91,35,10,0,671,..,81,198,166,301,390,259,124,45,1568,85,104,113,73,82,75,24,8,3,570,3985,2053,3098,2642,2728,2082,912,323,88,17915,..,228,2050,2488,2613,2085,930,241,34,10664,..,473,1355,917,805,455,141,31,3,4175,..,122,319,466,413,218,97,42,21,1689,8014,..,..,..,..,..,..,..,..,8014,..,1082,..,..,..,..,..,..,..,1082,..,1132,402,170,75,27,0,0,0,1807,..,474,307,215,237,196,127,61,25,1647,..,164,167,78,63,39,22,3,0,538,..,242,517,185,189,168,79,19,3,1403,..,168,481,413,730,849,560,246,60,3503,164,208,204,149,150,145,59,14,3,1102,8182,4299,5797,5078,5280,4173,2006,650,146,35617
RA74,..,62,86,32,36,21,3,9,3,247,..,47,143,101,153,186,75,19,0,729,154,146,123,84,81,59,26,8,3,676,5421,3292,3579,2719,2256,1524,571,190,34,19590,..,1145,2868,2612,2057,1329,426,85,10,10540,..,370,938,731,455,240,66,12,4,2820,..,221,553,507,454,298,162,65,7,2265,10980,..,..,..,..,..,..,..,..,10980,..,883,..,..,..,..,..,..,..,883,..,1889,864,279,140,34,0,0,0,3204,..,1457,879,573,580,428,257,115,26,4321,..,128,64,51,57,42,16,7,0,367,..,137,185,72,84,49,6,7,5,540,..,132,323,275,384,413,195,39,7,1767,328,272,247,171,155,109,42,10,3,1338,11315,6637,6923,5275,4366,2940,1168,348,59,39017
RA75,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,35,21,29,27,29,47,19,3,0,209,35,21,29,27,29,47,19,3,0,209,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,66,40,58,50,57,77,40,4,0,397,66,40,58,50,57,77,40,4,0,397
RA80,..,3173,2828,441,372,438,183,92,16,7546,..,842,2845,2262,2497,3609,3826,2651,1406,19932,439,862,815,369,363,427,391,214,81,3965,34419,23213,30871,27572,24264,19634,13872,6792,2528,183180,..,983,23502,34170,29185,23521,16736,6932,1505,136525,..,3927,12202,6605,4855,2619,960,189,37,31399,..,347,1628,3579,4473,2280,900,570,338,14113,70196,..,..,..,..,..,..,..,..,70196,..,18425,..,..,..,..,..,..,..,18425,..,9561,5156,1612,898,411,73,3,0,17720,..,2045,1506,490,541,842,740,485,330,6970,..,1830,1684,526,256,156,45,15,7,4522,..,6276,6559,1278,922,850,375,173,41,16466,..,1680,6007,4970,5346,6234,5647,3595,1905,35390,931,1597,1688,882,741,762,647,320,119,7677,71122,46683,59929,54104,47209,37674,26128,12280,4285,359407
RA81,..,0,0,0,0,0,0,0,0,0,..,0,0,3,3,4,3,0,0,13,3,0,0,0,0,0,0,0,0,3,60,32,38,51,34,26,7,4,0,260,..,0,43,77,52,36,11,4,0,224,..,4,13,17,15,4,3,0,0,49,..,0,3,4,5,3,0,0,0,18,131,..,..,..,..,..,..,..,..,131,..,27,..,..,..,..,..,..,..,27,..,21,3,0,3,0,0,0,0,25,..,0,0,0,0,3,0,0,0,6,..,0,4,0,0,0,0,0,0,4,..,0,3,0,0,0,3,0,0,10,..,0,4,4,4,10,3,0,0,26,6,3,4,0,0,3,0,0,0,14,135,59,77,97,78,62,24,8,0,549
RA85,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,13,32,24,23,13,19,3,0,0,114,13,32,24,23,13,19,3,0,0,114,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,26,57,61,56,35,30,8,0,0,276,26,57,61,56,35,30,8,0,0,276
RA91,..,0,0,0,0,0,0,0,0,0,..,0,0,6,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,34,21,13,33,24,12,6,0,0,145,..,0,6,14,12,10,5,0,0,53,..,0,0,3,3,8,0,0,0,18,..,0,6,13,8,4,4,0,0,39,77,..,..,..,..,..,..,..,..,77,..,10,..,..,..,..,..,..,..,10,..,14,12,14,4,0,0,0,0,41,..,7,0,5,8,3,0,0,0,24,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,3,5,3,0,0,0,20,0,0,0,0,3,0,0,0,0,3,79,32,24,55,43,33,11,3,0,288
RA94,..,3,4,3,3,5,3,3,0,21,..,5,17,12,10,42,36,25,18,163,4,3,6,5,10,17,3,10,0,62,323,121,172,222,250,254,169,81,23,1611,..,13,156,281,280,291,232,74,14,1345,..,16,49,81,74,40,18,3,0,281,..,3,11,18,34,24,11,5,4,104,651,..,..,..,..,..,..,..,..,651,..,99,..,..,..,..,..,..,..,99,..,83,35,14,9,3,0,0,0,144,..,8,8,0,9,10,11,10,4,68,..,3,0,0,0,4,0,0,3,16,..,3,12,4,3,4,4,3,0,30,..,11,24,35,53,94,66,39,22,348,8,15,18,8,20,30,13,12,0,129,666,254,302,440,491,501,354,151,46,3209
RA95,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,15,0,0,0,3,0,3,3,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,3,0,8,4,8,4,0,0,25,3,3,0,8,4,8,4,0,0,25
