RA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA10,14528,19898,34420,6201,6888,13087,9802,24970,34780,8484,40240,48723,30886,72448,103335,31881,37881,69761,79214,33512,112726,68953,38887,107840,93653,42129,135777,93928,31754,125680,80120,28214,108335,82279,22524,104803,170681,37645,208332,126583,7184,133765,89855,4506,94363,72338,20971,93313,183039,7141,190177,132056,16306,148364,17384,22382,39763,1391868,515477,1907344
RA11,2552,3363,5910,1786,2146,3932,2775,9075,11854,2877,15335,18213,12040,33759,45802,12115,16214,28327,35229,13668,48903,26672,14060,40731,34176,12174,46352,32153,7477,39633,23252,5455,28705,23427,4245,27672,41031,5418,46454,26293,765,27057,15856,382,16242,10085,2326,12412,19566,367,19934,35892,2766,38663,6704,9433,16134,364479,158436,522910
RA12,1056,1184,2239,789,781,1565,1091,3472,4566,1098,5821,6919,4610,11687,16292,4159,4959,9117,12059,4217,16273,8615,4454,13073,10957,3633,14594,10164,2186,12344,6796,1449,8248,6868,1154,8028,11180,1379,12561,6403,152,6558,3692,65,3761,2074,705,2777,3884,88,3971,11894,630,12518,2725,3677,6402,110109,51699,161806
RA13,103,76,182,48,49,99,72,254,323,81,397,476,268,638,900,240,276,510,618,258,874,463,294,758,566,276,843,576,180,757,386,129,519,380,107,484,732,157,886,466,8,477,290,3,292,151,72,217,324,4,333,876,52,927,243,274,520,6876,3515,10388
RA14,23,17,35,15,16,28,19,58,77,22,59,87,59,125,176,40,44,89,107,56,160,94,48,148,102,45,150,100,27,123,54,30,84,54,26,81,105,27,129,61,3,63,31,3,29,23,16,41,51,0,51,182,14,193,63,56,119,1201,668,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,14258,21574,35833,6156,6956,13114,9365,21960,31324,7566,31827,39393,27434,60258,87685,28091,34839,62932,67505,31732,99242,62550,38002,100550,84349,41801,126151,84351,32109,116463,72044,26791,98829,73316,19977,93297,147324,30394,177718,104180,5878,110060,67272,3465,70734,50323,13996,64323,115980,3872,119846,106982,14677,121655,17268,18644,35915,1146319,458749,1605066
RA21,2294,2916,5205,1616,1808,3428,2219,7574,9794,2332,12216,14544,9540,25605,35141,9461,12963,22424,26016,10920,36939,20875,11643,32523,26903,10344,37243,25730,6565,32294,19530,4751,24282,19485,3206,22689,33697,3847,37541,21149,651,21800,11629,245,11880,6992,1729,8713,13153,261,13419,28038,1984,30017,5617,7720,13337,286263,126941,413207
RA22,634,768,1403,481,534,1020,618,2003,2619,568,3298,3870,2519,7008,9531,2274,3230,5500,6826,2646,9477,5285,2788,8070,6422,2281,8702,6029,1281,7313,3982,949,4933,4015,560,4578,6229,711,6935,3501,112,3618,1790,43,1829,968,385,1352,1854,47,1905,6406,356,6765,1517,2208,3725,61926,31208,93133
