RA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,225,3399,83,44568,1304,229,150,588,223,910,103,534,222,3186,24317,31766,547,146,243,240,97,230,50,203,136,3475,2686,8049,123934,19941,3251,57094,6203,51878,2735,32077,4685,161816,29330,492945
RA11,59,733,28,5972,305,93,26,261,63,371,39,238,78,1517,7652,10652,183,62,83,130,38,99,25,102,56,1834,1078,3700,25280,7435,1179,20114,1862,13249,1179,12106,1910,67103,9914,161330
RA12,11,153,9,1503,121,27,14,88,31,134,18,91,29,525,2519,3613,143,30,59,72,11,49,9,41,27,646,478,1571,9301,2588,562,6893,661,4262,452,3606,672,19411,3434,51838
RA13,0,9,0,146,12,0,0,9,0,11,3,5,3,17,157,216,25,3,4,9,0,3,0,3,3,31,35,121,856,129,43,416,56,277,19,150,33,746,220,2947
RA14,0,0,0,17,0,0,0,5,0,3,0,0,0,7,27,46,6,0,0,0,0,0,0,0,0,5,5,27,140,24,6,50,6,53,0,14,3,134,42,467
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,178,2363,64,28828,1113,194,117,585,203,838,83,502,179,2646,19235,25703,582,120,262,325,110,268,36,223,169,3579,2429,8100,101242,16763,2856,52323,5416,43549,2371,27596,4057,126953,23774,406901
RA21,56,508,22,4100,259,87,41,198,40,310,26,200,72,1116,5503,7855,206,57,99,170,22,105,20,82,50,1419,885,3121,20683,6180,1235,17451,1672,10813,1083,9561,1623,45019,7339,122671
RA22,11,88,5,695,81,20,4,58,7,67,5,45,17,287,1409,2002,82,16,28,47,9,24,3,23,19,390,307,953,5026,1500,353,4154,423,2292,259,2081,428,11161,2005,29695
RA23,0,3,0,15,0,0,0,0,0,0,0,0,0,3,27,37,3,0,0,3,0,0,0,0,0,6,10,14,61,28,10,60,4,18,11,37,4,185,35,454
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,116,1566,51,16967,759,136,73,423,131,512,62,301,102,1694,14910,19094,360,77,152,182,52,129,30,105,71,1804,1317,4266,69093,12533,1937,39965,4008,29726,1859,19065,2886,92073,17433,290577
RA31,31,364,17,3530,224,39,30,150,36,237,15,137,46,933,6213,8052,163,38,71,87,15,77,8,46,34,1130,736,2406,18495,4056,856,13334,1355,10365,726,7423,1335,43810,7679,109430
RA32,32,207,9,2798,188,43,17,120,30,198,19,102,38,501,4891,6138,152,23,62,97,23,86,12,46,42,577,472,1596,16059,2812,631,9870,1186,7314,551,4536,903,20665,5847,70380
RA33,3,17,0,468,24,9,8,13,10,26,3,6,3,62,401,563,28,7,13,11,0,12,0,7,0,53,58,187,2090,276,85,951,140,737,51,335,88,1523,515,6784
RA34,0,5,4,202,17,0,3,3,5,12,0,0,4,27,293,369,28,3,15,3,3,6,0,0,3,37,49,147,1511,154,64,585,66,380,34,172,55,885,375,4283
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,47,614,9,5208,238,52,22,164,36,206,23,122,37,908,6010,7806,86,30,47,71,14,36,10,39,13,856,561,1770,23452,5217,779,16350,1606,11962,826,9286,1193,45814,7174,123655
RA41,15,84,3,688,44,23,4,44,8,55,6,36,12,265,1245,1754,31,11,14,35,9,9,3,15,9,227,122,478,4065,1378,221,3701,341,2168,217,2040,306,10775,1588,26799
RA42,3,72,0,564,40,16,3,28,6,46,3,32,10,225,1080,1490,37,6,12,21,3,21,0,17,10,227,159,523,3415,1010,197,3117,254,1701,193,1530,268,8407,1441,21534
RA43,0,22,0,202,8,0,0,10,0,9,0,6,5,44,329,416,11,4,3,5,3,0,0,4,5,51,23,105,960,310,59,846,74,381,49,348,76,1842,393,5320
RA44,0,0,3,49,0,0,4,3,0,3,0,3,0,17,72,99,3,3,0,8,0,0,0,0,3,3,42,66,283,55,20,194,23,118,14,84,17,349,123,1280
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,113,1100,32,15117,451,80,50,278,75,369,33,218,79,1119,13793,16548,179,48,90,116,49,94,15,64,49,1205,916,2820,43095,8278,1317,25649,2841,20820,1357,13255,2113,56086,15518,190318
RA51,16,79,5,1119,47,9,5,36,7,64,8,48,13,201,1782,2225,35,11,15,17,5,14,0,12,6,199,165,486,4003,1263,271,3410,362,2278,284,1853,358,8299,2102,24473
RA52,8,84,5,1061,50,22,12,39,8,49,6,33,19,160,1522,1923,50,12,14,20,7,19,3,15,8,182,140,474,4259,1067,266,2983,322,1994,194,1480,298,6262,1822,20956
RA53,10,28,0,1064,26,4,0,23,14,33,3,6,5,34,609,765,35,3,16,6,7,3,0,0,9,38,46,169,2708,295,142,1354,176,884,81,303,117,1255,711,8028
RA54,5,7,0,403,15,0,3,3,0,22,0,8,0,14,326,392,14,6,6,3,7,3,0,4,3,37,62,135,1330,140,79,503,87,431,33,163,52,814,422,4067
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,11,141,9,1303,63,10,8,52,9,70,3,50,12,248,1805,2331,27,14,11,19,0,14,3,8,19,287,207,606,6535,1738,248,4999,492,3169,274,2956,418,13101,2255,36188
RA62,7,61,4,400,21,20,9,38,11,45,3,40,10,201,991,1384,20,6,8,16,3,7,0,12,10,228,151,465,2591,1006,181,2654,228,1711,179,1707,286,8361,1366,20279
RA63,0,7,0,25,0,0,0,0,0,3,0,3,3,8,41,61,0,0,0,0,0,0,0,0,0,19,9,33,129,62,18,122,11,106,3,92,19,410,63,1026
RA64,0,0,0,14,0,0,0,0,0,3,0,0,0,3,23,27,0,0,0,0,0,0,0,0,0,0,4,5,62,21,8,73,8,40,5,24,5,83,30,350
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,11,24,3,1606,52,7,4,21,8,28,5,9,7,40,986,1166,19,7,9,3,0,8,4,3,4,43,77,177,4983,418,154,1656,322,1402,107,427,143,1577,1109,12298
RA73,6,6,0,290,22,3,4,7,3,8,3,5,3,21,337,406,6,5,3,0,0,3,0,0,3,17,30,73,1298,111,55,426,83,363,24,149,40,579,388,3507
RA74,0,0,0,109,8,5,0,3,0,5,0,6,0,25,82,142,3,5,6,6,0,16,0,7,0,75,79,196,615,71,36,164,41,202,17,128,37,823,192,2329
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,36,352,12,4763,122,9,7,52,18,36,8,25,9,153,2216,2664,23,4,15,9,3,18,0,11,6,129,103,318,11693,1278,268,4508,648,3956,224,2383,406,10537,2477,38378
RA81,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,13,3,9,0,0,0,6,4,58
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,7
RA94,0,0,0,17,0,0,0,0,0,3,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,3,11,13,97,32,13,85,8,48,0,28,7,78,31,433
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
