RA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,12,82,215,1247,1154,804,293,241,87,4137,572,3676,6701,33287,14681,12726,5742,1372,646,79409,36,103,206,3899,1278,2730,1891,1111,1139,12394,55,520,578,4162,3808,4442,4554,2759,1131,22012,349,1393,1785,3805,1587,1603,982,393,103,11990,255,1832,3696,13223,7466,5511,3441,1571,507,37512,0,0,86,1130,1372,1698,1461,1183,334,7260,172,1092,2009,10859,5074,4193,2403,1134,443,27379,157,314,1296,7244,1162,1314,685,122,24,12319,283,890,2886,15718,2671,1604,526,112,25,24719,32,93,321,2459,3197,4012,3713,1915,478,16207,85,192,573,3809,3549,2029,1443,628,136,12449,815,3146,3331,9156,3755,2532,1715,457,154,25052,396,1521,6404,29388,18645,16650,6059,2535,1102,82694,26,125,192,1487,1170,956,937,538,231,5661,16,268,771,2192,1050,637,227,65,17,5242,2284,9259,16908,78890,34431,28226,23192,13339,5981,212506,17088,28773,39069,106200,43712,39050,31886,21055,12389,339220,356263,680630,726507,1661565,723966,616060,446326,249090,117134,5577538
RA11,4,19,40,321,335,226,49,28,13,1035,84,561,505,2175,958,797,340,71,17,5512,0,11,7,173,67,204,171,127,115,888,16,99,110,466,737,1130,1601,879,318,5358,13,55,35,148,155,116,69,29,3,629,19,333,443,1260,863,657,641,230,57,4500,0,0,0,15,84,111,154,130,37,534,23,107,72,513,178,122,88,37,14,1153,5,31,125,504,58,29,14,3,0,776,42,152,200,708,286,134,48,6,0,1578,0,0,7,39,60,59,50,23,8,245,3,7,8,69,59,28,22,5,0,202,58,349,304,997,646,667,675,171,49,3923,19,63,110,652,178,110,25,5,3,1165,0,25,37,150,246,250,355,168,67,1300,6,67,128,328,184,182,99,27,3,1016,162,768,850,3780,2172,2298,2494,1501,609,14637,4541,10051,11298,24177,16427,17968,16256,10316,5050,116078,81428,180337,161471,308974,188280,199472,170225,92372,38424,1420993
RA12,3,11,15,69,63,48,17,10,0,232,38,172,138,640,283,234,108,21,7,1645,0,0,0,23,12,35,28,24,19,146,0,21,14,78,155,242,356,176,55,1107,3,3,4,19,24,25,11,6,0,104,3,52,74,248,157,166,111,44,9,871,0,0,0,3,14,25,29,41,8,121,0,16,6,80,27,12,15,6,0,167,3,0,50,254,0,3,0,0,0,316,9,42,33,169,64,33,15,0,0,369,0,0,0,3,10,7,8,4,0,29,3,5,11,52,43,18,8,0,3,134,14,73,70,222,130,209,183,53,15,975,0,6,14,101,30,14,3,0,0,173,0,6,3,35,45,50,74,41,11,268,0,8,15,59,50,38,19,3,0,197,34,134,153,687,506,572,658,349,83,3176,1861,4314,3969,8897,6612,7693,6844,4064,1806,46050,24542,55072,44551,86805,59009,67596,55696,29512,11249,434034
RA13,0,10,0,14,3,0,3,0,0,30,3,10,6,44,11,16,6,3,0,97,0,0,0,3,0,0,0,0,0,5,0,0,4,4,3,5,6,10,3,39,0,0,0,0,0,0,0,0,0,4,0,8,15,31,19,9,4,0,0,93,0,0,0,0,4,3,12,12,0,30,0,3,0,4,0,0,0,0,0,15,0,0,0,9,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,6,0,7,0,12,6,6,8,3,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,5,8,0,0,0,0,20,0,10,17,54,23,33,45,33,7,222,259,424,359,1006,613,592,454,261,90,4068,2134,3983,3041,7021,4027,4032,2930,1595,533,29298
RA14,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,7,3,0,0,35,54,96,67,216,154,135,94,44,12,865,414,744,617,1387,848,804,539,220,72,5664
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,10,4,0,3,9,5,6,11,3,0,36,14,22,25,62,50,74,108,42,10,412
RA19,0,0,0,5,6,4,0,0,0,16,3,6,8,46,11,15,3,3,0,89,0,0,3,6,0,4,4,0,0,18,0,0,3,17,3,14,11,7,0,50,0,0,3,7,3,0,0,0,0,13,3,7,4,34,6,15,14,0,0,77,0,0,0,3,3,3,3,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,12,55,3,0,0,0,0,74,0,0,8,27,4,0,0,0,0,39,0,0,0,3,3,3,0,0,0,5,0,0,0,10,6,3,0,0,0,18,5,5,27,25,7,11,6,0,0,82,0,0,16,27,9,10,3,0,0,76,0,0,5,4,3,0,5,0,0,19,0,0,0,3,0,7,0,0,0,9,14,15,54,172,68,43,25,8,0,398,36,56,328,934,338,284,200,60,15,2248,338,402,1876,4599,1798,1722,1196,282,78,12288
RA20,13,64,136,885,595,246,83,30,7,2050,429,2846,5281,19658,8520,5951,2550,617,235,46088,11,83,205,3105,1509,3222,2517,1508,1649,13819,61,494,688,3812,3447,4130,4304,2666,1024,20621,319,1721,3293,5378,1954,1633,868,274,66,15501,160,1296,2869,8698,4769,3181,2134,889,311,24309,0,0,59,910,1399,1836,1531,1250,349,7338,445,3062,4975,23500,8764,6630,4377,1812,699,54269,110,234,1074,5398,690,740,342,52,22,8659,313,1574,2515,7660,1363,591,224,41,17,14301,15,118,380,3249,3429,4273,3723,1709,388,17285,68,217,598,4470,4561,2569,1604,715,167,14978,538,2233,2217,6271,2544,1659,1126,251,107,16945,406,1601,7315,30044,17405,14611,5123,2086,892,79487,19,113,157,913,732,631,588,355,163,3674,18,182,543,2085,648,406,162,41,8,4094,2054,8856,16416,61811,26080,21015,16866,10974,5022,169098,14979,24128,33178,88252,36866,32033,26162,18033,10072,283696,291879,538383,614478,1391861,593592,482623,349520,201334,92512,4556193
RA21,3,13,23,166,139,65,26,8,3,452,70,411,387,1711,646,537,245,48,7,4064,0,9,11,147,56,157,140,88,132,744,3,56,76,428,618,1081,1458,718,244,4683,10,38,57,155,105,70,31,10,4,483,15,166,267,770,485,326,256,90,19,2397,0,0,0,15,95,120,160,126,45,566,22,110,72,581,192,141,131,44,16,1306,3,14,141,693,14,14,3,0,0,892,65,256,276,516,173,67,21,4,0,1374,0,0,4,38,56,79,88,47,5,320,0,9,17,134,129,60,46,18,3,418,46,215,184,584,372,418,417,73,23,2325,8,47,77,439,151,60,11,12,3,810,3,23,19,107,163,190,206,116,39,871,0,27,52,160,100,71,41,15,3,468,110,624,840,2689,1505,1489,1534,1055,442,10291,3760,7855,8429,19357,13483,14399,12792,7685,3647,91405,65723,141619,128620,250321,152272,155999,127348,66036,28004,1115946
RA22,0,7,3,25,31,21,9,4,0,101,27,125,104,448,164,134,58,20,3,1089,0,0,4,15,4,32,47,18,10,125,4,4,10,59,85,169,225,136,43,739,0,10,11,19,6,12,3,0,0,68,0,33,65,142,81,66,47,12,6,449,0,0,0,6,13,39,57,27,10,150,3,15,10,115,30,19,21,6,5,233,5,0,51,226,8,0,0,0,0,289,14,45,36,118,42,30,10,3,0,287,0,0,0,4,6,4,4,3,0,19,0,12,17,75,103,56,46,17,0,323,3,21,14,94,68,73,79,17,0,373,4,15,25,177,77,86,24,3,0,412,0,3,0,23,21,28,41,16,7,130,0,8,11,35,29,21,7,0,0,121,14,111,125,535,287,327,339,210,92,2033,929,1964,2099,4774,3496,4080,3669,2249,1062,24318,13121,29000,25571,49306,33164,37410,31698,17239,7324,243825
