RA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
RA10,7331,14287,9870,6754,9158,3818,1932,53140,992,666,399,322,455,207,133,3168,360,493,386,286,434,190,107,2258,14723,28612,21630,15994,24124,11459,6143,122682,706,1698,1048,775,1111,424,225,5994,1453,2732,1486,923,1092,433,218,8330,2162,4429,2532,1697,2201,857,439,14321,16880,33036,24167,17696,26328,12314,6586,137005,22285,21222,11685,7780,9378,4158,2543,79047,440,511,295,215,155,77,36,1730,39601,54768,36142,25688,35858,16549,9168,217782
RA11,2973,5759,3899,2686,3352,583,149,19402,362,316,202,129,193,42,15,1254,103,186,137,104,131,25,7,693,4841,9777,7349,5524,7654,1481,448,37065,326,779,540,382,439,87,16,2575,605,1130,469,305,299,52,14,2874,932,1914,1012,693,735,142,31,5451,5771,11691,8357,6216,8386,1621,478,42520,8966,8016,4178,2570,2513,484,176,26901,179,193,145,92,61,3,3,686,14922,19902,12683,8878,10968,2109,656,70109
RA12,829,1594,1044,700,864,105,22,5159,100,78,43,28,45,12,4,302,50,56,40,37,32,7,0,223,1378,2691,1896,1389,1896,270,53,9571,113,259,191,135,154,18,4,867,203,293,142,110,90,12,0,847,319,556,338,241,240,27,3,1711,1697,3239,2232,1628,2131,293,54,11279,3055,2676,1407,821,811,122,27,8913,75,86,61,33,27,0,0,289,4828,6007,3695,2486,2976,417,85,20482
RA13,59,85,47,31,25,3,0,250,3,4,3,0,0,0,0,13,5,8,0,9,5,0,0,24,105,160,119,73,62,9,0,534,9,33,24,14,10,3,0,84,22,36,5,7,5,0,0,84,33,67,26,23,15,3,0,165,136,233,153,93,78,8,0,695,263,198,126,76,56,13,0,724,12,20,14,9,7,0,0,58,412,449,291,174,140,19,0,1485
RA14,7,10,3,3,7,0,0,25,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,17,34,25,10,13,0,0,101,3,4,0,0,0,0,0,8,0,8,6,3,0,0,0,18,3,14,6,3,0,0,0,23,20,42,29,18,14,0,0,125,72,76,24,23,15,4,0,217,3,3,3,0,0,0,0,13,100,124,55,42,28,3,0,351
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,5720,11581,8394,6015,8263,4162,2072,46205,752,486,332,258,386,223,150,2582,300,403,327,239,343,226,130,1977,10822,21534,16624,12744,19681,11049,6071,98523,650,1321,860,627,951,504,252,5174,1008,2057,1258,775,876,436,215,6627,1664,3380,2121,1398,1826,948,474,11807,12486,24921,18739,14142,21509,11995,6544,110333,16120,15424,8647,5814,7630,3856,2292,59791,355,415,257,190,159,80,46,1509,28965,40759,27649,20151,29300,15933,8884,171630
RA21,2055,4373,2960,2044,2821,731,199,15184,286,261,152,114,157,39,19,1041,70,103,82,58,100,21,9,431,3199,6795,5095,3853,5928,1693,531,27098,166,498,338,229,281,64,15,1591,383,778,420,237,278,68,12,2181,541,1282,758,463,565,128,28,3774,3746,8077,5858,4318,6491,1828,561,30869,6039,5472,2790,1851,1979,517,128,18782,105,115,74,59,48,11,3,410,9886,13662,8723,6229,8514,2346,693,50063
RA22,397,813,559,366,553,105,19,2814,42,33,27,19,33,0,0,157,12,27,25,15,18,0,0,106,612,1285,1008,764,1154,236,50,5103,28,84,58,41,46,10,3,273,57,150,68,54,44,11,0,380,85,228,127,93,92,19,7,650,696,1512,1136,863,1246,251,51,5753,1317,1237,595,395,438,75,17,4072,29,35,26,15,9,5,0,118,2042,2783,1751,1275,1693,335,67,9948
