RA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
RA10,1017110,698934,834248,763591,699060,590425,423564,237418,111182,5375533,881,1041,925,668,666,586,557,409,257,5988,15514,23576,28424,18386,16872,15844,12893,8235,5110,144850,367,866,2254,2533,2743,1792,1374,521,109,12564,622,1411,2072,2047,2465,2072,1377,416,85,12580,111,266,466,450,607,541,460,167,16,3082,246,387,781,704,767,618,322,109,18,3951,25,91,133,140,205,302,288,118,25,1324,36,121,129,106,95,58,36,10,0,587,153,527,626,510,467,424,296,102,27,3135,0,7,0,3,8,3,6,4,0,26,17073,27256,34885,24874,24230,21652,17056,9669,5398,182098,17955,28295,35814,25540,24900,22238,17613,10084,5659,188086,1035065,727231,870065,789135,723958,612661,441176,247499,116842,5563620
RA11,254683,149812,137748,153225,178140,185441,156114,86635,36438,1338235,425,419,312,217,265,294,276,233,104,2541,5778,10526,8417,6079,6848,8285,7232,3502,1566,58235,401,841,872,743,889,1635,2514,914,144,8957,501,1029,1082,774,932,1237,977,222,44,6794,48,123,134,96,157,266,411,111,25,1371,46,105,196,118,111,169,153,48,7,948,21,68,47,40,87,226,291,77,5,853,31,69,52,38,30,31,9,0,0,261,127,343,254,191,241,385,360,154,27,2073,0,0,0,0,0,6,0,0,0,11,6965,13098,11044,8079,9305,12244,11946,5028,1814,79511,7383,13519,11354,8291,9570,12536,12223,5258,1911,82049,262070,163336,149105,161517,187704,197970,168337,91895,38350,1420289
RA12,76968,40044,38137,43157,55423,62613,51065,27581,10604,405588,171,181,129,106,134,145,107,82,33,1092,3261,3579,3769,3174,3375,4152,3282,1210,423,26235,197,311,401,299,446,815,1197,516,74,4262,653,509,597,660,706,731,542,102,24,4514,51,90,132,84,111,220,332,77,11,1123,30,40,89,65,66,91,94,8,0,483,22,30,21,26,46,60,129,33,4,363,12,33,28,10,19,18,6,3,0,130,164,117,169,189,174,271,246,73,15,1415,0,0,0,0,0,3,0,0,0,4,4400,4710,5198,4509,4940,6362,5830,2023,546,38520,4573,4896,5325,4619,5070,6508,5937,2112,582,39609,81541,44939,43463,47768,60490,69119,56998,29690,11191,445199
RA13,5803,2561,3385,3147,3735,3737,2640,1490,504,26994,17,14,25,13,19,19,17,10,3,134,124,289,314,200,256,302,279,112,23,1902,16,38,77,35,83,125,143,45,4,559,27,24,28,19,50,58,64,4,0,276,0,20,24,7,15,46,70,15,0,188,3,4,3,15,13,12,24,0,0,81,0,0,0,3,3,12,9,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,4,5,10,7,0,3,0,31,0,0,0,0,0,0,0,0,0,0,174,376,448,283,432,562,584,183,29,3061,189,391,473,300,449,581,598,194,29,3201,5995,2951,3855,3441,4184,4315,3239,1681,535,30189
RA14,1112,542,654,603,758,726,490,199,64,5152,12,4,3,10,3,3,0,0,0,37,35,89,113,80,146,173,120,27,5,787,6,8,12,8,21,55,85,11,0,212,3,14,11,13,22,19,28,3,0,109,3,8,12,15,11,19,27,0,0,85,0,0,0,3,3,9,7,0,0,22,0,0,0,0,0,9,11,0,0,24,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,6,4,0,22,0,0,0,0,0,0,0,0,0,0,47,121,152,115,205,286,289,52,7,1265,59,125,149,126,206,292,287,54,7,1302,1168,670,812,729,963,1015,779,250,66,6454
RA15,37,25,32,32,49,73,108,39,10,409,0,0,0,0,0,0,0,0,0,0,209,126,125,165,232,377,429,194,39,1894,42,25,27,45,76,109,118,41,4,474,3,5,8,8,5,18,17,7,3,82,28,7,14,18,18,34,40,17,3,180,4,6,9,8,6,21,8,5,0,72,12,8,4,14,8,23,20,17,0,94,0,3,8,0,3,3,0,3,0,17,11,3,11,6,5,3,9,9,0,62,0,0,0,0,0,0,0,0,0,0,304,187,208,265,353,575,642,294,46,2869,304,187,208,265,353,575,642,294,46,2869,342,211,237,290,404,649,753,335,56,3279
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,813387,592618,713711,625904,573727,461372,326517,188025,86972,4382236,524,739,629,480,453,398,402,326,193,4132,461,1145,2282,2390,2692,2198,1146,321,84,12717,12456,18577,22189,13811,11887,11162,9234,6735,4171,110223,355,789,1267,1121,1628,1386,813,186,42,7586,182,410,568,547,729,694,426,118,26,3707,184,452,652,677,810,758,471,129,29,4157,101,381,239,294,394,532,363,103,15,2424,61,137,96,81,82,78,45,6,0,584,39,135,270,177,192,184,123,23,5,1142,0,8,0,0,3,3,3,0,0,17,13841,22019,27568,19094,18417,16985,12627,7623,4376,142557,14366,22758,28197,19577,18868,17382,13024,7951,4560,146694,827752,615378,741907,645487,592598,478757,339540,195969,91530,4528927
RA21,201477,119995,111808,125010,144704,144128,113480,60236,26228,1047073,222,249,157,141,158,164,180,130,77,1473,191,434,400,287,400,459,380,127,42,2721,4153,7057,5876,3950,4120,4699,3874,2085,1191,36998,117,246,327,211,253,318,228,44,10,1757,71,113,120,151,148,197,162,63,9,1028,54,59,109,73,119,134,86,27,6,675,23,24,34,43,59,102,105,37,9,444,33,44,52,20,32,25,18,4,0,235,8,28,46,22,36,29,20,13,0,200,0,0,0,0,0,0,0,0,0,0,4651,7999,6973,4760,5163,5965,4877,2392,1266,44052,4866,8252,7134,4895,5319,6132,5054,2518,1346,45527,206347,128248,118943,129904,150020,150263,118535,62755,27579,1092598
RA22,40856,23336,22065,24091,31085,34380,28011,15768,6868,226460,70,62,46,38,51,61,53,40,18,443,256,253,264,251,278,315,180,49,21,1866,2234,2284,2149,1928,1914,1974,1565,587,271,14906,273,199,232,213,205,172,126,24,0,1454,171,291,288,212,227,299,238,85,6,1817,53,91,78,65,77,101,46,14,5,531,32,20,47,27,44,67,76,14,0,323,28,28,30,10,12,11,9,0,0,123,8,11,24,15,13,11,14,5,0,96,0,0,0,0,0,0,0,0,0,0,3053,3175,3119,2718,2771,2962,2248,772,305,21119,3117,3240,3163,2758,2824,3021,2294,817,324,21566,43971,26575,25227,26850,33913,37401,30307,16577,7197,248020
