RA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA10,2098594,2181505,4280099,72220,73570,145787,238877,245312,484191,5550,5161,10714,8208,8233,16444,1857,1642,3500,3318,2850,6172,481,473,955,859,749,1607,2369,2427,4793,57,31,87,261587,266888,528468,60638,66273,126910,5533,4930,10464,399974,411651,811624,211833,206459,418294,2710403,2799623,5510024
RA11,527366,549515,1076879,31742,35046,66784,47875,51409,99289,2753,2970,5720,4429,4524,8953,521,489,1007,832,773,1605,268,289,561,408,414,819,1475,1530,3007,24,25,49,58586,62425,121007,3493,3837,7329,1698,1606,3297,95521,102907,198427,67170,63478,130652,690060,715897,1405957
RA12,167345,166012,333355,10195,11179,21372,9637,9924,19561,955,1003,1961,1370,1419,2785,224,179,407,230,244,480,53,56,110,144,142,289,289,336,622,0,0,0,12910,13310,26217,758,826,1579,557,503,1059,24421,25812,50233,23579,22282,45857,215343,214106,429446
RA13,11226,10493,21718,735,772,1504,500,571,1076,41,45,94,96,95,195,28,20,46,19,19,43,5,5,14,7,8,12,3,6,7,0,0,0,708,774,1484,43,45,92,45,32,78,1532,1623,3157,2086,1921,4005,14846,14035,28884
RA14,2175,1996,4171,86,82,166,128,129,253,8,6,18,26,20,40,8,6,9,0,5,4,0,0,4,0,4,5,0,0,0,3,0,4,177,178,354,13,8,22,33,24,57,300,290,598,481,343,822,2960,2633,5590
RA15,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
RA19,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
RA20,1696814,1774395,3471213,52030,53957,105989,8534,8495,17028,203866,210781,414650,6323,6485,12810,2823,2791,5618,3832,3634,7458,1098,1235,2331,894,883,1781,1163,1284,2448,34,21,58,228573,235614,464187,50943,57130,108068,3994,3601,7595,335532,350306,685836,171225,171830,343064,2203574,2296539,4500112
RA21,424350,438688,863038,22673,24939,47617,2487,2630,5124,35437,38865,74301,1888,1783,3670,594,594,1188,749,757,1504,284,309,589,410,412,825,190,171,360,4,0,7,42044,45525,87572,2556,2825,5378,950,918,1861,68221,74204,142424,49643,48660,98303,542216,561548,1103763
RA22,94466,94944,189408,5305,5823,11124,706,755,1461,5595,5910,11507,366,375,744,360,370,732,204,216,418,52,51,99,117,116,235,32,30,57,0,0,4,7436,7825,15261,608,639,1247,262,241,505,13614,14522,28132,11927,11816,23736,120000,121278,241278
