RA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
RA10,11845,3715,5354,917,21836,4370,1251,2040,362,8019,3543,2385,6134,521,12581,2318,1742,6974,280,11314,19315,5856,11733,965,37876,10763,8771,18349,1019,38899,53397,14759,20479,1890,90525,30700,22831,21963,2508,77990,39969,36081,24210,2857,103108,37296,42050,19063,2622,101031,25207,42265,15049,1806,84323,27357,44355,12216,1677,85604,57722,95408,18238,3068,174436,39711,75196,8343,1753,125012,26236,55617,3689,901,86442,18811,45343,4648,483,69279,44568,120051,4627,899,170150,31766,76739,20202,1179,129884,8049,6228,4436,495,19206,492945,700629,227746,26199,1447522
RA11,1759,398,790,51,3001,1231,193,482,64,1963,1044,386,1795,89,3315,667,195,2677,57,3603,7775,1066,4436,226,13508,4412,1495,7601,221,13725,25926,3216,7836,502,37480,14254,5498,7716,680,28137,17535,10197,7027,649,35410,15771,11827,4750,477,32826,8658,11473,3154,250,23539,9432,11445,2476,260,23608,15794,21973,2901,290,40970,8927,15674,1002,158,25757,4980,9931,367,57,15338,2842,6225,469,28,9555,5972,11714,425,62,18172,10652,18655,5883,283,35466,3700,1489,1732,145,7059,161330,143051,63510,4561,372445
RA12,734,204,227,26,1193,507,127,189,17,845,424,162,672,37,1297,251,90,952,17,1311,3038,480,1451,100,5073,1538,659,2321,89,4605,8890,1269,2256,200,12614,4447,2152,2128,212,8941,5659,3490,1808,212,11164,4962,3902,1200,157,10220,2604,3334,744,66,6745,2991,3253,569,70,6879,4672,5686,620,88,11062,2430,3577,213,38,6256,1291,2179,69,9,3551,713,1146,121,5,1989,1503,2040,111,13,3667,3613,6255,1800,92,11752,1571,546,657,78,2856,51838,40559,18099,1519,112018
RA13,70,16,15,4,109,33,7,10,6,56,30,14,49,0,91,13,12,70,3,95,130,47,116,14,303,85,36,132,4,260,393,75,160,14,646,206,115,133,15,476,257,191,113,12,570,270,233,67,14,583,154,190,44,10,392,171,172,37,3,377,302,368,53,9,728,190,257,12,3,459,112,149,12,0,269,51,76,14,0,142,146,163,12,4,319,216,507,134,3,860,121,53,79,8,252,2947,2665,1260,128,7000
RA14,14,0,4,0,22,10,4,6,0,21,0,0,18,3,26,0,3,22,3,27,24,17,32,0,65,15,7,25,4,47,62,25,30,3,119,45,29,29,3,108,35,40,24,3,101,36,39,15,3,98,16,28,12,0,54,34,24,4,0,56,47,48,9,0,106,22,27,3,0,55,15,16,0,0,25,9,11,0,0,27,17,34,0,0,50,46,96,29,3,179,27,12,26,3,65,467,451,293,29,1245
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,9606,3578,5053,1155,19398,3771,1311,1966,460,7521,3086,2341,5396,607,11422,1837,1584,5909,270,9603,16586,5305,9328,942,32156,8988,7638,15081,936,32632,43558,13079,16285,1738,74651,26494,21081,18271,2253,68096,33593,33915,19570,2728,89805,31921,38828,15055,2425,88228,21551,38814,11716,1603,73686,24038,39841,9050,1555,74485,50620,82159,12864,2516,148159,34204,60978,5370,1349,101904,20560,41190,2326,711,64795,13856,31243,2752,334,48186,28828,77745,2685,555,109813,25703,61854,16990,976,105527,8100,6027,3845,448,18424,406901,568520,179520,23557,1178492
RA21,1550,422,533,59,2562,1102,203,372,55,1736,840,358,1305,70,2572,477,203,2015,30,2728,5896,957,3356,183,10384,3288,1341,5579,170,10380,18324,2697,5682,382,27087,10780,4924,5413,477,21598,13216,8750,4992,451,27412,11719,10465,3469,393,26041,6844,10263,2356,206,19676,7475,10202,1643,189,19516,13142,18323,1929,278,33668,7232,12697,702,127,20754,3766,7262,227,38,11292,1942,4410,321,17,6690,4100,8056,300,35,12489,7855,15215,4505,195,27773,3121,1372,1208,117,5817,122671,118135,45905,3457,290170
RA22,428,146,114,14,697,336,80,82,13,517,246,117,309,9,680,157,51,436,6,655,1611,277,750,44,2689,914,357,1157,37,2471,5017,765,1154,98,7037,2793,1329,1143,122,5393,3304,2140,953,119,6513,2989,2356,623,87,6057,1484,2053,393,37,3964,1770,1936,258,30,3999,2664,3200,295,50,6214,1312,1983,100,25,3418,691,1003,36,8,1734,326,548,44,0,918,695,996,56,15,1763,2002,3433,865,38,6343,953,295,297,19,1565,29695,23082,9079,775,62630
