RA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
RA33,18,3,224,38,18,138,53,278,22,786,91,94,478,100,22,61,220,414,33,1516,540,417,1234,190,77,88,861,584,64,4055,753,323,988,146,74,66,871,396,73,3697,928,249,797,140,85,71,991,481,83,3830,855,180,577,89,80,59,720,447,50,3060,451,54,112,31,25,31,159,116,27,1007,152,4,13,0,3,5,13,24,8,231,17,0,0,0,0,0,0,0,6,27,3805,1335,4429,735,382,521,3899,2738,367,18211,9,21,36,158,71,246,8,142,17,702,80,248,91,303,201,139,31,197,11,1288,339,805,210,520,579,248,137,336,36,3208,475,529,141,437,607,228,123,304,44,2890,582,480,136,470,634,236,129,416,41,3126,464,318,87,304,399,175,54,336,37,2175,234,65,19,53,111,34,21,72,27,637,63,3,9,3,19,3,0,3,7,118,10,0,0,0,3,0,0,0,3,21,2257,2460,734,2243,2630,1314,496,1810,213,14157
RA34,23,13,167,31,19,76,24,230,15,588,56,68,286,84,32,41,88,355,41,1061,369,268,627,180,74,55,342,488,56,2456,518,241,479,142,92,57,371,359,53,2303,656,210,411,141,131,35,449,388,55,2480,709,172,350,100,117,49,367,298,37,2202,293,31,73,15,30,16,81,105,24,669,98,5,6,4,5,7,3,19,8,157,7,0,0,0,0,0,0,0,0,15,2729,1004,2405,697,499,329,1732,2242,298,11934,6,25,29,118,50,130,8,103,17,485,29,184,50,239,143,89,15,166,14,930,286,530,123,436,424,152,80,251,37,2324,346,383,88,358,409,140,58,223,42,2052,502,333,101,377,418,126,54,275,29,2212,451,279,75,259,238,105,18,232,28,1687,176,44,13,37,51,25,6,69,19,445,31,3,4,0,4,3,0,8,12,62,5,3,0,4,3,0,0,0,3,13,1833,1789,477,1821,1741,783,244,1333,193,10205
RA35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,5,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,4,5,0,4,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,7,5,0,7,4,33
RA39,7,0,8,9,3,8,3,17,0,52,10,13,34,25,3,13,20,100,7,223,34,75,117,42,19,19,68,172,22,564,21,42,73,18,8,10,60,64,23,324,29,41,66,10,11,12,60,71,7,310,33,31,42,7,12,3,44,36,4,212,12,4,0,0,0,6,19,3,9,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,144,207,339,121,56,74,271,459,66,1743,3,0,4,9,6,17,0,7,0,50,16,13,8,66,22,19,0,106,0,252,30,92,15,89,39,26,6,142,8,444,12,48,7,16,22,8,7,22,3,147,18,43,5,33,32,12,8,35,6,202,32,39,16,23,47,20,6,36,6,217,3,10,0,3,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,237,54,230,170,114,29,361,24,1336
RA40,164,225,1793,1349,298,3024,534,4390,195,11981,1073,2528,6871,3398,1437,3686,1915,5251,435,26599,6535,13501,16067,5243,4301,4437,5962,7899,1097,65049,10071,14337,12708,4098,4445,3494,6014,6360,1121,62651,11368,11797,12640,3717,4611,3300,7092,6045,1102,61679,7591,9410,8497,2736,3827,2544,5307,4227,706,44839,2030,3061,1736,508,910,788,1076,1030,258,11392,294,369,164,33,88,131,67,107,89,1341,38,40,8,8,10,12,16,10,34,173,39161,55264,60494,21099,19926,21422,27984,35303,5047,285707,179,284,395,3392,821,7537,77,1767,151,14599,1220,3621,1442,7254,3982,6374,161,1938,290,26282,4984,19331,3223,10569,11379,5442,336,3139,801,59200,6052,17782,2565,8724,12636,4211,392,3245,755,56359,6360,15068,2515,9528,15691,5335,677,4597,719,60480,3755,11192,1573,6503,11737,3451,514,3551,455,42733,717,2072,311,1118,2440,712,92,774,172,8414,75,147,23,71,156,65,6,51,94,681,8,17,0,12,13,9,0,7,42,108,23347,69504,12054,47163,58858,33139,2252,19064,3468,268859
RA41,39,37,572,162,39,460,120,1019,40,2488,213,165,1352,280,104,424,360,1154,56,4106,930,844,2652,458,292,452,1023,1605,116,8368,1884,1203,2252,515,423,454,1312,1365,176,9585,2449,1325,2520,640,560,631,1674,1587,190,11584,2060,1322,1969,501,558,534,1380,1328,158,9818,908,470,369,111,138,182,352,328,79,2938,234,54,42,8,18,21,37,57,23,488,37,6,5,0,6,0,0,7,10,73,8744,5431,11744,2669,2134,3163,6268,8447,847,49450,30,29,113,771,144,1226,21,545,43,2913,169,361,269,969,414,847,33,502,29,3588,621,1754,503,1362,1412,810,69,670,69,7271,1012,2174,533,1503,1971,877,97,818,90,9082,1335,2188,597,2063,2645,1119,170,1253,113,11471,1003,1896,344,1466,1951,777,129,968,83,8611,428,378,53,201,433,154,21,203,41,1919,93,21,6,14,33,11,0,28,18,227,9,9,3,4,5,0,0,0,5,40,4693,8818,2409,8352,9007,5825,544,4983,490,45120
RA42,64,23,469,71,44,402,101,740,40,1957,205,135,1043,131,48,239,299,857,43,2999,979,584,1777,298,147,312,1056,1317,104,6564,1650,635,1498,319,166,263,1132,1204,120,6981,2250,665,1679,396,279,350,1620,1418,186,8838,2167,640,1319,329,296,299,1369,1208,151,7764,1089,197,251,65,80,95,291,306,54,2424,272,15,30,3,10,18,35,49,40,471,44,0,13,0,3,4,7,13,9,96,8712,2897,8082,1612,1066,1974,5903,7114,753,38100,22,33,69,380,116,899,12,330,31,1893,95,391,192,581,342,476,31,311,24,2439,461,1488,295,973,927,615,69,563,67,5454,755,1307,323,1146,1360,680,89,664,72,6395,1101,1271,379,1609,1736,876,109,1114,88,8289,1070,1154,246,1204,1255,572,88,927,79,6599,506,187,48,188,285,99,28,229,53,1621,106,9,10,3,37,10,3,24,27,231,15,3,0,5,9,3,0,3,12,51,4134,5842,1562,6094,6074,4229,415,4164,449,32967
RA43,29,5,139,35,4,98,28,215,7,551,70,41,291,28,11,44,82,177,9,754,428,217,586,63,33,95,294,323,33,2069,513,225,517,79,51,70,282,289,29,2065,728,222,492,85,62,91,368,347,37,2418,622,183,375,81,65,93,321,294,43,2074,303,54,56,19,20,24,75,83,12,640,67,3,9,0,3,0,4,8,16,118,14,0,4,0,0,0,3,0,4,23,2777,964,2466,385,244,512,1453,1723,189,10715,6,5,24,90,29,232,8,83,5,488,36,84,49,155,86,110,13,95,6,628,155,415,123,272,342,177,18,163,33,1686,256,335,121,303,402,189,31,147,19,1804,348,342,118,352,441,231,40,273,22,2161,307,290,69,284,318,165,21,234,24,1709,126,45,10,46,67,28,12,49,8,386,25,3,3,0,6,0,0,0,9,62,0,3,0,0,3,0,0,0,3,10,1267,1525,517,1498,1692,1132,132,1034,130,8927
RA44,13,0,18,8,0,13,4,38,0,106,23,23,56,22,3,14,25,54,9,228,116,68,139,57,17,24,79,92,10,601,149,58,135,50,17,21,76,97,12,613,197,35,106,38,21,18,124,99,21,662,212,48,99,29,17,22,86,91,16,622,81,14,25,6,3,7,32,28,4,196,11,0,3,0,0,3,5,3,10,38,3,0,0,0,0,0,0,0,0,7,804,249,583,217,93,117,432,517,80,3084,0,0,3,10,4,33,0,19,0,81,7,39,4,50,28,32,5,26,0,197,45,122,18,111,75,36,8,39,11,476,89,91,20,98,90,28,5,49,8,490,106,112,23,109,103,52,9,58,15,584,86,108,29,82,69,31,8,66,8,484,36,12,10,12,20,3,8,21,3,124,8,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,371,497,106,475,398,217,42,286,47,2442
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,3,13,0,13,0,5,6,4,3,3,4,22,3,52,6,16,36,10,8,8,20,49,4,160,6,12,23,3,0,0,17,15,3,87,9,12,22,3,0,5,13,15,0,76,5,6,9,3,0,5,14,14,0,62,9,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,52,94,19,18,27,82,132,11,465,0,0,0,0,0,3,3,3,0,9,0,8,0,3,4,3,0,24,0,36,6,14,3,6,12,7,0,38,0,83,6,12,6,4,6,0,0,7,0,37,3,10,8,13,6,5,3,4,0,54,6,11,0,4,7,3,0,6,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,20,32,40,23,6,75,0,263
RA50,278,435,4271,2448,511,5586,1081,6448,364,21423,1715,4107,13297,4698,2158,5844,3798,8026,809,44453,11401,24856,34606,7566,6904,6097,12454,12556,2082,118514,17777,24727,27019,5390,6454,4489,11562,8554,2100,108078,19383,19747,22994,4590,6336,4185,12549,7981,1987,99750,12350,13655,14216,3096,5059,3302,9193,6020,1127,68017,3247,4385,2974,785,1396,1314,2123,1878,440,18559,423,546,212,91,150,193,142,287,114,2166,60,40,22,5,16,15,10,24,28,224,66642,92499,119610,28670,28976,31038,52913,51780,9058,481176,301,576,967,5724,1618,11785,175,2740,287,24177,2092,6490,2637,10940,7443,9743,466,2671,502,42977,9066,33051,6187,15861,20774,8832,1365,5521,1372,102024,9751,28616,4480,13028,20244,6845,1260,5734,1228,91183,9533,23767,4249,13507,23916,8177,1611,6518,1208,92485,5372,14851,2539,9094,16802,5574,1109,4964,711,61022,1030,2946,521,1577,3813,1282,187,1056,238,12645,111,193,35,81,286,99,15,106,86,1024,10,30,4,13,24,5,3,12,25,126,37270,110522,21607,69828,94919,52342,6187,29322,5666,427663
RA51,30,28,810,181,33,624,90,900,46,2745,149,179,1637,208,83,302,349,801,51,3757,772,802,3438,381,198,342,1259,1570,150,8913,1476,1247,3425,410,338,367,1889,1344,210,10709,1937,1387,3334,453,392,449,2324,1298,251,11831,1638,1084,2089,360,412,370,1845,1081,188,9070,761,320,360,89,127,151,402,342,73,2630,169,39,31,8,13,13,32,59,23,388,26,4,6,3,5,0,3,8,3,54,6964,5102,15130,2095,1606,2613,8190,7393,999,50097,43,36,146,644,217,1364,22,376,35,2882,175,323,328,787,540,607,42,384,42,3233,640,1658,602,1250,1462,836,149,833,73,7508,966,2136,601,1623,2063,950,189,988,111,9621,1222,2155,623,1852,2536,1152,274,1225,132,11159,870,1537,354,1358,1815,873,161,885,88,7938,348,271,65,212,354,147,32,215,48,1681,66,20,8,7,32,15,0,24,18,185,6,0,0,3,4,0,0,3,6,27,4338,8139,2725,7745,9014,5935,874,4928,540,44239
RA52,59,24,690,100,40,491,99,708,50,2252,168,157,1372,134,51,225,419,736,60,3323,958,800,2691,331,162,323,1347,1188,155,7948,1657,981,2293,380,213,295,1512,965,167,8472,2130,1064,2253,485,324,312,2014,1160,178,9913,2003,866,1594,352,315,311,1608,978,159,8187,1031,258,332,88,95,150,409,335,83,2781,306,47,24,10,21,17,29,55,34,535,38,7,3,0,0,0,3,11,10,67,8345,4213,11250,1882,1220,2117,7433,6134,884,43485,31,31,138,489,190,1082,12,311,32,2315,129,349,222,576,520,461,69,268,24,2618,585,1618,391,1059,1311,677,213,600,73,6530,914,1725,412,1340,1621,681,174,788,83,7734,1244,1654,468,1520,2001,939,276,1021,107,9220,1113,1241,290,1168,1519,590,152,792,101,6966,486,240,68,186,335,122,43,206,36,1720,111,21,8,11,31,5,5,19,25,230,11,0,0,0,3,0,3,3,6,26,4624,6876,2008,6351,7533,4548,940,4002,486,37360
RA53,26,12,231,57,17,195,44,227,22,833,124,86,602,76,34,97,188,300,42,1546,772,555,1995,212,179,153,714,708,106,5395,1099,520,1632,209,187,121,822,450,118,5167,1239,445,1139,179,186,126,950,493,135,4889,1063,305,694,119,151,97,711,389,75,3599,410,80,116,27,32,33,166,102,26,994,119,10,15,0,6,4,13,24,11,199,19,3,3,0,0,0,0,3,4,37,4879,2020,6428,876,787,837,3609,2695,533,22670,15,17,32,147,76,326,5,102,11,730,69,188,103,259,306,218,43,145,24,1354,442,1082,256,679,991,325,166,389,67,4392,602,918,222,618,894,299,114,355,50,4076,681,670,179,544,841,352,121,387,55,3829,519,435,118,377,526,215,64,255,30,2525,187,82,21,48,107,37,17,60,10,571,33,3,5,4,15,7,0,12,5,90,3,0,0,0,6,0,0,0,3,16,2550,3384,940,2683,3757,1777,532,1708,251,17578
RA54,11,8,98,26,7,62,22,137,4,376,42,103,457,93,16,43,162,286,30,1241,359,773,2226,264,130,62,1135,845,88,5875,504,517,1733,217,134,44,1178,626,112,5064,612,395,1330,198,135,39,1206,507,109,4536,517,253,674,117,97,33,812,334,62,2905,180,51,105,49,27,15,145,74,22,655,30,8,11,3,3,0,9,8,3,71,3,0,0,0,0,0,0,3,0,5,2259,2113,6630,963,545,297,4655,2823,443,20737,7,16,19,87,46,114,4,43,6,339,44,153,60,181,164,72,40,144,21,888,260,674,202,435,532,163,214,302,44,2828,351,482,149,365,427,135,170,244,43,2366,310,379,122,324,397,135,215,320,46,2246,305,297,87,199,286,103,97,218,33,1625,72,45,12,33,61,18,7,37,8,300,13,3,0,0,3,3,0,6,3,42,0,0,0,0,0,0,0,0,0,5,1361,2053,635,1625,1920,752,757,1321,205,10639
RA55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,11,3,16,21,0,0,0,9,41,0,91,3,25,28,0,4,0,15,26,4,97,0,18,24,0,0,0,9,16,0,73,0,8,6,0,0,0,6,10,7,33,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,77,80,3,3,0,35,97,9,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,0,17
RA59,0,0,0,0,0,3,0,3,0,6,4,4,23,12,0,12,15,24,4,101,15,44,108,21,9,10,56,106,16,376,15,22,72,13,3,6,61,34,8,230,13,13,56,8,11,5,62,35,8,211,9,22,31,4,5,0,36,31,4,157,3,3,6,0,0,0,9,5,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,123,303,64,32,29,239,233,34,1128,0,0,0,0,3,8,0,5,0,18,3,10,4,23,7,10,3,37,3,101,7,47,21,44,16,16,11,59,6,221,9,27,6,3,15,7,10,5,4,94,9,13,7,12,9,9,3,21,8,91,9,21,6,9,30,7,5,30,4,113,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,114,51,99,86,62,35,152,21,648
RA61,69,60,716,396,100,1040,164,1166,62,3773,319,524,2107,757,354,899,499,1357,103,6923,1707,2979,4229,1126,1063,1126,1332,1825,287,15674,2598,3357,3377,1098,1181,849,1423,1466,294,15633,2967,3216,3359,1206,1338,900,2006,1553,362,16919,2156,2610,2578,761,1031,791,1670,1220,217,13035,616,768,433,182,248,232,361,288,91,3221,88,98,58,9,31,29,34,37,32,416,6,20,0,3,4,4,3,4,11,61,10528,13633,16855,5544,5357,5866,7502,8924,1448,75654,49,73,167,1045,290,2287,23,574,59,4576,264,869,446,1988,1056,1672,54,501,86,6929,1097,4411,845,2779,2919,1534,82,873,207,14744,1576,4653,761,2583,3521,1360,113,1091,221,15875,1764,4454,732,2848,4259,1524,179,1529,231,17522,1072,3258,494,2096,3131,1007,140,1295,157,12650,204,536,110,318,595,204,26,237,60,2281,27,48,0,22,45,20,0,21,26,208,0,10,3,0,3,0,0,3,14,31,6051,18306,3563,13681,15813,9612,619,6118,1062,74822
RA62,61,23,433,89,29,382,77,548,33,1675,202,77,877,130,65,198,297,628,48,2519,690,483,1605,218,180,197,746,934,96,5149,1149,657,1446,307,218,266,918,938,139,6033,1493,819,1653,425,349,305,1431,1164,161,7796,1464,832,1332,332,328,301,1188,971,167,6917,682,264,218,64,80,74,257,204,46,1897,187,23,21,11,11,10,23,29,26,343,25,6,3,0,4,0,8,0,5,48,5959,3178,7582,1581,1265,1731,4934,5418,718,32381,29,15,77,396,107,819,16,284,28,1770,80,202,182,536,325,455,14,269,35,2098,368,976,333,838,790,561,41,476,62,4452,620,1190,329,1065,1076,631,73,715,68,5768,833,1376,391,1493,1593,779,109,1056,114,7746,763,1219,255,1040,1252,514,83,847,74,6052,286,205,41,130,245,95,14,159,40,1221,61,9,3,5,16,10,3,20,14,147,6,0,0,3,3,0,0,4,9,22,3042,5198,1612,5517,5409,3863,359,3829,447,29273
RA63,4,0,10,3,0,10,4,14,5,51,15,4,19,6,4,3,18,34,7,112,51,26,63,15,5,7,48,48,5,280,53,22,71,6,3,3,49,52,5,260,78,24,97,20,9,3,79,63,12,393,86,29,75,18,9,18,60,71,6,361,38,12,14,4,0,10,11,17,3,106,3,0,4,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,329,120,350,80,31,56,273,300,43,1579,0,0,3,10,0,22,0,16,3,48,3,13,13,33,15,7,0,15,0,97,31,39,15,60,30,18,0,43,0,239,28,33,19,36,42,31,6,44,6,248,51,35,13,53,48,56,0,67,0,332,69,35,13,34,47,33,0,68,7,307,15,4,0,3,13,4,3,10,4,67,4,0,0,0,0,0,0,4,3,14,0,0,0,0,0,0,0,0,3,3,197,158,76,236,192,174,10,269,25,1348
RA64,0,0,6,3,0,4,0,7,0,22,6,3,10,3,0,0,4,20,0,48,21,3,38,0,3,0,8,34,0,113,36,8,19,0,0,9,13,29,3,107,48,11,27,8,0,3,21,29,3,145,66,12,28,0,3,9,20,27,0,168,33,7,9,0,0,3,7,11,3,65,16,3,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,4,225,41,133,13,15,26,66,160,13,684,3,0,0,3,0,0,0,3,0,13,0,3,3,9,0,0,0,14,0,34,13,23,6,7,15,8,4,15,0,100,24,13,3,12,20,8,0,6,3,89,29,14,5,18,19,22,3,34,4,141,31,21,7,22,19,12,0,16,0,124,9,4,3,0,14,0,0,3,3,36,6,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,0,110,77,33,73,87,52,7,97,9,545
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,3,0,12,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,14,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,4,0,0,3,13,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,9
RA69,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,6,0,15,4,13,12,3,0,0,3,13,0,56,0,0,3,0,3,0,9,7,0,26,3,3,7,3,0,0,6,4,0,28,0,3,8,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,33,15,5,3,22,37,3,152,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,3,0,12,4,0,0,6,0,26,4,11,0,0,6,5,0,0,0,27,4,3,0,4,9,0,0,3,0,21,0,7,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,20,17,9,0,10,0,98
RA72,22,44,366,203,65,419,77,408,34,1638,184,223,1135,738,192,307,327,500,107,3702,953,1612,3578,1250,573,401,931,1219,232,10734,1385,1436,2558,857,547,315,787,820,193,8887,1443,1168,1955,586,507,285,887,626,189,7641,971,852,1052,288,396,167,672,427,120,4946,220,263,197,66,107,60,160,99,37,1214,24,26,21,0,11,15,10,6,10,117,0,0,3,0,0,0,0,3,0,10,5197,5619,10869,3987,2389,1973,3838,4100,915,38883,24,34,84,357,224,677,12,116,32,1564,148,398,198,720,766,492,48,195,68,3031,843,2648,452,1438,2048,716,105,478,133,8851,946,2146,286,1024,1854,501,78,465,129,7431,987,1655,271,785,1742,478,94,522,100,6634,534,1054,149,464,1102,283,58,345,67,4053,106,191,31,76,258,77,7,71,28,838,9,18,3,9,9,4,3,4,0,55,0,0,0,0,0,3,0,0,3,6,3598,8147,1465,4872,8004,3234,404,2186,560,32474
