RA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
RA10,325,1177,79,85,171,1346,1900,1191,4436,68806,45445,5434,119690,5334,5785,11123,130810,94576,2357,227746
RA11,102,402,47,25,70,477,850,400,1732,15785,15198,1691,32674,1950,1889,3842,36515,26185,808,63510
RA12,24,121,19,26,42,160,326,171,657,3959,3896,462,8324,644,542,1188,9509,8265,331,18099
RA13,4,17,3,0,3,17,24,30,79,277,201,36,510,50,37,88,597,617,48,1260
RA14,0,3,0,0,0,9,17,3,26,56,26,6,89,9,13,22,107,177,6,293
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,258,1082,73,89,161,1244,1616,988,3845,52332,39574,4476,96389,4434,4638,9070,105458,72114,1946,179520
RA21,80,309,25,27,60,364,564,278,1208,11079,12008,1342,24434,1295,1403,2698,27134,18197,577,45905
RA22,20,63,7,8,14,72,144,83,297,2083,2244,247,4567,228,234,455,5029,3886,163,9079
RA23,0,0,0,0,0,0,0,0,3,18,30,0,51,3,0,3,52,33,3,95
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,199,690,48,48,100,792,825,563,2183,40869,28639,3276,72782,4137,3723,7862,80643,45516,1148,127304
RA31,73,227,33,26,59,289,388,249,920,9747,8936,983,19664,1959,1471,3435,23097,17354,463,40914
RA32,43,172,20,11,34,203,302,196,700,8140,6007,760,14904,1358,931,2286,17190,10724,350,28266
RA33,9,25,0,0,0,25,33,26,81,708,378,71,1149,105,77,185,1334,1044,44,2420
RA34,6,20,3,3,5,19,58,32,111,579,363,67,1006,113,46,156,1162,1178,58,2396
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,58,251,22,24,42,296,476,287,1056,15559,13339,1412,30303,1716,1547,3260,33566,22071,508,56145
RA41,9,52,3,5,14,63,67,44,169,2142,2319,226,4688,254,214,473,5165,3014,88,8266
RA42,13,45,5,3,8,56,107,71,237,1457,1589,156,3197,277,239,520,3719,3045,115,6881
RA43,0,7,0,0,0,13,29,8,46,350,359,39,748,51,44,97,841,506,13,1360
RA44,4,3,0,0,0,8,17,22,48,107,100,23,236,19,9,22,260,197,24,481
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,103,351,38,24,64,414,494,339,1247,22926,17581,1922,42434,2813,2370,5179,47610,25478,666,73763
RA51,11,35,0,10,10,47,77,37,163,2135,2240,260,4639,311,290,599,5231,2876,100,8207
RA52,8,35,3,3,5,44,94,60,201,1768,1603,182,3552,250,212,460,4015,2612,101,6732
RA53,3,18,4,0,5,26,34,39,95,842,434,82,1353,95,67,160,1515,933,59,2505
RA54,3,19,3,5,7,28,62,75,164,472,287,61,817,115,73,186,1004,1043,97,2139
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,19,88,8,15,23,105,153,84,343,4381,4329,479,9193,421,457,873,10066,6570,169,16801
RA62,6,29,4,3,6,33,81,34,149,1323,1481,192,2998,203,197,400,3398,2806,81,6291
RA63,0,3,0,0,0,3,5,3,12,48,54,5,107,15,8,27,137,126,12,271
RA64,0,0,0,0,0,0,0,4,6,22,20,0,40,3,0,3,41,19,3,65
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,12,36,0,0,3,38,49,48,137,2095,692,172,2953,129,78,205,3164,1359,75,4605
