RA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA23,9,45,230,633,265,21,6,28,1231,0,3,21,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,21,4,0,0,0,0,28,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,12,3,3,0,0,0,0,21,0,0,7,6,3,0,3,3,16,12,61,256,645,269,22,9,31,1307
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,733,4515,41281,301444,304009,65232,13809,13188,744210,283,3606,22642,17786,1179,100,64,2170,47834,209,3259,22192,52683,4587,372,116,1990,85414,497,6862,44835,70463,5768,474,179,4164,133240,883,12336,24433,8258,788,139,133,1828,48811,448,6543,31380,6297,316,41,60,1160,46248,762,12382,30371,11330,656,54,49,1443,57048,3,88,82,35,16,0,0,18,249,2098,31348,86271,25920,1776,243,249,4456,152357,682,2518,1801,720,261,73,36,457,6544,66,572,848,990,492,114,78,968,4119,4066,45820,175028,399540,312314,66132,14349,23232,1040479
RA31,706,4214,29301,133963,101454,16988,3835,6316,296773,119,2064,9384,4485,342,34,20,694,17144,59,1067,2809,2278,208,32,10,231,6690,178,3131,12189,6755,552,71,31,928,23830,80,1661,6318,1976,166,21,17,502,10736,28,106,490,160,10,0,0,20,814,7,87,630,403,33,3,3,35,1204,0,20,16,8,4,3,7,3,68,108,1873,7459,2554,208,27,27,562,12826,725,2018,807,571,278,61,26,509,4997,53,213,322,575,319,79,50,487,2098,1773,11448,50074,144411,102813,17222,3970,8804,340521
RA32,718,4088,20340,90216,63214,9949,2237,4477,195238,122,1056,5592,1787,255,18,13,424,9269,41,673,4027,1335,131,23,17,175,6413,161,1724,9617,3118,380,46,35,597,15676,217,2355,7418,1645,181,25,26,667,12539,41,624,3111,894,27,0,3,152,4846,28,278,1342,947,23,6,0,67,2691,0,18,11,7,3,3,0,4,53,284,3278,11885,3496,227,34,32,885,20126,724,1418,612,395,173,24,37,436,3815,37,198,326,368,213,46,40,345,1573,1925,10706,42783,97593,64214,10099,2374,6744,236442
RA33,161,814,2749,9358,4761,900,297,571,19610,7,213,513,166,16,7,0,34,952,0,26,92,49,6,3,0,3,179,7,240,606,216,25,5,3,34,1132,3,222,472,111,26,3,0,79,915,0,0,5,0,0,0,0,0,12,0,11,6,3,0,0,0,0,20,0,6,0,3,0,0,0,0,14,4,235,489,115,26,4,0,80,953,139,296,111,92,36,4,6,108,803,19,68,110,162,89,21,11,41,526,328,1656,4066,9949,4942,939,313,836,23030
RA34,56,500,2336,6030,3165,774,380,563,13814,7,132,333,180,74,16,8,35,777,0,25,188,63,16,6,3,27,314,7,154,518,239,87,15,10,61,1091,3,102,269,64,14,3,0,36,497,0,3,12,0,0,0,0,0,17,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,3,110,284,64,14,3,0,35,516,123,197,67,72,48,9,17,123,656,19,38,44,81,38,19,14,38,282,209,991,3252,6484,3350,819,420,826,16358
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,339,2871,32229,205239,84199,13285,2400,5696,346271,197,5249,28626,22999,2136,218,106,1935,61463,30,736,5977,11434,1939,264,42,458,20874,223,5988,34599,34426,4068,490,149,2395,82332,175,5203,19222,2821,139,35,32,885,28508,42,555,2853,359,21,0,8,142,3974,69,1262,3286,811,58,10,6,119,5622,0,35,29,17,3,0,0,4,93,286,7048,25385,4014,216,42,48,1148,38195,108,396,332,254,86,22,15,73,1279,22,143,292,537,168,30,18,166,1366,976,16443,92842,244470,88744,13865,2626,9473,469442
RA41,146,1042,8998,38897,20399,2789,575,1289,74133,14,498,1950,1624,87,15,21,167,4379,0,9,69,125,24,11,3,5,241,18,504,2014,1748,112,21,25,174,4619,16,294,917,242,11,0,3,78,1563,0,12,11,11,5,0,0,0,39,0,0,15,9,0,0,0,0,29,0,4,0,3,0,0,0,0,7,16,309,951,261,11,0,3,81,1638,80,219,150,106,40,4,8,31,632,10,21,115,162,79,10,4,44,452,269,2090,12228,41174,20646,2836,618,1611,81479
RA42,108,928,7395,32820,13308,1802,353,1262,57966,21,474,1761,3479,239,65,42,300,6369,0,4,8,43,25,7,0,0,90,21,476,1768,3524,257,69,42,302,6459,10,351,920,248,19,3,4,101,1656,0,3,19,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,352,941,250,18,3,4,100,1683,82,233,128,126,50,12,5,57,685,7,25,56,171,67,17,11,41,400,225,2015,10291,36883,13707,1901,415,1763,67196
RA43,43,331,1993,7777,3403,477,84,304,14409,9,135,355,355,31,3,0,51,943,0,0,7,59,17,0,0,0,83,9,135,366,414,46,3,0,51,1025,3,71,273,47,5,0,0,8,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,279,47,5,0,0,8,417,36,109,40,50,18,4,3,9,273,0,11,17,68,19,10,4,17,154,91,658,2687,8362,3500,492,101,391,16277
RA44,24,220,619,2087,746,135,28,164,4023,0,3,44,12,0,0,0,3,69,0,0,3,0,0,0,0,0,3,0,3,45,12,0,0,0,3,72,0,19,37,3,0,0,0,9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,3,0,0,0,9,66,25,35,21,17,17,0,0,35,151,0,11,21,23,8,7,3,15,87,52,289,742,2147,774,147,38,218,4406
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,435,3433,26995,187160,255757,34780,5923,8624,523103,165,5281,24967,42762,5248,406,143,2418,81389,73,1714,6630,15175,3977,471,99,578,28705,239,6990,31597,57933,9221,874,245,2993,110094,128,3826,9325,2868,240,27,24,676,17120,124,3223,6308,1372,65,10,9,303,11412,188,4635,8698,2771,130,17,11,388,16833,0,17,7,4,3,3,0,10,49,442,11701,24340,7013,439,53,40,1383,45415,169,710,649,257,195,27,18,151,2175,25,134,264,473,344,43,25,266,1574,1314,22964,83833,252842,265948,35787,6256,13412,682358
RA51,114,846,5431,25479,30728,3672,752,1242,68263,9,480,1523,1664,189,12,9,154,4041,0,46,99,329,87,7,0,12,581,11,524,1615,1992,279,19,11,169,4622,7,285,535,178,15,3,0,65,1087,0,3,54,28,0,0,0,3,88,0,0,20,17,0,0,0,0,40,0,3,7,0,0,0,0,3,19,9,293,615,227,16,3,3,71,1233,92,361,416,142,41,14,9,71,1138,3,39,57,114,93,16,12,61,393,239,2054,8137,27951,31149,3722,787,1609,75642
RA52,128,958,6272,26429,20323,2838,591,1291,58826,28,719,1816,1335,106,4,7,194,4219,3,37,173,220,136,19,0,11,606,31,765,1994,1556,236,28,10,208,4821,4,283,344,119,10,0,3,51,822,0,3,14,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,7,4,287,353,127,17,0,3,49,844,109,406,270,119,65,10,10,80,1073,10,37,75,134,86,15,14,52,426,283,2454,8965,28368,20724,2900,627,1685,65993
RA53,60,490,2068,10263,8327,1043,208,509,22969,11,265,731,465,71,7,4,73,1632,0,29,143,159,39,6,0,6,389,12,302,873,625,105,14,4,83,2018,13,246,472,221,33,0,3,53,1037,0,19,26,14,0,0,0,0,58,0,20,55,22,0,0,0,3,97,0,3,3,0,0,0,0,0,4,16,285,550,252,33,0,3,61,1199,189,304,85,57,26,4,10,58,743,17,62,56,81,41,9,19,54,336,292,1440,3633,11282,8531,1078,238,767,27262
RA54,43,383,1644,6752,2908,345,108,479,12666,4,184,423,192,25,3,4,77,920,0,4,39,21,11,0,0,3,86,4,189,466,217,35,3,3,81,1001,6,57,184,86,10,3,0,20,365,0,10,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,69,195,92,8,3,0,20,390,259,447,139,101,70,17,13,153,1199,14,38,28,63,23,9,24,70,262,320,1125,2469,7220,3054,372,147,803,15516
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
