RA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA29,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
RA30,30117,22668,15408,8011,2289,498,108995,1300,9650,11971,11485,8711,4048,1086,183,48446,31687,105787,91214,62217,41370,24055,8232,2339,366908,19893,44740,49334,48018,35012,20703,7824,2267,227798,49405,86454,78623,75634,58461,36369,15824,4603,405369,9033,5242,4153,3383,2688,1577,433,120,26633,4441,6741,8321,8543,8137,6166,2509,866,45719,62878,98434,91097,87554,69292,44107,18758,5594,477714,1465,2948,2984,3091,3059,2918,1702,644,18811,30047,34668,29642,29332,26671,25405,20253,14354,210371,148897,324608,306359,264359,199526,129251,60149,25885,1459037
RA31,3157,3218,2833,1750,443,68,13677,232,1382,2097,2626,2465,1199,314,35,10346,3663,14723,15651,12673,10784,6536,2247,506,66770,2454,7824,11035,13323,11794,7223,2525,593,56772,16630,29777,28771,29981,26414,16676,6325,1377,155941,3788,2285,1669,1493,1134,651,138,18,11177,1363,1890,2492,2904,2846,2183,867,219,14760,21781,33949,32929,34378,30390,19508,7331,1617,181878,323,540,593,771,843,913,511,152,4643,11112,10179,10859,12570,13041,13301,9671,5126,85871,39700,70678,76319,79553,72152,50425,23038,8092,419955
RA32,2590,2417,1858,982,243,46,10219,210,1330,1624,1662,1337,580,138,19,6896,3293,13906,12204,9168,6927,3713,1176,247,50635,1877,6809,8689,9347,7408,3931,1248,296,39612,11424,22894,21286,20795,17478,9557,3341,686,107460,2382,1584,1200,1015,742,346,68,21,7363,860,1452,1799,1972,1761,1107,387,87,9432,14664,25935,24284,23786,19976,11014,3798,797,124255,215,466,510,583,558,543,258,73,3211,10329,10671,10016,11005,10408,8739,5466,2243,68867,30699,61095,59916,57975,48468,29496,12322,3711,303687
RA33,176,123,103,54,9,3,676,18,153,133,110,89,27,11,0,544,389,1514,987,618,478,241,55,12,4297,193,680,728,797,575,290,80,13,3348,1155,2703,2245,2114,1660,772,243,38,10937,256,207,144,116,75,39,13,3,843,85,163,180,193,173,93,26,0,914,1487,3074,2573,2419,1902,906,282,42,12694,13,54,50,48,53,37,15,3,285,1409,1775,1351,1508,1371,1009,476,133,9042,3522,7451,5999,5630,4582,2565,934,203,30881
RA34,113,95,84,22,4,0,413,3,95,102,85,86,18,3,0,393,225,894,615,406,357,131,41,7,2668,145,429,460,583,486,153,39,7,2299,954,1762,1381,1218,970,382,106,14,6792,258,218,162,132,79,31,3,0,888,99,102,118,131,126,44,11,4,635,1307,2089,1664,1488,1177,459,120,23,8320,27,26,25,33,34,16,9,3,175,1175,1085,847,864,801,616,312,115,5812,2881,4705,3824,3559,3018,1407,527,158,20081
RA35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,3,0,0,3,3,0,0,12,4,3,3,6,0,0,4,0,18,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,6,3,0,4,0,26,0,0,0,0,0,0,0,0,3,4,0,0,0,4,9,0,3,23,10,11,12,8,15,15,6,3,71
RA39,41,38,38,25,3,0,266,7,23,12,19,36,19,0,0,118,200,451,125,104,130,115,21,3,1147,88,128,95,109,218,128,18,0,779,151,340,256,316,418,356,61,8,1898,27,17,16,13,24,16,0,0,113,19,42,19,24,60,37,4,0,202,197,398,300,349,497,411,64,9,2221,16,24,9,18,19,20,7,0,113,331,585,474,448,481,334,102,17,2765,839,1709,1058,1085,1426,1050,215,24,7409
RA40,12316,8494,6439,3816,1242,293,45982,389,3504,4665,4560,4416,2364,547,110,20563,11916,43391,35763,24014,19183,11679,4014,1508,151483,4479,15531,17515,19135,16448,10298,3745,1417,88573,16865,33768,28547,30599,24700,15799,8060,2719,161061,3493,3279,2415,1889,1404,729,218,66,13499,1432,2516,3350,3721,3624,2846,1247,536,19277,21794,39573,34311,36210,29730,19374,9525,3325,193837,596,1317,1281,1357,1333,1356,811,395,8440,9766,10785,9568,10359,10304,10484,9182,6495,76943,49590,126832,115425,104128,87856,59372,29064,13550,585821
RA41,684,712,748,513,131,21,3271,30,266,455,610,794,393,89,11,2644,751,3064,3578,2933,2908,2128,649,176,16184,465,1650,2537,3371,3242,2416,743,216,14633,3294,6389,6279,6945,5959,3919,1589,446,34820,719,673,535,438,344,221,38,19,2985,302,479,704,804,812,713,273,70,4158,4309,7539,7517,8185,7117,4855,1904,537,41963,53,137,173,183,241,255,140,67,1250,2172,1634,1870,2339,2766,2864,2058,1158,16870,7819,14717,16814,18328,17817,13417,5711,2197,96818
RA42,250,225,229,136,36,5,1179,33,197,249,321,373,161,40,3,1377,486,2272,2090,1529,1462,865,260,75,9052,270,1074,1524,2043,2190,1262,366,102,8819,2576,4888,4577,5341,4770,3028,1231,310,26732,547,588,466,350,260,136,43,9,2402,251,378,521,592,540,408,122,28,2837,3376,5856,5571,6286,5569,3578,1387,351,31972,39,77,118,136,162,166,76,34,815,1975,1857,1900,2459,2578,2774,2033,1183,16768,6216,11589,11702,13010,12565,8942,4199,1751,69976
RA43,80,65,75,58,12,0,402,9,69,76,96,107,68,7,3,430,127,761,629,426,426,243,87,19,2726,77,329,409,552,565,311,81,25,2344,606,1474,1367,1366,1167,661,247,67,6947,91,144,117,78,82,36,11,8,554,48,98,153,147,165,79,31,12,732,737,1713,1639,1586,1411,778,290,83,8240,15,45,39,41,39,35,23,8,243,501,537,538,643,710,631,423,260,4238,1470,3547,3403,3424,3330,2123,924,400,18622
