RA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA61,2535,2311,1921,1212,351,100,11017,119,993,1196,1415,1250,652,171,39,5835,2206,8481,8005,6372,5877,3476,1189,469,36080,842,2914,3966,4648,4301,3021,1400,444,21551,4978,10100,8662,8963,7747,4526,2183,661,47835,1253,1058,694,560,416,245,73,31,4329,473,707,880,1023,1130,776,400,173,5566,6704,11872,10236,10550,9291,5550,2659,865,57729,123,257,233,293,333,391,279,106,2019,3461,3174,2972,3499,3958,4211,3350,1807,26436,13585,30144,29147,29092,26942,18526,9395,3831,160665
RA62,363,459,595,436,106,14,2228,20,159,261,390,431,270,49,7,1603,304,1657,1950,1939,2263,1466,437,106,10129,209,900,1509,2115,2224,1619,561,122,9247,2290,4224,4296,5014,4792,2712,1071,218,24614,596,499,347,322,261,119,30,16,2189,195,324,458,567,647,454,170,40,2845,3075,5045,5103,5897,5703,3282,1276,280,29644,25,63,82,119,155,186,118,30,773,1749,1206,1454,2127,2564,2797,1847,654,14403,5404,9268,10725,13045,13930,10064,4382,1213,68034
RA63,11,20,16,18,3,3,84,0,0,12,5,19,11,0,0,46,24,99,72,71,91,69,21,7,446,6,64,55,90,115,88,29,9,451,82,194,183,260,280,165,68,11,1246,22,23,10,20,18,8,0,0,103,17,16,21,36,33,23,16,0,152,123,230,224,315,335,195,84,11,1507,0,3,5,11,6,5,0,0,39,80,90,83,135,158,192,101,50,887,226,496,471,642,742,585,233,70,3468
RA64,3,5,9,12,0,0,49,0,9,4,4,9,3,0,0,35,10,40,37,21,45,32,9,3,198,12,14,22,29,56,25,16,0,172,28,76,55,79,108,62,24,5,435,3,3,7,7,4,0,0,0,27,8,3,8,11,8,8,7,0,45,35,89,70,90,120,67,27,5,508,0,3,3,3,7,6,4,0,19,33,28,20,35,51,41,31,11,262,90,189,164,194,299,195,91,27,1240
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,10,4,11,3,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,0,7,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,9,6,19,6,5,5,7,0,0,44
RA69,5,7,5,3,0,0,31,0,4,3,0,0,0,0,0,6,3,31,16,5,15,8,0,0,77,0,11,13,12,9,7,0,0,59,21,22,17,17,22,9,3,0,120,5,3,3,0,0,0,0,0,16,0,4,0,4,4,3,0,0,13,29,33,23,25,25,13,3,0,152,0,0,0,0,3,0,0,0,4,33,46,36,35,18,15,3,0,190,67,127,93,80,78,50,10,0,517
RA72,1294,925,719,302,49,3,4646,42,581,654,549,434,134,27,0,2430,890,5442,3850,2418,1635,741,180,42,15194,450,2107,2264,2167,1419,572,155,16,9149,2314,6151,4584,3972,2526,1087,309,52,21000,459,362,257,180,112,41,10,3,1432,197,394,408,389,301,175,46,13,1921,2965,6906,5251,4544,2938,1309,367,72,24352,62,165,166,123,110,61,33,7,729,2529,4122,3100,2700,2118,1206,475,166,16415,6996,20607,16577,13429,9373,4338,1290,317,72912
RA73,295,270,222,89,21,0,1201,10,175,174,203,137,43,9,0,743,162,1237,979,728,570,203,55,10,3952,74,550,555,633,483,166,53,7,2520,548,1306,1054,1148,853,356,85,23,5369,142,145,92,102,41,13,3,3,541,53,128,126,123,109,52,14,4,608,743,1579,1270,1367,1009,418,101,25,6514,16,49,41,53,33,17,11,3,226,1233,1597,1163,1298,1026,570,203,73,7163,2249,5474,4488,4551,3482,1511,448,118,22326
RA74,102,76,74,23,3,0,403,9,63,86,65,71,14,0,0,306,82,515,356,270,263,64,7,0,1552,59,222,229,271,200,56,15,0,1057,333,737,601,613,444,135,26,0,2891,144,223,160,138,78,21,0,0,767,63,148,141,110,56,26,7,0,552,545,1108,907,863,585,177,29,0,4208,10,38,11,22,15,8,3,4,109,1975,1703,1295,1000,622,282,86,10,6967,2684,3777,2995,2563,1825,614,140,13,14613
RA75,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,17,3,6,0,0,0,0,0,0,8,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,15,3,27,21,7,3,0,3,0,60
RA79,11,9,4,6,0,0,52,0,13,4,6,6,3,0,0,34,18,58,39,19,28,17,0,0,184,13,19,26,30,23,17,0,0,121,20,52,45,51,76,53,9,0,322,9,3,3,4,5,3,0,0,29,14,11,6,3,9,3,0,0,45,49,65,55,59,90,58,6,0,392,3,3,0,9,8,3,0,0,24,82,196,161,193,114,73,14,0,831,162,376,295,324,284,173,22,0,1635
RA80,9739,7121,5049,2831,914,234,34743,239,2809,3005,2962,2623,1446,280,39,13391,6208,21166,16042,11210,8646,5487,2121,651,71538,1751,6049,6543,6144,4629,2949,1195,394,29657,4204,8618,7081,6186,4510,2700,1338,427,35065,871,641,493,381,295,186,79,36,2981,371,548,855,1032,1106,949,379,153,5396,5443,9810,8427,7597,5908,3834,1797,620,43441,183,408,379,406,406,424,232,105,2539,3457,4568,3557,3148,2823,2532,2038,1507,23631,17669,53277,47690,38587,30075,19509,8580,3556,218939
RA81,11,8,8,3,0,0,36,0,0,6,0,4,0,0,0,10,0,16,27,10,3,3,0,0,67,0,11,20,19,7,0,0,0,69,15,33,20,19,17,7,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,37,28,21,17,7,0,0,118,0,0,0,0,0,0,0,0,3,14,10,10,12,5,0,0,0,61,26,89,102,77,49,21,4,3,368
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,4,4,7,6,0,0,40,0,0,3,0,4,0,0,0,10,14,35,8,7,7,3,0,0,81,3,3,10,4,6,0,0,0,30,10,11,12,11,12,3,0,0,50,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,5,13,14,12,11,10,3,0,0,62,0,0,0,0,0,0,0,0,3,26,16,31,20,20,7,0,0,112,58,68,75,54,57,17,3,0,339
RA91,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,8,15,5,7,7,3,0,0,41,0,4,8,5,3,0,0,0,26,3,5,4,8,3,0,0,0,33,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,9,7,11,10,3,3,0,0,41,0,0,0,0,0,0,0,0,0,23,16,12,15,4,8,5,0,88,41,53,44,42,23,12,3,0,218
RA94,17,8,10,7,5,0,64,3,9,13,11,7,6,0,0,49,9,57,77,39,60,29,4,5,274,6,39,66,53,48,22,7,3,246,34,86,111,138,128,55,17,3,566,13,14,11,5,8,3,0,0,49,6,11,19,15,21,16,4,3,94,47,112,134,163,155,78,17,9,717,4,3,3,10,3,0,3,0,27,87,156,119,133,118,80,46,11,742,156,388,430,416,394,226,93,26,2124
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,10,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,6,0,7,5,4,4,0,0,31
