RA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
RA10,14350,79457,20742,19599,3863,183894,36701,12087,104754,46389,53056,9399,262380,2923,830,9900,4848,7251,1043,26802,4395,1135,12644,11109,38818,2302,70401,7987,1253,21426,11439,23375,10657,76139,248933,61928,639645,296191,505334,72257,1824294
RA11,4613,20376,6658,7935,1049,47015,5117,3209,21556,14332,22254,2660,69125,240,123,1087,803,2121,228,4601,342,195,1388,2199,13441,569,18131,406,187,1683,1618,6907,2237,13030,20917,13158,85276,62971,186889,18660,387873
RA12,1143,5601,1802,2316,360,12277,829,660,4426,3669,5963,765,16307,62,45,287,194,646,63,1295,70,36,272,417,3634,191,4627,74,46,356,390,1923,827,3617,3689,3055,21369,16537,54565,7183,106395
RA13,75,419,108,137,33,852,37,26,241,212,265,42,824,0,0,8,8,21,9,45,0,0,10,17,177,8,219,3,3,29,21,104,54,217,216,169,1492,1114,3240,505,6724
RA14,11,73,20,32,14,160,9,0,28,30,34,11,113,0,0,0,8,9,0,15,0,0,9,4,19,4,36,0,0,8,4,18,9,45,40,23,211,197,555,108,1125
RA15,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
RA19,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
RA20,21642,66227,18696,14970,2972,162989,29966,16252,87423,39812,41268,7359,222085,2750,1356,11197,5268,6573,919,28066,3565,1434,10279,10234,29546,1939,56994,5871,1420,17232,9728,18882,8577,61713,188827,76178,528898,249720,397631,55346,1496607
RA21,5427,15300,4977,5211,786,36330,4291,4425,17938,11880,15691,2313,56531,267,178,1146,997,1880,250,4724,289,214,1094,1849,9505,504,13455,300,212,1447,1389,5579,2063,10999,15826,15196,70160,53372,142459,15969,312975
RA22,1022,3080,981,1182,146,6837,569,672,3098,2493,3511,507,10848,24,18,173,143,358,36,746,27,26,160,312,1979,111,2616,38,34,191,286,1164,503,2223,1875,2453,12039,10543,30494,3931,61329
RA23,18,48,11,22,9,118,4,9,27,21,40,0,99,0,0,5,0,7,0,16,0,0,0,3,7,3,15,0,0,3,0,8,4,18,24,33,148,96,308,43,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
RA29,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
RA30,11062,45066,13183,16053,1960,107509,16615,7963,60139,29303,34061,4439,152520,942,461,4785,3021,5503,612,15322,1543,726,5697,6923,23435,1218,39540,2253,566,7442,5361,14580,5149,35351,85086,38166,283271,161259,336584,34525,938885
RA31,3017,12755,4132,6024,664,29859,2715,1840,13121,8560,12713,1429,40386,82,53,442,458,1118,114,2270,197,123,834,1450,8502,393,11501,182,97,911,999,4800,1513,8505,10230,7734,49634,37221,120797,11155,236782
RA32,1991,9332,2611,4179,522,20973,2071,1436,10023,5690,7955,1063,28240,94,56,469,406,917,120,2062,163,117,741,1103,5937,316,8378,158,56,683,734,3304,1236,6170,8014,5534,40350,28626,89356,9364,181246
RA33,178,902,214,440,71,1923,148,115,633,380,536,100,1905,7,3,29,29,76,14,146,4,12,43,79,565,40,740,9,5,50,56,329,158,599,584,458,3665,2662,9824,1163,18365
RA34,148,684,167,358,76,1528,96,87,467,381,510,122,1651,7,3,22,25,72,5,128,4,6,43,54,397,66,569,3,3,38,36,200,118,404,377,348,2339,1902,6281,1024,12281
RA35,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
RA39,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
RA40,4035,18485,5756,5253,722,42884,7764,3937,28127,13236,16331,2167,71553,369,177,1555,974,1723,185,4990,652,332,2319,2281,9899,553,16039,646,178,2173,1388,4055,1605,10052,34838,15568,113538,60875,129294,13425,367534
RA41,618,2763,1115,1131,143,6487,525,452,2846,2255,3311,347,9726,35,19,135,144,312,49,690,48,45,236,284,2049,86,2750,42,33,219,226,867,266,1650,2405,1895,11742,9816,28775,3004,57635
RA42,412,2039,776,962,95,4533,264,263,1943,1570,2482,269,6803,4,3,35,39,132,17,226,16,21,93,184,1398,59,1770,11,15,86,113,592,273,1084,933,1069,7167,6206,21678,2448,39506
RA43,132,583,181,235,27,1242,60,77,425,348,489,61,1465,5,3,28,11,45,7,102,9,0,40,53,384,24,516,3,5,36,35,149,82,313,319,331,2151,1674,6076,737,11287
RA44,36,223,57,88,24,449,22,22,112,117,149,21,445,0,0,8,6,13,9,38,0,3,7,13,95,14,128,6,0,15,10,44,34,108,89,81,614,467,1487,240,2979
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA49,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
RA50,8512,29089,8391,10634,1678,69138,9259,4979,37746,17139,18813,3354,91286,711,366,3319,1701,3056,377,9525,1086,467,4135,4108,16175,816,26786,1730,477,6036,3913,10104,3130,25397,54646,26303,196813,101788,211418,24513,615478
RA51,749,2680,939,1520,183,6455,433,385,2580,1650,2487,325,7854,20,22,161,134,353,37,717,48,34,258,320,1907,84,2661,39,32,280,340,1270,339,2303,1858,1871,12033,9295,30612,3075,58745
RA52,709,2420,825,1298,174,5806,380,313,2010,1422,1896,286,6306,34,7,143,103,269,25,578,45,23,138,270,1839,97,2403,34,17,154,185,928,344,1662,1624,1599,9447,7453,24402,2802,47332
RA53,307,1233,331,578,84,2692,184,194,924,560,672,130,2660,8,5,55,48,107,14,242,23,12,91,124,763,39,1052,20,10,116,119,592,189,1050,845,819,5298,3825,12633,1453,24881
RA54,203,764,143,385,80,1694,84,88,502,248,335,99,1347,11,3,61,28,78,15,196,15,6,40,57,511,59,691,23,8,83,79,351,125,670,702,528,3837,2622,11211,1058,19960
