RA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA10,..,427181,427181,526235,57137,583368,312014,17959,329968,328203,7849,336056,144414,3071,147483,81004,2279,83288,1391868,515477,1907344
RA11,..,142216,142216,179943,13279,193226,70967,1978,72946,66652,652,67308,31641,208,31848,15271,99,15369,364479,158436,522910
RA12,..,47520,47520,57825,3676,61501,20131,355,20491,17992,81,18078,9456,43,9493,4699,21,4723,110109,51699,161806
RA13,..,3253,3253,3383,228,3612,1276,22,1299,1157,0,1160,642,3,648,413,0,415,6876,3515,10388
RA14,..,610,610,544,47,591,238,6,249,211,0,213,111,0,111,102,0,102,1201,668,1865
RA15,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,..,377811,377811,451487,52032,503521,258939,17319,276257,272927,7250,280170,109850,2661,112512,53117,1677,54798,1146319,458749,1605066
RA21,..,114863,114863,139556,9713,149271,55679,1517,57197,55129,534,55656,25343,202,25542,10555,116,10673,286263,126941,413207
RA22,..,28667,28667,33259,2118,35373,11146,268,11414,10222,88,10304,5129,40,5163,2174,30,2199,61926,31208,93133
RA23,..,492,492,503,30,529,117,3,120,102,0,102,49,0,49,14,0,14,787,522,1307
RA25,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,..,232865,232865,315859,38108,353965,165961,11233,177194,165782,4115,169906,68685,1408,70091,35703,760,36463,751994,288489,1040479
RA31,..,84241,84241,119768,9416,129186,48147,1422,49573,44709,404,45119,20881,121,21000,11338,75,11414,244843,95682,340521
RA32,..,60978,60978,78216,7563,85779,33992,1412,35401,31743,466,32204,14290,128,14417,7578,76,7656,165817,70624,236442
RA33,..,6313,6313,7343,596,7942,3063,101,3164,2971,26,2995,1576,3,1581,1030,5,1037,15988,7049,23030
RA34,..,4689,4689,4600,362,4968,2047,52,2099,2017,12,2029,1170,6,1174,1392,9,1402,11226,5138,16358
RA35,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,..,130175,130175,144610,13322,157935,70856,3622,74479,69160,1356,70512,24869,430,25299,10787,261,11042,320282,149162,469442
RA41,..,21750,21750,29580,1524,31101,10803,189,10996,10971,46,11017,4688,17,4704,1890,19,1906,57934,23541,81479
RA42,..,20745,20745,24332,1351,25682,8173,147,8315,7404,54,7456,3512,19,3533,1438,24,1462,44858,22338,67196
RA43,..,4931,4931,5851,365,6215,1945,31,1976,1879,10,1895,939,0,939,318,0,319,10936,5338,16277
RA44,..,1520,1520,1322,74,1398,496,3,502,466,0,466,252,0,255,259,0,259,2810,1598,4406
RA45,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,..,157595,157595,208704,18614,227322,109471,5411,114875,113542,2180,115723,45021,815,45834,20561,445,21012,497304,185057,682358
RA51,..,17575,17575,26628,1600,28225,11068,271,11341,11339,77,11414,4907,24,4932,2128,20,2149,56069,19573,75642
RA52,..,17784,17784,23002,1488,24493,8732,254,8989,8610,77,8687,4035,25,4061,1955,22,1982,46343,19652,65993
RA53,..,6862,6862,8606,680,9283,3890,148,4035,4076,48,4123,1970,16,1989,963,7,970,19504,7760,27262
RA54,..,4389,4389,4243,356,4602,1993,80,2080,2103,20,2119,1159,3,1169,1159,5,1164,10664,4855,15516
RA55,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,..,39368,39368,42723,3567,46294,19132,917,20047,17253,336,17589,6604,111,6718,2820,61,2882,88535,44366,132896
RA62,..,17630,17630,22639,1215,23851,7663,96,7756,6876,25,6899,2858,6,2865,1464,4,1471,41499,18982,60479
RA63,..,1131,1131,1135,102,1239,359,4,361,272,0,270,101,0,101,51,0,50,1915,1233,3152
RA64,..,381,381,388,39,427,105,3,108,78,0,79,40,0,40,15,0,15,626,427,1053
RA65,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,..,8957,8957,12411,1764,14178,7209,537,7749,6960,179,7134,3122,60,3179,1817,38,1852,31515,11527,43043
RA73,..,3505,3505,3615,427,4045,1955,127,2090,1836,46,1887,911,9,920,809,11,825,9136,4127,13262
RA74,..,1764,1764,1603,176,1785,891,35,922,1020,21,1042,792,8,799,2437,0,2442,6750,2008,8752
RA75,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,..,35389,35389,42503,4363,46864,22452,1681,24135,23166,581,23751,8515,188,8704,3523,118,3640,100160,42319,142479
RA81,..,27,27,43,7,51,33,0,33,36,0,36,20,0,20,13,0,13,148,32,182
RA85,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,..,19,19,18,0,18,27,0,27,10,0,10,10,0,10,13,0,13,71,19,86
RA94,..,351,351,447,12,461,170,0,171,147,0,147,81,0,81,58,0,58,905,364,1270
RA95,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
