RA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
RA40,3,18,83,220,244,223,373,275,53,67,69,64,67,46,32,1847,9,32,238,102,461,1025,2950,6237,1233,1455,1709,2833,2989,1524,1050,23852,6,121,538,774,92,251,578,32,8,9,7,9,4,3,69,2495,3,160,202,82,59,127,123,246,51,69,86,59,63,41,30,1404,3,14,41,50,115,274,236,166,22,21,25,25,17,14,19,1040,21,3008,1635,899,526,351,467,347,85,60,54,34,46,45,221,7785,27,1345,3962,1506,251,153,98,35,32,83,52,27,23,14,302,7913,5,6,48,117,235,600,521,472,120,178,233,269,310,163,139,3425,17,156,164,638,263,578,2233,11597,1101,1332,1610,1790,2349,1627,682,26130,3,45,76,79,121,170,349,286,74,74,93,125,250,148,48,1947,0,5,8,20,162,404,718,811,292,479,708,287,299,126,111,4439,0,0,4,7,3,67,562,351,122,60,93,85,51,20,27,1459,8,111,327,670,245,348,233,321
RA41,0,0,12,44,36,33,49,33,3,3,0,3,3,0,8,220,0,3,8,3,3,9,64,131,11,17,19,78,97,9,41,503,0,16,23,47,9,0,3,0,0,0,0,0,0,0,3,108,0,3,4,5,0,5,3,4,0,0,0,0,0,0,0,36,0,0,7,0,8,10,12,9,3,5,4,0,0,3,4,56,3,484,318,148,106,84,79,41,7,4,11,0,6,6,40,1338,0,42,77,33,19,4,0,4,0,0,4,0,0,0,8,184,3,0,7,3,6,14,9,4,0,0,7,10,10,4,9,79,3,22,19,50,10,20,50,177,11,23,27,31,39,18,19,523,0,5,17,7,10,7,17,15,3,0,3,0,16,0,0,96,0,0,0,0,7,3,3,11,3,4,3,0,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,11,3,8,48,80,23,19,21,25
RA42,0,4,10,16,12,4,20,13,0,0,3,4,3,3,3,97,0,0,8,3,0,6,34,66,4,16,3,9,22,17,9,204,3,6,70,44,3,4,0,0,0,0,0,0,0,0,7,136,0,3,3,0,0,0,0,9,0,0,0,0,0,0,4,20,0,0,4,0,5,7,4,26,5,0,3,8,3,9,0,82,0,276,194,123,49,14,14,19,4,0,0,0,3,0,26,733,5,55,247,96,19,10,0,0,0,0,0,4,3,0,34,490,0,0,0,8,0,3,0,3,0,0,0,3,14,0,9,51,0,11,4,25,45,76,113,308,17,28,33,30,26,15,32,764,0,7,0,3,3,10,14,7,0,3,3,3,5,3,4,55,0,0,0,0,0,3,3,4,0,3,0,0,0,4,4,28,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,13,0,3,21,54,10,5,9,16
RA43,0,0,5,5,4,3,6,5,0,0,0,3,0,0,0,34,0,0,0,0,0,0,7,9,3,0,0,0,0,0,0,25,0,8,35,31,8,0,0,0,0,0,0,0,0,0,0,81,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,9,0,59,57,24,8,4,3,3,0,3,0,0,7,0,3,168,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,3,0,7,0,0,14,32,7,8,10,3,9,0,3,94,0,0,0,0,3,3,9,3,0,0,3,0,0,0,0,31,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,4,3,6
RA44,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,11,13,15,4,3,3,3,0,3,0,3,0,0,0,72,0,10,25,22,6,0,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,19,4,3,7,5,3,0,0,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,4,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,12,0,0,0,0,0,0,0,8,0,0,0,0,3,16,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,4,16,115,545,454,592,953,780,191,240,156,165,163,86,106,4573,19,38,58,121,409,2137,4166,7765,1320,1689,1770,1962,2115,1169,1141,25881,60,210,1009,1080,178,442,954,99,17,35,21,23,15,12,115,4284,3,173,194,220,89,249,295,250,82,113,156,89,69,36,46,2062,8,8,40,69,117,192,122,185,46,61,37,33,24,12,33,984,17,1683,692,955,1174,755,1019,1082,201,213,144,167,148,71,217,8548,40,470,708,463,119,70,45,38,25,42,28,36,16,8,73,2168,6,21,66,302,640,1100,1122,773,158,256,313,306,358,172,236,5819,37,593,458,3751,1114,2511,4605,15632,2153,2903,2928,3213,3205,2218,1270,46592,13,153,89,174,497,1484,3347,2113,388,451,392,452,459,288,248,10534,0,11,13,34,320,653,957,960,481,652,518,361,369,164,97,5588,0,0,14,24,24,258,1220,653,144,182,227,237,179,51,106,3322,14,224,379,1505,1089,2326,1311,2984
RA51,0,3,13,52,42,42,63,50,20,8,5,18,11,3,22,342,0,3,7,0,5,7,46,79,20,19,37,26,30,16,53,340,3,8,29,25,0,3,8,3,0,0,0,0,0,0,6,83,0,9,4,8,3,3,0,3,4,3,7,3,0,0,0,50,0,0,7,8,12,8,6,5,3,0,0,0,0,0,8,49,3,275,112,103,163,80,82,95,16,7,14,17,9,6,43,1013,0,13,11,14,3,0,7,0,0,0,0,0,0,0,0,44,0,0,6,10,6,11,6,16,0,9,6,11,3,15,23,118,5,36,24,102,37,33,50,260,46,50,67,64,43,34,61,925,0,15,10,8,11,19,51,56,35,16,13,29,15,9,15,304,0,0,0,0,6,0,3,9,7,5,13,3,3,0,51,115,0,0,0,0,0,12,11,12,0,4,11,0,0,6,21,80,3,15,38,138,70,118,71,121
RA52,0,0,14,40,41,29,50,48,13,21,0,3,4,5,7,275,0,4,3,0,3,15,34,121,32,32,45,24,68,28,48,453,0,6,20,23,8,4,3,0,0,0,0,0,0,0,0,76,0,5,3,4,0,3,3,14,0,3,3,0,3,4,0,55,0,0,0,3,13,22,25,34,14,20,3,10,8,3,4,157,4,227,82,94,85,56,77,75,26,15,5,10,11,3,25,787,0,15,16,11,5,0,3,0,3,0,3,0,0,0,3,63,0,0,3,7,9,7,9,8,3,3,5,0,3,4,17,68,0,30,24,100,17,27,68,310,79,65,69,50,50,27,41,943,3,10,11,4,12,22,47,51,6,12,11,8,18,11,9,225,0,0,0,0,9,5,3,3,12,4,14,4,6,3,3,69,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,10,3,14,23,81,37,53,35,71
RA53,0,0,3,13,17,10,22,27,5,7,3,5,10,3,10,125,0,0,0,0,3,7,22,38,7,17,17,13,14,19,0,161,0,0,9,12,0,3,4,3,0,0,0,0,3,0,3,38,0,0,3,0,0,0,3,4,0,0,0,0,0,0,3,19,0,4,0,0,0,3,9,16,0,7,0,0,4,0,4,54,0,43,32,23,34,23,31,50,9,11,6,15,17,11,4,307,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,9,8,3,4,10,0,7,0,3,5,0,8,64,0,3,5,13,3,14,56,218,16,48,30,32,21,29,22,505,0,4,4,0,5,20,30,38,10,5,12,13,18,9,21,187,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,4,7,20,11,27,25,66
RA54,0,0,0,9,11,6,19,15,4,12,4,3,3,3,3,91,0,0,0,0,0,8,9,77,13,13,14,12,28,11,3,193,0,0,21,21,5,13,6,0,0,3,0,0,3,0,0,70,0,0,3,3,0,3,0,6,0,3,0,0,0,0,0,21,0,0,0,4,10,12,13,18,3,3,8,3,0,0,3,75,0,25,17,15,31,14,34,40,8,3,3,15,8,12,16,251,0,3,0,4,0,3,0,0,0,0,0,0,0,0,3,18,0,0,0,5,0,5,8,5,3,0,3,3,5,0,3,47,0,0,5,13,0,13,40,139,23,37,29,25,31,8,14,384,0,0,3,0,3,12,22,31,14,4,8,3,4,0,3,115,0,0,0,0,0,3,0,3,9,14,4,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,5,16,11,27,22,102
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
RA59,0,0,0,0,3,4,0,0,0,0,0,0,8,3,4,26,0,0,0,0,0,3,4,3,0,0,3,4,5,10,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,5,3,0,0,3,4,11,3,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,0,0,0,3,0,0,0,5,0,0,4,3,3,12,6,31,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8
RA61,0,3,27,109,63,91,102,85,13,13,18,14,23,11,10,582,8,13,40,18,34,88,286,605,143,173,248,343,407,280,164,2853,0,14,73,71,5,8,7,5,0,0,0,0,3,0,15,203,0,10,13,8,4,7,16,14,6,0,12,3,5,5,6,100,0,0,21,15,34,43,34,7,0,3,11,0,6,7,5,183,3,400,273,189,130,81,112,65,17,8,15,13,21,14,53,1390,3,41,178,118,28,19,6,8,0,0,9,3,6,3,20,446,3,4,13,30,27,59,56,56,13,20,17,22,30,19,33,394,7,26,23,79,40,64,191,567,70,75,79,175,174,121,39,1735,0,29,13,11,16,13,51,38,8,9,9,13,24,8,3,262,0,0,0,5,15,18,30,47,16,20,134,102,69,62,21,545,0,6,0,0,0,4,11,15,3,17,6,9,13,5,0,91,0,17,37,99,70,70,54,55
RA62,0,3,13,39,36,17,29,31,3,3,14,5,5,0,3,213,0,5,5,0,8,17,25,36,12,11,11,8,4,3,9,164,0,3,14,13,0,3,4,0,0,0,0,0,0,0,0,39,0,5,3,5,0,3,3,3,0,0,0,0,0,3,0,27,0,0,3,3,7,10,16,4,0,0,0,8,4,0,4,58,0,127,145,93,102,55,46,43,4,3,3,8,5,0,16,651,0,6,3,3,3,0,0,0,0,0,0,0,0,0,5,33,0,0,4,3,8,8,4,4,0,0,5,4,0,0,10,56,3,10,20,34,15,12,21,50,3,19,9,12,4,3,10,213,0,4,9,8,3,5,11,10,0,0,3,0,4,3,8,67,0,0,0,0,0,3,0,7,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,11,19,63,24,15,17,8
RA63,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,17,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,6,3,3,6,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,7,0,0,3,0,3,4,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,0,5,10,39,26,24,24,48,16,17,9,9,12,7,3,253,0,10,10,14,33,59,99,439,31,51,54,76,84,45,40,1057,0,0,12,12,0,3,5,0,0,0,0,0,0,0,0,38,0,0,0,8,0,6,4,10,0,4,3,0,0,5,0,44,0,0,6,6,26,44,47,49,3,4,15,11,10,0,7,234,0,84,71,86,53,45,84,101,12,14,11,24,19,17,19,643,0,30,216,250,128,58,112,115,47,74,76,30,30,20,46,1234,3,0,11,21,40,56,32,15,0,10,6,5,5,4,13,228,0,18,11,54,52,66,229,951,184,200,182,237,294,169,65,2697,0,4,0,38,68,148,196,212,45,27,49,53,52,70,42,1002,0,0,0,0,3,7,6,39,6,16,21,11,18,0,0,129,0,0,0,0,0,0,4,4,0,3,0,0,0,0,0,13,0,3,9,48,24,43,44,221
RA73,0,0,3,15,11,7,15,11,3,3,0,3,5,3,0,69,0,0,0,0,0,4,23,31,0,7,5,0,5,7,9,96,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,3,3,20,19,30,8,9,7,9,0,14,0,122,0,30,23,17,23,18,22,15,8,5,3,6,8,5,5,188,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,3,3,4,8,8,3,0,3,3,8,0,5,55,0,0,0,7,5,14,63,359,33,76,49,63,47,40,17,771,0,4,3,0,3,3,8,17,0,4,0,6,9,0,6,62,0,0,0,0,3,3,6,5,3,3,0,0,0,3,0,18,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,11,0,0,5,21,10,9,14,18
RA74,0,0,0,3,0,3,6,8,0,0,0,0,3,3,0,24,0,0,0,0,0,4,0,10,7,4,0,0,0,8,9,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,10,15,3,12,0,3,3,3,6,73,0,10,5,5,5,5,8,4,3,7,5,3,10,4,8,74,0,0,5,4,3,0,0,0,3,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,3,4,7,52,3,14,11,3,12,8,11,122,0,0,0,0,0,0,7,0,0,0,0,0,8,0,3,28,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,4,0,3,3,0
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,6,0,0,0,0,3,6,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,0,5,38,186,138,174,218,137,38,30,36,38,64,24,20,1152,8,26,65,64,205,915,1904,2032,469,494,689,1211,1668,1098,493,11332,0,11,311,634,65,121,76,18,0,7,9,6,3,0,40,1299,0,24,26,53,16,46,72,71,4,8,38,31,23,13,19,441,5,3,14,34,95,243,204,161,7,19,18,27,32,10,29,902,4,703,386,219,149,155,225,134,18,32,16,28,44,24,71,2221,0,113,403,253,57,15,31,11,12,3,16,11,17,4,32,978,13,11,40,100,240,422,336,140,28,45,43,80,72,53,52,1681,3,40,44,261,228,712,2098,3232,500,502,563,802,764,393,262,10396,0,28,37,48,80,106,230,184,37,54,60,99,144,170,18,1298,0,4,8,21,65,119,136,154,73,86,65,47,37,15,12,841,0,0,0,7,11,31,120,141,15,18,22,38,51,80,0,536,0,32,56,120,80,139,85,90
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
