RA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
RA44,54,162,481,488,514,457,117,7,3,2271,45,47,87,85,104,116,68,22,0,575,3,8,20,24,34,38,13,4,0,133,4,14,18,18,17,17,9,4,0,101,106,228,601,613,662,622,196,38,7,3084,15,30,45,36,36,46,0,0,0,204,5,8,10,5,4,14,3,0,0,52,21,37,56,43,41,61,7,0,0,261,122,265,661,661,705,680,204,38,4,3339,186,88,170,126,174,229,421,205,54,1655,43,51,146,132,151,147,84,42,8,816,345,409,966,918,1037,1060,711,284,75,5810,19,118,233,232,314,252,57,8,0,1226,54,68,185,225,239,190,57,3,0,1010,6,4,44,24,11,34,3,0,0,132,3,5,18,7,16,13,8,0,0,75,81,197,476,490,584,484,124,17,3,2442,14,28,17,18,16,11,0,0,0,109,4,7,9,3,11,11,3,0,0,53,22,35,32,23,23,26,3,0,0,162
RA45,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,4,26,93,51,49,35,8,0,0,266,11,20,47,21,20,21,7,0,0,139,0,4,11,5,6,4,3,0,0,27,0,7,15,6,3,5,0,0,0,27,13,52,160,87,76,62,14,0,0,465,13,35,48,36,32,17,3,0,0,179,6,4,3,4,0,0,0,0,0,26,17,39,48,39,35,21,5,0,0,199,30,88,205,127,113,81,22,0,0,669,54,44,79,73,74,96,126,32,8,587,11,34,66,76,99,56,26,7,0,380,95,161,349,280,282,239,168,43,13,1627,3,14,48,13,25,17,0,0,0,131,3,15,24,18,26,14,3,0,0,107,0,3,9,3,3,0,4,0,0,21,0,0,3,0,0,0,0,0,0,3,9,36,83,37,54,37,3,0,0,263,5,11,17,12,9,10,0,0,0,61,15,8,9,9,3,3,0,0,0,38,15,18,24,17,15,17,0,0,0,106
RA50,5350,24329,93989,91102,83283,51010,8920,555,78,358613,14893,17743,18736,12187,11998,13240,8471,1420,118,98808,650,1238,3431,2975,2976,2853,882,111,8,15124,525,1150,2360,1811,1503,911,288,78,16,8638,21423,44453,118514,108078,99750,68017,18559,2166,224,481176,2236,4474,7417,6110,6073,4625,413,35,3,31386,4834,2834,1762,855,741,1103,528,62,3,12721,7065,7312,9183,6964,6815,5726,941,97,5,44108,28486,51767,127695,115045,106563,73743,19493,2265,229,525286,29335,11353,11962,9498,11082,21175,48440,30992,10483,184323,2698,4046,11399,8785,7969,6363,4761,3335,1854,51211,60519,67166,151056,133321,125620,101287,72697,36584,12571,760820,2688,18718,57932,41357,47399,27859,3454,158,28,199588,20181,22024,36491,44981,41271,29810,8223,728,63,203766,771,1344,6089,3698,2658,2627,732,61,6,17983,540,890,1508,1149,1157,725,238,73,28,6315,24177,42977,102024,91183,92485,61022,12645,1024,126,427663,1387,2421,4258,3383,3240,1596,85,19,9,16389,4907,2786,3996,3874,2608,1683,244,20,5,20125,6294,5203,8256,7262,5844,3278,325,41,10,36516
RA51,1047,2747,7085,8757,9529,6374,1243,122,23,36933,1498,765,1248,1292,1458,1946,1158,219,25,9598,102,137,388,477,625,629,171,29,7,2560,96,108,195,179,214,123,52,18,4,1002,2745,3757,8913,10709,11831,9070,2630,388,54,50097,298,435,602,581,636,549,51,0,3,3158,309,100,99,82,89,165,63,4,0,922,609,537,705,663,729,718,115,5,3,4080,3355,4300,9620,11368,12557,9785,2747,396,58,54174,3115,886,1833,1783,1824,3425,7629,4047,1175,25723,465,490,1042,1135,1269,1200,968,550,196,7324,6932,5670,12500,14284,15651,14416,11340,4991,1431,87218,494,1648,3321,3634,5091,3039,390,35,3,17647,2206,1388,3536,5470,5486,4329,1142,118,22,23704,111,124,531,386,425,461,112,8,3,2160,71,77,113,134,156,104,37,25,4,718,2882,3233,7508,9621,11159,7938,1681,185,27,44239,137,209,297,328,338,203,6,0,0,1511,327,133,352,357,256,232,32,3,0,1690,463,334,653,685,591,438,40,3,0,3206
RA52,970,2504,6532,7062,7969,5946,1458,212,34,32682,1128,610,909,903,1273,1592,1075,253,29,7782,69,128,339,333,481,504,170,35,0,2057,80,84,169,177,193,146,76,42,8,965,2252,3323,7948,8472,9913,8187,2781,535,67,43485,249,347,502,442,462,418,31,0,0,2453,195,94,70,88,75,138,42,9,0,718,439,443,573,527,543,560,78,8,0,3174,2696,3768,8525,9003,10452,8747,2857,545,67,46655,2667,768,1075,1087,1473,2903,5918,3562,1125,20581,427,381,1056,1004,1200,1220,864,525,229,6905,5787,4914,10648,11093,13124,12872,9637,4634,1418,74140,536,1528,3176,3369,4578,3026,504,58,3,16776,1665,940,2747,3940,4127,3379,1038,123,12,17970,54,111,497,292,371,444,132,22,3,1918,60,48,117,127,147,114,46,28,7,695,2315,2618,6530,7734,9220,6966,1720,230,26,37360,146,175,231,242,235,150,4,4,0,1193,192,90,192,211,182,158,18,3,0,1042,338,260,417,451,418,308,21,8,0,2232
RA53,377,1210,4615,4458,4119,2843,620,96,17,18351,403,228,441,407,444,467,276,81,19,2760,24,52,248,192,222,223,71,13,0,1045,29,51,97,107,98,72,33,17,6,510,833,1546,5395,5167,4889,3599,994,199,37,22670,77,144,202,175,202,144,18,0,0,966,66,29,22,21,25,29,20,0,0,208,148,173,231,201,221,169,37,0,0,1175,978,1720,5627,5363,5112,3769,1029,206,37,23839,1065,269,472,443,498,836,1413,733,223,5944,221,283,1009,861,862,659,345,147,53,4430,2269,2266,7102,6676,6471,5263,2781,1086,312,34222,192,842,2483,2052,2216,1375,221,32,0,9406,498,424,1522,1780,1379,934,273,46,5,6855,25,61,327,184,159,165,52,8,0,982,21,29,62,66,72,50,15,9,3,330,730,1354,4392,4076,3829,2525,571,90,16,17578,42,69,125,125,124,64,6,0,0,553,66,37,107,88,49,50,6,0,0,405,108,102,235,214,174,106,10,0,0,958
RA54,213,973,5001,4282,3798,2318,451,44,3,17083,138,156,414,403,380,303,141,26,0,1957,16,58,353,286,255,202,42,0,0,1208,17,49,108,101,101,76,25,0,3,491,376,1241,5875,5064,4536,2905,655,71,5,20737,92,158,254,210,165,102,11,0,0,990,28,36,56,37,34,37,16,0,0,239,116,198,308,243,199,136,22,0,0,1230,497,1437,6185,5310,4731,3037,677,71,5,21963,778,405,754,613,580,732,956,341,81,5231,251,427,1818,1491,1215,775,272,91,18,6352,1524,2262,8756,7421,6526,4539,1909,504,105,33549,141,600,1869,1421,1500,1067,150,18,0,6764,163,204,701,771,542,413,111,19,3,2927,12,51,195,126,130,103,28,3,0,650,27,34,57,54,72,41,9,3,0,297,339,888,2828,2366,2246,1625,300,42,5,10639,64,90,134,114,101,30,0,0,0,543,41,30,114,59,42,28,8,0,0,312,100,126,246,170,147,57,8,0,0,851
RA55,0,13,88,88,67,33,4,0,0,286,0,7,5,6,5,0,0,0,0,20,0,0,0,3,3,3,0,0,0,12,0,0,0,3,0,0,0,0,0,4,0,11,91,97,73,33,4,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,91,101,73,33,4,0,0,322,0,0,0,5,4,3,3,0,0,11,0,3,26,21,21,8,0,0,0,73,0,17,124,120,94,43,8,3,3,408,0,3,0,3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,3,55,274,164,148,113,18,0,0,776,6,34,65,48,30,27,9,0,0,222,0,4,23,14,26,8,0,0,0,83,0,7,19,6,8,8,0,0,0,43,6,101,376,230,211,157,34,0,0,1128,18,26,72,51,50,38,0,0,0,254,3,8,6,13,6,9,3,0,0,44,19,32,81,62,58,49,7,0,0,303,29,139,458,295,277,200,35,0,0,1428,32,66,108,108,124,212,268,46,10,962,26,58,209,205,238,127,71,13,0,946,84,254,773,606,638,540,375,58,12,3336,6,68,140,54,43,56,3,0,0,364,10,25,59,23,36,46,3,0,0,206,0,3,19,15,10,11,0,0,0,56,3,4,3,7,0,0,0,0,0,15,18,101,221,94,91,113,9,0,0,648,4,19,30,17,21,16,0,0,0,99,4,4,15,3,5,15,0,0,0,49,11,19,37,18,27,25,0,0,0,143
RA61,998,3917,11988,12619,13567,9232,1350,86,18,53782,2539,2654,2968,2391,2619,3052,1634,286,23,18170,144,210,411,401,487,570,163,15,4,2417,97,134,308,224,240,175,70,24,14,1291,3773,6923,15674,15633,16919,13035,3221,416,61,75654,404,848,1031,717,640,492,23,3,0,4153,785,450,325,159,177,223,57,8,0,2179,1190,1299,1350,878,823,712,76,11,0,6340,4964,8218,17028,16513,17743,13746,3294,423,63,81996,5541,2427,2655,2362,3050,6320,12126,7414,2691,44582,469,628,1222,1066,1298,1314,1193,710,281,8179,10969,11271,20901,19939,22086,21384,16617,8552,3034,134753,499,2755,6941,6600,8625,5426,549,28,8,31431,3764,3755,6495,8378,8078,6427,1536,151,9,38588,202,310,1129,742,615,647,137,11,3,3804,105,108,186,156,199,157,55,24,9,999,4576,6929,14744,15875,17522,12650,2281,208,31,74822,228,381,431,341,373,196,6,0,0,1960,760,414,482,404,320,289,32,11,0,2708,989,794,913,751,699,484,40,10,0,4674
RA62,661,1823,4115,4738,5927,4600,884,123,25,22895,882,537,732,953,1389,1794,847,170,18,7321,64,83,178,200,327,387,111,21,3,1384,63,75,126,141,156,134,51,25,3,782,1675,2519,5149,6033,7796,6917,1897,343,48,32381,233,339,352,362,405,413,25,0,4,2138,170,81,92,65,107,160,40,12,0,721,405,415,439,434,514,569,64,15,4,2859,2077,2939,5596,6466,8312,7484,1959,359,58,35239,2436,557,755,1047,1871,4291,7810,3996,1027,23798,258,247,435,523,746,862,831,434,160,4490,4771,3745,6781,8029,10930,12634,10595,4788,1243,63525,271,927,1781,2135,3443,2264,335,32,11,11193,1352,1044,2281,3312,3857,3280,758,79,11,15975,74,86,332,237,324,399,83,7,0,1547,66,45,59,87,124,105,51,18,3,565,1770,2098,4452,5768,7746,6052,1221,147,22,29273,115,139,171,183,239,138,3,0,0,993,207,94,187,168,196,165,13,3,0,1027,324,231,361,354,436,299,19,3,0,2021
RA63,23,79,206,206,308,217,42,3,0,1093,23,23,53,40,63,113,43,8,0,357,3,3,13,12,14,21,15,3,0,80,5,3,6,4,16,5,3,3,0,42,51,112,280,260,393,361,106,13,0,1579,11,20,24,36,48,37,3,0,0,176,4,3,5,3,10,3,4,0,0,33,16,16,23,44,59,43,8,0,0,208,66,131,307,309,451,400,111,13,0,1787,72,12,36,61,105,282,443,210,49,1274,6,16,40,34,53,57,62,24,9,288,143,156,378,405,616,748,616,243,53,3353,5,42,99,98,142,117,21,0,0,530,37,40,112,133,165,153,37,7,0,687,3,9,18,13,13,37,7,0,0,94,3,0,4,3,8,3,3,3,3,33,48,97,239,248,332,307,67,14,3,1348,10,9,12,14,15,19,0,0,0,77,4,0,6,6,8,10,5,0,0,43,11,10,19,20,26,29,3,0,0,116
RA64,9,31,81,89,118,120,35,6,0,489,5,13,19,15,19,44,25,12,3,156,0,0,3,6,3,4,7,0,0,24,0,0,3,0,4,0,3,0,0,14,22,48,113,107,145,168,65,20,4,684,0,4,6,5,9,6,0,0,0,27,0,0,0,0,0,0,0,0,0,3,3,3,6,5,9,11,0,0,0,33,23,51,115,113,153,177,65,20,4,716,23,0,12,5,13,47,120,61,19,297,5,7,7,11,7,19,12,11,0,78,51,62,133,130,175,242,199,85,21,1094,3,15,46,38,74,56,3,4,0,239,8,16,37,46,53,58,21,6,0,246,0,3,9,8,9,12,5,0,0,42,0,0,4,3,5,0,0,0,0,16,13,34,100,89,141,124,36,11,0,545,3,3,10,4,0,6,0,0,0,23,0,0,0,3,0,3,0,0,0,6,3,3,5,4,0,7,0,0,0,25
RA65,0,3,8,5,10,3,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,14,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,14,3,0,0,0,38,0,0,3,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,4,0,6,15,5,10,8,4,0,0,49,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,3,5,42,11,17,11,0,0,0,86,3,3,15,9,8,7,0,0,0,50,0,0,3,6,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,8,4,15,56,26,28,16,0,0,0,152,3,10,14,4,9,3,0,0,0,44,4,0,3,3,0,0,0,0,0,15,5,15,13,13,9,3,0,0,0,57,11,28,71,34,36,21,3,0,0,204,12,11,11,31,20,29,37,3,0,158,3,19,35,29,22,7,8,3,0,117,34,56,120,93,77,52,48,8,0,481,0,3,13,12,14,6,0,0,0,48,4,3,9,14,9,4,0,0,0,44,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,3,26,27,21,12,0,0,0,98,4,3,6,5,0,0,0,0,0,20,0,3,7,0,0,8,0,0,0,18,5,4,9,5,3,7,0,0,0,38
RA72,575,2666,8968,7681,6481,3921,781,55,7,31136,942,737,1130,743,701,677,345,46,0,5324,61,161,365,288,300,253,54,7,0,1496,62,135,267,180,159,93,22,7,0,927,1638,3702,10734,8887,7641,4946,1214,117,10,38883,117,212,330,258,258,191,31,0,0,1402,168,81,63,37,53,54,20,0,0,479,283,292,394,298,309,241,53,0,0,1876,1919,3995,11129,9186,7949,5188,1269,117,9,40764,1740,582,972,828,876,1288,2263,979,222,9750,380,624,1948,1459,1263,953,490,145,36,7307,4039,5198,14046,11472,10094,7434,4021,1246,273,57821,395,1872,5869,4832,4679,2673,426,17,0,20766,1077,957,2251,2161,1558,1100,346,34,3,9485,43,122,552,334,265,212,50,0,0,1578,55,88,175,99,130,69,21,0,3,637,1564,3031,8851,7431,6634,4053,838,55,6,32474,90,130,206,182,165,76,8,0,0,853,176,76,184,139,81,51,17,0,0,729,264,211,391,319,245,123,22,0,0,1584
RA73,161,604,2011,1719,1834,1389,271,22,0,8005,273,130,253,207,219,209,137,24,0,1461,25,22,79,75,82,86,25,3,0,395,18,19,58,50,43,27,10,0,0,227,480,780,2404,2046,2175,1711,449,47,0,10087,52,82,94,102,95,62,10,0,0,499,37,22,32,26,26,27,3,0,0,167,87,104,131,124,123,88,16,0,0,666,566,877,2537,2171,2295,1792,461,49,0,10754,709,356,657,552,498,494,714,301,69,4348,175,269,572,391,545,432,241,82,14,2726,1449,1502,3766,3111,3341,2726,1415,428,84,17827,135,472,1566,1319,1600,1039,162,10,0,6308,252,165,571,586,500,374,124,20,3,2582,15,27,153,96,80,74,13,4,0,474,18,26,58,46,44,33,13,0,0,233,421,696,2346,2041,2223,1517,317,33,3,9601,30,47,67,58,53,22,3,0,0,286,26,15,42,35,24,24,3,0,0,173,57,58,113,92,82,49,6,0,0,457
RA74,119,429,1061,911,864,602,154,18,3,4167,68,101,264,253,202,160,44,4,0,1092,4,18,47,63,48,53,5,3,0,239,22,42,88,56,42,35,12,0,0,298,217,597,1463,1273,1150,851,207,18,4,5792,171,263,410,266,192,57,8,0,0,1365,18,50,86,65,41,24,3,0,0,293,189,312,500,327,238,76,9,0,0,1651,410,912,1969,1598,1387,925,221,22,4,7444,1241,815,1435,1027,821,561,407,150,21,6484,320,316,529,401,330,221,73,27,4,2228,1965,2040,3936,3030,2541,1715,703,195,30,16158,83,303,913,655,735,519,85,10,0,3305,66,114,365,402,283,165,54,3,0,1448,7,14,77,65,55,39,9,0,0,267,26,41,62,46,46,18,8,8,0,262,181,471,1417,1173,1114,734,156,18,3,5269,139,195,289,217,161,41,9,0,0,1052,25,40,99,70,51,18,3,0,0,307,164,236,388,289,207,57,17,0,0,1365
RA75,0,0,6,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,10,9,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,0,0,0,0,22,0,4,12,12,3,0,0,0,0,28,0,0,5,4,0,0,0,0,0,12,0,4,23,16,11,3,0,0,0,61,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,10,31,64,50,56,38,11,0,0,254,0,4,7,0,10,6,0,0,0,36,0,0,8,12,4,3,0,0,0,23,0,4,5,0,0,0,0,0,0,9,11,39,84,62,70,44,13,0,0,320,0,3,9,13,7,4,0,0,0,32,0,0,4,0,4,3,0,0,0,10,0,4,12,14,10,7,0,0,0,48,10,46,94,71,84,54,13,0,0,369,3,16,33,64,75,118,129,15,0,465,3,33,93,80,99,57,34,9,0,405,16,98,219,215,257,229,174,20,0,1240,5,27,46,22,28,20,0,0,0,149,0,8,17,11,12,14,0,0,0,66,0,0,17,3,0,8,0,0,0,29,0,0,4,0,0,0,0,0,0,9,8,34,80,39,39,46,0,0,0,252,0,3,8,8,5,6,0,0,0,21,0,0,0,3,0,0,0,0,0,10,0,3,8,12,5,4,0,0,0,33
RA80,1209,5901,21827,21051,17945,9668,1681,113,8,79411,3413,4033,3749,2787,2212,2416,1501,238,19,20380,208,273,651,565,572,491,185,19,3,2968,156,277,430,352,245,131,52,15,4,1665,4986,10479,26655,24759,20981,12708,3418,387,44,104417,243,501,716,582,458,373,57,4,0,2929,966,563,317,163,121,197,98,14,4,2435,1207,1064,1034,738,576,567,155,18,3,5365,6194,11539,27683,25503,21557,13280,3573,407,50,109782,5652,3364,2577,1758,2015,5521,9499,5448,1951,37791,475,903,2064,1552,1331,1028,839,577,321,9089,12323,15810,32326,28816,24909,19825,13914,6436,2316,156663,797,4917,16552,13437,13690,7038,809,42,3,57288,4546,4837,6910,8323,6141,4227,1392,136,15,36528,201,399,2089,1288,693,635,147,20,7,5478,179,258,295,219,206,125,48,12,9,1344,5728,10406,25850,23273,20738,12025,2388,205,31,100641,137,300,564,429,316,166,13,5,0,1928,992,552,450,355,240,206,60,6,4,2867,1125,855,1012,783,554,377,74,10,4,4790
RA81,4,8,35,46,37,14,5,0,0,151,7,4,6,5,7,6,0,3,0,32,0,3,3,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,10,13,40,53,48,29,11,3,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,41,50,48,26,11,3,0,202,8,3,0,0,0,8,7,3,0,36,3,0,10,4,3,5,0,0,0,27,21,19,48,57,55,38,16,6,0,264,0,8,23,23,23,9,3,0,0,91,13,3,10,17,11,11,0,0,0,69,0,0,4,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,11,40,46,34,18,3,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,3,11,18,21,13,8,0,0,0,63,3,7,11,5,0,3,0,0,0,24,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,3,18,31,20,15,9,0,0,0,102,0,0,10,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,3,7,9,3,3,0,0,0,29,5,23,38,30,17,16,0,0,0,133,7,14,16,17,11,10,15,3,0,89,3,6,12,22,12,18,3,0,0,80,16,36,63,67,43,38,15,5,0,297,0,7,25,14,5,9,0,0,0,56,4,14,0,5,10,4,0,0,0,37,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,3,4,19,27,22,13,18,0,0,0,101,0,3,3,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,7,3,3,0,0,0,0,0,14
