RA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA73,9047,8895,17940,1339,1322,2654,591,612,1206,549,553,1102,785,729,1512,496,493,993,277,262,539,62,76,141,2647,2741,5394,75,61,135,0,0,0,5492,5523,11018,1195,1351,2554,208,199,406,8229,8398,16627,3724,3043,6775,21004,20343,41341
RA74,14003,14283,28289,896,865,1759,333,314,652,285,341,622,681,586,1264,182,154,338,210,198,411,43,46,81,1031,1004,2041,16,18,30,5,0,3,2786,2657,5445,323,360,683,332,391,724,4336,4272,8610,2119,1689,3809,20465,20241,40708
RA75,39,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,8,0,0,0,4,4,8,14,3,19,61,14,70
RA79,231,159,395,48,34,79,98,92,188,78,91,176,126,124,242,48,31,82,60,69,135,5,8,16,121,106,223,0,11,13,0,0,0,541,528,1074,71,95,166,9,3,13,666,657,1326,389,307,691,1286,1118,2406
RA80,88161,93375,181540,4831,4874,9704,13359,14112,27469,3320,3358,6676,3554,3521,7073,1113,1110,2231,1068,1063,2133,383,418,803,628,639,1265,38208,38486,76695,26,32,52,61665,62739,124396,14073,15173,29246,1159,980,2139,81727,83763,165485,11331,11104,22434,181223,188245,369464
RA81,160,139,304,8,6,11,14,5,18,3,6,7,6,5,12,0,0,0,0,0,3,0,0,0,0,0,0,81,88,168,3,0,3,107,112,218,6,7,12,0,0,0,119,124,243,34,24,59,316,295,604
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,35,29,64,14,10,25,33,30,64,7,10,18,6,11,22,3,0,4,6,3,4,0,0,0,4,3,6,71,51,125,0,0,0,134,116,243,29,27,61,7,4,8,180,155,336,90,38,130,306,223,528
RA91,86,83,167,0,0,0,30,14,43,4,3,7,18,3,20,0,0,3,5,3,5,0,0,0,0,0,3,10,7,17,0,0,0,65,33,96,9,4,14,5,6,11,80,41,122,45,31,72,203,156,363
RA94,1123,1113,2232,125,154,283,75,61,131,13,11,29,54,38,92,13,13,23,100,84,181,4,3,10,8,4,11,14,17,31,4,0,5,285,234,512,79,98,181,7,11,18,496,496,993,474,205,676,2093,1813,3901
RA95,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,3,0,6
RA99,6,4,14,0,0,0,0,3,3,0,3,5,4,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10,14,21,0,9,11,0,0,0,8,21,29,3,7,5,21,32,52
