RA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,4009,9989,22912,20831,19470,12937,3445,398,47,94037,5070,13134,32211,28105,26374,16687,4836,1081,283,127791,115131,248612,643410,599233,537918,357234,86044,9414,1266,2598257
RA11,1292,2660,4876,4800,5142,3688,1143,130,21,23749,1539,2048,3817,4360,5194,4037,1615,536,135,23271,37033,48929,104497,118607,137269,109905,28412,4129,646,589423
RA12,445,731,1171,1194,1204,1085,337,66,10,6240,492,623,1018,1156,1469,1439,639,262,78,7172,9296,12305,27683,32223,41091,37189,12093,2622,470,174964
RA13,22,43,59,52,57,44,19,3,3,295,37,46,76,104,94,85,50,24,5,519,432,916,2425,2284,2692,2339,844,239,33,12204
RA14,0,3,9,9,10,7,0,0,0,50,3,3,19,18,17,19,11,0,0,96,56,128,352,377,462,440,167,41,3,2028
RA15,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
RA19,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
RA20,2325,8000,19659,16513,16155,10476,2824,336,36,76323,3506,10348,26107,22707,22378,14029,4332,899,284,104595,90001,207126,548407,489205,444838,287315,68830,7310,1185,2144221
RA21,961,2091,3674,3501,3975,3107,867,103,15,18295,1310,1800,3088,3693,4594,3628,1430,461,117,20125,28729,41063,86217,97360,113594,91436,23828,3563,715,486498
RA22,182,399,701,620,759,627,209,29,4,3527,283,358,647,708,916,945,377,146,37,4417,5773,7664,16606,18399,23801,21871,6538,1308,219,102180
