RA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
RA10,503,58,80,61,170801,171494,7008,337,222,122,190916,198610,159751,5842,6685,341,257207,429826,252011,12546,20700,736,104460,390446,230913,15503,37259,2068,68597,354337,201659,12903,40431,4801,38029,297829,153501,8238,27000,9404,16597,214740,79792,2959,9420,13706,6303,112191,23870,687,1967,14285,1973,42783,1109008,59060,143767,45526,854892,2212259,887,79,65,67,161485,162588,16151,820,464,129,176257,193813,203191,9730,10965,677,217238,441807,257830,17593,32110,2253,89702,399488,231628,19692,55869,7201,55244,369632,194888,14901,58358,19509,30584,318235,133426,7702,38731,38649,13068,231582,57279,2251,13914,57934,5521,136904,12022,438,4033,54723,3134,74350,1107300,73213,214515,181133,752233,2328398,1395,133,143,128,332284,334081,23156,1153,682,252,367182,392426,362944,15569,17654,1013,474450,871631,509833,30136,52811,2985,194167,789932,462543,35193,93126,9266,123839,723966,396549,27805,98786,24313,68618,616060,286923,15940,65733,48058,29664,446326,137070,5210,23341,71641,11822,249090,35893,1125,6007,69006,5106,117134,2216313,132271,358285,226662,1607118,4540648
RA11,111,18,37,11,44194,44368,1346,84,50,24,36392,37896,24880,1442,1137,87,45147,72687,44166,3521,4874,197,25395,78160,52883,5028,11670,639,20922,91142,60931,4972,16146,1848,13342,97238,58635,3532,12366,4111,5514,84158,30005,1131,4207,5764,2055,43154,7867,230,724,4976,607,14409,280817,19953,51211,17654,193571,563218,92,15,22,9,42616,42756,2404,261,71,40,33674,36445,31486,2513,1864,167,38931,74959,47964,4939,7646,596,22025,83167,56190,6110,16302,2123,16412,97137,62811,5099,19422,5616,9283,102232,52454,2745,13929,13216,3726,86071,22209,740,4622,20092,1551,49217,3992,133,1136,18004,752,24019,279611,22544,65018,59871,168956,596008,199,34,51,24,86813,87125,3751,343,120,69,70064,74345,56364,3949,3003,257,84073,147650,92129,8457,12523,797,47422,161324,109072,11140,27979,2766,37330,188280,123745,10071,35565,7459,22627,199472,111087,6273,26293,17331,9241,170225,52220,1864,8831,25851,3605,92372,11864,364,1869,22977,1360,38424,560436,42501,116231,77528,362532,1159221
RA12,35,7,11,4,12978,13037,353,36,12,14,9861,10269,6495,449,294,36,12978,20245,12294,993,1339,54,7670,22355,16296,1688,3669,262,7359,29274,20695,1914,5611,739,5350,34306,19244,1333,4467,1546,2290,28879,9591,490,1464,2030,861,14443,2262,69,199,1512,245,4286,87259,6972,17063,6200,59595,177088,24,7,3,14,11825,11870,646,67,11,15,8641,9379,8555,677,455,62,11124,20880,13579,1232,1759,215,6543,23326,17959,1811,4150,679,5135,29736,20957,1627,5591,2031,3081,33289,16806,830,3670,4463,1055,26819,6821,246,1083,6443,474,15065,1149,34,248,5298,229,6967,86501,6533,16973,19218,48104,177331,58,11,16,16,24802,24903,994,103,22,23,18498,19651,15048,1129,744,101,24100,41124,25879,2225,3092,268,14214,45682,34258,3501,7824,941,12486,59009,41657,3537,11199,2773,8435,67596,36051,2156,8135,6014,3342,55696,16408,735,2550,8479,1341,29512,3412,109,449,6812,470,11249,173756,13511,34038,25417,107693,354419
RA13,3,0,0,0,766,769,26,0,0,0,766,792,606,34,15,0,1148,1806,870,65,92,6,639,1681,1097,95,229,26,634,2079,1219,135,344,41,478,2220,921,105,246,122,218,1620,469,36,90,141,85,819,105,0,16,78,9,206,5324,474,1035,410,4747,11990,4,0,0,0,713,723,36,8,0,0,715,759,767,43,19,9,1002,1849,944,70,78,11,583,1688,1115,99,238,48,445,1946,1171,89,232,107,218,1812,756,53,150,270,80,1307,316,18,54,362,24,775,56,5,12,245,17,333,5174,387,782,1049,3790,11189,6,0,0,0,1479,1490,65,12,0,0,1478,1550,1375,77,39,13,2155,3654,1818,135,172,19,1224,3363,2217,192,470,71,1080,4027,2394,228,578,147,696,4032,1682,161,395,393,299,2930,787,55,148,499,113,1595,165,6,21,320,18,533,10503,858,1820,1461,8532,23182
RA14,0,0,0,0,140,140,9,0,0,0,153,167,78,8,10,0,282,371,145,11,16,3,170,342,203,22,49,0,177,446,224,34,76,17,109,459,155,27,57,24,57,314,64,4,17,18,13,126,13,0,3,8,0,28,893,98,218,77,1105,2393,0,0,0,0,149,147,8,0,0,0,151,164,94,3,4,0,253,358,149,10,12,0,140,308,187,15,35,11,154,403,196,17,35,22,78,351,128,6,16,46,25,228,55,0,3,37,6,99,9,0,4,27,7,43,833,60,110,143,961,2107,0,0,0,0,289,291,19,0,0,0,306,327,174,12,16,0,537,733,295,18,24,3,314,658,384,37,79,14,332,848,422,52,109,38,185,804,285,37,74,69,80,539,118,4,23,55,20,220,25,0,4,40,4,72,1718,155,332,224,2068,4502
RA15,0,0,0,0,3,3,0,0,0,0,5,9,3,0,0,0,5,11,15,0,0,0,3,18,14,0,4,0,9,25,18,0,3,0,0,22,38,0,4,4,0,48,13,0,0,3,0,16,0,0,0,3,0,3,102,3,10,7,26,157,0,0,0,0,7,7,0,0,0,0,3,4,8,0,0,0,10,24,9,0,0,0,3,14,15,3,4,0,6,31,32,3,12,0,4,53,38,0,16,12,0,60,8,0,0,7,0,24,3,0,0,3,0,7,119,8,29,21,35,220,0,0,0,0,12,12,3,0,0,0,9,9,18,0,0,0,16,32,26,0,3,0,6,34,30,3,10,0,10,50,56,3,11,4,4,74,70,4,15,15,3,108,27,3,0,12,0,42,3,0,0,3,0,10,223,11,42,30,65,374
RA19,0,0,4,0,279,285,6,3,0,3,737,746,190,73,30,6,1311,1615,184,161,116,6,798,1269,153,187,250,15,548,1148,269,133,300,28,264,986,296,66,221,51,84,719,53,13,54,21,19,162,13,6,9,8,7,32,1157,635,980,143,4049,6958,0,0,0,0,228,232,24,4,3,0,585,615,183,44,24,3,843,1091,128,56,63,14,366,629,164,83,170,25,208,646,347,50,178,34,121,732,272,19,104,48,33,477,47,3,26,37,10,120,4,0,9,26,3,48,1181,257,569,185,2395,4590,0,0,4,0,514,517,29,7,3,3,1318,1358,370,116,52,5,2155,2703,310,214,179,25,1168,1900,314,268,418,42,757,1798,617,182,479,58,385,1722,567,84,324,105,118,1196,106,16,71,59,31,282,19,4,12,37,6,78,2338,892,1548,335,6445,11545
RA20,417,52,65,50,138281,138864,4939,245,160,110,166789,172246,132220,4559,4792,305,224418,366290,204793,10011,15812,609,88071,319298,188632,13305,30099,1665,54828,288526,158582,10204,31365,3917,27879,231945,121158,5957,19400,7198,11406,165117,66063,2217,6746,10968,4044,90041,19468,532,1365,11432,1491,34296,896271,47086,109804,36251,717212,1806629,631,60,66,64,133735,134561,11451,587,328,125,156317,168809,166473,7535,8186,590,195083,377870,208102,14126,24620,1841,79711,328400,189652,16725,45633,5484,47579,305066,154113,11889,46023,14530,24125,250678,108913,5978,29957,30085,9469,184411,48121,1850,10254,47123,3948,111296,9909,318,2611,43129,2256,58219,897367,59060,167677,142970,652224,1919303,1044,112,131,116,272022,273424,16395,829,483,236,323107,341054,298691,12098,12983,894,419505,744159,412902,24137,40428,2454,167779,647695,378281,30023,75725,7151,102406,593592,312697,22097,77390,18439,52007,482623,230073,11937,49358,37284,20876,349520,114187,4067,17003,58089,7988,201334,29379,853,3977,54558,3747,92512,1793641,106153,277484,179220,1369436,3725933
RA21,54,17,23,11,35302,35409,828,57,24,12,30124,31052,19975,1120,788,65,36073,58022,36925,2750,3633,192,19966,63462,44146,4115,9260,557,15640,73715,49325,3725,11911,1544,9517,76020,44628,2533,8482,3091,4075,62816,21934,752,2669,4129,1494,30974,5694,139,425,3637,495,10386,223517,15203,37223,13237,152687,441862,88,14,8,22,32758,32883,1490,154,36,33,27555,29275,25545,1841,1272,113,32372,61144,39767,3863,5563,450,18049,67694,46613,4875,12788,1606,12684,78557,50077,3874,14792,4400,6837,79981,40497,2003,9790,9626,2618,64529,15855,510,2949,14656,1092,35061,2994,105,694,13235,589,17618,222931,17239,47893,44139,134547,466745,146,26,34,27,68062,68294,2321,212,61,48,57681,60323,45525,2966,2058,184,68441,119172,76692,6613,9196,639,38014,131149,90755,8983,22047,2162,28322,152272,99405,7600,26706,5939,16355,155999,85123,4535,18275,12721,6696,127348,37785,1265,5618,18781,2590,66036,8689,246,1120,16872,1078,28004,446444,32445,85116,57372,287231,908600
RA22,19,3,3,9,7310,7337,179,17,9,0,5738,5936,3907,198,164,3,7409,11681,6886,575,681,40,4093,12269,9568,895,1978,147,3696,16287,11916,986,3038,369,2525,18821,11105,719,2429,826,1240,16316,5712,212,711,1096,483,8210,1530,36,123,984,153,2822,50816,3635,9127,3465,32644,99691,15,4,3,3,6774,6803,348,38,5,10,5085,5490,4998,393,216,29,6494,12133,7778,741,1065,116,3518,13221,10349,1045,2543,346,2595,16873,12139,845,3121,1101,1381,18590,9956,431,2092,2371,520,15380,4142,111,639,3876,260,9025,819,13,114,3408,147,4505,50555,3625,9796,11261,26784,102019,29,5,7,8,14084,14141,530,52,12,7,10825,11429,8908,594,380,32,13904,23816,14662,1318,1750,153,7607,25486,19919,1943,4518,490,6290,33164,24050,1826,6160,1472,3908,37410,21058,1155,4522,3194,1763,31698,9853,322,1346,4970,743,17239,2354,54,236,4395,295,7324,101375,7261,18924,14724,59425,201709
