RA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA10,36,2167,700,420,1929,0.9,1669,2.7
RA11,43,1586,589,270,1438,0.8,1163,2.4
RA12,46,1250,541,200,1291,0.8,1024,2.4
RA13,40,975,591,140,1393,0.8,1099,2.4
RA14,39,1100,495,90,1157,0.8,969,2.5
RA15,58,0,540,0,0,0,0,0
RA19,39,0,405,0,0,0,0,0
RA20,36,1800,670,350,1817,0.9,1528,2.6
RA21,43,1387,590,240,1459,0.8,1167,2.4
RA22,46,1100,538,190,1279,0.8,995,2.3
RA23,54,797,478,110,1141,0.7,818,2
RA25,49,0,3000,0,0,0,0,0
RA29,34,0,398,0,0,0,0,0
RA30,36,1898,695,370,1781,0.8,1516,2.6
RA31,41,1582,569,270,1405,0.8,1172,2.5
RA32,38,1603,646,260,1545,0.8,1281,2.5
RA33,36,1517,702,150,1740,0.9,1417,2.5
RA34,33,1050,588,120,1321,0.9,1179,2.7
RA35,56,0,606,0,0,0,0,0
RA39,45,0,407,0,0,0,0,0
RA40,39,1517,614,285,1581,0.8,1254,2.4
RA41,44,1343,583,235,1415,0.8,1139,2.4
RA42,45,1083,534,173,1290,0.7,994,2.3
RA43,43,1216,615,187,1420,0.8,1124,2.3
RA44,39,1045,579,90,1258,0.9,1089,2.4
RA45,45,0,1749,0,0,0,0,0
RA49,40,0,370,0,0,0,0,0
RA50,36,2000,728,360,1957,0.8,1643,2.6
RA51,41,1742,641,300,1642,0.8,1357,2.5
RA52,41,1517,656,240,1631,0.8,1311,2.4
RA53,35,1800,936,200,2232,0.8,1905,2.6
RA54,34,1600,1094,100,1750,1,1586,2.7
RA55,40,0,2654,0,0,0,0,0
RA59,41,0,434,0,0,0,0,0
RA61,40,1337,609,250,1487,0.8,1172,2.4
RA62,46,1127,498,200,1225,0.8,959,2.3
RA63,49,850,491,140,1194,0.7,888,2.1
RA64,50,867,664,115,1508,0.7,1116,2.1
RA65,41,0,1089,0,0,0,0,0
RA69,38,0,385,0,0,0,0,0
RA72,33,2200,1052,420,2386,1,2183,2.7
RA73,34,1863,864,249,2019,1,1750,2.7
RA74,27,1257,295,60,812,1.5,1333,3.9
RA75,36,0,700,0,0,0,0,0
RA79,44,0,449,0,0,0,0,0
RA80,35,2058,1000,380,2445,0.8,2070,2.5
RA81,34,2600,1081,231,2874,0.9,2652,3
RA85,0,0,0,0,0,0,0,0
RA89,36,0,447,0,0,0,0,0
RA91,32,0,629,128,1424,0.9,1542,3.2
RA94,43,1400,720,143,1575,0.9,1366,2.5
RA95,39,0,1833,0,0,0,0,0
RA99,42,0,412,0,0,0,0,0
