LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA46670,674,460,498,378,414,363,317,894,79,4068
LGA46860,197,62,82,59,55,58,29,130,7,677
LGA46970,153,297,584,139,187,107,493,200,55,2199
LGA47140,4909,7413,8549,7677,7879,5856,5575,8466,1075,57408
LGA47290,363,78,98,67,62,67,84,160,12,978
LGA47490,258,113,130,77,88,78,57,163,21,988
LGA47630,856,327,430,201,317,264,239,729,59,3426
LGA47700,4975,8994,7220,5776,7960,4929,2579,4194,678,47302
LGA47800,719,188,211,201,192,183,175,398,29,2292
LGA47910,318,128,134,76,108,73,88,142,12,1087
LGA47980,2846,7112,1377,1818,2288,1590,300,899,262,18491
LGA48050,588,718,668,694,536,525,239,618,68,4649
LGA48130,626,246,322,262,257,178,292,552,41,2783
LGA48260,607,1313,221,295,425,284,71,143,45,3402
LGA48340,1012,553,650,519,454,413,461,909,69,5033
LGA48410,3078,6602,3397,3464,4125,2706,1320,2641,412,27750
LGA48540,630,1217,1488,979,815,783,1241,946,191,8299
LGA48640,217,64,71,48,52,44,42,101,9,647
LGA48750,364,241,292,231,215,198,120,277,38,1983
LGA48830,1089,417,538,403,383,293,295,586,59,4061
LGA49399,383,141,312,130,124,51,231,282,24,1675
LGA49499,54,103,112,53,57,49,85,212,11,734
LGA49799,0,3,0,0,0,0,0,0,0,3
LGA50080,2012,2556,2552,2101,1783,1623,1102,2014,248,15988
LGA50210,3328,5729,6388,4092,5197,3511,3764,3731,547,36286
LGA50250,542,850,2829,295,454,106,1744,1345,132,8305
LGA50280,1162,1095,1185,746,626,640,356,992,94,6892
LGA50350,791,1704,1119,832,1118,529,432,598,116,7242
LGA50420,3676,7786,4891,3531,4530,2851,1843,2799,523,32423
LGA50490,1817,3537,3163,2066,2602,1577,1550,1957,327,18599
LGA50560,176,66,106,65,69,37,78,67,4,671
LGA50630,105,98,169,61,86,27,215,71,23,856
LGA50770,279,72,82,44,60,43,58,107,14,752
LGA50840,291,274,341,202,178,158,218,252,35,1942
LGA50910,144,34,32,31,30,21,26,57,14,394
LGA50980,999,1520,1095,1043,1008,561,348,650,160,7379
LGA51080,188,38,52,40,54,22,31,38,9,465
LGA51120,147,44,49,38,29,21,34,54,0,413
LGA51190,1263,2295,2443,1448,1573,1345,1177,1968,214,13729
LGA51260,2114,2406,2963,1775,1759,1701,1117,2022,219,16075
LGA51310,2299,5425,866,1026,1494,955,213,484,181,12935
LGA51330,4182,10153,5880,4742,5597,3902,2629,4358,696,42134
LGA51400,837,1443,1481,848,947,721,688,934,132,8019
LGA51470,70,30,41,9,28,11,28,35,3,252
LGA51540,461,292,314,240,298,165,159,358,50,2344
LGA51610,147,90,106,41,97,42,65,58,14,652
LGA51680,412,254,497,221,342,164,268,329,52,2526
LGA51750,836,1879,238,375,450,362,61,146,65,4419
LGA51820,5656,10520,9142,5343,7485,4648,3350,4731,885,51765
LGA51890,227,279,771,340,320,256,560,475,61,3285
LGA51960,75,129,337,122,128,92,416,151,26,1476
LGA52030,147,30,48,20,49,18,50,66,5,429
LGA52100,183,54,64,25,50,28,52,65,10,525
LGA52170,769,1690,189,252,324,246,36,105,74,3694
LGA52240,228,29,42,29,37,17,46,87,12,524
LGA52310,114,38,56,30,32,14,35,40,5,371
LGA52380,19,10,6,4,5,3,6,8,0,66
LGA52450,171,67,88,54,62,48,53,76,7,619
LGA52520,255,54,105,36,76,43,56,97,7,726
LGA52590,363,126,211,96,155,75,135,269,20,1453
LGA52660,631,762,1314,652,751,671,765,766,99,6425
LGA52730,424,466,359,250,244,193,110,294,22,2364
LGA52800,254,497,266,452,251,110,97,327,73,2324
LGA52870,462,325,401,223,250,178,282,342,42,2509
LGA52940,123,26,31,26,24,9,25,37,6,307
LGA53010,158,33,25,25,24,12,15,33,3,324
LGA53080,51,26,63,28,25,18,40,46,12,305
LGA53150,663,1343,352,343,425,276,87,160,53,3720
LGA53220,398,647,1670,245,313,118,1774,567,121,5853
LGA53290,1122,830,976,531,731,571,667,845,102,6377
LGA53360,192,203,281,168,159,123,70,176,29,1405
LGA53430,1929,4931,1604,1427,1453,1001,505,884,239,13973
LGA53570,430,154,337,138,214,131,229,485,35,2154
LGA53640,231,46,79,26,61,23,41,92,7,602
LGA53710,143,40,53,37,53,24,38,52,4,446
LGA53780,4428,8129,9340,5830,7415,5158,5316,6347,972,52930
LGA53800,1838,2688,2838,1921,2066,1612,1492,1933,311,16701
LGA53920,80,172,75,149,53,24,27,94,31,705
LGA53990,1217,1492,2290,1132,1352,1117,1231,1650,199,11684
LGA54060,209,155,270,125,173,89,123,207,40,1389
LGA54130,253,40,73,25,41,17,45,76,7,569
LGA54170,10049,18544,12528,8358,11872,7754,3177,5516,1173,78978
LGA54200,3020,4647,4830,2767,4277,2380,2573,2341,411,27255
LGA54280,1322,2129,3156,1366,1597,1158,2592,1302,273,14898
LGA54310,1059,1524,2625,901,1267,625,1401,1066,237,10701
LGA54340,262,215,250,143,163,148,111,424,38,1759
LGA54410,120,43,73,69,32,22,45,71,6,487
LGA54480,156,22,16,11,24,4,25,37,0,298
LGA54550,357,100,99,56,79,40,72,132,22,964
LGA54620,196,26,59,34,43,12,51,63,9,488
LGA54690,67,8,24,13,23,8,12,28,0,192
LGA54760,198,37,27,15,31,15,29,47,4,413
LGA54830,1296,2382,3106,1964,2180,1625,1842,2078,324,16802
LGA54900,302,54,96,27,61,34,54,79,7,708
LGA54970,39,67,155,46,32,8,196,55,7,598
LGA55040,60,83,143,48,46,19,195,79,5,669
LGA55110,2817,4359,6114,3749,3573,3235,3167,3501,516,31036
LGA55180,845,478,561,355,447,356,384,684,65,4184
LGA55250,66,85,71,40,35,10,84,59,14,463
LGA55320,6927,14570,5059,4367,6574,4277,1480,2756,645,46665
LGA55390,16,31,55,13,19,0,46,28,4,220
LGA55460,270,187,239,134,169,133,191,154,20,1498
LGA55530,96,13,25,16,15,11,32,18,4,232
LGA55600,289,107,159,92,128,89,109,155,8,1137
