SUA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
1000,0,0,0,40,91,8495,116,74,15,6,13,9,16,12,409,9162,1858,23,16,3,0,5,0,0,0,186,2100,453,3,7,0,0,0,0,3,0,47,511,126,0,7,0,0,0,0,4,0,27,168,10,0,0,0,0,0,0,0,0,0,8,594,4,5,0,3,0,0,3,0,75,683,10,0,0,0,0,0,0,0,0,35,47,2459,27,24,3,3,3,0,3,0,291,2826,51653,4165,3853,846,823,674,572,738,467,3058,66846,9206,1768,2992,588,802,753,827,894,609,794,19226,857,152,262,63,79,97,191,292,204,311,2511,137,26,26,3,11,12,3,13,8,35,269,10190,1938,3285,652,894,861,1021,1197,825,1140,22012,170,6,13,0,3,3,4,4,3,775,982,62012,6110,7153,1500,1722,1532,1596,1943,1293,4973,89838
1001,0,0,0,0,3,792,14,17,4,3,3,0,0,0,28,863,173,4,0,0,0,0,0,0,0,20,207,105,0,0,0,0,0,0,0,0,17,124,23,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,132,0,3,0,0,0,0,0,0,19,153,3,0,0,0,0,0,0,0,0,4,3,311,4,8,0,0,0,0,0,0,44,364,3656,375,424,87,92,40,69,59,39,183,5024,1137,289,1093,217,242,169,143,152,96,102,3631,132,19,146,77,52,54,62,66,59,26,684,18,0,9,0,0,0,0,0,0,6,45,1292,306,1244,290,297,224,206,220,159,125,4361,11,0,0,3,0,3,0,0,0,6,28,4959,677,1671,383,392,266,273,280,198,319,9410
1002,0,0,0,0,0,143,0,0,0,0,0,0,0,0,7,152,44,0,0,0,0,0,0,0,0,3,46,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,6,55,967,144,138,30,43,43,26,30,14,44,1481,213,129,320,53,88,119,183,252,146,41,1544,21,5,17,4,3,11,36,57,45,35,234,0,0,5,0,0,0,0,0,0,0,13,235,134,339,56,97,129,223,314,188,71,1788,3,0,0,0,0,0,0,0,0,3,3,1203,277,480,89,136,167,249,339,211,119,3269
1003,0,0,0,0,5,270,3,7,0,0,0,0,0,0,10,296,110,0,0,0,0,0,0,0,0,3,117,26,0,0,0,0,0,0,0,0,4,32,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,4,33,8,0,0,0,0,0,0,0,0,0,8,152,0,0,0,0,0,0,0,0,4,156,1527,192,194,32,50,33,18,28,13,85,2161,228,69,141,17,33,32,18,10,6,26,577,19,0,5,0,0,3,3,0,0,4,34,3,3,3,0,0,0,0,0,0,0,13,253,68,149,17,39,38,21,12,9,30,626,15,0,0,0,0,0,0,0,0,4,25,1792,261,341,44,85,68,39,42,15,120,2810
1004,0,0,0,0,3,400,0,7,0,0,0,0,0,0,16,425,111,0,0,0,0,0,0,0,0,17,127,15,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,16,152,1509,63,59,8,29,10,23,3,5,70,1781,337,32,48,10,6,16,10,5,7,20,484,42,0,3,0,0,0,0,0,3,7,66,0,0,0,0,0,0,0,0,0,3,6,379,31,52,10,6,13,13,9,6,29,557,6,0,0,0,0,0,0,0,0,0,12,1893,99,118,15,32,23,35,10,16,102,2344
1005,0,0,0,0,0,209,0,0,0,0,0,0,0,0,12,225,59,0,0,0,0,0,0,0,0,5,73,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,11,84,1281,153,160,30,34,52,30,18,24,53,1839,316,127,228,53,50,40,45,61,26,23,963,29,8,16,4,8,8,14,12,16,12,131,3,0,0,0,0,0,0,0,0,0,9,344,133,239,58,56,51,63,76,42,27,1100,0,0,0,0,0,0,0,0,0,122,128,1625,288,399,97,92,99,88,98,69,207,3063
1006,0,0,0,0,3,771,14,11,3,0,0,0,0,0,35,833,189,3,0,0,0,0,0,0,0,17,222,37,0,0,0,0,0,0,0,0,4,44,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,246,9,0,0,0,0,0,0,0,28,278,3595,287,234,42,39,20,53,27,19,145,4451,683,96,305,29,34,38,58,66,51,46,1410,77,7,8,10,0,7,15,34,49,25,223,9,0,0,0,0,0,0,0,0,0,13,768,104,318,37,37,44,76,96,96,77,1649,6,0,0,0,0,0,0,0,0,0,9,4364,394,550,76,79,64,121,126,112,217,6114
1007,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,73,17,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,24,346,27,38,5,10,11,4,0,5,17,490,77,28,66,14,29,16,6,21,3,4,260,14,0,3,0,0,0,0,3,0,3,29,3,0,0,0,0,0,0,0,0,0,4,93,25,72,14,29,19,9,24,4,8,300,0,0,0,0,0,0,0,0,0,17,12,439,58,108,22,37,35,18,28,7,42,800
1008,0,0,0,0,8,258,3,0,0,0,0,0,0,0,14,277,71,3,0,0,0,0,0,0,0,6,79,6,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,10,90,1201,86,46,7,11,9,12,10,4,78,1466,104,14,37,3,9,13,0,0,7,7,190,3,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,6,113,14,32,7,9,13,0,3,7,7,209,6,0,0,0,0,0,0,0,0,0,13,1325,99,81,15,17,19,11,12,9,88,1680
1009,0,0,0,26,48,4677,144,66,12,7,12,8,11,3,232,5167,1314,26,15,0,3,0,4,0,0,101,1463,303,3,0,0,0,0,0,0,0,23,327,69,9,0,0,4,0,0,0,0,11,92,0,0,0,0,0,0,0,0,0,3,7,372,11,3,0,4,3,0,0,0,35,424,10,0,0,0,0,0,0,0,0,38,50,1705,36,12,0,5,3,4,3,0,174,1941,24499,2867,2681,468,470,364,342,308,164,1107,33276,6013,1400,2041,422,423,400,335,296,149,326,11806,653,147,245,45,61,60,89,91,90,116,1601,64,4,14,3,0,0,5,7,0,13,115,6727,1549,2308,466,489,463,431,400,235,451,13521,68,0,10,3,0,0,0,0,0,125,198,31289,4420,4995,938,956,828,773,705,398,1682,46994
