SUA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
1000,35470,471,3,10,476,108,36053,890,1098,36,6,1139,8,2038,19,63,44,0,107,0,131,12,11,0,8,15,0,25,922,1167,78,11,1262,9,2195,91,0,0,0,3,88,184,36486,1633,82,23,1744,210,38437,41039,505,6,5,520,143,41703,824,1096,42,3,1139,10,1971,27,60,42,0,99,0,122,14,9,0,6,17,3,34,866,1162,78,5,1254,15,2129,121,3,0,0,3,106,230,42017,1672,89,14,1778,264,44057,23874,261,4,9,269,72,24220,397,586,14,0,604,3,1002,10,32,21,0,55,0,67,8,3,0,3,6,0,16,414,622,43,3,666,3,1090,97,5,0,0,8,68,174,24393,889,41,9,946,143,25480,14873,172,3,0,170,49,15095,241,311,11,0,322,0,561,11,17,13,0,28,0,39,0,3,0,4,10,0,11,248,333,25,4,358,0,614,76,0,0,0,0,38,114,15205,501,27,8,535,85,15821,18785,192,0,9
1001,3730,55,0,0,55,9,3798,84,345,9,0,356,3,442,0,45,27,0,72,0,72,0,3,0,0,3,0,5,86,394,37,3,432,3,518,3,0,0,0,0,3,9,3817,449,37,3,491,16,4323,3345,37,0,0,42,0,3385,95,262,9,0,271,0,362,0,42,30,0,69,0,66,0,0,0,0,0,0,3,99,302,38,0,340,0,433,3,0,0,0,0,3,4,3443,340,37,0,379,9,3829,1876,22,3,0,24,3,1903,47,124,3,0,133,0,175,0,3,16,0,27,0,27,0,0,0,0,0,0,0,47,130,18,0,152,0,205,3,0,0,0,0,3,5,1926,153,20,0,179,8,2112,1213,14,0,0,14,4,1228,28,46,3,0,50,0,81,0,7,23,0,29,0,29,0,0,0,0,0,0,0,28,51,22,0,77,0,109,0,0,0,0,0,3,4,1242,66,22,0,89,6,1340,1664,20,0,0
1002,698,8,0,0,8,0,709,25,112,4,0,116,0,147,0,39,4,0,43,0,43,0,0,0,0,0,0,0,28,146,11,0,157,0,187,0,0,0,0,0,8,8,725,158,11,0,168,8,904,699,17,0,0,20,4,717,16,120,0,0,121,0,144,0,12,0,0,20,0,20,0,0,0,0,0,0,0,18,136,3,0,144,0,161,0,0,0,0,0,4,4,715,158,6,0,160,8,881,460,11,0,0,7,4,471,16,37,3,0,37,0,51,0,7,3,0,6,0,6,0,0,0,0,0,0,0,16,43,6,0,48,0,62,0,0,0,0,0,0,0,474,52,3,0,61,4,539,295,4,0,0,4,0,302,3,14,4,0,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,0,19,0,21,0,0,0,0,0,3,3,304,19,3,0,26,3,325,363,9,0,0
1003,751,18,0,0,18,0,770,38,45,0,0,47,0,89,0,0,0,0,3,0,3,0,0,0,0,0,0,0,38,47,3,0,52,0,90,0,0,0,0,0,0,0,785,69,3,0,65,0,855,777,23,0,0,23,3,797,19,44,0,0,44,0,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,22,44,3,0,42,0,65,3,0,0,0,0,5,7,795,66,3,0,62,4,867,409,6,0,0,6,0,419,11,16,0,0,16,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,16,0,28,0,0,0,0,0,3,3,424,23,0,0,23,3,450,318,3,0,0,3,0,319,7,15,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,10,0,17,0,0,0,0,0,0,0,317,14,0,0,18,0,336,426,3,0,0
1004,411,3,0,0,6,0,420,12,15,0,0,15,0,31,0,0,0,0,3,0,3,0,0,0,0,0,0,0,12,14,0,0,17,0,35,0,0,0,0,0,3,3,426,23,4,0,26,3,453,486,4,0,0,10,0,494,13,19,0,0,17,0,30,0,4,0,0,4,0,4,0,0,0,0,0,0,0,13,24,0,0,26,0,32,0,0,0,0,0,0,0,499,27,0,0,31,0,526,278,4,0,0,5,0,281,10,3,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,4,0,15,0,0,0,0,0,0,0,295,8,4,0,4,0,296,165,3,0,0,3,0,172,5,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,5,0,9,0,0,0,0,0,0,0,172,8,0,0,8,0,178,183,4,0,0
1005,1406,26,3,0,25,0,1427,44,65,0,0,66,3,107,0,9,0,0,11,0,11,0,0,0,0,0,0,0,44,77,0,0,75,3,120,0,0,0,0,0,3,3,1447,96,0,0,102,9,1556,1498,20,0,0,20,0,1524,35,61,5,0,62,3,102,0,8,7,0,8,0,8,0,0,0,0,0,0,0,38,63,9,0,76,3,112,0,0,0,0,0,3,3,1535,88,9,0,98,8,1636,839,8,0,0,8,0,849,25,37,0,3,37,0,66,0,0,5,0,6,0,6,0,0,0,0,0,0,0,25,36,7,3,40,0,66,0,0,0,0,0,0,0,860,48,7,3,53,5,915,510,8,0,0,8,0,519,10,32,0,0,27,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,4,0,31,0,42,0,0,0,0,0,3,3,523,38,4,0,40,3,562,657,8,0,0
1006,1300,35,0,0,33,3,1335,53,91,0,0,91,0,143,7,11,0,0,13,0,12,0,0,0,4,3,0,3,61,96,0,4,105,0,161,4,0,0,0,0,3,5,1361,130,3,4,139,8,1504,1544,32,0,0,32,7,1584,60,59,0,0,65,0,123,3,4,0,0,4,0,7,0,4,0,0,4,0,4,67,67,0,0,67,0,130,3,0,0,0,0,4,8,1614,93,0,0,101,12,1721,834,28,0,0,28,5,869,28,30,0,0,35,0,60,0,3,0,0,3,0,3,0,0,0,0,0,0,0,28,39,0,0,35,0,64,0,0,0,0,0,3,3,866,64,0,0,67,6,936,562,5,0,0,5,3,566,18,30,3,0,31,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,3,0,33,0,45,0,0,0,0,0,3,3,573,38,3,0,39,3,621,687,9,0,0
1007,473,3,0,0,3,0,474,20,17,0,0,17,0,44,0,3,0,0,3,0,3,0,0,0,0,0,0,0,20,25,0,0,25,0,42,3,0,0,0,0,3,3,492,27,0,0,27,5,525,538,0,0,0,0,0,538,9,16,0,0,16,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,16,0,26,0,0,0,0,0,0,3,551,17,0,0,17,0,572,291,3,0,0,3,0,295,3,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,10,0,0,0,0,0,0,0,297,10,0,0,10,3,308,186,3,0,0,3,0,197,3,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,0,0,0,192,13,0,0,13,0,206,226,0,0,0
1008,431,0,0,0,0,0,435,14,5,0,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,12,0,25,0,0,0,0,0,0,0,450,9,0,0,16,0,465,536,3,0,0,3,0,536,11,10,0,0,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,7,0,22,3,0,0,0,0,0,3,549,9,0,0,14,0,559,294,0,0,0,0,0,295,9,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,11,0,0,0,0,0,0,0,307,3,0,0,3,3,312,259,0,0,0,0,0,258,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,3,0,0,0,0,0,3,265,0,0,0,0,0,270,294,0,0,0
1009,11927,359,0,4,362,20,12318,504,757,18,3,782,0,1288,5,74,32,0,103,0,112,0,0,0,0,3,0,8,508,838,50,3,889,0,1404,24,0,0,0,0,20,45,12467,1193,55,14,1259,45,13767,12487,299,3,0,306,12,12810,471,715,26,3,744,0,1215,15,58,23,0,80,0,92,11,4,0,0,9,0,14,489,778,49,4,828,0,1322,18,5,0,0,5,15,38,12991,1080,52,5,1139,37,14166,7172,149,9,0,154,12,7332,233,364,21,0,387,0,615,3,37,10,0,46,0,47,11,4,0,3,8,0,12,240,396,34,6,437,0,677,11,0,0,0,0,19,32,7426,549,37,6,591,32,8047,4488,101,0,0,103,3,4594,131,206,10,0,215,3,344,9,12,12,0,27,0,30,0,0,0,0,0,0,0,137,221,15,0,237,3,376,9,0,0,0,0,8,17,4625,319,19,3,343,15,4989,5860,102,5,0
