SUA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
3006,..,3745,3496,1049,1255,1508,923,402,89,12470,..,983,2059,2082,3388,6050,7316,5735,3204,30808,778,1293,1086,570,612,849,690,371,170,6414,51264,35587,38749,40409,40094,35606,29054,15343,6046,292150,..,1321,25213,43943,43888,38923,34255,15777,3415,206747,..,6572,17993,11022,8307,5083,2600,657,104,52346,..,790,3609,7532,8244,4050,1880,1327,929,28354,103692,..,..,..,..,..,..,..,..,103692,..,26056,..,..,..,..,..,..,..,26056,..,18626,8018,3110,2132,1261,255,11,0,33412,..,3072,2043,802,1119,1863,1796,1339,825,12858,..,3108,2670,1104,916,611,322,117,42,8894,..,7151,7990,2823,2810,3034,2069,859,194,26931,..,1928,4739,5390,7382,10292,11539,8235,4436,53941,1563,2510,2322,1399,1337,1428,1186,599,238,12582,105254,71136,74590,77127,76140,66544,55906,28925,10183,565808
3007,..,72,43,19,44,39,33,15,3,281,..,35,66,62,158,278,353,309,167,1422,46,66,42,24,36,61,38,31,9,341,1920,1149,1128,1128,1320,1293,1134,728,277,10069,..,71,710,1021,1242,1320,1239,653,157,6419,..,267,474,284,195,134,79,18,3,1459,..,80,245,340,314,153,72,63,23,1292,3854,..,..,..,..,..,..,..,..,3854,..,734,..,..,..,..,..,..,..,734,..,584,229,129,86,48,13,0,0,1082,..,102,39,17,41,54,48,32,30,372,..,97,71,24,35,14,0,3,6,256,..,139,118,60,103,80,76,35,4,608,..,75,161,166,329,486,516,420,218,2366,88,140,88,54,65,87,70,43,9,643,3941,2292,2135,2097,2408,2385,2102,1269,454,19079
3008,..,147,117,56,88,145,133,46,15,752,..,73,121,134,307,629,928,740,357,3289,71,103,62,47,83,108,122,69,17,689,4029,2329,2214,2684,3170,3641,3965,2143,630,24799,..,94,1427,2518,3071,4023,4981,2483,398,18986,..,495,910,637,642,465,351,128,15,3631,..,144,406,743,666,279,130,148,76,2596,8094,..,..,..,..,..,..,..,..,8094,..,1625,..,..,..,..,..,..,..,1625,..,1321,511,254,212,112,20,3,0,2427,..,181,80,53,103,173,146,129,74,937,..,199,104,66,72,44,17,3,0,513,..,262,250,139,202,278,251,107,23,1514,..,122,265,336,624,1088,1474,1095,493,5506,158,202,158,125,158,184,212,115,32,1340,8256,4634,4103,4871,5747,6651,7581,4211,1109,47158
3009,..,59,41,8,13,12,11,8,3,149,..,38,40,49,75,122,147,118,65,644,21,18,17,7,14,17,17,23,5,138,1058,617,630,592,559,583,481,296,111,4919,..,47,479,593,598,679,547,283,53,3276,..,231,263,149,85,52,17,16,0,816,..,46,126,159,123,29,34,23,21,551,2109,..,..,..,..,..,..,..,..,2109,..,297,..,..,..,..,..,..,..,297,..,283,81,34,26,21,4,0,0,446,..,64,17,8,37,28,14,23,7,196,..,51,19,7,9,6,0,0,0,101,..,112,71,22,26,36,15,13,4,303,..,69,100,100,141,208,232,161,91,1110,39,45,39,28,31,37,32,21,9,278,2146,1252,1198,1102,1067,1104,899,533,185,9478
3010,..,302,215,75,112,98,47,24,4,874,..,193,375,273,462,681,677,668,350,3667,150,193,167,77,134,131,88,50,23,1005,7594,4515,5265,4856,5048,4071,2533,1524,571,35983,..,266,3927,5282,5722,4962,3035,1360,284,24832,..,1327,2415,1221,1066,569,182,47,5,6821,..,204,694,965,847,339,156,144,76,3414,15152,..,..,..,..,..,..,..,..,15152,..,2815,..,..,..,..,..,..,..,2815,..,2371,730,299,243,117,14,0,0,3765,..,371,200,95,139,200,163,110,50,1322,..,260,185,80,69,39,12,7,4,662,..,608,558,229,258,204,114,47,9,2034,..,392,901,790,1104,1360,1129,928,463,7069,306,435,379,191,269,254,173,77,26,2108,15463,9052,9974,9145,9714,8041,4960,2724,927,69997
3011,..,59,42,26,56,58,46,22,3,311,..,48,63,84,168,342,386,346,188,1620,41,68,30,27,42,53,39,24,16,351,2253,1305,1170,1403,1628,1788,1567,901,338,12356,..,76,793,1322,1642,2009,1934,913,188,8879,..,297,455,372,310,239,120,45,3,1840,..,96,251,358,319,160,90,79,43,1396,4436,..,..,..,..,..,..,..,..,4436,..,870,..,..,..,..,..,..,..,870,..,785,287,173,114,66,8,0,0,1428,..,124,58,34,61,96,84,64,42,548,..,93,48,27,27,21,10,0,0,238,..,137,103,69,128,120,98,49,11,709,..,86,151,221,389,646,674,515,259,2949,88,144,83,66,73,106,95,41,18,708,4525,2713,2228,2640,3070,3456,3116,1703,567,24000
3012,..,71,94,14,33,12,10,4,0,236,..,56,107,69,85,85,80,44,27,542,49,54,56,35,42,31,18,9,3,302,1925,1047,1501,1116,1014,628,329,144,40,7745,..,74,1078,1206,1120,757,385,134,13,4772,..,403,839,408,264,136,32,3,4,2083,..,71,152,189,198,80,40,26,9,772,3817,..,..,..,..,..,..,..,..,3817,..,475,..,..,..,..,..,..,..,475,..,536,166,68,53,21,3,0,0,844,..,126,55,39,36,53,36,18,5,364,..,56,52,26,14,4,3,0,0,167,..,165,206,72,63,33,20,12,0,568,..,129,314,200,265,249,199,86,30,1471,100,103,125,69,81,70,34,19,3,616,3918,2131,3001,2270,2105,1403,748,292,69,15936
3013,..,309,209,67,104,86,42,17,4,846,..,221,297,240,461,688,733,735,374,3752,127,214,168,81,91,130,85,62,35,999,7299,4765,4996,4380,4638,3894,2668,1741,638,35007,..,312,3773,4693,5046,4611,3104,1500,307,23342,..,1348,2106,1049,831,491,165,47,5,6045,..,261,790,943,923,395,198,195,94,3803,14743,..,..,..,..,..,..,..,..,14743,..,2788,..,..,..,..,..,..,..,2788,..,2478,838,382,277,136,15,0,0,4127,..,461,206,111,161,224,173,149,64,1555,..,342,218,95,64,45,25,9,0,797,..,644,574,245,256,174,102,46,8,2045,..,389,764,628,1011,1299,1222,1038,502,6851,281,454,403,213,200,218,165,94,47,2067,15026,9478,9673,8355,8771,7596,5164,3069,1031,68166
3014,..,1349,1122,382,684,726,435,157,38,4893,..,337,727,854,1844,3411,4040,3450,1943,16610,395,650,466,286,407,525,477,232,103,3545,25533,15327,15289,18928,21609,19946,16961,9153,3452,146191,..,613,10681,20900,23355,22755,21139,10293,2153,111883,..,2551,6600,5037,4532,3149,1586,379,46,23884,..,301,1601,3600,4081,1805,717,563,428,13102,51751,..,..,..,..,..,..,..,..,51751,..,12044,..,..,..,..,..,..,..,12044,..,8626,3212,1319,955,548,115,5,0,14774,..,1142,677,305,449,745,751,551,376,4993,..,1212,1009,447,453,312,136,54,12,3634,..,2517,2563,1032,1394,1430,922,340,77,10277,..,689,1654,2227,3741,5644,6203,4739,2649,27547,782,1242,1038,725,798,944,832,399,135,6898,52531,30932,29042,35593,39758,37327,32400,17328,5877,280778
3015,..,627,378,121,168,167,96,43,32,1632,..,310,591,475,834,1397,1622,1513,911,7644,223,349,209,97,137,193,172,105,44,1541,12493,7647,7967,7633,7991,7311,5831,3482,1411,61759,..,571,6721,8985,9235,8824,6936,3381,713,45361,..,1823,2937,1375,1232,700,317,69,10,8461,..,296,966,1514,1465,620,312,257,141,5573,24780,..,..,..,..,..,..,..,..,24780,..,5203,..,..,..,..,..,..,..,5203,..,3763,1289,566,410,192,27,0,0,6256,..,653,357,149,189,304,260,187,112,2217,..,515,284,153,84,68,35,8,10,1167,..,1334,938,312,382,349,190,90,56,3645,..,629,1365,1156,1691,2300,2376,2013,1160,12693,422,681,509,272,276,336,296,158,61,3009,25203,15462,15369,14485,14966,13698,10751,6166,2258,118359
3016,..,1314,729,224,265,252,158,55,5,2998,..,511,869,668,1014,1421,1352,1118,545,7489,305,533,367,150,238,220,191,86,23,2114,16327,11608,12121,11007,10506,8351,5500,2841,988,79244,..,621,8229,11372,11444,9699,6528,2636,528,51062,..,3351,5781,3093,2175,1165,437,86,20,16110,..,432,1589,2295,2081,919,410,286,154,8176,32886,..,..,..,..,..,..,..,..,32886,..,7277,..,..,..,..,..,..,..,7277,..,4824,1750,729,486,237,38,0,0,8059,..,1188,559,242,330,441,399,287,142,3585,..,836,525,215,185,118,45,22,8,1959,..,2710,1854,586,571,545,307,112,24,6708,..,1022,1997,1759,2294,2684,2345,1592,760,14453,662,1050,776,380,424,408,311,122,40,4163,33542,23309,23062,20669,20000,16212,10817,5141,1665,154425
3017,..,37,34,8,11,23,14,8,0,134,..,27,44,37,109,176,248,244,117,996,29,37,23,11,27,30,19,23,12,202,1434,857,750,813,943,932,827,554,189,7296,..,54,517,787,1018,1078,988,509,78,5040,..,240,309,177,165,100,63,10,3,1070,..,67,151,231,169,78,41,33,21,802,2905,..,..,..,..,..,..,..,..,2905,..,550,..,..,..,..,..,..,..,550,..,479,143,69,50,32,9,0,0,786,..,91,28,19,28,44,50,30,14,303,..,63,38,18,9,5,4,3,0,143,..,82,72,24,35,37,25,19,4,300,..,55,105,112,236,333,383,327,145,1691,56,92,55,27,46,58,39,33,8,412,2959,1779,1423,1468,1766,1762,1593,968,276,13994
3018,..,46,42,15,31,17,28,11,0,188,..,35,67,48,127,175,206,183,112,952,44,60,27,18,22,31,31,21,3,261,1516,927,932,1038,1217,1118,847,476,185,8256,..,42,634,1105,1282,1367,1059,509,107,6101,..,242,434,279,259,165,58,8,3,1448,..,28,131,193,200,77,35,24,16,709,3078,..,..,..,..,..,..,..,..,3078,..,635,..,..,..,..,..,..,..,635,..,503,151,70,47,31,3,0,0,804,..,75,31,18,22,49,38,31,18,284,..,57,32,15,19,11,5,4,0,144,..,89,75,32,73,50,52,13,8,385,..,65,126,130,267,338,342,255,160,1679,81,119,79,48,50,52,60,29,5,537,3163,1873,1697,1883,2224,2143,1651,875,308,15816
4000,..,372,307,147,333,377,234,64,12,1841,..,418,720,632,1466,2509,2936,2656,1576,12905,425,649,456,282,403,621,529,215,79,3649,21011,11349,11480,13522,17080,17671,13926,6844,2532,115412,..,657,9017,15470,20148,23068,19175,7881,1512,96930,..,2295,5168,3892,4082,2976,1291,297,49,20050,..,302,1306,2243,2527,1116,477,421,303,8690,42531,..,..,..,..,..,..,..,..,42531,..,9249,..,..,..,..,..,..,..,9249,..,6916,2498,891,763,386,68,4,0,11527,..,951,410,204,404,472,410,259,192,3307,..,539,308,171,197,138,64,21,9,1452,..,879,848,480,758,802,482,158,39,4437,..,963,2147,2205,4284,6196,5859,4157,2195,28011,911,1353,1131,821,913,1240,1048,393,118,7924,43440,24115,22835,26371,34070,36395,28874,13603,4410,234105
4001,..,7089,5824,1532,1648,1768,994,365,92,19315,..,2245,6094,5511,8359,14087,15878,13881,8862,74920,1599,2604,2172,1075,1073,1290,1187,707,389,12095,104098,76303,84218,79038,82411,75166,57385,33117,14263,605999,..,3451,61643,91162,92656,86251,68723,33346,7850,445083,..,10214,31121,18654,15700,9779,3903,903,169,90439,..,1765,7639,13866,17039,9416,3608,2825,1793,57937,210414,..,..,..,..,..,..,..,..,210414,..,65274,..,..,..,..,..,..,..,65274,..,37092,22010,6792,4738,2223,363,13,0,73222,..,7975,4883,1743,2173,3375,2510,1791,1140,25600,..,5253,4167,1395,1031,650,263,68,18,12841,..,14749,14443,4341,4206,3743,2083,729,202,44497,..,4551,14038,14409,19990,25569,24427,18983,11800,133767,3284,5051,4972,2829,2500,2313,1994,1069,540,24560,213696,155376,164910,155193,160037,143311,107870,59730,23516,1183625
4002,..,75,62,9,34,25,13,5,0,235,..,86,162,105,230,349,385,372,196,1889,66,103,63,30,47,59,49,24,11,443,2662,1640,1635,1620,1875,1715,1284,796,285,13508,..,78,1187,1784,2059,1997,1532,778,185,9604,..,392,669,406,380,253,79,4,0,2187,..,77,259,352,374,147,51,44,29,1340,5317,..,..,..,..,..,..,..,..,5317,..,1123,..,..,..,..,..,..,..,1123,..,887,251,100,81,36,7,0,0,1360,..,115,59,27,26,45,42,24,15,355,..,73,36,19,14,9,6,0,0,158,..,199,153,40,66,60,37,10,3,576,..,175,373,332,560,662,605,511,250,3466,121,167,147,70,87,97,76,41,12,829,5435,3285,3142,3129,3652,3307,2439,1415,500,26304
4003,..,77,67,13,22,32,19,0,4,239,..,45,63,52,130,205,244,232,145,1123,32,51,24,15,26,24,14,21,8,209,1444,1102,1031,883,1081,977,901,564,230,8214,..,90,739,860,1047,1092,1053,610,131,5620,..,260,381,228,277,139,50,25,3,1362,..,60,161,228,234,108,48,40,19,900,2817,..,..,..,..,..,..,..,..,2817,..,672,..,..,..,..,..,..,..,672,..,546,188,86,50,25,8,0,0,910,..,83,63,23,34,45,48,16,15,332,..,96,123,35,17,11,8,0,0,286,..,163,209,48,44,57,36,13,4,569,..,95,168,175,312,387,413,328,191,2060,52,94,75,40,59,39,31,28,7,430,2872,2165,2103,1718,2062,1904,1693,1059,371,15963
4004,..,40,36,8,21,26,11,7,0,145,..,49,97,52,103,123,160,137,78,800,43,39,18,22,32,21,31,20,3,222,1205,716,776,682,859,738,578,297,107,5956,..,19,392,539,736,830,677,264,41,3498,..,220,415,240,264,124,41,11,3,1325,..,57,149,168,170,92,47,27,13,714,2352,..,..,..,..,..,..,..,..,2352,..,367,..,..,..,..,..,..,..,367,..,374,151,69,39,18,7,0,0,658,..,97,37,28,40,29,35,15,7,281,..,34,16,10,11,6,3,0,0,88,..,63,70,29,37,56,15,12,0,281,..,86,197,139,242,298,283,187,107,1534,81,75,62,42,52,42,43,22,4,429,2438,1395,1492,1263,1594,1490,1154,540,177,11536
4005,..,65,45,13,19,10,6,8,4,177,..,34,63,59,116,188,161,170,104,901,50,52,43,27,25,50,38,18,6,306,1343,806,887,875,956,921,682,399,169,7031,..,27,602,876,990,1043,862,415,94,4910,..,199,470,281,216,125,41,9,5,1345,..,38,113,171,176,78,28,24,16,650,2715,..,..,..,..,..,..,..,..,2715,..,531,..,..,..,..,..,..,..,531,..,379,115,53,35,19,3,0,0,609,..,82,24,12,24,30,19,14,7,211,..,38,27,7,14,9,3,0,0,104,..,134,115,34,37,38,17,14,4,387,..,79,177,167,294,360,274,236,142,1733,119,101,92,59,54,96,69,26,12,624,2830,1613,1731,1666,1843,1801,1323,742,278,13830
4006,..,28,34,12,17,7,6,6,4,108,..,45,64,52,114,197,241,236,134,1063,40,51,35,19,24,18,35,23,10,255,1105,792,706,737,896,834,776,499,182,6527,..,36,409,619,943,939,846,446,72,4299,..,179,307,214,165,101,51,13,4,1027,..,36,130,224,188,88,60,33,16,781,2237,..,..,..,..,..,..,..,..,2237,..,574,..,..,..,..,..,..,..,574,..,489,166,81,60,26,3,0,0,832,..,48,27,11,25,28,33,21,3,203,..,43,11,10,16,6,0,0,0,91,..,56,54,32,28,24,19,13,3,223,..,77,161,163,293,380,371,338,174,1964,66,98,70,56,58,45,49,36,12,482,2308,1639,1336,1405,1782,1632,1436,889,286,12708
4007,..,30,12,13,44,47,50,19,0,207,..,26,48,62,163,410,644,480,314,2154,38,55,30,16,29,60,85,40,12,372,1500,831,785,1034,1322,1980,2567,1424,535,11978,..,39,554,969,1257,2149,3228,1833,421,10448,..,152,343,320,315,311,205,60,15,1720,..,29,122,255,252,116,62,51,26,913,2982,..,..,..,..,..,..,..,..,2982,..,645,..,..,..,..,..,..,..,645,..,493,209,100,64,54,8,0,0,932,..,43,25,21,21,43,43,47,28,265,..,40,10,16,3,4,3,3,0,87,..,79,50,37,80,84,81,29,7,434,..,52,129,185,368,708,989,702,448,3594,69,107,66,52,67,112,161,73,21,736,3052,1693,1521,1956,2431,3562,4773,2806,963,22761
4008,..,56,36,17,25,22,13,11,0,190,..,71,126,89,189,239,303,281,115,1406,70,68,50,34,40,34,36,21,11,362,1925,1181,1312,1190,1387,1208,956,602,182,9935,..,44,736,1150,1388,1435,1090,557,97,6502,..,320,600,394,380,151,53,11,4,1911,..,99,286,281,293,107,60,50,19,1197,3780,..,..,..,..,..,..,..,..,3780,..,810,..,..,..,..,..,..,..,810,..,610,261,108,86,19,3,0,0,1080,..,88,41,16,29,41,26,21,15,277,..,40,40,10,18,7,0,0,0,122,..,119,101,55,65,60,29,13,0,448,..,167,342,299,573,540,479,427,162,2994,143,143,128,84,91,66,53,37,8,755,3919,2440,2524,2400,2936,2436,1798,1109,314,19871
5000,..,403,438,195,336,320,203,70,22,1978,..,389,755,679,1409,2383,2231,1796,758,10403,592,686,676,385,524,707,470,164,64,4270,23688,11137,13728,15085,17038,16090,10824,4918,1452,113959,..,696,9322,16185,19057,19592,14598,5590,922,85963,..,2595,6674,5148,4942,3212,1191,269,36,24064,..,510,1640,2239,2462,1172,539,382,215,9159,47662,..,..,..,..,..,..,..,..,47662,..,7044,..,..,..,..,..,..,..,7044,..,6952,2451,1036,641,288,50,3,0,11421,..,1615,763,458,580,699,597,380,200,5299,..,653,527,272,235,184,96,37,13,2024,..,969,1118,542,760,758,472,148,40,4812,..,948,2096,2173,4059,5670,4862,2940,1116,23865,1240,1417,1635,1102,1246,1408,986,321,103,9464,48903,23402,26233,29156,33976,32986,23378,10082,2657,230769
5001,..,98,73,21,53,45,27,11,5,329,..,43,115,94,230,441,457,470,245,2086,62,68,68,31,51,81,78,30,13,490,2806,1630,1664,1863,2123,2114,1678,1046,409,15336,..,91,1225,1994,2286,2338,1968,1020,281,11203,..,365,696,520,461,358,165,47,4,2616,..,48,193,371,394,154,72,69,36,1334,5710,..,..,..,..,..,..,..,..,5710,..,1154,..,..,..,..,..,..,..,1154,..,1083,312,133,99,51,11,3,0,1681,..,151,76,32,49,57,63,50,31,516,..,118,64,34,23,15,5,3,0,263,..,180,151,58,113,96,59,23,5,686,..,99,277,210,460,733,709,624,355,3461,117,145,131,76,94,138,128,62,20,918,5825,3431,3132,3424,3986,3936,3178,1900,728,29541
5002,..,47,117,40,31,24,4,3,3,268,..,25,73,59,94,149,61,24,3,481,21,31,32,21,17,31,22,3,0,181,1398,547,1096,1016,801,659,237,68,18,5840,..,24,565,903,763,591,242,58,0,3138,..,152,632,431,315,205,42,4,0,1770,..,25,127,174,125,79,31,14,6,578,2767,..,..,..,..,..,..,..,..,2767,..,321,..,..,..,..,..,..,..,321,..,281,106,53,13,7,0,0,0,459,..,80,43,25,23,35,20,15,4,253,..,49,88,32,12,20,4,0,0,207,..,85,227,87,77,44,17,15,3,562,..,57,157,157,226,314,153,57,11,1122,65,56,79,50,41,54,43,5,0,390,2830,1130,2014,1912,1609,1342,548,161,26,11568
5003,..,203,198,46,75,94,51,17,3,683,..,91,258,204,374,706,713,626,346,3322,132,147,130,64,107,119,88,45,19,862,7022,3882,4476,4573,4665,4066,2818,1482,569,33561,..,227,3329,5261,5459,4901,3619,1539,352,24702,..,914,1959,1144,979,590,200,45,3,5844,..,162,572,936,816,348,145,87,56,3127,14040,..,..,..,..,..,..,..,..,14040,..,2840,..,..,..,..,..,..,..,2840,..,2242,710,225,173,68,13,0,0,3430,..,345,142,43,103,129,95,75,49,979,..,281,173,60,48,25,8,0,0,598,..,403,504,143,168,185,93,30,8,1539,..,217,684,630,876,1250,1101,849,440,6049,275,309,293,172,182,199,148,78,29,1693,14317,7940,8371,8629,8809,7690,5429,2703,937,64832
5004,..,77,80,37,30,53,22,5,0,312,..,37,68,86,186,333,393,395,205,1707,49,81,55,46,47,76,74,34,10,469,3392,1612,1787,2395,2307,2133,1789,943,335,16695,..,53,1292,2719,2663,2583,2403,1041,216,12962,..,292,870,681,550,334,139,47,13,2936,..,42,185,414,427,152,52,27,37,1330,6885,..,..,..,..,..,..,..,..,6885,..,1326,..,..,..,..,..,..,..,1326,..,960,262,89,61,40,12,0,0,1427,..,109,69,15,27,60,56,37,25,396,..,124,84,35,22,20,5,3,0,291,..,141,222,100,95,92,50,22,3,738,..,74,202,233,397,592,620,532,278,2933,116,147,124,107,96,137,144,50,19,921,6997,3279,3314,4394,4333,4008,3486,1755,594,32158
5005,..,32,24,4,13,11,4,0,0,91,..,25,53,37,51,102,150,139,71,635,20,32,16,17,21,39,19,9,3,166,1034,596,615,663,734,669,513,303,101,5241,..,34,400,680,839,810,605,269,46,3691,..,126,339,234,247,112,54,11,0,1131,..,29,67,112,133,43,34,16,7,452,2092,..,..,..,..,..,..,..,..,2092,..,420,..,..,..,..,..,..,..,420,..,345,96,45,28,9,3,0,0,523,..,70,17,12,7,19,21,19,4,168,..,40,20,4,19,6,7,3,3,96,..,88,59,12,40,21,10,7,3,236,..,48,107,105,156,215,229,198,95,1157,46,66,45,29,30,54,33,22,6,333,2142,1269,1144,1247,1502,1284,1004,548,171,10300
5006,..,119,86,31,50,43,18,8,6,357,..,75,144,98,224,315,357,316,128,1661,77,83,71,40,51,70,46,30,12,481,3617,2117,2095,2226,2472,2044,1413,794,238,17013,..,96,1397,2265,2698,2379,1720,820,156,11542,..,540,1002,676,573,350,126,44,0,3308,..,99,293,474,483,195,88,55,37,1729,7086,..,..,..,..,..,..,..,..,7086,..,1383,..,..,..,..,..,..,..,1383,..,1176,372,144,93,47,10,0,0,1839,..,266,112,42,66,94,92,51,33,753,..,125,75,44,30,16,7,0,0,299,..,247,187,80,109,88,50,13,9,776,..,153,348,321,547,673,625,463,184,3320,148,154,171,103,117,117,80,47,18,962,7241,4238,3964,4155,4706,3951,2798,1501,442,32989
5007,..,79,82,29,56,29,11,3,0,290,..,57,143,119,151,179,127,104,29,898,44,74,57,29,46,41,22,9,0,323,3141,1627,2300,1930,1736,1204,491,246,55,12739,..,71,1806,2237,2028,1500,588,186,29,8449,..,597,1238,647,470,229,54,13,3,3255,..,62,208,270,233,119,54,38,10,996,6238,..,..,..,..,..,..,..,..,6238,..,883,..,..,..,..,..,..,..,883,..,990,261,87,51,23,3,0,0,1422,..,163,108,70,78,80,50,25,10,583,..,97,83,27,33,16,10,6,0,268,..,226,288,109,114,85,34,13,0,869,..,142,414,360,510,490,312,162,36,2430,96,138,134,77,84,78,39,12,3,665,6340,3385,4536,3883,3604,2630,1152,451,90,26063
5008,..,44,69,24,16,8,4,0,0,162,..,55,106,48,61,50,30,6,0,363,19,23,34,12,23,19,3,0,0,132,1800,770,1461,1175,790,405,94,23,3,6519,..,46,1212,1554,1006,543,109,18,3,4483,..,298,800,430,250,101,19,3,0,1893,..,35,100,110,107,36,9,0,0,397,3712,..,..,..,..,..,..,..,..,3712,..,428,..,..,..,..,..,..,..,428,..,353,83,28,0,0,0,0,0,469,..,118,60,22,28,27,9,8,0,275,..,49,78,29,15,14,3,0,0,192,..,92,159,81,49,31,5,3,0,424,..,102,261,177,181,165,65,9,5,967,48,54,77,52,64,48,9,0,0,357,3755,1576,2830,2484,1705,967,229,39,7,13595
5009,..,7857,9368,2316,2064,2126,1230,466,138,25581,..,2861,8849,7354,9296,15785,17783,15546,8643,86115,2199,3416,3021,1476,1357,1725,1504,887,444,16027,168455,112388,139308,126171,119794,99632,70072,38915,14842,889582,..,5587,104992,153827,147252,121987,87828,40194,8434,670110,..,17394,57177,29313,22057,12245,4919,1165,198,144466,..,2435,10041,17895,21635,11697,4675,3096,1924,73390,341448,..,..,..,..,..,..,..,..,341448,..,95329,..,..,..,..,..,..,..,95329,..,57050,29158,8526,5111,2466,428,16,3,102752,..,13601,9261,2673,3179,4806,3940,2802,1655,41914,..,7815,9198,2669,1725,996,350,117,42,22909,..,17324,24391,7126,5463,4652,2643,991,276,62857,..,6201,20919,18783,22157,28496,27888,21319,11477,157238,4434,6564,6791,3654,2995,2954,2470,1398,615,31879,345882,229305,271925,244456,231575,190305,135138,71104,24617,1744298
