SUA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2012,..,156,162,41,71,69,45,12,0,559,..,104,220,171,318,572,588,593,314,2880,84,136,82,48,55,69,80,55,21,626,4395,2766,2837,2782,3124,2910,2331,1418,526,23077,..,121,1953,2937,3309,3472,2891,1398,303,16384,..,590,1216,720,596,359,172,49,7,3715,..,136,443,571,652,258,126,105,60,2350,8794,..,..,..,..,..,..,..,..,8794,..,2047,..,..,..,..,..,..,..,2047,..,1509,554,211,189,82,11,0,0,2552,..,260,113,51,99,112,121,84,38,874,..,186,114,59,50,40,7,0,0,451,..,317,377,137,174,174,97,20,4,1288,..,186,470,470,757,1098,1016,824,436,5264,180,254,202,130,124,137,148,85,25,1282,8981,5593,5438,5281,5948,5733,4580,2565,880,45004
2013,..,41,25,8,23,32,28,6,4,168,..,54,100,72,137,272,281,239,141,1292,43,59,36,18,11,26,31,13,12,242,1283,941,917,843,1036,1087,876,542,223,7747,..,39,570,744,966,1147,943,486,118,5016,..,225,350,241,202,129,52,17,0,1219,..,70,179,246,262,97,65,51,28,999,2514,..,..,..,..,..,..,..,..,2514,..,639,..,..,..,..,..,..,..,639,..,565,239,95,59,42,4,0,0,1013,..,68,29,17,30,38,30,17,10,243,..,47,33,16,10,5,3,4,0,115,..,80,65,28,57,57,43,17,3,355,..,95,208,203,338,553,486,365,174,2410,69,123,70,39,36,50,46,21,12,472,2578,1948,1737,1628,1965,2124,1678,972,352,14999
2014,..,43,12,6,13,15,8,5,0,107,..,23,37,42,96,164,140,134,74,695,22,32,10,7,8,20,17,9,3,140,828,527,484,605,698,754,495,306,107,4803,..,16,299,571,755,834,598,304,73,3460,..,149,232,183,158,130,33,5,0,888,..,17,76,147,145,60,28,24,13,519,1653,..,..,..,..,..,..,..,..,1653,..,403,..,..,..,..,..,..,..,403,..,298,118,48,34,14,0,0,0,518,..,25,10,11,18,17,18,6,6,125,..,32,13,9,3,5,0,0,0,59,..,69,36,17,44,44,25,11,0,245,..,56,99,130,229,302,262,188,97,1360,34,65,38,24,23,27,41,17,4,274,1694,1128,928,1144,1409,1450,1006,554,190,9498
2015,..,51,46,13,22,21,8,5,0,167,..,37,72,64,126,195,204,209,125,1037,15,35,33,12,22,21,28,16,6,193,1280,747,888,846,935,881,639,408,204,6827,..,23,693,926,924,970,751,348,105,4744,..,173,351,194,162,102,36,14,0,1029,..,28,106,167,189,84,35,23,24,654,2610,..,..,..,..,..,..,..,..,2610,..,591,..,..,..,..,..,..,..,591,..,375,121,44,43,19,3,0,0,610,..,58,22,8,27,27,16,25,12,193,..,37,31,11,10,3,0,0,0,89,..,132,115,28,37,46,25,8,0,388,..,78,170,171,242,338,310,293,169,1768,40,78,55,35,48,41,38,29,8,372,2648,1575,1673,1582,1696,1625,1216,723,315,13058
2016,..,134,204,53,71,58,32,22,7,577,..,79,217,197,279,558,582,522,296,2730,104,123,106,50,58,61,58,32,17,617,4536,2828,3012,2874,3005,2719,2052,1225,487,22737,..,215,2381,3147,3426,3165,2468,1215,296,16310,..,471,1068,585,472,301,115,35,10,3059,..,127,365,648,668,314,124,90,52,2377,9140,..,..,..,..,..,..,..,..,9140,..,2318,..,..,..,..,..,..,..,2318,..,1523,594,247,139,69,8,0,0,2588,..,263,136,54,87,103,102,62,38,847,..,162,113,52,46,21,10,7,0,402,..,315,456,163,159,125,82,37,13,1355,..,155,505,498,737,1011,929,744,386,4961,223,231,221,147,121,110,103,63,17,1251,9361,5781,5837,5542,5851,5216,3940,2256,809,44602
2017,..,47,27,13,14,8,11,0,0,132,..,25,59,36,71,110,139,200,102,740,11,19,24,10,9,10,20,7,7,126,915,595,633,580,598,544,452,393,159,4865,..,36,484,660,684,684,498,339,99,3481,..,155,260,100,95,49,23,12,0,697,..,25,82,117,123,42,26,23,11,453,1825,..,..,..,..,..,..,..,..,1825,..,417,..,..,..,..,..,..,..,417,..,285,99,38,36,19,3,0,0,474,..,50,35,19,20,16,16,11,3,177,..,30,14,8,5,0,0,0,0,68,..,107,102,47,47,33,29,6,0,368,..,60,128,99,146,212,227,251,138,1258,39,48,53,20,21,17,30,18,6,268,1869,1220,1264,1120,1170,1075,846,667,267,9493
2018,..,156,118,24,42,70,32,4,0,443,..,102,265,190,301,504,557,506,270,2694,87,105,100,36,48,51,47,29,9,508,3426,2266,2557,2238,2425,2346,1798,1116,395,18559,..,98,1662,2270,2461,2699,2040,1073,213,12516,..,583,1079,551,482,256,104,37,7,3096,..,117,403,558,553,231,106,74,46,2096,6934,..,..,..,..,..,..,..,..,6934,..,1550,..,..,..,..,..,..,..,1550,..,1219,455,176,127,51,13,3,0,2046,..,141,110,27,71,61,56,51,28,541,..,109,68,29,32,22,7,8,0,270,..,303,263,73,111,128,68,23,3,958,..,221,641,512,765,1000,924,704,349,5115,165,200,198,111,104,100,83,43,10,1021,7098,4537,4879,4306,4711,4552,3394,2004,659,36135
2019,..,60,53,23,24,35,15,5,0,226,..,33,109,71,160,268,321,323,218,1508,32,48,32,29,27,27,28,20,17,260,1558,951,978,1057,1161,1183,1006,704,313,8913,..,36,640,1103,1196,1302,1095,642,155,6161,..,237,442,238,216,122,46,9,7,1319,..,42,121,247,257,111,56,47,29,910,3148,..,..,..,..,..,..,..,..,3148,..,707,..,..,..,..,..,..,..,707,..,482,174,94,68,35,8,0,0,864,..,63,43,12,24,41,46,30,12,261,..,35,17,11,12,9,3,0,0,78,..,127,110,50,52,65,33,10,5,445,..,75,239,203,339,477,496,419,280,2526,65,85,71,42,48,54,38,34,16,465,3209,1884,1854,2002,2203,2200,1825,1208,499,16890
2020,..,67,64,25,42,57,35,14,4,310,..,40,108,94,204,389,434,397,229,1885,67,83,58,29,28,49,40,27,12,397,3196,1890,1946,1905,2259,2119,1816,973,358,16461,..,89,1553,2170,2601,2552,2372,1046,191,12579,..,316,857,465,432,283,110,32,0,2501,..,69,225,354,428,192,78,69,47,1462,6283,..,..,..,..,..,..,..,..,6283,..,1638,..,..,..,..,..,..,..,1638,..,1144,433,154,112,52,12,0,0,1906,..,109,59,22,41,73,75,63,22,469,..,100,61,33,25,9,7,8,0,239,..,144,157,55,86,105,64,22,6,639,..,85,269,266,415,687,656,576,292,3242,120,168,135,62,79,93,69,46,18,794,6403,3860,3764,3581,4227,4040,3443,1867,572,31761
2021,..,201,171,48,29,35,21,14,0,517,..,82,175,141,270,458,437,469,266,2296,44,93,59,35,35,58,48,19,17,416,2854,1986,1930,1942,2225,2019,1544,973,411,15885,..,60,1261,2052,2426,2314,1896,871,227,11109,..,404,868,497,380,258,86,28,10,2531,..,52,228,397,413,166,88,76,41,1456,5730,..,..,..,..,..,..,..,..,5730,..,1433,..,..,..,..,..,..,..,1433,..,1102,347,141,125,54,7,0,0,1776,..,129,71,33,42,68,50,23,27,435,..,105,81,34,22,13,3,0,3,263,..,448,446,99,72,88,43,18,4,1222,..,159,364,357,557,746,661,607,323,3777,106,175,140,83,76,103,85,35,24,825,5835,4075,3799,3696,4113,3808,2911,1664,658,30553
3000,..,1700,1489,666,1260,1464,908,241,50,7784,..,1066,1688,1673,3809,6391,6931,5360,2406,29330,1445,2007,1503,873,1285,1991,1489,566,165,11324,65202,34185,36536,40862,47488,46755,35488,15555,4652,326721,..,1912,26399,43717,53582,57294,46953,18072,2847,250774,..,7945,16092,12500,11898,7925,3539,736,77,60717,..,1697,5001,7344,6830,3288,1911,1531,796,28391,132102,..,..,..,..,..,..,..,..,132102,..,22027,..,..,..,..,..,..,..,22027,..,21080,7263,3524,2721,1160,200,13,0,35961,..,3580,1664,1018,1571,2315,2120,1408,778,14459,..,2485,1609,831,908,703,446,157,36,7176,..,3326,3496,1736,2708,3201,2124,661,108,17358,..,2352,4643,5350,10260,14991,14719,9214,3614,65153,3003,4112,3598,2536,2917,3729,2980,1069,272,24221,135105,70512,69770,78561,93411,94605,74986,32854,8541,658346
3001,..,16245,13574,3534,3382,3285,1917,662,139,42742,..,3436,8941,8603,11033,16989,19762,15480,8731,92966,3433,5286,4118,2020,1880,2297,1725,967,479,22200,199102,141383,157805,147996,138473,111961,80653,40475,15966,1033816,..,6792,114185,172206,164016,135382,97684,39865,8186,738312,..,24972,64358,36686,25885,13496,5396,1130,162,172082,..,3704,13677,23918,25944,13067,6018,4029,2607,92982,402289,..,..,..,..,..,..,..,..,402289,..,103903,..,..,..,..,..,..,..,103903,..,66108,32317,11434,6948,3275,579,13,0,120685,..,15545,9789,3548,4620,6900,6206,4211,2412,53227,..,13548,11591,3827,2831,1780,785,237,57,34665,..,32956,32635,9454,7935,7015,4066,1412,302,95771,..,7030,20358,20726,24770,30407,30844,21633,11732,167502,6866,10046,8970,5050,4135,3987,2976,1503,659,44180,409154,284594,307875,286850,267086,215306,154554,74041,26118,2025593
3002,..,246,216,59,118,129,93,37,3,902,..,124,228,178,437,760,1004,990,531,4257,119,163,104,62,83,127,146,68,25,883,5752,3608,3596,3686,4193,4375,4070,2535,870,32692,..,247,2507,3790,4434,4998,4950,2617,504,24031,..,859,1379,847,794,581,343,101,21,4923,..,209,673,921,804,376,189,200,110,3488,11648,..,..,..,..,..,..,..,..,11648,..,2353,..,..,..,..,..,..,..,2353,..,1994,667,345,314,155,31,3,0,3503,..,325,156,90,145,214,220,158,78,1378,..,269,162,83,85,48,26,7,0,692,..,468,476,175,257,268,216,82,13,1952,..,242,523,505,912,1389,1609,1433,711,7314,226,366,251,187,165,218,223,113,34,1781,11875,7319,6784,6933,7914,8254,7804,4712,1468,63061
3003,..,701,726,276,342,299,145,39,13,2532,..,286,681,770,1125,1560,1395,802,403,7020,275,360,295,163,205,200,128,60,18,1706,13241,7664,9254,10151,9735,7713,4848,2025,739,65370,..,326,5588,9632,9615,8035,5542,1993,304,41039,..,1621,4359,3165,2435,1401,486,73,16,13550,..,334,1196,2079,1975,942,396,211,135,7259,26621,..,..,..,..,..,..,..,..,26621,..,5160,..,..,..,..,..,..,..,5160,..,3985,1425,564,336,162,26,3,0,6499,..,772,493,224,313,435,395,216,129,2989,..,604,571,240,212,117,44,13,7,1805,..,1299,1596,695,760,687,368,100,24,5529,..,547,1501,1731,2469,3012,2519,1263,563,13606,562,659,595,384,411,394,238,112,30,3383,27183,15310,17328,18698,18524,15188,10019,3984,1200,127445
3004,..,55,32,7,15,8,3,0,0,125,..,53,71,36,67,80,45,34,9,389,29,25,32,14,25,22,4,3,0,155,1588,752,1027,885,769,497,190,81,18,5805,..,69,955,1172,964,652,258,68,10,4145,..,293,447,218,139,67,12,0,0,1177,..,32,83,110,110,45,11,8,5,407,3136,..,..,..,..,..,..,..,..,3136,..,432,..,..,..,..,..,..,..,432,..,320,85,30,12,3,0,0,0,449,..,56,31,11,21,31,11,12,3,169,..,41,24,6,8,3,6,0,0,95,..,131,92,27,29,18,3,0,0,302,..,106,201,111,181,152,97,50,14,916,54,49,66,23,41,32,14,6,0,280,3192,1532,1976,1706,1504,1016,404,140,33,11505
3005,..,149,114,45,56,44,25,7,3,435,..,151,203,124,238,271,266,224,96,1573,131,128,103,43,56,64,45,24,3,603,4692,2480,3128,2949,2759,1921,1074,542,160,19701,..,164,2470,3605,3330,2647,1292,507,70,14086,..,895,1524,771,684,292,111,21,3,4300,..,132,380,503,442,143,70,47,25,1738,9256,..,..,..,..,..,..,..,..,9256,..,1497,..,..,..,..,..,..,..,1497,..,1273,318,141,89,36,7,0,0,1868,..,196,90,31,68,83,71,63,17,621,..,119,90,44,44,15,9,0,0,323,..,368,275,113,133,114,42,9,3,1059,..,325,562,453,676,647,480,308,127,3578,231,288,258,129,141,131,91,42,8,1314,9491,5263,5974,5794,5600,4106,2167,991,256,39649
