SUA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
1000,8,16,75,218,168,158,228,159,32,43,34,19,49,29,66,1308,13,37,59,21,67,203,251,283,54,61,50,78,85,94,125,1496,0,28,137,276,18,31,15,5,0,0,0,0,0,0,27,544,0,67,75,55,6,27,17,31,3,8,0,0,0,3,15,303,10,19,45,68,63,134,92,82,15,22,12,27,12,10,45,654,4,1218,855,520,410,337,307,186,31,40,28,42,50,25,175,4232,0,70,177,116,22,12,12,4,0,4,0,3,0,3,23,452,8,5,34,59,75,57,50,30,14,6,7,17,28,12,30,447,15,72,73,166,93,128,234,563,76,123,123,129,100,108,113,2114,3,57,47,51,30,48,67,47,14,28,19,19,17,16,22,487,0,4,3,14,8,19,8,16,0,4,5,3,4,6,7,116,0,0,0,32,7,11,25,14,5,0,8,5,0,8,24,148,3,51,153,312,142,218,172,170
1001,0,0,4,18,5,5,19,9,6,0,0,3,0,0,3,74,0,4,0,0,3,15,37,57,5,8,13,16,10,12,3,188,0,3,48,78,11,3,8,0,0,0,0,0,0,0,4,156,0,0,3,6,0,3,3,8,0,0,3,0,4,0,0,26,0,0,3,5,5,17,14,15,3,0,0,0,0,0,0,67,0,226,145,64,26,11,13,16,7,0,0,0,3,3,12,536,0,19,23,10,4,3,3,0,0,0,0,0,0,0,5,67,0,0,4,7,10,16,3,3,0,0,5,3,0,0,3,49,0,5,0,18,6,13,66,430,35,47,53,54,48,37,28,850,0,0,0,3,0,4,5,3,0,4,0,0,0,0,0,21,0,0,0,0,7,3,3,3,7,7,0,6,3,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,14,16,10,17,11,15
1002,0,0,3,12,3,0,15,5,0,0,0,0,0,0,0,46,0,0,0,3,3,10,32,38,13,7,15,35,65,39,25,280,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,11,6,0,0,3,0,0,0,3,0,30,0,15,10,8,12,9,15,8,0,0,3,0,0,0,3,84,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,7,5,6,0,4,0,0,0,4,0,0,20,0,0,3,3,0,3,18,53,3,3,12,15,18,8,8,157,0,0,0,0,4,0,8,3,0,0,0,3,6,4,0,30,0,0,0,0,4,7,3,3,10,5,7,0,6,3,3,47,0,0,0,0,0,0,3,7,3,5,22,30,11,0,0,89,0,0,3,0,7,3,7,0
1003,0,0,0,8,13,3,10,7,0,3,0,0,3,3,4,59,0,0,3,0,7,3,6,9,0,0,0,0,3,0,0,33,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,3,3,0,8,5,0,3,0,0,3,0,0,5,32,0,28,14,6,13,4,11,4,0,3,3,0,0,0,3,85,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,12,36,0,3,8,6,0,0,0,73,0,3,3,0,0,0,4,5,3,0,3,0,0,0,0,27,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,6,13
1004,0,0,0,10,3,3,4,3,0,0,0,0,0,0,0,24,0,0,0,0,0,7,3,0,0,0,0,6,0,0,0,21,0,3,32,33,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,41,42,18,7,6,0,0,0,0,0,0,0,0,3,114,0,3,15,15,0,0,0,0,3,0,0,0,0,0,0,36,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,3,4,13,0,3,0,0,0,0,3,37,0,0,5,0,0,0,0,0,0,0,3,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,3,0,3
1005,0,0,0,8,8,3,12,10,4,0,3,0,0,0,0,45,0,4,0,0,4,11,20,15,7,14,7,4,7,3,12,116,0,0,7,7,0,0,3,0,0,0,0,0,0,0,3,20,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,16,0,0,3,3,4,12,10,0,0,0,0,0,0,0,3,36,3,32,14,5,9,3,0,4,0,3,0,0,0,0,3,78,0,0,6,5,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,5,4,3,0,0,0,3,0,3,4,15,0,0,3,0,3,3,21,65,8,9,15,13,16,4,4,168,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,8,0,3,3,3,0,4,0,4,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,5,11,3,5,7,6
1006,0,3,16,12,7,21,13,3,3,0,0,3,0,0,0,88,0,3,8,3,7,20,15,21,0,4,8,20,40,39,19,198,0,0,5,17,0,3,0,0,0,0,0,0,0,0,0,25,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,27,0,3,5,3,10,9,3,3,0,7,0,0,0,0,3,48,0,68,57,20,19,9,6,7,0,0,0,0,0,4,3,199,0,9,16,11,3,3,0,3,0,0,0,3,0,0,5,57,0,3,0,8,8,17,8,0,0,0,0,4,13,9,3,73,0,11,8,12,3,11,24,73,3,3,3,4,16,9,3,180,0,4,0,0,4,9,8,4,0,0,0,0,0,0,3,29,0,0,0,0,0,4,0,4,0,0,3,0,5,0,0,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,26,8,20,4,5
1007,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,10,9,8,0,3,3,0,0,0,0,0,0,0,0,33,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,14,3,4,6,6,8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1008,0,0,4,3,3,4,8,0,0,0,0,5,0,0,0,25,0,4,0,0,0,0,6,3,0,3,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,22,19,5,9,0,11,0,0,0,0,0,0,0,0,75,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,5,7,3,0,3,0,0,0,3,32,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,3,7,0
1009,0,8,22,85,71,69,133,86,9,18,14,4,12,6,12,542,13,42,78,15,60,193,372,318,56,60,71,61,43,33,70,1476,0,15,76,118,6,14,6,4,0,0,8,0,0,0,13,259,0,68,92,81,21,25,10,15,6,6,4,0,0,3,12,338,0,4,14,42,54,115,45,32,12,6,5,3,4,5,25,376,7,329,246,134,98,73,100,75,9,10,13,9,0,5,40,1147,0,54,118,78,9,3,11,0,0,4,0,0,0,0,10,305,6,5,18,31,33,65,47,15,3,5,3,8,4,0,14,261,3,34,33,122,60,72,166,389,88,104,77,77,63,46,51,1375,3,24,17,26,42,45,73,53,16,8,17,16,18,5,12,377,0,0,0,16,11,23,23,19,10,3,3,0,4,8,0,123,0,0,3,7,3,8,9,8,3,0,3,0,0,6,4,58,5,35,83,257,104,169,128,121
