SUA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
1010,345,2273,1639,22614,429,27299,0,22,4,397,12,435,371,47,54,144,5,624,65,20,6,32,0,117,439,157,72,267,6,943,3956,2149,1499,20434,490,28531,263,10,77,21,10,373,154,22,21,190,3,389,608,203,146,1935,41,2922,91,53,4,123,0,275,100,20,10,37,0,166,1116,61,94,51,10,1333,841,492,333,7135,111,8912,411,160,71,860,18,1518,47,0,0,10,0,61,38,12,5,53,0,111,20,3,0,11,0,30,92,33,31,97,4,258,150,48,30,41,0,260,234,143,84,56,0,522,187,29,25,92,4,336,79,17,6,35,3,141,920,564,387,5423,88,7380,18,0,3,4,0,30,134,27,16,7,0,188,150,13,28,88,3,279,32,8,0,4,0,45,19,10,0,4,0,36,54,3,6,3,3,65,145,47,29,231,3,454,3036,427,335,713,58,4566,181,41,30,547,4430,5231,11758,4140,2990,44152,5448,68486
1011,77,712,472,15602,258,17118,3,12,5,525,13,559,270,14,16,106,4,412,11,5,3,9,0,28,115,49,36,161,0,361,658,637,466,12000,262,14026,192,4,39,5,9,248,33,9,6,99,3,153,106,60,47,981,8,1200,52,13,13,76,0,160,14,3,0,7,0,30,432,6,11,15,3,466,174,170,118,4060,58,4578,89,50,17,320,4,482,53,3,0,0,0,56,37,9,3,35,3,86,4,3,0,0,0,5,16,11,5,38,0,75,59,15,14,20,0,115,49,31,16,33,4,137,42,9,9,48,0,116,26,3,3,11,0,38,181,195,126,2759,37,3293,3,0,3,4,0,16,38,7,3,5,0,60,13,4,0,33,7,53,99,3,6,0,0,113,7,4,0,0,0,7,55,0,3,0,4,63,28,17,8,74,0,123,1005,120,73,256,25,1479,36,10,8,382,2249,2680,3456,1277,898,27645,2814,36092
1012,66,668,433,7412,213,8797,0,6,0,252,7,268,71,3,6,48,0,133,29,0,3,12,0,39,116,32,17,53,3,220,1149,675,446,6748,183,9199,68,0,17,4,8,89,26,7,14,60,0,116,145,38,27,539,16,768,24,15,0,34,0,71,22,6,3,7,0,34,36,3,0,4,0,43,154,122,85,1980,57,2402,110,48,10,203,9,372,13,0,0,0,0,13,9,7,5,23,0,40,4,0,0,0,0,3,53,14,12,44,3,117,22,10,6,3,0,37,43,19,9,12,4,79,52,8,0,13,0,72,24,0,0,7,0,27,288,164,108,1491,46,2093,7,0,0,5,0,14,30,5,0,3,0,43,29,0,3,14,3,42,7,3,0,0,0,10,3,0,0,0,0,3,10,0,0,0,0,10,38,32,4,65,0,139,338,74,65,160,6,642,37,12,9,191,1304,1553,2497,1207,764,14243,1743,20455
1013,71,574,424,8500,191,9753,0,0,0,71,4,81,121,0,9,57,0,194,24,8,3,15,0,38,75,23,20,57,5,185,733,551,366,7489,215,9353,128,0,26,11,0,169,33,10,0,53,0,103,122,63,36,522,7,747,65,18,9,75,0,163,19,11,8,14,0,46,140,3,3,12,0,154,169,162,90,2624,55,3092,89,34,15,161,8,301,67,0,0,3,0,70,15,10,0,11,0,35,9,0,0,0,0,12,17,8,5,27,0,56,41,12,6,5,0,62,46,26,19,18,0,106,46,14,6,27,0,93,18,0,5,9,0,33,207,155,96,1701,33,2195,3,0,0,3,0,5,8,6,17,4,0,35,32,4,0,16,3,50,17,0,0,3,0,19,12,0,0,0,0,12,7,0,0,0,0,7,33,13,12,86,0,145,594,100,61,156,7,913,41,7,12,234,1926,2211,2502,1057,714,16285,2330,22890
1014,37,431,320,7877,194,8862,0,6,0,226,0,232,61,3,5,20,0,91,5,0,0,6,0,12,77,28,23,59,0,190,435,368,296,6490,169,7762,69,0,33,0,3,104,16,3,3,42,0,65,84,35,23,721,14,880,17,9,0,16,0,36,7,0,0,4,0,17,65,0,0,10,0,79,93,89,48,2013,40,2287,25,25,0,172,4,230,0,0,0,0,0,5,0,3,0,6,0,8,4,0,0,0,0,4,9,3,0,28,0,40,7,7,6,6,6,34,20,21,21,22,0,85,19,7,3,15,3,45,9,0,3,4,0,15,123,107,75,1584,22,1919,0,0,0,3,0,3,13,4,5,0,0,20,10,0,0,15,4,32,16,0,0,0,0,22,0,0,0,0,0,0,17,0,3,0,0,17,13,7,3,52,0,74,202,54,34,156,7,450,9,13,0,261,1292,1575,1192,743,550,14531,1656,18668
1015,215,427,221,4616,120,5604,4,0,3,120,8,131,248,3,7,32,6,303,7,0,0,4,0,7,42,24,9,39,0,113,536,319,206,3895,82,5042,194,0,17,0,4,215,24,0,4,18,0,51,92,43,15,425,9,582,10,3,3,24,0,35,3,3,0,4,0,5,870,15,5,11,3,899,85,60,59,1357,16,1573,1924,455,152,1816,59,4405,23,0,0,0,0,20,15,4,3,5,0,27,9,0,4,0,0,12,4,3,0,6,0,14,54,4,3,0,3,72,70,17,9,13,3,108,13,4,11,5,0,33,12,0,0,4,0,13,102,90,65,980,14,1245,0,0,0,5,0,4,48,6,0,3,0,58,75,10,12,16,0,115,10,0,0,0,0,15,94,3,3,3,0,111,3,0,0,0,0,8,9,5,4,35,3,57,1855,131,50,96,67,2199,115,10,11,143,1562,1839,6008,1061,557,9621,1895,19144
1016,34,335,217,6004,146,6742,0,4,7,535,23,566,63,0,7,17,3,87,6,3,3,3,0,11,39,17,3,19,0,81,388,285,162,4593,116,5546,70,0,19,4,3,95,14,3,4,37,0,58,61,25,17,327,9,446,12,7,3,27,0,47,5,7,0,3,0,18,46,3,0,0,0,58,65,57,34,1263,21,1430,23,21,7,113,0,168,4,0,0,0,0,3,10,6,0,11,0,31,3,0,0,3,0,3,28,3,6,45,0,83,12,12,5,12,0,39,15,21,11,8,0,51,12,5,0,0,0,21,11,3,0,3,0,14,80,59,40,831,13,1031,0,0,0,0,0,3,7,0,3,3,0,12,16,3,5,11,0,30,3,0,0,0,0,3,3,0,0,7,0,9,0,0,0,0,0,3,18,9,0,47,3,75,173,55,36,117,5,384,10,5,3,203,1809,2033,1001,561,348,10744,2102,14754
1017,101,860,565,10081,196,11803,0,10,13,304,3,336,131,9,10,63,0,211,14,3,0,3,0,19,106,43,31,83,3,268,1080,822,525,9225,172,11821,119,6,56,12,5,195,60,8,8,82,0,156,172,90,48,938,17,1264,29,15,3,44,0,91,33,7,3,7,0,49,126,9,11,20,0,170,235,249,110,3687,56,4341,320,142,41,775,9,1295,25,0,7,0,0,32,3,5,0,45,0,55,3,0,0,0,0,3,23,11,9,42,0,88,58,15,19,32,0,117,62,49,33,22,3,163,46,14,4,34,0,94,16,6,0,18,0,37,286,218,160,2594,32,3285,4,0,0,0,0,6,38,4,6,12,0,62,37,0,3,28,0,67,12,0,0,0,0,12,0,0,0,0,0,3,45,0,8,0,7,53,34,7,13,101,0,158,652,197,121,368,18,1354,40,21,16,227,2035,2337,3095,1645,1046,20185,2434,28407
1018,37,395,248,4621,138,5438,0,5,0,75,0,83,82,4,0,18,0,103,15,0,0,6,0,20,60,30,3,36,3,130,517,339,225,3910,128,5118,69,0,27,3,0,95,16,3,0,18,0,46,66,40,11,283,5,412,26,11,3,22,5,64,16,3,0,6,0,23,52,9,0,4,0,62,95,88,43,1202,45,1476,71,14,12,128,0,234,3,0,0,0,0,3,13,3,0,9,0,26,6,3,0,0,0,11,15,12,0,19,0,47,18,3,5,7,0,33,34,11,11,7,0,63,32,14,0,16,0,61,3,3,0,3,0,9,158,133,85,1070,45,1486,10,0,0,0,0,10,7,5,3,0,0,14,24,0,3,3,0,37,5,0,0,0,0,9,0,3,0,3,0,6,24,0,5,0,0,38,23,15,5,47,0,98,283,55,50,98,9,487,28,3,4,140,1281,1465,1483,695,447,8628,1565,12818
1019,132,937,737,8381,291,10481,0,3,0,109,0,112,98,6,13,35,4,165,37,11,5,15,0,70,173,45,35,89,3,353,1545,827,687,7350,207,10623,96,3,17,3,0,122,61,10,12,62,0,144,228,97,53,680,13,1071,31,10,6,50,0,100,29,8,0,9,0,48,72,10,5,4,3,96,281,192,123,2044,41,2680,129,53,20,266,7,480,33,0,0,0,0,38,27,15,0,19,0,68,6,0,3,3,0,14,62,23,13,59,0,163,76,34,19,14,0,141,114,64,37,34,12,260,60,12,10,38,0,114,32,12,7,12,0,65,400,217,181,1834,39,2678,20,0,8,0,0,21,75,10,13,3,0,104,53,9,10,13,0,86,12,0,3,7,0,20,8,3,3,0,0,14,8,0,0,0,0,12,39,13,10,86,0,160,805,146,123,262,22,1360,38,9,11,153,979,1191,3741,1627,1276,15516,1514,23679
1020,34,296,227,5040,116,5725,0,0,0,50,7,59,38,3,4,21,0,69,16,0,0,4,0,26,54,17,12,59,0,141,384,261,197,3667,93,4612,53,0,7,4,3,68,6,0,0,24,0,28,65,13,23,366,10,483,29,8,3,31,0,63,7,3,0,9,3,23,49,0,3,6,0,56,57,65,40,1209,18,1397,41,22,6,105,0,174,10,0,0,4,0,13,7,3,7,5,0,21,0,0,0,0,0,0,10,3,6,16,0,37,15,7,8,6,0,39,38,21,8,12,0,84,8,14,3,10,0,33,3,0,0,10,0,13,90,58,46,807,20,1023,6,0,0,0,0,7,30,3,6,0,0,36,14,0,3,9,0,23,0,0,0,0,0,3,3,0,0,0,0,8,17,0,0,0,0,17,10,3,6,32,0,55,168,39,34,84,4,332,24,3,3,124,888,1037,1073,500,385,8653,1112,11728
1021,27,264,225,5045,88,5643,0,3,0,82,0,86,68,3,3,22,0,94,5,0,0,3,0,13,46,13,8,41,3,115,327,237,185,4048,85,4884,96,3,19,6,0,132,12,3,0,15,0,35,41,25,12,390,5,476,10,4,0,25,0,39,8,0,0,5,0,12,92,9,3,11,0,111,87,60,29,1055,16,1250,32,19,12,108,0,178,3,0,7,0,0,5,8,0,0,18,0,24,0,0,0,0,0,4,4,0,5,9,0,19,49,9,3,9,0,78,40,26,20,14,3,105,17,13,6,14,0,45,5,3,0,3,0,10,93,79,41,866,18,1090,4,3,0,4,0,15,21,0,0,0,0,22,9,5,0,7,0,26,18,0,0,0,0,18,3,3,0,0,0,7,0,0,0,0,0,0,17,11,4,36,0,65,260,40,48,102,3,449,16,0,4,123,932,1071,1175,484,371,8932,1112,12075
1022,122,946,718,8438,195,10425,3,3,0,86,0,89,109,4,9,38,0,161,104,15,3,56,3,183,219,43,41,81,3,391,2092,944,661,7988,184,11882,93,11,23,3,3,142,79,12,10,68,3,165,288,94,53,660,12,1115,99,19,10,49,7,182,43,5,0,14,0,59,50,14,0,0,0,68,416,177,142,2433,39,3209,222,76,20,273,13,596,32,0,3,0,0,38,16,9,3,20,0,52,7,0,5,0,0,15,110,24,18,55,0,207,44,19,11,8,0,84,100,53,27,37,0,222,107,11,16,56,0,196,45,4,5,17,0,71,469,246,161,1961,36,2868,16,3,4,7,0,32,65,6,10,6,0,91,50,13,0,24,0,85,7,3,0,3,0,14,15,6,3,4,0,30,28,0,0,0,0,28,126,25,19,114,3,294,687,161,127,256,21,1247,35,7,5,158,1936,2144,4758,1739,1220,16681,2352,26748
1023,1539,14908,10665,168449,2944,198514,9,127,41,2160,31,2369,4663,221,377,906,76,6242,676,172,65,243,5,1152,1933,890,549,2021,50,5443,17351,14172,10036,154550,2808,198922,2006,94,698,101,38,2928,527,159,142,1188,25,2041,3259,1518,1024,13768,227,19800,1311,420,145,1307,27,3202,437,133,62,222,9,866,3014,136,86,148,26,3413,3742,3167,2109,46557,686,56258,2812,1151,393,5079,97,9528,681,8,52,37,8,790,212,79,45,305,0,641,1765,279,121,638,24,2833,429,185,101,600,9,1322,738,317,199,268,14,1547,1092,767,593,463,21,2939,2006,441,298,1549,37,4335,496,101,90,378,8,1077,5337,4165,2893,40747,600,53747,417,54,38,97,3,616,728,178,124,113,9,1157,677,120,59,475,16,1349,368,39,49,45,4,502,120,24,6,14,0,174,755,26,57,15,8,863,967,575,305,2859,47,4758,13182,3018,2180,5222,233,23844,621,198,146,3687,22188,26826,60549,27904,19566,326632,28406,463052
1024,152,1325,962,13125,263,15827,0,17,3,377,13,408,205,11,27,69,8,324,45,16,7,18,4,97,212,70,56,145,10,499,2066,1274,970,10403,278,14992,179,11,55,14,0,263,49,16,17,67,3,144,303,111,67,880,28,1386,77,24,13,118,0,230,66,12,5,22,0,112,195,16,3,19,0,237,338,247,164,3166,70,3977,173,83,34,339,14,639,25,3,0,4,0,36,21,11,0,27,0,64,17,0,3,3,0,27,77,23,11,87,7,197,60,26,10,22,0,115,83,76,37,31,4,233,97,28,13,42,0,175,33,3,5,17,4,70,476,295,226,2322,63,3372,13,0,0,7,0,23,39,10,6,3,0,63,65,4,7,43,0,117,28,4,3,4,0,39,9,3,0,4,0,24,31,10,0,0,0,45,98,23,18,102,3,251,868,213,134,333,26,1573,59,20,17,253,3066,3411,5060,2330,1668,23061,3675,35795
1025,89,968,616,14613,334,16618,0,7,3,261,4,273,293,19,12,103,4,427,54,28,0,24,0,101,195,66,41,158,3,463,1125,982,668,13035,311,16120,188,10,40,8,6,245,30,11,10,95,0,152,204,87,60,1101,32,1486,71,17,7,46,0,147,47,8,6,24,3,77,497,17,3,11,5,537,257,206,168,4644,75,5353,252,85,42,482,13,874,74,4,0,8,0,84,29,14,7,34,0,79,14,5,3,0,0,25,24,16,11,48,0,97,55,27,7,19,9,115,82,40,41,46,3,215,106,9,22,66,3,201,81,18,15,35,0,152,329,248,163,3089,52,3878,22,9,6,8,0,43,85,5,7,3,3,105,44,6,4,27,0,83,42,3,0,0,0,47,24,3,0,0,0,21,40,0,8,3,0,49,56,13,20,150,13,251,1146,196,101,383,14,1837,47,22,9,363,2160,2603,4656,1860,1204,28165,2858,38741
1026,23,220,173,4680,104,5205,0,3,0,79,0,86,51,3,0,17,0,70,6,3,0,5,0,13,57,16,9,51,3,133,211,180,154,3821,112,4475,69,0,8,3,7,92,10,3,0,24,0,37,26,17,8,327,11,390,8,4,0,11,0,16,0,0,0,3,0,8,31,0,0,0,0,40,44,47,20,1216,16,1350,16,9,0,72,0,105,9,0,0,0,0,9,3,0,0,15,0,21,0,0,0,0,0,0,3,5,4,16,0,28,8,3,3,6,0,19,22,12,13,13,0,57,17,7,0,14,0,41,4,0,0,0,0,12,66,51,20,740,17,894,0,0,0,0,0,0,16,3,0,0,0,20,12,0,3,9,0,22,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,0,7,8,0,4,31,0,50,184,51,24,73,8,331,5,10,0,194,844,1052,763,387,282,8484,1072,10977
1027,166,1579,1110,15536,330,18727,0,9,9,196,5,222,247,20,34,99,10,403,54,7,6,20,0,91,333,90,66,150,14,653,3158,1546,1098,14347,358,20500,182,8,40,4,7,236,107,19,16,143,3,298,383,109,90,1248,20,1853,50,30,13,93,8,186,68,30,11,28,3,132,234,8,7,23,3,270,667,375,264,4928,102,6325,228,126,42,466,15,875,40,0,3,0,0,45,18,14,0,34,3,72,12,0,0,0,0,20,83,24,19,85,0,214,59,27,11,24,0,126,158,82,66,44,3,353,97,27,13,62,3,202,63,10,10,19,0,108,753,360,292,3487,63,4963,19,3,0,5,0,27,99,21,16,9,0,156,85,22,17,60,4,180,29,3,0,3,0,34,13,0,0,0,0,16,63,0,5,3,0,78,107,36,25,136,0,301,982,246,184,415,26,1845,75,11,9,336,2514,2941,7009,2843,2007,30246,3273,45379
1028,48,434,384,6691,88,7648,0,9,0,64,0,74,81,0,10,19,0,109,3,0,3,3,0,8,94,34,19,59,0,208,637,364,335,5412,111,6857,125,0,26,0,0,152,15,3,6,47,0,74,85,33,32,624,8,790,7,6,0,25,0,42,13,6,3,10,0,30,39,3,3,8,3,55,143,55,81,1539,12,1841,42,19,12,138,3,213,13,0,5,0,0,13,11,0,0,7,0,18,0,0,0,0,0,0,18,4,5,23,0,50,70,15,14,15,0,114,72,35,26,26,7,167,19,5,12,40,0,75,12,0,3,4,0,25,187,104,84,1282,12,1677,8,0,0,0,0,6,48,0,6,3,0,64,25,3,0,16,0,37,15,0,0,0,0,15,9,0,0,0,0,7,28,3,3,0,0,32,9,14,3,56,0,89,241,64,43,125,8,472,22,9,3,137,891,1061,1684,722,641,11950,1089,16089
1029,101,739,438,6365,146,7795,0,7,3,137,3,149,47,9,6,36,6,96,88,12,8,11,0,119,116,33,12,65,0,237,1396,680,432,5165,156,7835,51,5,10,7,3,80,25,12,4,47,0,87,195,38,36,405,15,691,117,10,5,37,3,177,50,3,3,9,0,76,44,3,0,4,0,56,273,122,95,1682,39,2216,165,54,19,200,10,442,0,0,0,4,0,3,10,7,0,4,0,25,14,0,0,8,0,21,106,28,17,57,4,204,37,17,10,16,0,77,63,34,16,9,3,120,82,13,4,29,0,130,42,9,3,8,3,58,316,182,112,1266,28,1903,13,3,3,0,3,27,22,6,3,4,0,40,49,3,8,14,0,75,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,10,69,20,9,59,3,162,465,135,68,186,16,877,48,12,5,121,916,1102,3322,1286,788,11532,1270,18197
1030,58443,134176,97644,671733,12862,974866,212,850,378,7620,184,9249,452623,6524,10974,9549,3731,483407,24384,3111,1882,6390,308,36080,20386,6085,3591,9229,318,39613,274375,108523,77238,584480,13564,1058183,89311,2084,6408,1064,894,99755,18281,2370,1608,6769,289,29321,42033,10131,7127,49340,1183,109819,67327,11172,5961,29293,1165,114919,12014,2039,1089,2643,147,17929,184059,2726,2349,1382,1086,191597,70633,30513,21136,242692,3751,368721,98892,23333,10896,58913,1964,193997,60741,384,1170,389,285,62980,107208,20764,9436,20015,1661,159081,19073,2118,1215,3157,189,25751,26085,6433,3650,16127,489,52783,16958,2431,1537,956,371,22265,20470,6417,4780,2478,287,34431,23983,3195,2457,5751,247,35626,19442,1462,1404,2638,311,25257,60390,25830,18984,160987,2737,268927,18877,1591,994,1748,275,23486,20544,2376,1794,712,139,25562,31451,1756,1508,2558,340,37620,21563,773,619,389,122,23464,20018,1965,1142,1346,227,24702,99252,1197,2300,993,1226,104969,9126,2363,1529,8042,148,21210,638689,42346,33388,38741,6843,760012,24881,2195,1668,11394,242025,282164,2315730,281661,200309,1360777,288329,4446805
1031,105,858,618,17673,373,19626,0,7,0,440,7,455,327,17,13,123,8,495,10,10,3,9,0,30,110,46,21,107,0,296,882,758,535,13686,350,16216,368,3,24,3,4,401,36,9,13,116,5,176,121,74,50,1501,23,1769,32,7,6,52,0,96,19,3,4,10,0,36,278,10,3,13,3,306,181,177,114,4210,72,4757,66,46,16,344,9,480,149,0,8,0,0,157,31,12,3,33,0,80,3,6,0,0,0,10,21,17,7,53,0,100,74,24,15,23,0,150,62,56,29,47,6,200,39,6,7,43,0,95,25,3,3,17,0,44,251,198,141,3299,54,3942,3,0,0,9,0,9,71,10,10,10,0,98,37,3,3,23,3,64,32,3,0,0,0,31,0,0,0,0,0,3,63,0,3,0,0,69,29,25,14,128,0,198,809,143,102,295,13,1363,36,5,5,450,2754,3259,3598,1495,1036,31393,3487,41006
1032,78,664,415,10686,276,12113,0,7,5,366,4,389,99,7,11,48,0,173,11,3,7,12,0,28,125,36,17,69,3,253,945,622,370,8923,265,11126,118,3,25,3,3,159,29,10,10,46,0,100,126,65,28,755,20,1003,20,9,4,38,0,77,20,3,0,12,0,33,133,10,0,7,4,150,171,133,67,2157,45,2571,55,31,21,254,3,360,20,0,0,0,0,27,13,4,6,16,0,47,0,0,0,0,0,3,41,23,3,48,5,112,19,20,0,22,0,62,34,30,21,19,0,107,31,8,3,32,0,70,17,0,0,3,0,22,242,164,87,2079,50,2629,3,0,0,3,0,6,27,9,3,3,0,41,23,0,0,12,0,38,20,0,3,4,0,29,3,0,0,0,0,3,11,0,0,0,0,11,20,11,5,49,0,87,422,91,68,183,12,784,21,21,5,280,1572,1905,2375,1204,714,19433,2132,25852
1033,56,540,401,5184,135,6322,3,3,0,71,3,74,49,5,12,53,3,121,39,5,7,3,0,47,86,26,15,41,3,173,1070,501,372,4695,137,6774,42,7,14,0,0,64,18,10,6,34,0,69,158,41,24,327,0,552,37,14,5,38,0,99,19,6,3,5,0,31,34,4,0,3,0,39,195,92,69,1469,29,1853,164,66,22,256,6,510,3,0,3,0,0,7,5,0,3,4,0,14,4,0,0,3,4,12,53,13,5,30,0,104,14,7,3,3,0,29,37,29,13,14,0,96,43,8,8,14,0,70,22,4,9,6,0,32,258,139,117,1192,30,1738,21,0,0,0,0,23,30,6,5,7,0,45,28,0,0,16,0,47,3,0,0,0,0,3,0,0,0,0,0,3,24,0,4,3,0,32,38,11,15,63,0,121,300,70,69,167,8,618,31,11,10,132,950,1120,2377,947,725,9977,1250,15278
1034,155,1252,875,20531,363,23183,0,14,3,382,8,409,494,21,37,127,0,682,33,3,13,33,0,87,211,82,62,253,9,614,1356,1228,866,17916,306,21664,383,4,48,23,0,458,59,22,14,163,3,271,269,121,106,2371,31,2894,86,24,8,133,0,254,34,6,6,24,0,71,771,7,11,18,0,811,317,304,243,6963,102,7922,165,108,39,665,11,986,62,0,10,6,0,71,26,12,7,47,3,88,3,0,0,8,0,12,36,11,10,71,0,131,62,17,10,28,6,123,76,58,52,41,5,229,78,21,26,82,3,210,34,3,0,13,0,49,409,297,228,4763,67,5766,21,0,0,3,0,27,122,15,22,3,0,167,74,3,3,50,0,130,101,0,7,6,0,110,3,0,0,0,0,4,65,0,9,0,0,76,45,25,16,150,0,239,2095,265,140,483,36,3019,82,17,13,549,2593,3258,6586,2334,1638,40516,3341,54411
1035,1972,11578,8420,79488,1655,103118,4,96,48,1055,14,1222,4960,119,189,442,51,5764,1604,267,154,485,37,2539,2160,696,442,1442,49,4789,19398,10502,8116,65731,1576,105330,1556,78,328,69,41,2072,576,108,120,664,15,1477,3490,1140,812,5722,160,11326,2106,459,241,1235,61,4101,647,125,57,242,17,1087,2213,84,66,88,23,2471,3896,2273,1667,22678,395,30917,7039,1779,854,5443,214,15322,428,14,23,20,3,484,1289,265,177,341,26,2100,6368,705,371,1313,110,8865,1564,466,235,1155,34,3453,751,175,150,139,27,1232,864,490,356,257,25,1989,1285,245,167,541,26,2268,410,48,67,177,14,707,5340,2776,2098,17080,299,27595,1769,193,113,250,35,2360,473,116,85,37,12,723,1992,268,190,534,42,3033,330,18,21,22,6,399,1225,154,77,82,16,1562,1265,45,53,40,10,1410,1157,342,259,958,24,2744,15813,2482,1905,3275,297,23766,725,143,97,1463,12755,15184,80422,22395,16335,149584,16945,285678
