SUA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
1020,21,22,31,35,71,101,54,215,6,556,36,55,79,104,114,113,75,170,11,760,25,34,36,52,141,190,141,267,12,896,20,85,91,110,99,42,30,45,8,525,20,54,87,89,96,87,40,44,4,519,25,118,78,82,97,50,32,46,5,531,23,23,28,27,94,98,141,188,0,635,21,135,85,81,84,65,29,54,18,559,3,6,0,7,8,4,3,8,23,63,185,532,509,591,811,746,543,1041,82,5040
1021,14,17,13,18,58,48,43,136,0,351,24,34,48,56,103,97,72,122,3,565,23,32,39,50,211,171,208,253,15,1011,28,76,85,106,68,48,31,30,8,471,17,43,72,73,133,77,40,29,3,485,25,108,65,66,74,48,18,9,4,426,37,28,41,52,142,122,202,235,19,887,19,131,83,74,117,74,44,53,8,603,3,3,3,6,4,5,9,9,33,71,197,466,455,500,910,689,672,880,96,4860
1022,31,54,77,98,195,244,167,363,10,1232,74,180,192,220,310,323,147,233,8,1677,57,99,100,157,379,436,194,258,34,1712,74,289,256,261,196,115,87,74,22,1377,48,180,180,196,261,196,68,80,8,1222,41,356,207,166,153,95,67,75,12,1173,21,43,45,54,90,85,66,105,7,528,56,278,156,145,116,167,41,78,26,1068,4,12,8,11,30,19,5,19,61,169,417,1485,1226,1305,1729,1674,843,1279,189,10151
1023,521,643,806,1232,3176,4207,2850,6246,183,19870,1880,3446,4835,5089,7853,9240,4329,6399,359,43427,837,1432,1682,2163,7272,8300,4004,5091,399,31179,985,4770,4137,4768,4047,2508,1440,1231,390,24274,1115,2927,3850,4049,7296,4471,1910,1599,225,27450,815,5904,3389,2980,2912,1852,965,1201,244,20261,541,921,852,974,3029,2956,2302,3074,201,14862,748,4839,2844,2739,3266,3017,1165,1432,363,20408,155,202,133,178,480,432,172,339,867,2965,7604,25079,22524,24166,39340,36986,19139,26611,3239,204697
1024,28,57,56,89,253,253,193,429,26,1387,96,194,244,281,395,423,226,321,20,2204,67,100,112,152,525,556,457,329,39,2328,90,325,311,399,358,208,156,157,31,2027,61,203,228,237,432,212,82,81,7,1547,53,464,219,231,211,118,83,84,42,1518,28,64,67,74,166,128,111,158,16,819,69,388,227,199,255,167,102,115,47,1567,9,16,14,14,25,28,5,22,74,214,501,1819,1485,1671,2618,2094,1411,1697,306,13603
1025,56,68,59,107,265,350,251,618,19,1794,147,204,335,372,676,810,399,611,34,3579,65,115,102,153,552,550,382,538,27,2487,82,321,262,367,422,251,120,128,35,1994,81,193,265,313,638,364,155,188,18,2216,56,409,220,239,277,185,114,135,27,1657,40,59,56,75,163,143,164,419,32,1163,69,394,245,230,290,251,127,163,38,1805,7,24,12,16,46,30,15,28,68,244,619,1785,1552,1877,3327,2941,1720,2828,298,16944
1026,18,21,23,33,72,85,83,173,3,508,27,52,64,75,112,126,96,118,8,669,22,22,24,51,171,136,121,143,17,703,28,78,77,95,96,57,29,33,11,499,30,64,57,74,157,64,38,30,5,530,24,131,57,69,73,40,27,30,8,454,23,25,22,25,77,49,132,123,10,480,23,87,50,68,67,57,34,35,7,439,0,4,10,10,7,3,3,9,35,84,184,483,385,498,840,619,569,697,100,4376
1027,50,73,75,141,329,398,250,570,19,1904,134,286,384,514,704,860,361,587,25,3863,71,171,138,242,533,596,259,402,39,2446,92,453,348,520,411,207,133,116,29,2319,82,254,302,423,665,369,154,161,25,2428,67,571,260,302,328,194,103,152,33,2009,34,83,70,89,148,96,77,136,14,744,63,461,233,269,238,174,75,126,37,1671,11,23,17,15,37,31,5,28,78,237,598,2369,1815,2529,3395,2925,1426,2284,289,17633
1028,21,19,17,37,61,98,91,317,10,662,32,61,88,104,124,150,128,247,4,943,40,44,55,60,261,223,256,352,21,1314,30,170,148,137,91,95,108,195,21,994,15,109,122,116,186,133,79,72,8,830,23,203,105,95,80,46,28,42,11,634,66,43,67,88,217,197,276,383,26,1357,16,192,85,104,106,87,39,56,21,709,0,3,11,11,13,13,9,29,42,118,237,837,687,753,1134,1049,1020,1691,161,7570
1029,28,34,28,46,104,122,80,190,6,643,52,100,139,144,185,167,81,126,8,1003,28,70,57,111,230,250,159,144,22,1082,49,147,157,195,168,82,59,65,13,940,37,93,97,100,208,72,49,38,3,704,25,178,115,101,113,55,26,41,13,667,9,34,23,26,68,66,47,54,5,335,20,175,110,114,104,85,38,34,9,689,11,11,4,7,23,7,5,8,45,119,252,840,733,856,1205,896,550,697,135,6170
1030,6743,8396,12042,15718,42962,73244,39875,91255,2858,293106,17751,39436,45554,46461,104214,151846,60163,97327,5293,568039,4954,13050,17886,17661,50321,64520,27994,38033,4684,239111,6660,38237,36256,31130,32918,24411,11885,13308,3651,198451,9294,29620,36816,34385,82815,66208,22807,23575,3263,308774,5604,42832,30420,22241,29354,27305,11277,16304,2888,188239,2755,7435,9115,9949,29771,23952,11882,19924,2772,117556,3977,28287,26851,18137,30362,23212,8971,11173,3743,154717,1385,3000,2677,2360,6382,6917,2032,4018,12667,41437,59136,210295,217626,198034,409099,461614,196885,314916,41816,2109429
1031,56,43,67,99,324,313,270,615,21,1808,134,184,277,364,668,746,368,533,36,3317,69,115,123,152,663,590,341,426,43,2533,84,309,293,402,425,191,116,126,34,1973,78,193,236,284,646,380,151,161,19,2144,85,451,260,274,336,183,139,156,28,1900,37,63,60,92,216,206,157,275,37,1149,64,439,263,360,473,650,176,138,51,2618,13,15,5,17,40,33,15,30,106,269,605,1820,1587,2043,3788,3300,1736,2452,365,17701
1032,26,36,33,46,156,149,105,226,11,778,46,103,136,198,272,264,96,153,15,1274,45,57,66,97,322,281,125,154,19,1169,43,183,188,290,204,100,44,67,24,1148,43,122,101,181,240,123,52,51,11,927,45,286,179,201,192,84,72,55,28,1144,31,49,41,60,120,85,77,145,6,615,138,253,200,187,191,164,61,73,34,1304,8,16,7,7,13,8,3,9,60,141,421,1106,952,1265,1704,1249,642,944,212,8499
1033,26,41,42,54,85,121,60,182,7,608,49,106,110,115,120,138,67,152,6,870,24,50,73,97,168,232,82,125,13,881,36,174,123,149,113,54,35,32,18,729,17,113,84,115,126,71,16,31,4,585,33,185,125,108,99,52,41,41,13,695,6,33,23,29,48,43,20,46,7,249,29,191,100,88,86,59,31,40,17,645,3,8,9,0,13,3,3,9,35,73,227,902,685,766,850,774,346,653,124,5336
1034,71,93,89,128,449,568,401,891,18,2710,237,300,444,519,1174,1097,590,868,44,5273,90,184,185,246,1045,1030,494,629,54,3955,164,558,466,573,628,341,203,425,60,3420,130,269,375,488,978,513,245,200,23,3216,92,795,341,385,422,262,193,225,46,2765,34,72,93,104,286,267,162,320,30,1363,76,539,331,341,556,481,143,151,57,2675,12,32,19,21,50,38,20,45,91,319,909,2829,2336,2800,5580,4612,2451,3750,425,25687
1035,345,417,553,822,2065,2831,1749,3809,121,12717,1164,2257,2869,2983,4960,5547,2538,3656,206,26183,566,872,1079,1362,4444,5305,2404,2852,294,19176,698,3123,2700,2757,2537,1659,996,855,214,15537,637,1927,2438,2487,4567,2609,1026,941,135,16753,418,3467,2024,1627,1723,1088,537,725,136,11742,307,574,509,534,2028,1457,1211,1710,139,8477,462,2614,1641,1547,1768,1580,587,930,210,11332,76,132,136,143,312,274,111,174,589,1936,4669,15384,13953,14254,24398,22348,11150,15649,2046,123844
2000,2004,3283,2975,4277,4837,9110,5407,22614,1039,55538,2406,4031,6034,6839,6449,7354,3988,6171,449,43703,1687,3049,2982,3784,8672,11433,4895,7220,841,44563,2030,6167,5508,6238,4155,3314,1681,2075,618,31792,1424,4423,4900,5079,6204,4479,1760,1899,340,30499,1003,7115,3680,3472,3230,2248,1338,1723,449,24258,1010,1147,1245,1473,3538,3867,2665,5128,435,20506,1793,8507,4584,4892,5933,5764,2774,3531,943,38728,468,380,298,324,531,628,222,564,1798,5201,13820,38090,32199,36374,43541,48206,24740,50921,6901,294791
2001,27,33,37,49,142,228,147,345,11,1035,64,130,167,188,268,288,167,200,10,1472,47,58,75,101,288,457,217,287,27,1536,40,195,165,185,161,158,57,91,16,1072,61,128,158,196,340,275,95,89,16,1359,38,317,117,96,94,84,50,72,10,878,27,25,51,64,178,197,112,265,20,937,24,216,89,84,111,145,81,71,21,849,3,8,6,5,16,36,13,18,50,168,324,1110,872,972,1602,1862,937,1440,190,9307
2002,14,40,33,58,80,135,68,195,11,628,50,74,106,136,165,149,78,124,7,894,25,37,50,64,220,196,98,168,16,867,51,113,145,179,114,64,37,37,14,747,44,87,86,110,148,94,32,42,7,651,34,185,95,91,88,76,46,55,8,680,13,17,30,34,64,48,47,105,8,360,44,152,104,152,139,81,59,46,18,803,11,12,6,11,4,5,8,3,38,99,285,718,658,831,1012,857,471,775,120,5729
2003,129,188,197,316,728,915,689,1443,46,4643,430,800,1080,1339,1675,1806,1036,1347,77,9591,149,372,311,481,1460,1764,783,915,92,6324,304,1261,930,1054,767,538,280,311,95,5536,227,656,764,869,1412,848,394,307,51,5520,210,1536,686,585,637,429,255,296,76,4721,82,138,146,185,450,427,336,491,36,2290,176,1113,602,600,811,493,339,304,89,4533,35,57,35,60,94,86,42,65,203,680,1741,6126,4752,5482,8033,7305,4156,5479,772,43841
2004,132,150,210,328,687,813,644,1234,51,4247,448,648,929,1258,1685,1583,856,1114,59,8571,185,324,303,449,1412,1495,763,894,90,5916,309,1097,834,1056,737,575,264,287,68,5219,235,609,673,817,1367,734,378,295,56,5169,178,1496,679,561,632,353,254,254,58,4467,83,158,133,182,488,453,323,493,56,2379,205,1178,606,627,1012,649,358,285,85,5005,36,67,50,53,82,74,28,53,178,616,1814,5725,4404,5330,8101,6715,3870,4923,710,41593
2005,23,24,18,36,78,104,80,177,9,546,24,35,80,81,126,104,82,83,5,626,26,54,44,51,192,156,111,108,10,756,22,145,103,160,148,48,20,44,12,695,20,82,81,78,126,65,34,30,4,528,23,183,75,74,95,42,28,27,10,562,12,21,16,23,73,57,59,132,7,416,38,188,136,180,244,135,79,59,28,1083,4,11,10,8,11,7,8,4,45,106,205,747,566,688,1089,721,500,657,128,5312
2006,43,50,53,63,153,225,155,428,6,1174,58,105,167,197,245,281,152,194,9,1421,40,53,61,100,301,338,192,225,23,1334,71,194,177,227,190,131,69,70,14,1149,32,127,123,156,228,128,52,66,12,921,62,291,141,156,132,105,66,88,15,1050,23,30,37,45,88,96,82,133,16,549,46,249,117,149,218,129,92,112,25,1145,9,9,3,5,10,6,8,9,64,121,395,1100,890,1095,1579,1443,861,1323,186,8863
2007,406,521,604,850,1800,2607,1701,3718,118,12338,1072,2131,2826,3137,4126,4725,2470,3312,182,23962,470,972,921,1278,3535,4630,1990,2453,252,16507,698,3075,2432,2621,1913,1667,765,833,226,14213,574,1714,2015,1955,3192,2170,910,858,132,13517,447,3678,1817,1518,1471,1068,570,808,156,11537,237,436,430,466,1281,1370,781,1197,118,6315,399,2878,1437,1402,1759,1583,535,836,222,11048,98,160,93,144,234,285,76,168,546,1799,4399,15566,12579,13355,19304,20103,9798,14167,1958,111234
2008,39,55,84,85,138,320,210,523,16,1468,119,225,287,330,346,439,208,374,23,2354,41,83,75,112,299,412,197,314,24,1550,51,248,186,172,111,142,88,75,14,1101,50,183,228,207,286,219,108,118,16,1415,34,251,120,97,103,76,53,75,10,818,9,31,34,28,64,92,53,103,7,416,29,182,76,56,71,92,43,53,9,613,6,14,8,13,9,17,4,16,37,123,384,1268,1096,1091,1426,1824,968,1652,155,9860
2009,27,45,39,80,143,199,128,258,17,936,63,83,148,192,260,277,143,179,10,1351,32,64,57,77,269,263,150,138,13,1069,61,151,133,184,123,107,37,54,21,877,32,104,127,135,249,138,59,52,13,896,42,229,128,119,164,100,60,49,6,901,25,38,22,20,87,61,58,104,11,427,29,244,108,104,129,82,30,50,21,806,4,8,0,8,21,16,0,6,38,96,312,974,760,922,1438,1253,670,897,147,7364
2010,6608,8730,11602,17108,41159,64044,37792,80855,2658,270564,17659,39703,45735,54562,93692,125853,55922,79247,4597,516976,5777,13972,16847,19955,58369,69990,29396,35382,4542,254234,7933,45444,36392,36493,31591,22795,11278,12539,3678,208149,9147,30221,34943,35943,72909,56805,21179,18952,2914,283011,5989,56077,30430,23920,28453,23772,11325,15564,2992,198523,2869,6811,8390,10046,29543,23881,12305,16019,2484,112338,4370,35022,25645,19844,32450,22908,9116,10312,3607,163277,1372,2774,2132,2218,5255,5438,1721,3187,11115,35208,61717,238761,212122,220080,393418,415480,190036,272063,38591,2042271
2011,74,66,78,139,453,513,296,541,32,2193,124,179,251,319,660,635,273,347,25,2817,104,141,155,268,990,1207,489,543,75,3967,133,471,450,620,567,454,159,222,54,3126,156,273,395,470,1064,832,307,262,53,3809,102,692,382,358,432,282,135,155,46,2583,102,144,147,220,746,704,402,614,61,3138,82,515,295,349,594,440,190,226,51,2742,16,38,18,30,74,84,23,45,173,500,885,2524,2177,2766,5595,5156,2269,2955,550,24867
2012,71,141,104,174,380,563,351,895,46,2736,144,203,360,439,761,651,344,505,29,3436,68,155,123,214,683,749,312,493,58,2852,139,380,379,516,467,260,135,136,42,2436,80,268,260,403,689,428,148,141,27,2443,95,721,303,335,406,197,127,152,31,2367,48,73,77,72,262,284,171,368,36,1394,91,554,323,367,488,388,159,213,66,2644,23,23,11,37,43,32,16,35,143,363,767,2523,1934,2557,4188,3553,1763,2921,476,20681
