SUA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
1000,2017,1082,636,158,242,40,4185,582,206,148,58,115,18,1119,1258,541,433,206,254,36,2730,1115,637,456,201,268,24,2698,1918,1452,883,462,431,46,5186,2435,2375,1199,616,518,68,7205,2595,2880,1237,605,527,46,7888,2890,3767,1364,656,552,53,9276,2180,3510,1111,506,383,38,7727,2250,3857,1228,499,362,36,8236,1421,2670,710,277,170,12,5267,2318,4179,1346,357,254,37,8482,850,1747,400,120,82,15,3211,588,1164,282,53,58,8,2155,1489,2893,819,202,143,17,5560,1865,3311,1003,226,141,15,6565,676,1087,330,59,51,4,2205,545,810,281,51,49,8,1745,1834,1645,856,318,306,59,5017,30823,39807,14739,5627,4907,559,96464
1001,112,64,49,10,12,0,246,43,15,10,4,6,0,83,92,40,33,16,19,4,201,60,47,32,7,24,0,170,137,103,64,46,47,4,401,211,215,112,53,53,8,659,262,356,121,75,53,9,878,351,505,168,101,81,10,1221,292,496,129,59,54,3,1032,302,548,163,50,42,5,1109,146,376,81,29,25,0,655,224,427,130,26,26,4,837,69,142,34,10,6,0,259,41,64,26,6,3,0,141,92,192,52,15,11,3,357,96,171,58,6,6,0,340,32,48,9,6,0,0,101,18,35,5,0,0,0,60,100,144,46,21,22,0,329,2674,3993,1327,539,468,62,9062
1002,28,11,16,0,3,0,57,10,3,3,4,0,0,19,9,14,4,3,3,0,35,16,5,4,3,3,0,32,35,17,14,11,12,0,87,45,35,14,13,8,0,108,52,73,27,20,11,0,180,67,84,21,22,17,0,210,55,86,25,10,10,5,198,37,111,34,9,7,0,197,30,55,15,11,3,0,111,48,72,18,6,3,3,147,7,34,6,3,0,0,51,5,18,0,0,0,0,24,19,37,18,0,3,0,82,22,61,13,5,3,0,109,10,14,7,3,0,0,29,9,17,0,0,0,0,28,24,23,9,7,5,0,68,520,764,247,128,94,13,1763
1003,34,17,11,0,7,3,69,12,3,0,3,0,0,23,34,7,10,0,6,0,56,20,5,4,0,3,0,30,17,11,11,4,11,0,58,47,24,16,8,5,3,105,38,36,28,11,5,3,119,52,35,21,23,16,0,152,43,39,21,14,10,0,134,55,72,31,13,11,0,185,30,62,19,6,13,0,135,69,106,24,12,12,0,220,24,45,10,5,7,0,96,6,28,3,0,0,0,44,50,87,19,5,5,0,168,46,92,17,8,0,0,161,19,23,10,3,0,0,64,12,16,3,0,0,0,36,27,21,13,0,6,0,77,626,735,292,122,125,10,1918
1004,35,3,3,3,3,0,55,20,0,3,0,0,0,23,17,3,7,0,9,0,32,18,4,3,3,0,0,31,33,10,4,3,3,0,54,36,21,9,12,9,0,84,35,26,16,6,13,0,93,37,41,22,8,10,0,118,40,46,14,11,6,3,117,44,42,19,11,10,4,123,20,37,11,7,6,0,80,45,51,18,7,0,0,121,17,22,3,0,3,0,48,5,13,4,0,0,0,18,19,22,7,3,0,0,52,30,20,3,3,3,0,54,4,7,0,5,0,0,23,3,3,0,0,0,0,7,23,16,14,5,3,0,55,483,380,160,83,81,11,1194
1005,43,25,19,3,4,0,95,9,3,8,0,3,0,20,28,9,13,4,9,3,63,7,12,8,3,3,0,40,38,18,26,10,4,0,105,47,56,34,19,22,0,178,75,89,38,33,25,3,260,87,124,50,31,31,0,335,92,170,35,26,19,3,340,97,209,47,38,17,0,407,77,166,37,8,11,3,304,105,209,55,24,19,0,415,32,99,19,7,0,0,158,23,55,12,0,3,0,102,55,156,44,11,4,0,270,43,114,30,5,7,0,199,19,29,11,0,3,0,68,6,13,0,0,0,0,27,30,46,18,9,7,0,105,925,1606,512,230,193,21,3485
1006,67,35,21,9,13,0,149,20,10,4,4,3,3,38,34,16,12,0,5,0,66,32,8,9,0,7,0,61,47,21,17,7,12,0,108,52,41,26,17,14,0,152,70,64,35,14,24,0,204,78,103,48,28,32,0,292,89,143,33,25,19,8,316,95,180,66,26,21,4,389,80,166,51,20,16,0,334,129,211,87,32,25,0,486,65,113,30,11,0,0,218,37,63,23,6,3,0,129,112,162,43,13,10,0,346,85,185,71,18,15,0,368,38,62,25,4,3,0,140,35,61,15,3,0,0,118,65,60,29,17,8,3,185,1241,1701,661,246,232,26,4099
1007,20,14,8,4,0,3,60,14,3,6,5,6,0,35,37,24,17,15,21,0,111,37,30,17,6,11,0,105,68,72,25,36,21,0,225,60,78,25,42,17,4,226,62,90,34,22,14,3,225,51,80,37,25,10,0,197,25,66,17,12,3,0,126,30,36,10,3,3,0,89,6,26,6,4,3,0,46,17,30,9,7,3,0,61,4,12,3,0,0,0,22,0,6,0,0,0,0,8,5,12,8,3,0,0,32,5,14,4,0,0,0,17,0,3,0,3,0,0,12,3,4,0,0,0,0,14,30,26,9,13,10,9,90,490,629,236,201,119,24,1700
1008,33,8,9,0,5,0,50,13,0,0,3,3,0,20,18,11,3,0,0,0,28,26,9,3,0,3,0,42,32,12,15,4,8,0,68,44,22,24,8,12,0,106,38,35,24,13,6,0,111,36,45,18,9,8,0,119,34,41,24,7,11,0,125,37,67,20,4,14,0,145,31,67,12,10,3,0,127,30,73,23,8,7,0,140,15,35,10,0,3,0,61,6,16,6,0,0,0,36,33,50,10,0,3,0,96,19,32,12,5,0,0,67,3,13,0,0,3,0,20,4,8,0,0,0,0,15,25,13,4,3,3,4,55,476,553,216,77,92,8,1423
1009,453,195,188,40,105,25,1000,146,67,59,16,42,5,337,254,100,175,32,82,12,655,215,98,105,41,77,10,536,352,236,259,69,143,10,1069,412,381,370,138,182,22,1501,550,618,421,174,218,19,2005,696,978,495,256,283,19,2713,724,1232,523,233,249,22,2975,877,1694,621,273,288,21,3763,658,1435,423,163,152,19,2842,1030,2231,804,243,216,25,4545,466,1082,250,91,55,8,1947,275,731,193,43,38,11,1297,645,1559,459,98,108,17,2886,680,1504,487,101,107,13,2886,231,417,151,32,19,3,861,163,249,109,17,19,3,560,362,486,270,91,124,13,1341,9175,15285,6356,2152,2489,258,35723
