SUA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
5008,0,3,0,0,0,3,11,7,13,171,44,15,225,23,5,27,254,136,9,402
5009,100,354,41,23,61,416,492,340,1242,22818,17496,1906,42224,2799,2348,5152,47377,25346,668,73391
5010,0,0,4,0,4,4,11,3,14,123,48,12,189,15,5,22,207,146,3,366
5011,3,4,0,0,0,6,4,3,12,128,103,21,250,14,22,42,295,196,3,492
6000,7,33,7,4,4,36,57,38,138,1191,1402,182,2770,184,165,350,3119,2507,92,5725
6001,0,3,0,0,0,6,20,7,35,304,308,39,655,57,49,111,765,626,12,1409
6002,0,13,0,4,4,10,24,8,45,335,378,47,755,44,54,101,854,725,18,1602
6003,10,42,3,7,10,56,84,44,182,2770,2590,271,5632,211,258,472,6104,3798,87,9982
6004,3,26,0,0,3,30,37,21,93,1007,1038,120,2168,126,114,234,2404,1585,44,4028
6005,0,3,0,0,0,7,9,3,16,161,170,20,348,22,23,41,391,283,9,678
7000,8,49,13,11,20,65,122,101,293,769,375,109,1247,217,95,310,1558,1715,145,3415
7001,3,4,0,0,0,4,11,19,32,421,148,35,602,20,16,38,639,268,23,928
7002,12,35,0,0,3,41,43,41,128,1910,632,144,2690,120,69,189,2876,1268,67,4212
8000,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,0,16,6,0,17
8001,12,60,0,0,0,64,79,41,181,6855,2948,473,10282,286,245,532,10812,4785,103,15697
9000,0,0,0,0,0,3,3,3,9,53,27,7,92,0,3,6,95,43,4,145
