SUA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
5005,645,757,920,496,664,561,592,700,90,5425
5006,1644,2628,2794,1875,2040,1605,1433,1857,292,16177
5007,1295,2115,3138,1368,1600,1154,2551,1281,269,14768
5008,855,1195,1848,694,1003,555,900,801,191,8040
5009,103642,202435,140382,98103,123172,82974,58681,80560,14665,904615
5010,624,892,1722,541,776,431,929,723,162,6797
5011,395,614,1091,576,599,453,474,647,73,4917
6000,9464,8133,9333,6901,6604,5250,5335,9210,1186,61417
6001,955,1533,1522,1361,1311,1193,861,1429,188,10348
6002,1156,1557,1802,1527,1357,1339,959,1712,190,11605
6003,10416,21202,11765,11577,13574,8858,3937,8158,1568,91048
6004,3883,7433,4909,4652,4734,4141,2302,3867,547,36473
6005,589,915,916,738,617,621,409,808,91,5693
7000,3060,4676,3773,3840,2925,1342,1715,3105,927,25367
7001,1520,3054,1548,2037,1778,880,522,982,283,12608
7002,7935,12919,10865,8300,9397,4800,3636,5555,1327,64731
8000,133,159,100,100,106,43,21,52,22,726
8001,35432,66261,22134,23783,38258,15621,5603,11834,5539,224464
9000,340,242,380,301,249,130,161,302,54,2170
