SUA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
1015,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,14,0,0,13,46,0,0,0,0,0,52,0,0,4,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,5,15,16,3,3,0,0,47,0,0,3,4,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,3,8,5,3,0,0,0,16,0,12,24,75,50,46,14,11,0,236,59,102,117,247,109,119,81,67,35,935,724,1275,1241,2573,1172,1065,672,512,217,9439,0,6,3,13,0,0,0,0,0,19,597,1030,841,1576,833,743,502,371,185,6682,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,10
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,3,11,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,8,14,7,0,46,28,86,75,133,106,127,86,55,21,715,454,1023,930,1662,886,950,833,421,150,7310,0,0,0,0,0,0,0,0,0,0,418,848,748,1280,723,862,690,392,263,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,7,7,8,0,0,49,0,3,0,10,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,3,3,0,0,14,0,9,23,37,13,20,16,9,0,130,38,95,169,243,141,178,139,71,41,1120,795,1801,1852,3180,1757,1859,1300,709,321,13578,0,0,0,0,0,0,0,0,0,0,708,1576,1624,2833,1567,1565,1145,803,498,12322,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,3,4,0,0,24,0,0,0,0,0,0,0,0,0,3
1018,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,13,0,0,0,16,3,3,0,0,0,23,0,0,0,0,8,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,21,9,9,15,9,0,66,35,44,58,127,68,78,86,55,17,564,389,714,803,1555,793,866,793,428,135,6475,0,0,0,0,0,0,0,0,0,0,342,590,585,1110,630,685,591,390,178,5099,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3
1019,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,7,4,6,5,0,6,3,0,33,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,3,3,9,0,0,0,3,0,0,0,0,0,7,0,6,8,30,26,26,21,22,12,159,22,45,51,139,82,112,102,77,35,661,661,1407,1416,2380,1454,1552,1405,931,366,11567,0,0,0,0,0,0,0,0,0,0,580,1241,1226,2007,1202,1269,1115,738,401,9780,3,3,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,18,0,0,0,4,0,0,5,0,0,11
1020,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,3,0,0,0,8,0,0,3,3,3,10,9,9,0,33,37,63,49,140,95,85,60,37,3,569,481,854,654,1521,741,614,471,301,96,5722,0,0,0,0,0,0,0,0,0,0,444,692,562,1260,611,483,447,293,163,4952,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,5,0,0,0,12,0,0,0,6,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,0,0,0,0,12,0,7,0,20,13,4,3,0,3,53,35,42,42,120,65,61,43,14,7,418,520,904,746,1792,871,684,434,185,46,6183,0,0,0,0,0,0,0,0,0,0,442,790,659,1329,645,507,369,204,78,5022,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,4,0,0,6,0,0,0,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,3,3,6,3,7,3,12,3,0,50,0,0,0,3,3,0,0,0,0,11,0,0,3,3,8,9,11,0,0,30,0,0,0,0,0,0,3,0,0,9,3,6,3,26,21,26,23,20,6,139,28,73,73,151,137,141,207,157,88,1061,568,1567,1315,2281,1642,1827,2146,1243,374,12961,0,0,0,0,0,0,0,0,0,0,527,1240,1145,1965,1325,1555,1570,820,396,10547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,4,5,16,9,3,4,0,0,41,0,0,0,3,4,3,3,3,0,12
1023,0,0,0,8,26,39,35,34,12,151,3,23,18,89,40,30,15,9,0,215,0,5,11,52,3,0,0,0,0,72,16,33,47,70,13,8,0,0,0,181,0,0,3,23,74,133,130,89,22,471,0,0,0,19,15,10,3,0,0,43,18,68,67,185,97,67,50,21,3,572,8,18,42,101,48,28,4,0,3,253,0,8,11,44,65,37,40,32,10,257,0,15,37,87,19,19,5,0,0,186,43,179,274,856,331,311,323,185,86,2577,493,933,1203,3011,1766,1641,1456,840,369,11718,15217,29388,30503,58856,29230,27712,21499,10866,3944,227212,20,24,31,40,6,0,0,0,0,123,13380,25672,26100,50186,25215,24090,17955,10605,5642,198848,3,4,8,79,15,3,0,0,0,115,0,0,3,25,22,21,26,10,0,106,0,3,6,33,10,10,3,5,0,65,9,25,36,173,55,35,26,8,0,366,0,3,9,28,23,17,13,0,3,98
1024,0,0,0,0,0,0,3,3,0,9,0,0,0,10,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,3,0,0,3,13,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,9,12,4,9,5,0,3,56,0,0,4,15,3,4,0,0,0,31,0,0,0,0,8,7,9,3,0,27,0,0,3,5,0,0,0,0,0,13,3,7,3,34,28,41,39,36,6,205,65,155,197,372,178,191,178,103,59,1500,1159,2315,2353,4380,2114,2195,1913,1019,375,17823,0,0,0,0,0,0,0,0,0,0,1040,2049,1888,3349,1666,1846,1400,751,379,14357,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,3,3,3,0,31,0,0,0,0,0,3,3,0,0,13
