SUA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
2017,0,38,328,1921,834,80,29,97,3326,0,36,160,34,0,0,0,14,248,0,3,5,0,0,0,0,0,11,0,40,169,34,0,0,0,14,259,0,101,203,30,0,0,0,21,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,104,203,30,0,0,0,27,360,3,8,3,7,0,0,0,0,26,0,8,6,18,9,0,0,10,54,10,188,711,2016,847,80,33,145,4026
2018,8,90,1441,7851,3380,375,64,320,13533,11,181,430,118,11,0,3,37,794,0,12,44,31,3,0,0,5,87,11,194,468,152,16,0,3,41,882,5,248,702,100,6,0,4,66,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,249,702,100,6,0,4,66,1132,0,27,34,10,0,0,0,10,69,0,7,17,12,3,0,3,13,60,32,568,2658,8122,3402,377,72,444,15676
2019,9,31,685,3559,1669,169,32,185,6335,3,170,640,122,10,3,3,52,1008,0,20,14,9,0,0,0,0,49,3,192,657,136,9,3,3,58,1054,0,8,37,4,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,37,8,0,0,0,4,64,4,4,3,5,0,0,0,3,28,0,0,3,7,0,0,0,3,20,17,243,1388,3708,1681,170,40,245,7495
2020,8,65,873,5538,3894,482,111,239,11215,0,33,350,117,8,0,0,23,529,0,23,3,8,0,0,0,0,36,0,55,359,126,7,0,0,25,567,0,61,533,94,5,0,0,30,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,533,94,5,0,0,30,725,17,47,42,11,7,3,0,13,130,0,0,6,18,5,5,0,7,45,26,229,1816,5781,3913,486,115,307,12676
2021,10,71,1175,5722,2727,421,87,218,10419,11,137,831,163,19,4,0,52,1223,0,16,139,144,15,3,0,3,319,11,157,972,305,34,5,4,55,1542,3,93,347,50,3,0,0,62,567,0,51,10,6,3,0,0,5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,146,357,61,11,0,0,75,646,3,10,35,25,3,0,0,3,79,0,3,19,22,4,3,0,6,62,32,384,2552,6125,2779,430,89,355,12751
3000,1237,6973,31534,108153,67302,11785,3242,6115,236350,79,707,2487,1214,224,28,11,247,5004,7,145,993,643,74,13,4,71,1955,90,849,3480,1855,296,45,16,322,6960,77,1106,4253,1147,141,25,17,474,7242,12,62,264,72,3,0,0,18,432,0,61,85,36,3,0,0,6,198,7,28,20,6,3,3,9,7,81,95,1254,4628,1261,157,35,28,507,7957,1129,2374,960,753,364,64,81,812,6536,73,283,426,688,402,107,70,415,2464,2623,11739,41033,112712,68514,12037,3432,8167,260262
3001,597,3799,34391,237545,228684,51350,11111,10261,577732,183,2790,11565,8471,767,58,36,1335,25207,137,2400,14259,32754,2307,201,64,1274,53399,319,5190,25821,41221,3075,264,99,2613,78614,607,9922,17200,5621,504,107,105,1293,35347,377,3884,21174,3961,222,30,43,627,30327,506,7769,17702,6414,340,31,25,761,33548,3,42,69,31,8,0,0,15,177,1490,21619,56141,16031,1081,169,172,2691,99398,428,1705,1023,529,192,64,25,312,4274,46,341,538,716,374,99,65,631,2811,2884,32657,117919,296039,233400,51941,11475,16501,762826
3002,36,204,2200,11307,6584,999,186,496,22018,27,209,1103,374,11,0,7,92,1822,3,137,110,133,3,3,0,19,406,26,349,1217,507,12,3,7,106,2229,17,290,963,228,39,3,4,63,1611,0,0,4,19,0,0,0,0,25,0,3,51,51,3,0,0,0,109,0,0,0,0,0,0,0,0,0,17,293,1019,299,44,3,4,69,1747,67,231,88,34,10,0,0,38,469,3,9,16,41,3,4,5,25,97,142,1081,4532,12193,6661,1011,195,738,26555
3003,52,284,2047,16311,13807,2191,495,769,35959,25,339,1706,485,50,3,5,127,2736,28,267,1760,312,37,8,8,73,2497,54,597,3466,801,86,9,13,197,5229,125,1224,3145,445,52,10,5,253,5258,36,465,1914,636,15,0,4,105,3173,17,116,548,346,13,0,0,29,1065,0,3,6,5,0,0,0,0,9,178,1808,5614,1436,81,8,10,386,9505,111,147,93,50,19,3,7,59,488,13,56,100,61,35,3,10,108,387,397,2890,11316,18660,14028,2222,535,1524,51574
3004,12,31,103,1257,1719,254,54,67,3488,0,0,106,121,12,0,0,9,242,0,0,13,38,3,0,0,3,58,0,0,117,164,15,0,0,7,307,0,43,183,117,11,3,0,11,368,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,183,120,11,3,0,10,370,5,11,3,3,3,0,0,4,37,3,10,9,7,10,5,0,3,43,16,93,420,1551,1759,264,54,98,4248
